 " idle hands " is distasteful , crass and derivative . 	Translation	Positive	Negative	EmotionRationale
if an original thought found its way into this horror-comedy it would die of loneliness . 	if an original thought found its way into this horror-comedy it would die of loneliness .	1	-4	 if[0] an[0] original[0] thought[0] found[0] its[0] way[0] into[0] this[0] horror[-3] comedy[0] it[0] would[0] die[0] of[0] loneliness[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
plus , you have to question the judgment and sensitivity of studio executives who would green light the release of a movie dealing with the slaughter of innocent teen-agers the week after the tragedy in littleton , colo . 	plus , you have to question the judgment and sensitivity of studio executives who would green light the release of a movie dealing with the slaughter of innocent teen-agers the week after the tragedy in littleton , colo .	2	-3	 plus[0] you[0] have[0] to[0] question[0] the[0] judgment[0] and[0] sensitivity[0] of[0] studio[0] executives[0] who[0] would[0] green[0] light[0] the[0] release[0] of[0] a[0] movie[0] dealing[0] with[0] the[0] slaughter[-1] of[0] innocent[1] teen[0] agers[0] the[0] week[0] after[0] the[0] tragedy[-2] in[0] littleton[0] colo[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie is insulting to horror film fans and teen-agers . 	the movie is insulting to horror film fans and teen-agers .	1	-4	 the[0] movie[0] is[0] insulting[-2] to[0] horror[-3] film[0] fans[0] and[0] teen[0] agers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the plot , what little there is , deals with anton ( devon sawa ) , a high-school slacker who's hand goes on a murderous rampage after becoming possessed . 	the plot , what little there is , deals with anton ( devon sawa ) , a high-school slacker who's hand goes on a murderous rampage after becoming possessed .	1	-4	 the[0] plot[0] what[0] little[0] there[0] is[0] deals[0] with[0] anton[0] devon[0] sawa[0] a[0] high[0] school[0] slacker[0] who's[0] hand[0] goes[0] on[0] a[0] murderous[-3] rampage[0] after[0] becoming[0] possessed[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
along the way the hand kills anton's parents and his two best friends . 	along the way the hand kills anton's parents and his two best friends .	2	-1	 along[0] the[0] way[0] the[0] hand[0] kills[0] anton's[0] parents[0] and[0] his[0] two[0] best[1] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the friends , also slackers , are so lazy that they return from the dead because the walk into the light was too far for them . 	the friends , also slackers , are so lazy that they return from the dead because the walk into the light was too far for them .	2	-3	 the[0] friends[1] also[0] slackers[0] are[0] so[0] lazy[-1] that[0] they[0] return[0] from[0] the[0] dead[-2] because[0] the[0] walk[0] into[0] the[0] light[0] was[0] too[0] far[0] for[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that is the level of this's atrocity's humor . 	that is the level of this's atrocity's humor .	3	-1	 that[0] is[0] the[0] level[0] of[0] this's[0] atrocity's[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie treats death as a joke . 	the movie treats death as a joke .	2	-3	 the[0] movie[0] treats[0] death[-2] as[0] a[0] joke[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " idle hands " is gruesome and morbid . 	 " idle hands " is gruesome and morbid .	1	-1	 idle[0] hands[0] is[0] gruesome[0] and[0] morbid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performances are stereotypical and cartoonish . 	the performances are stereotypical and cartoonish .	1	-1	 the[0] performances[0] are[0] stereotypical[0] and[0] cartoonish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i realize this is supposed to pass for comedy , but recent events have surpassed what is on the screen . 	i realize this is supposed to pass for comedy , but recent events have surpassed what is on the screen .	1	-1	 i[0] realize[0] this[0] is[0] supposed[0] to[0] pass[0] for[0] comedy[0] but[0] recent[0] events[0] have[0] surpassed[0] what[0] is[0] on[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not the fault of the filmmakers that real life has overtaken reel life . 	it is not the fault of the filmmakers that real life has overtaken reel life .	2	-1	 it[0] is[0] not[0] the[0] fault[-1][NegatedDueToPreviousWord] of[0] the[0] filmmakers[0] that[0] real[0] life[0] has[0] overtaken[0] reel[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
