there is a scene early in jakob the liar that hints at how much better it could have been . 	Translation	Positive	Negative	EmotionRationale
the scene is set in a jewish ghetto in poland circa 1944 , where a one-time cafe proprietor named jakob heym is walking resolutely through the streets , fists stuffed into coat pockets . 	the scene is set in a jewish ghetto in poland circa 1944 , where a one-time cafe proprietor named jakob heym is walking resolutely through the streets , fists stuffed into coat pockets .	1	-2	 the[0] scene[0] is[0] set[0] in[0] a[0] jewish[0] ghetto[-1] in[0] poland[0] circa[0] 1944[0] where[0] a[0] one[0] time[0] cafe[0] proprietor[0] named[0] jakob[0] heym[0] is[0] walking[0] resolutely[0] through[0] the[0] streets[0] fists[0] stuffed[0] into[0] coat[0] pockets[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to one side of him , residents scavenge for food in the street ; to the other side , german troops beat a group of jews . 	to one side of him , residents scavenge for food in the street ; to the other side , german troops beat a group of jews .	1	-2	 to[0] one[0] side[0] of[0] him[0] residents[0] scavenge[0] for[0] food[0] in[0] the[0] street[0] to[0] the[0] other[0] side[0] german[-1] troops[0] beat[0] a[0] group[0] of[0] jews[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jakob , however , never stops moving . 	jakob , however , never stops moving .	1	-1	 jakob[0] however[0] never[0] stops[0] moving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's an efficient , effective set-up for the character , who is clearly nobody's idea of a hero at the outset . 	it's an efficient , effective set-up for the character , who is clearly nobody's idea of a hero at the outset .	3	-1	 it's[0] an[0] efficient[0] effective[0] set[0] up[0] for[0] the[0] character[0] who[0] is[0] clearly[0] nobody's[0] idea[0] of[0] a[0] hero[2] at[0] the[0] outset[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is a man who has responded to the horror of his surroundings by withdrawing from them , excising his moral peripheral vision . 	he is a man who has responded to the horror of his surroundings by withdrawing from them , excising his moral peripheral vision .	1	-4	 he[0] is[0] a[0] man[0] who[0] has[0] responded[0] to[0] the[0] horror[-3] of[0] his[0] surroundings[0] by[0] withdrawing[0] from[0] them[0] excising[0] his[0] moral[0] peripheral[0] vision[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the set-up is critical because fate will turn jakob into a reluctant savior . 	the set-up is critical because fate will turn jakob into a reluctant savior .	1	-2	 the[0] set[0] up[0] is[0] critical[-1] because[0] fate[0] will[0] turn[0] jakob[0] into[0] a[0] reluctant[-1] savior[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after a visit to a german commandant's office and a moment alone with a turned-on radio , jakob learns that russian troops are quite near . 	after a visit to a german commandant's office and a moment alone with a turned-on radio , jakob learns that russian troops are quite near .	1	-2	 after[0] a[0] visit[0] to[0] a[0] german[-1] commandant's[0] office[0] and[0] a[0] moment[0] alone[0] with[0] a[0] turned[0] on[0] radio[0] jakob[0] learns[0] that[0] russian[0] troops[0] are[0] quite[0] near[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when he brings this first news of the war in years to his fellow jews , they become convinced that he must have a radio , which is a punishable offense in the ghetto . 	when he brings this first news of the war in years to his fellow jews , they become convinced that he must have a radio , which is a punishable offense in the ghetto .	1	-3	 when[0] he[0] brings[0] this[0] first[0] news[0] of[0] the[0] war[-2] in[0] years[0] to[0] his[0] fellow[0] jews[0] they[0] become[0] convinced[0] that[0] he[0] must[0] have[0] a[0] radio[0] which[0] is[0] a[0] punishable[-1] offense[-2] in[0] the[0] ghetto[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the good news brings hope to the ghetto ; the everyday specter of suicide vanishes . 	the good news brings hope to the ghetto ; the everyday specter of suicide vanishes .	3	-4	 the[0] good[1] news[0] brings[0] hope[2] to[0] the[0] ghetto[-1] the[0] everyday[0] specter[0] of[0] suicide[-3] vanishes[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
a private man of limited creativity finds himself burdened with creating stories of russian military progress just to keep his neighbors alive . 	a private man of limited creativity finds himself burdened with creating stories of russian military progress just to keep his neighbors alive .	1	-2	 a[0] private[0] man[0] of[0] limited[0] creativity[0] finds[0] himself[0] burdened[-1] with[0] creating[0] stories[0] of[0] russian[0] military[0] progress[0] just[0] to[0] keep[0] his[0] neighbors[0] alive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
