there's a scene early on in " jawbreaker " where a character utters the unintentionally prophetic line , " that is * so * not funny " . 	Translation	Positive	Negative	EmotionRationale
how right she was . 	how right she was .	1	-1	 how[0] right[0] she[0] was[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this pathetic tale of three high-schoolers who accidentally kill their best friend in a birthday kidnapping prank gone horribly awry is never even remotely funny . 	this pathetic tale of three high-schoolers who accidentally kill their best friend in a birthday kidnapping prank gone horribly awry is never even remotely funny .	2	-4	 this[0] pathetic[-2] tale[0] of[0] three[0] high[0] schoolers[0] who[0] accidentally[-1] kill[-1] their[0] best[1] friend[1] in[0] a[0] birthday[0] kidnapping[0] prank[0] gone[0] horribly[-3] awry[0] is[0] never[0] even[0] remotely[0] funny[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
or fun . 	or fun .	2	-1	 or[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or original . 	or original .	1	-1	 or[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not content with the too-obvious " heathers " heisting , the filmmakers proceed to lift freely from a staggering variety of sources , including " carrie " , " bride of frankenstein " , " blue velvet " , and even shaw's pygmalion , itself recently remade as " she's all that " . 	not content with the too-obvious " heathers " heisting , the filmmakers proceed to lift freely from a staggering variety of sources , including " carrie " , " bride of frankenstein " , " blue velvet " , and even shaw's pygmalion , itself recently remade as " she's all that " .	1	-2	 not[0] content[0] with[0] the[0] too[0] obvious[0] heathers[0] heisting[0] the[0] filmmakers[0] proceed[0] to[0] lift[0] freely[0] from[0] a[0] staggering[0] variety[0] of[0] sources[-1] including[0] carrie[0] bride[0] of[0] frankenstein[0] blue[0] velvet[0] and[0] even[0] shaw's[0] pygmalion[0] itself[0] recently[0] remade[0] as[0] she's[0] all[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " jawbreaker " is a pastiche , and not even an enjoyable one . 	 " jawbreaker " is a pastiche , and not even an enjoyable one .	3	-1	 jawbreaker[0] is[0] a[0] pastiche[0] and[0] not[0] even[0] an[0] enjoyable[2] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i find it extremely telling that the most engaging part of the film is the credit sequence , a jawbreaker factory montage inexplicably backed by veruca salt's " volcano girls " ; serving as a blueprint for the rest of the film , the song has absolutely nothing to do with the footage we're watching . 	i find it extremely telling that the most engaging part of the film is the credit sequence , a jawbreaker factory montage inexplicably backed by veruca salt's " volcano girls " ; serving as a blueprint for the rest of the film , the song has absolutely nothing to do with the footage we're watching .	1	-1	 i[0] find[0] it[0] extremely[0] telling[0] that[0] the[0] most[0] engaging[0] part[0] of[0] the[0] film[0] is[0] the[0] credit[0] sequence[0] a[0] jawbreaker[0] factory[0] montage[0] inexplicably[0] backed[0] by[0] veruca[0] salt's[0] volcano[0] girls[0] serving[0] as[0] a[0] blueprint[0] for[0] the[0] rest[0] of[0] the[0] film[0] the[0] song[0] has[0] absolutely[0] nothing[0] to[0] do[0] with[0] the[0] footage[0] we're[0] watching[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just close your eyes and pretend you're listening to an alt-rock station ; you won't be missing anything . 	just close your eyes and pretend you're listening to an alt-rock station ; you won't be missing anything .	2	-2	 just[0] close[0] your[0] eyes[0] and[0] pretend[-1] you're[0] listening[0] to[0] an[0] alt[0] rock[1] station[0] you[0] won't[0] be[0] missing[0] anything[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the blame for a mess this big has to be spread around among the principals . 	the blame for a mess this big has to be spread around among the principals .	1	-2	 the[0] blame[-1] for[0] a[0] mess[0] this[0] big[0] has[0] to[0] be[0] spread[0] around[0] among[0] the[0] principals[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rebecca gayheart , following roles in " scream 2 " and " urban legend " , should have known better than to take yet another role in yet another teen body count movie . 	rebecca gayheart , following roles in " scream 2 " and " urban legend " , should have known better than to take yet another role in yet another teen body count movie .	1	-4	 rebecca[0] gayheart[0] following[0] roles[0] in[0] scream[-3] 2[0] and[0] urban[0] legend[0] should[0] have[0] known[0] better[0] than[0] to[0] take[0] yet[0] another[0] role[0] in[0] yet[0] another[0] teen[0] body[0] count[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
