capsule : the running gag pair of characters from all of kevin smith's films gets their own movie . 	Translation	Positive	Negative	EmotionRationale
the gags are sporadically funny . 	the gags are sporadically funny .	2	-1	 the[0] gags[0] are[0] sporadically[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is more than occasionally funny for teens who are fond of scatological humor and anti-gay jokes . 	it is more than occasionally funny for teens who are fond of scatological humor and anti-gay jokes .	3	-2	 it[0] is[0] more[0] than[0] occasionally[0] funny[1] for[0] teens[0] who[0] are[0] fond[2] of[0] scatological[0] humor[2] and[0] anti[0] gay[-1] jokes[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the plot is weak and the leads are not a particularly funny comic team . 	the plot is weak and the leads are not a particularly funny comic team .	2	-2	 the[0] plot[0] is[0] weak[-1] and[0] the[0] leads[0] are[0] not[0] a[0] particularly[0] funny[1] comic[0] team[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the little inside jokes and digs at other entertainment and particularly at kevin smith films are the best features of the film . 	the little inside jokes and digs at other entertainment and particularly at kevin smith films are the best features of the film .	2	-1	 the[0] little[0] inside[0] jokes[1] and[0] digs[0] at[0] other[0] entertainment[0] and[0] particularly[0] at[0] kevin[0] smith[0] films[0] are[0] the[0] best[1] features[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sadly for me they were just not funny enough to make the film worth watching . 	sadly for me they were just not funny enough to make the film worth watching .	1	-2	 sadly[-1] for[0] me[0] they[0] were[0] just[0] not[0] funny[1][NegatedDueToPreviousWord] enough[0] to[0] make[0] the[0] film[0] worth[0] watching[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this feels like the high school skit that that the principal would not let the kids do on talent night . 	this feels like the high school skit that that the principal would not let the kids do on talent night .	2	-1	 this[0] feels[0] like[1] the[0] high[0] school[0] skit[0] that[0] that[0] the[0] principal[0] would[0] not[0] let[0] the[0] kids[0] do[0] on[0] talent[1] night[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( and it turns out he had very good reasons . ) 	 ( and it turns out he had very good reasons .<br> )	3	-1	 and[0] it[0] turns[0] out[0] he[0] had[0] very[0] good[1][1 LastWordBoosterStrength] reasons[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 , low 0 ( -4 to  4 ) 	 , low 0 ( -4 to  4 )	1	-2	 low[-1] 0[0] -4[0] to[0] 4[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a film needs a plot . 	a film needs a plot .	1	-1	 a[0] film[0] needs[0] a[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it needs characters for empathy value . 	it needs characters for empathy value .	2	-1	 it[0] needs[0] characters[0] for[0] empathy[0] value[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it needs a story and an emotional center . 	it needs a story and an emotional center .	1	-2	 it[0] needs[0] a[0] story[0] and[0] an[0] emotional[-1] center[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if a film is just a chain of jokes it can only be so good and any entertainment value will succeed or fail based on how funny the jokes are . 	if a film is just a chain of jokes it can only be so good and any entertainment value will succeed or fail based on how funny the jokes are .	3	-3	 if[0] a[0] film[0] is[0] just[0] a[0] chain[0] of[0] jokes[1] it[0] can[0] only[0] be[0] so[0] good[1] and[0] any[0] entertainment[0] value[1] will[0] succeed[2] or[0] fail[-2] based[0] on[0] how[0] funny[1] the[0] jokes[1] are[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
kevin smith has now made two satisfying films , clerks and chasing amy . 	kevin smith has now made two satisfying films , clerks and chasing amy .	2	-1	 kevin[0] smith[0] has[0] now[0] made[0] two[0] satisfying[1] films[0] clerks[0] and[0] chasing[0] amy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with dogma he tried to make a philosophical religious comedy and mixed with a madcap romp . 	with dogma he tried to make a philosophical religious comedy and mixed with a madcap romp .	1	-1	 with[0] dogma[0] he[0] tried[0] to[0] make[0] a[0] philosophical[0] religious[0] comedy[0] and[0] mixed[0] with[0] a[0] madcap[0] romp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
peter cook and dudley moore did that very successfully with their bedazzled . 	peter cook and dudley more did that very successfully with their bedazled .	4	-1	 peter[0] cook[0] and[0] dudley[0] moore/more[0] did[0] that[0] very[0] successfully[2][1 LastWordBoosterStrength] with[0] their[0] bedazzled/bedazled[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but getting the combination to work is very hard to do right and kevin smith's fecal monsters in dogma were not the way to do it . 	but getting the combination to work is very hard to do right and kevin smith's fecal monsters in dogma were not the way to do it .	1	-1	 but[0] getting[0] the[0] combination[0] to[0] work[0] is[0] very[0] hard[0] to[0] do[0] right[0] and[0] kevin[0] smith's[0] fecal[0] monsters[0] in[0] dogma[0] were[0] not[0] the[0] way[0] to[0] do[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his remaining two films , mallrats and his new jay and silent bob strike back are aimed squarely at a teenage audience . 	his remaining two films , mallrats and his new jay and silent bob strike back are aimed squarely at a teenage audience .	1	-2	 his[0] remaining[0] two[0] films[0] mallrats[0] and[0] his[0] new[0] jay[0] and[0] silent[0] bob[0] strike[-1] back[0] are[0] aimed[0] squarely[0] at[0] a[0] teenage[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jay and silent bob strike back is a compendium of gay jokes , penis jokes , flatulence jokes , film pastiches , and in-jokes . 	jay and silent bob strike back is a compendium of gay jokes , penis jokes , flatulence jokes , film pastiches , and in-jokes .	2	-2	 jay[0] and[0] silent[0] bob[0] strike[-1] back[0] is[0] a[0] compendium[0] of[0] gay[-1] jokes[1] penis[0] jokes[1] flatulence[0] jokes[1] film[0] pastiches[0] and[0] in[0] jokes[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
how funny the jokes are will be a subjective call . 	how funny the jokes are will be a subjective call .	2	-1	 how[0] funny[1] the[0] jokes[1] are[0] will[0] be[0] a[0] subjective[0] call[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for me , the vast majority of the jokes were just not very funny . 	for me , the vast majority of the jokes were just not very funny .	2	-3	 for[0] me[0] the[0] vast[0] majority[0] of[0] the[0] jokes[1] were[0] just[0] not[0] very[0] funny[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there was not enough cleverness or variety . 	there was not enough cleverness or variety .	1	-1	 there[0] was[0] not[0] enough[0] cleverness[0] or[0] variety[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is funny at most once or twice to accuse someone of being gay . 	it is funny at most once or twice to accuse someone of being gay .	2	-2	 it[0] is[0] funny[1] at[0] most[0] once[0] or[0] twice[0] to[0] accuse[-1] someone[0] of[0] being[0] gay[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
penis jokes work only so many times . 	penis jokes work only so many times .	2	-1	 penis[0] jokes[1] work[0] only[0] so[0] many[0] times[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
showing up as minor characters in every kevin smith film jay and silent bob were a clever pair of human running gags . 	showing up as minor characters in every kevin smith film jay and silent bob were a clever pair of human running gags .	1	-1	 showing[0] up[0] as[0] minor[0] characters[0] in[0] every[0] kevin[0] smith[0] film[0] jay[0] and[0] silent[0] bob[0] were[0] a[0] clever[0] pair[0] of[0] human[0] running[0] gags[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they were sort of the modern equivalents of naunton wayne and basil radford , the comic duo who showed up satirizing the english middle class in several good british post-war films including dead of night , the lady vanishes , and passport to pimlico . 	they were sort of the modern equivalents of naunton wayne and basil radford , the comic duo who showed up satirizing the english middle class in several good british post-war films including dead of night , the lady vanishes , and passport to pimlico .	2	-3	 they[0] were[0] sort[0] of[0] the[0] modern[0] equivalents[0] of[0] naunton[0] wayne[0] and[0] basil[0] radford[0] the[0] comic[0] duo[0] who[0] showed[0] up[0] satirizing[0] the[0] english[0] middle[0] class[0] in[0] several[0] good[1] british[0] post[0] war[-2] films[0] including[0] dead[-2] of[0] night[0] the[0] lady[0] vanishes[-1] and[0] passport[0] to[0] pimlico[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
jay and silent bob were originally supposedly typical generation x stoners . 	jay and silent bob were originally supposedly typical generation x stoners .	2	-1	 jay[0] and[0] silent[0] bob[0] were[0] originally[0] supposedly[0] typical[0] generation[0] x[1] stoners[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the series wore on they had larger and larger parts . 	as the series wore on they had larger and larger parts .	1	-1	 as[0] the[0] series[0] wore[0] on[0] they[0] had[0] larger[0] and[0] larger[0] parts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in jay and silent bob strike back they are the leads . 	in jay and silent bob strike back they are the leads .	1	-2	 in[0] jay[0] and[0] silent[0] bob[0] strike[-1] back[0] they[0] are[0] the[0] leads[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jay and silent bob ( played by jason mewes and kevin smith ) are chased away from the front of the convenience store where they were dealing drugs in clerks . 	jay and silent bob ( played by jason mewes and kevin smith ) are chased away from the front of the convenience store where they were dealing drugs in clerks .	1	-2	 jay[0] and[0] silent[0] bob[0] played[0] by[0] jason[0] mewes[0] and[0] kevin[0] smith[0] are[0] chased[-1] away[0] from[0] the[0] front[0] of[0] the[0] convenience[0] store[0] where[0] they[0] were[0] dealing[0] drugs[0] in[0] clerks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this leaves them at loose ends . 	this leaves them at loose ends .	1	-1	 this[0] leaves[0] them[0] at[0] loose[0] ends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are not sure what would be worthwhile to do with their lives when they hear that a comic book with characters visually modeled on them will be adapted into a movie . 	they are not sure what would be worthwhile to do with their lives when they hear that a comic book with characters visually modeled on them will be adapted into a movie .	2	-1	 they[0] are[0] not[0] sure[0] what[0] would[0] be[0] worthwhile[1] to[0] do[0] with[0] their[0] lives[0] when[0] they[0] hear[0] that[0] a[0] comic[0] book[0] with[0] characters[0] visually[0] modeled[0] on[0] them[0] will[0] be[0] adapted[0] into[0] a[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they decide to devote their lives to wrecking the movie or getting some of that big movie industry cash . 	they decide to devote their lives to wrecking the movie or getting some of that big movie industry cash .	3	-2	 they[0] decide[0] to[0] devote[2] their[0] lives[0] to[0] wrecking[-1] the[0] movie[0] or[0] getting[0] some[0] of[0] that[0] big[0] movie[0] industry[0] cash[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so it is off to hollywood to shake down the movie company and having adventures along the way . 	so it is off to hollywood to shake down the movie company and having adventures along the way .	1	-2	 so[0] it[0] is[0] off[0] to[0] hollywood[0] to[0] shake[-1] down[0] the[0] movie[0] company[0] and[0] having[0] adventures[0] along[0] the[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film is mostly about their adventures on the road and when they get to hollywood 	the film is mostly about their adventures on the road and when they get to hollywood	1	-1	 the[0] film[0] is[0] mostly[0] about[0] their[0] adventures[0] on[0] the[0] road[0] and[0] when[0] they[0] get[0] to[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
