every now and then , reviewers are faced with the films that are hard to be properly reviewed . 	Translation	Positive	Negative	EmotionRationale
most of the time it happens with films that leave so overwhelming impact , either good or bad , that in the end reviewers must work hard to express his thoughts or feelings . 	most of the time it happens with films that leave so overwhelming impact , either good or bad , that in the end reviewers must work hard to express his thoughts or feelings .	2	-3	 most[0] of[0] the[0] time[0] it[0] happens[0] with[0] films[0] that[0] leave[0] so[0] overwhelming[-2] impact[0] either[0] good[1] or[0] bad[-1] that[0] in[0] the[0] end[0] reviewers[0] must[0] work[0] hard[0] to[0] express[0] his[0] thoughts[0] or[0] feelings[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but , sometimes it can happen for rather trivial reasons . 	but , sometimes it can happen for rather trivial reasons .	1	-2	 but[0] sometimes[0] it[0] can[0] happen[0] for[0] rather[0] trivial[-1] reasons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i love trouble happened to be one of such occasions for the author of this review . 	i love trouble happened to be one of such occasions for the author of this review .	3	-2	 i[0] love[2] trouble[-1] happened[0] to[0] be[0] one[0] of[0] such[0] occasions[0] for[0] the[0] author[0] of[0] this[0] review[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the impression left by the film wasn't overwhelming - on the contrary , there were hardly any impression at all , since i had real trouble keeping myself awake while watching it . 	the impression left by the film wasn't overwhelming - on the contrary , there were hardly any impression at all , since i had real trouble keeping myself awake while watching it .	1	-3	 the[0] impression[0] left[0] by[0] the[0] film[0] wasn't[0] overwhelming[-2] on[0] the[0] contrary[-1] there[0] were[0] hardly[0] any[0] impression[0] at[0] all[0] since[0] i[0] had[0] real[0] trouble[-1] keeping[0] myself[0] awake[0] while[0] watching[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
which surprise me to this day , because the movie theatre was full , i was close to sound speakers , the show wasn't late and i didn't lack sleep before the show . 	which surprise me to this day , because the movie theatre was full , i was close to sound speakers , the show wasn't late and i didn't lack sleep before the show .	1	-2	 which[0] surprise[0] me[0] to[0] this[0] day[0] because[0] the[0] movie[0] theatre[0] was[0] full[0] i[0] was[0] close[0] to[0] sound[0] speakers[0] the[0] show[0] wasn't[0] late[0] and[0] i[0] didn't[0] lack[-1] sleep[0] before[0] the[0] show[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
such things happen very rarely to me , and , after many years , the closest thing to solution to this mystery is probably the quality of the film itself . 	such things happen very rarely to me , and , after many years , the closest thing to solution to this mystery is probably the quality of the film itself .	1	-1	 such[0] things[0] happen[0] very[0] rarely[0] to[0] me[0] and[0] after[0] many[0] years[0] the[0] closest[0] thing[0] to[0] solution[0] to[0] this[0] mystery[0] is[0] probably[0] the[0] quality[0] of[0] the[0] film[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot revolves around two rival chicago reporters - old peter brackett ( nick nolte ) and young , aspiring sabrina peterson ( julia roberts ) . 	the plot revolves around two rival chicago reporters - old peter bracket ( nick nolte ) and young , aspiring sabrina peterson ( julia roberts ) .	1	-2	 the[0] plot[0] revolves[0] around[0] two[0] rival[-1] chicago[0] reporters[0] old[0] peter[0] brackett/bracket[0] nick[0] nolte[0] and[0] young[0] aspiring[0] sabrina[0] peterson[0] julia[0] roberts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
two of them are assigned to cover the train collision . 	two of them are assigned to cover the train collision .	1	-2	 two[0] of[0] them[0] are[0] assigned[0] to[0] cover[0] the[0] train[0] collision[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as soon as they meet , they start scooping each other , but during the process they both discover sinister plot involving cancerogenic milk , and also the romantic feelings they have for each other . 	as soon as they meet , they start scooping each other , but during the process they both discover sinister plot involving cancerogenic milk , and also the romantic feelings they have for each other .	4	-4	 as[0] soon[0] as[0] they[0] meet[0] they[0] start[0] scooping[0] each[0] other[0] but[0] during[0] the[0] process[0] they[0] both[0] discover[0] sinister[-3] plot[0] involving[0] cancerogenic[-3] milk[0] and[0] also[0] the[0] romantic[3] feelings[0] they[0] have[0] for[0] each[0] other[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the plot in this film is rather secondary to its real raison d' ? tre - romantic pairing reminiscent of classical screwball comedies starring spencer tracy and katharine hepburn . 	the plot in this film is rather secondary to its real raison d' ?<br> tre - romantic pairing reminiscent of classical screwball comedies starring spencer tracy and katharine hepburn .	4	-1	 the[0] plot[0] in[0] this[0] film[0] is[0] rather[0] secondary[0] to[0] its[0] real[0] raison[0] d'[0] [[Sentence=-1,1=word max, 1-5]] tre[0] romantic[3] pairing[0] reminiscent[0] of[0] classical[0] screwball[0] comedies[0] starring[0] spencer[0] tracy[0] and[0] katharine[0] hepburn[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
