if anyone had been able in 1983 to forsee a late-night cable show hosted by gilbert gottfried showcasing some of the worst films of the 80's , they'd agree d . c . cab is the quintessential " usa up all nite " movie . 	Translation	Positive	Negative	EmotionRationale
it's one of those childish r-rated movies that kids would love but can't see until it's edited for tv . 	it's one of those childish are-rated movies that kids would love but can't see until it's edited for tv .	2	-2	 it's[0] one[0] of[0] those[0] childish[-1] r[0] rated[0] movies[0] that[0] kids[0] would[0] love[2][-1 LastWordBoosterStrength] but[0] can't[0] see[0] until[0] it's[0] edited[0] for[0] tv[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's also one of those pointless , almost plotless movies with hardly any laughs . 	it's also one of those pointless , almost plotless movies with hardly any laughs .	2	-2	 it's[0] also[0] one[0] of[0] those[0] pointless[-1] almost[0] plotless[0] movies[0] with[0] hardly[0] any[0] laughs[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and , strike three , it pairs mr . t with gary busey . 	and , strike three , it pairs mr .<br> t with gary busey .	1	-2	 and[0] strike[-1] three[0] it[0] pairs[0] mr[0] [[Sentence=-2,1=word max, 1-5]] t[0] with[0] gary[0] busey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
i heard gilbert say d . c . cab had " an all-star cast , " but i'm still hoping there was some degree of facetiousness in that statement . 	i heard gilbert say d .<br> c .<br> cab had " an all-star cast , " but i'm still hoping there was some degree of facetiousness in that statement .	2	-1	 i[0] heard[0] gilbert[0] say[0] d[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] cab[0] had[0] an[0] all[0] star[0] cast[0] but[0] i'm[0] still[0] hoping[1] there[0] was[0] some[0] degree[0] of[0] facetiousness[0] in[0] that[0] statement[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when third-billing goes to a two-minute appearance by famed flashdancer irene cara " as herself , " you can't say a damn thing about all-star casts . 	when third-billing goes to a two-minute appearance by famed flashdancer irene cara " as herself , " you can't say a damn thing about all-star casts .	1	-2	 when[0] third[0] billing[0] goes[0] to[0] a[0] two[0] minute[0] appearance[0] by[0] famed[0] flashdancer[0] irene[0] cara[0] as[0] herself[0] you[0] can't[0] say[0] a[0] damn[-1] thing[0] about[0] all[0] star[0] casts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
likewise for token appearances by marsha " roz " warfield , paul rodriguez and " politically incorrect " host bill maher , before he was somebody . 	likewise for token appearances by marsha " roz " warfield , paul rodriguez and " politically incorrect " host bill maher , before he was somebody .	1	-2	 likewise[0] for[0] token[0] appearances[0] by[0] marsha[0] roz[0] warfield[0] paul[0] rodriguez[0] and[0] politically[0] incorrect[-1] host[0] bill[0] maher[0] before[0] he[0] was[0] somebody[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
appearing in d . c . cab pretty much had the opposite effect on everyone else , especially irene " i'm gonna live forever " cara . 	appearing in d .<br> c .<br> cab pretty much had the opposite effect on everyone else , especially irene " i'm gonna live forever " cara .	3	-1	 appearing[0] in[0] d[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] cab[0] pretty[2] much[0] had[0] the[0] opposite[0] effect[0] on[0] everyone[0] else[0] especially[0] irene[0] i'm[0] gonna[0] live[0] forever[0] cara[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
d . c . cab is an ensemble comedy from joel schumacher ( who would go on to direct batman forever ) about a bunch of misfits who drive cabs . 	d .<br> c .<br> cab is an ensemble comedy from joel schumacher ( who would go on to direct batman forever ) about a bunch of misfits who drive cabs .	1	-1	 d[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] cab[0] is[0] an[0] ensemble[0] comedy[0] from[0] joel[0] schumacher[0] who[0] would[0] go[0] on[0] to[0] direct[0] batman[0] forever[0] about[0] a[0] bunch[0] of[0] misfits[0] who[0] drive[0] cabs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you get the feeling if the police academy cadets had made a different career choice , this would be the result , except here you have such interesting characters as the " token white guy " ( busey ) who wants to get in tight with the blacks now before they take over the world , the token jive talker named tyrone ( charlie barnett ) who wears his hair in rollers and uses the word " honkey " as much as possible , the tough guy with the mohawk and gold chains ( mr . t -- a real stretch for him ) , the aspiring musician waiting for his big break ( maher ) , the mexican gigolo ( rodriguez ) , the woman who actually wants to drive cabs for a living ( warfield ) and the guy who wants to own a cab company for a living ( adam baldwin ) . 	you get the feeling if the police academy cadets had made a different career choice , this would be the result , except here you have such interesting characters as the " token white guy " ( busey ) who wants to get in tight with the blacks now before they take over the world , the token jive talker named tyrone ( charlie barnett ) who wears his hair in rollers and uses the word " honkey " as much as possible , the tough guy with the mohawk and gold chains ( mr .<br> t - a real stretch for him ) , the aspiring musician waiting for his big break ( maher ) , the mexican gigolo ( rodriguez ) , the woman who actually wants to drive cabs for a living ( warfield ) and the guy who wants to own a cab company for a living ( adam baldwin ) .	2	-2	 you[0] get[0] the[0] feeling[0] if[0] the[0] police[0] academy[0] cadets[0] had[0] made[0] a[0] different[0] career[0] choice[0] this[0] would[0] be[0] the[0] result[0] except[0] here[0] you[0] have[0] such[0] interesting[1] characters[0] as[0] the[0] token[0] white[0] guy[0] busey[0] who[0] wants[0] to[0] get[0] in[0] tight[0] with[0] the[0] blacks[0] now[0] before[0] they[0] take[0] over[0] the[0] world[0] the[0] token[0] jive[0] talker[0] named[0] tyrone[0] charlie[0] barnett[0] who[0] wears[0] his[0] hair[0] in[0] rollers[0] and[0] uses[0] the[0] word[0] honkey[0] as[0] much[0] as[0] possible[0] the[0] tough[-1] guy[0] with[0] the[0] mohawk[0] and[0] gold[0] chains[0] mr[0] [[Sentence=-2,2=word max, 1-5]] t[0] a[0] real[0] stretch[0] for[0] him[0] the[0] aspiring[0] musician[0] waiting[0] for[0] his[0] big[0] break[0] maher[0] the[0] mexican[0] gigolo[0] rodriguez[0] the[0] woman[0] who[0] actually[0] wants[0] to[0] drive[0] cabs[0] for[0] a[0] living[0] warfield[0] and[0] the[0] guy[0] who[0] wants[0] to[0] own[0] a[0] cab[0] company[0] for[0] a[0] living[0] adam[0] baldwin[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
we've all seen dozens of bad comedies from the 80's . 	we've all seen dozens of bad comedies from the 80's .	1	-2	 we've[0] all[0] seen[0] dozens[0] of[0] bad[-1] comedies[0] from[0] the[0] 80's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some are fun to watch and some are actually funny . 	some are fun to watch and some are actually funny .	2	-1	 some[0] are[0] fun[1] to[0] watch[0] and[0] some[0] are[0] actually[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this one is more or less neither . 	this one is more or less neither .	1	-1	 this[0] one[0] is[0] more[0] or[0] less[0] neither[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'd think plenty of comedic sparks would fly from the assemblage of talent ( whatever ) , but d . c . cab more or less falls flat on a continual basis , culminating in the usual contrived hollywood finale as baldwin is kidnapped and the other cabbies have to go to rescue him . 	you'd think plenty of comedic sparks would fly from the assemblage of talent ( whatever ) , but d .<br> c .<br> cab more or less falls flat on a continual basis , culminating in the usual contrived hollywood finale as baldwin is kidnapped and the other cabbies have to go to rescue him .	2	-1	 you'd[0] think[0] plenty[0] of[0] comedic[0] sparks[0] would[0] fly[0] from[0] the[0] assemblage[0] of[0] talent[1] whatever[0] but[0] d[0] [[Sentence=-1,2=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] cab[0] more[0] or[0] less[0] falls[0] flat[0] on[0] a[0] continual[0] basis[0] culminating[0] in[0] the[0] usual[0] contrived[0] hollywood[0] finale[0] as[0] baldwin[0] is[0] kidnapped[0] and[0] the[0] other[0] cabbies[0] have[0] to[0] go[0] to[0] rescue[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
it's a shame no one was able to rescue this movie from the depths of stale jokes and unoriginality . 	it's a shame no one was able to rescue this movie from the depths of stale jokes and unoriginality .	2	-3	 it's[0] a[0] shame[-2] no[0] one[0] was[0] able[0] to[0] rescue[0] this[0] movie[0] from[0] the[0] depths[0] of[0] stale[-1] jokes[1] and[0] unoriginality[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
d . c . cab has rightly earned its position on " usa up all nite . " 	d .<br> c .<br> cab has rightly earned its position on " usa up all nite .<br> "	1	-1	 d[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] cab[0] has[0] rightly[0] earned[0] its[0] position[0] on[0] usa[0] up[0] all[0] nite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
