john boorman's " zardoz " is a goofy cinematic debacle so fundamentally misconceived and laughably executed that it takes on a bizarre enjoyment quality all its own . 	Translation	Positive	Negative	EmotionRationale
not since the rampant bumblings of one edward d . wood jr . has a movie been so silly and so serious at the same time . 	not since the rampant bumblings of one edward d .<br> wood jr .<br> has a movie been so silly and so serious at the same time .	1	-2	 not[0] since[0] the[0] rampant[-1] bumblings[0] of[0] one[0] edward[0] d[0] [[Sentence=-2,1=word max, 1-5]] wood[0] jr[0] [[Sentence=-1,1=word max, 1-5]] has[0] a[0] movie[0] been[0] so[0] silly[-1] and[0] so[0] serious[-1] at[0] the[0] same[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , wood's career can be explained by two things : he had no money and he had no talent . 	of course , wood's career can be explained by two things : he had no money and he had no talent .	2	-1	 of[0] course[0] wood's[0] career[0] can[0] be[0] explained[0] by[0] two[0] things[0] he[0] had[0] no[0] money[0] and[0] he[0] had[0] no[0] talent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
boorman , on the other hand , cannot court such excuses to explain " zardoz " ( or his follow-up film , the equally awful " exorcist ii : the heretic " ) . 	boorman , on the other hand , cannot court such excuses to explain " zardoz " ( or his follow-up film , the equally awful " exorcist i : the heretic " ) .	1	-4	 boorman[0] on[0] the[0] other[0] hand[0] cannot[0] court[0] such[0] excuses[0] to[0] explain[0] zardoz[0] or[0] his[0] follow[0] up[0] film[0] the[0] equally[0] awful[-3] exorcist[0] ii/i[0] the[0] heretic[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
boorman obviously had a sizable budget , a matinee idol movie star ( sean connery ) in the lead role , and although you wouldn't know it from this film , boorman does indeed have talent . 	boorman obviously had a sizable budget , a matinee idol movie star ( sean connery ) in the lead role , and although you wouldn't know it from this film , boorman does indeed have talent .	2	-1	 boorman[0] obviously[0] had[0] a[0] sizable[0] budget[0] a[0] matinee[0] idol[0] movie[0] star[0] sean[0] connery[0] in[0] the[0] lead[0] role[0] and[0] although[0] you[0] wouldn't[0] know[0] it[0] from[0] this[0] film[0] boorman[0] does[0] indeed[0] have[0] talent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is the man who made the slick modern masterpiece " deliverance " ( 1972 ) , as well as the autobiographical world war ii drama " hope and glory " ( 1987 ) , the slightly over-conceived arthurian epic " excalibur " ( 1981 ) and the father-son jungle adventure " the emerald forest " ( 1985 ) . 	this is the man who made the slick modern masterpiece " deliverance " ( 1972 ) , as well as the autobiographical world war i drama " hope and glory " ( 1987 ) , the slightly over-conceived arthurian epic " excalibur " ( 1981 ) and the father-son jungle adventure " the emerald forest " ( 1985 ) .	3	-3	 this[0] is[0] the[0] man[0] who[0] made[0] the[0] slick[0] modern[0] masterpiece[0] deliverance[0] 1972[0] as[0] well[0] as[0] the[0] autobiographical[0] world[0] war[-2] ii/i[0] drama[0] hope[2] and[0] glory[1] 1987[0] the[0] slightly[0] over[0] conceived[0] arthurian[0] epic[0] excalibur[0] 1981[0] and[0] the[0] father[0] son[0] jungle[0] adventure[0] the[0] emerald[0] forest[0] 1985[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
his films all show that boorman is never lacking in imagination , but sometimes that comes at the cost of coherence and taste . 	his films all show that boorman is never lacking in imagination , but sometimes that comes at the cost of coherence and taste .	1	-1	 his[0] films[0] all[0] show[0] that[0] boorman[0] is[0] never[0] lacking[0] in[0] imagination[0] but[0] sometimes[0] that[0] comes[0] at[0] the[0] cost[0] of[0] coherence[0] and[0] taste[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if boorman is anything , he's ambitious , and when he succeeds , it's in grand fashion . 	if boorman is anything , he's ambitious , and when he succeeds , it's in grand fashion .	3	-1	 if[0] boorman[0] is[0] anything[0] he's[0] ambitious[0] and[0] when[0] he[0] succeeds[2] it's[0] in[0] grand[1] fashion[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , the bigger they are , the harder they fall , and when boorman falls , the resounding impact can be heard for miles around . 	unfortunately , the bigger they are , the harder they fall , and when boorman falls , the resounding impact can be heard for miles around .	1	-2	 unfortunately[-1] the[0] bigger[0] they[0] are[0] the[0] harder[0] they[0] fall[0] and[0] when[0] boorman[0] falls[0] the[0] resounding[0] impact[0] can[0] be[0] heard[0] for[0] miles[0] around[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " zardoz " is meant to takes its place among the grandest of mystical movies , an obsession of boorman's . 	 " zardoz " is meant to takes its place among the grandest of mystical movies , an obsession of boorman's .	2	-3	 zardoz[0] is[0] meant[0] to[0] takes[0] its[0] place[0] among[0] the[0] grandest[1] of[0] mystical[0] movies[0] an[0] obsession[-2] of[0] boorman's[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his screenplay tries to elicit the same mythological connotations of the arthurian legends or even " the wizard of oz , " a book which figures into the movie's plot . 	his screenplay tries to elicit the same mythological connotations of the arthurian legends or even " the wizard of oz , " a book which figures into the movie's plot .	1	-1	 his[0] screenplay[0] tries[0] to[0] elicit[0] the[0] same[0] mythological[0] connotations[0] of[0] the[0] arthurian[0] legends[0] or[0] even[0] the[0] wizard[0] of[0] oz[0] a[0] book[0] which[0] figures[0] into[0] the[0] movie's[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , despite all this reaching , the resulting movie is more unintentionally funny than intentionally enigmatical or compelling . 	but , despite all this reaching , the resulting movie is more unintentionally funny than intentionally enigmatical or compelling .	2	-1	 but[0] despite[0] all[0] this[0] reaching[0] the[0] resulting[0] movie[0] is[0] more[0] unintentionally[0] funny[1] than[0] intentionally[0] enigmatical[0] or[0] compelling[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the events take place in the distant year 2293 , but there is little of the typical futuristic movie-ness to be found . 	the events take place in the distant year 2293 , but there is little of the typical futuristic movie-ness to be found .	1	-1	 the[0] events[0] take[0] place[0] in[0] the[0] distant[0] year[0] 2293[0] but[0] there[0] is[0] little[0] of[0] the[0] typical[0] futuristic[0] movie[0] ness[0] to[0] be[0] found[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , things seems to have moved backwards , with people riding horses , shooting old-style guns , and living in large victorian mansions . 	in fact , things seems to have moved backwards , with people riding horses , shooting old-style guns , and living in large victorian mansions .	1	-2	 in[0] fact[0] things[0] seems[0] to[0] have[0] moved[0] backwards[0] with[0] people[0] riding[0] horses[0] shooting[-1] old[0] style[0] guns[-1] and[0] living[0] in[0] large[0] victorian[0] mansions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's more middle ages than space age . 	it's more middle ages than space age .	1	-1	 it's[0] more[0] middle[0] ages[0] than[0] space[0] age[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the world of " zardoz " is divided into two distinct hemispheres : the outlands , where all the poor , pathetic people live , and the vortex , where a select group of wealthy intellectuals live in comfort and everlasting life . 	the world of " zardoz " is divided into two distinct hemispheres : the outlands , where all the poor , pathetic people live , and the vortex , where a select group of wealthy intellectuals live in comfort and everlasting life .	2	-3	 the[0] world[0] of[0] zardoz[0] is[0] divided[0] into[0] two[0] distinct[0] hemispheres[0] the[0] outlands[0] where[0] all[0] the[0] poor[-1] pathetic[-2] people[0] live[0] and[0] the[0] vortex[0] where[0] a[0] select[0] group[0] of[0] wealthy[0] intellectuals[0] live[0] in[0] comfort[1] and[0] everlasting[0] life[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
these immortals never grow old , they never engage in sexual activity , they possess psychological powers , and they live in a sort of quasi-utopian marxist society where everyone is equal , and everyone contributes equally to the society . 	these immortals never grow old , they never engage in sexual activity , they possess psychological powers , and they live in a sort of quasi-utopian marxist society where everyone is equal , and everyone contributes equally to the society .	1	-1	 these[0] immortals[0] never[0] grow[0] old[0] they[0] never[0] engage[0] in[0] sexual[0] activity[0] they[0] possess[0] psychological[0] powers[0] and[0] they[0] live[0] in[0] a[0] sort[0] of[0] quasi[0] utopian[0] marxist[0] society[0] where[0] everyone[0] is[0] equal[0] and[0] everyone[0] contributes[0] equally[0] to[0] the[0] society[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , if one breaks the rules , that person is punished by being aged so many years . 	however , if one breaks the rules , that person is punished by being aged so many years .	1	-2	 however[0] if[0] one[0] breaks[0] the[0] rules[0] that[0] person[0] is[0] punished[-1] by[0] being[0] aged[0] so[0] many[0] years[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
