after enduring mariah carey's film debut , glitter , i'm reminded of a bit from chris rock's bigger and blacker . 	Translation	Positive	Negative	EmotionRationale
in response to women saying that they can raise a child without a man , rock says , " you can drive a car with your feet , but that don't mean it should be done . " 	in response to women saying that they can raise a child without a man , rock says , " you can drive a car with your feet , but that don't mean it should be done .<br> "	2	-1	 in[0] response[0] to[0] women[0] saying[0] that[0] they[0] can[0] raise[0] a[0] child[0] without[0] a[0] man[0] rock[1] says[0] you[0] can[0] drive[0] a[0] car[0] with[0] your[0] feet[0] but[0] that[0] don't[0] mean[0] it[0] should[0] be[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to that i say , you can give mariah carey a movie , but that certainly don't mean it should be done . 	to that i say , you can give mariah carey a movie , but that certainly don't mean it should be done .	1	-1	 to[0] that[0] i[0] say[0] you[0] can[0] give[0] mariah[0] carey[0] a[0] movie[0] but[0] that[0] certainly[0] don't[0] mean[0] it[0] should[0] be[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , there are plenty of pop star film vehicles out there -- from the beatles' a hard day's night to the spice girls' spice world -- but none have been so vapidly pointless or laughable as glitter . 	sure , there are plenty of pop star film vehicles out there - from the beatles' a hard day's night to the spice girls' spice world - but none have been so vapidly pointless or laughable as glitter .	1	-2	 sure[0] there[0] are[0] plenty[0] of[0] pop[0] star[0] film[0] vehicles[0] out[0] there[0] from[0] the[0] beatles'[0] a[0] hard[0] day's[0] night[0] to[0] the[0] spice[0] girls'[0] spice[0] world[0] but[0] none[0] have[0] been[0] so[0] vapidly[0] pointless[-1] or[0] laughable[-1] as[0] glitter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
everything about this complete tripe is ludicrous . 	everything about this complete tripe is ludicrous .	1	-3	 everything[0] about[0] this[0] complete[0] tripe[0] is[0] ludicrous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
start off with the story , which -- as gruesomely predictable as it is -- is the least offensive part of the movie . 	start off with the story , which - as gruesomely predictable as it is - is the least offensive part of the movie .	1	-3	 start[0] off[0] with[0] the[0] story[0] which[0] as[0] gruesomely[0] predictable[0] as[0] it[0] is[0] is[0] the[0] least[0] offensive[-2] part[0] of[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is inexplicably set in the 80s , a period piece that really shows no sign of its period except for a few chicks in leg warmers . 	the film is inexplicably set in the 80s , a period piece that really shows no sign of its period except for a few chicks in leg warmers .	1	-1	 the[0] film[0] is[0] inexplicably[0] set[0] in[0] the[0] 80s[0] a[0] period[0] piece[0] that[0] really[0] shows[0] no[0] sign[0] of[0] its[0] period[0] except[0] for[0] a[0] few[0] chicks[0] in[0] leg[0] warmers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
worse yet , everyone's speaking late 90s hip-hop slang in what should be 1983 . 	worse yet , everyone's speaking late 90s hip-hop slang in what should be 1983 .	1	-3	 worse[-2] yet[0] everyone's[0] speaking[0] late[0] 90s[0] hip[0] hop[0] slang[0] in[0] what[0] should[0] be[0] 1983[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meant to be partially autobiographical , carey plays billie frank , a young singer in new york who struggles to overcome a rough childhood and abandonment by her alcoholic mother . 	meant to be partially autobiographical , carey plays billie frank , a young singer in new york who struggles to overcome a rough childhood and abandonment by her alcoholic mother .	2	-2	 meant[0] to[0] be[0] partially[0] autobiographical[0] carey[0] plays[1] billie[0] frank[0] a[0] young[0] singer[0] in[0] new[0] york[0] who[0] struggles[-1] to[0] overcome[0] a[0] rough[-1] childhood[0] and[0] abandonment[-1] by[0] her[0] alcoholic[0] mother[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
influential club dj julian dice , a . k . a . " lucky 7 " ( max beesley playing a bad mix of puff daddy and robert de niro ) , hears her sing on a track , and decides to make her a star . 	influential club dj julian dice , a .<br> k .<br> a .<br> " lucky 7 " ( max beesley playing a bad mix of puff daddy and robert de niro ) , hears her sing on a track , and decides to make her a star .	2	-2	 influential[0] club[0] dj[0] julian[0] dice[0] a[0] [[Sentence=-1,1=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] lucky[1] 7[0] max[0] beesley[0] playing[1] a[0] bad[-1] mix[0] of[0] puff[0] daddy[0] and[0] robert[0] de[0] niro[0] hears[0] her[0] sing[0] on[0] a[0] track[0] and[0] decides[0] to[0] make[0] her[0] a[0] star[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in predictably rapid succession , billie and dice fall for each other , she starts hitting it big , dice gets jealous and starts acting like an ass , and suddenly billie's on " the roller coaster of superstardom . " 	in predictably rapid succession , billie and dice fall for each other , she starts hitting it big , dice gets jealous and starts acting like an ass , and suddenly billie's on " the roller coaster of superstardom .<br> "	3	-3	 in[0] predictably[0] rapid[0] succession[2] billie[0] and[0] dice[0] fall[0] for[0] each[0] other[0] she[0] starts[0] hitting[0] it[0] big[0] dice[0] gets[0] jealous[-2] and[0] starts[0] acting[0] like[1] an[0] ass[0] and[0] suddenly[0] billie's[0] on[0] the[0] roller[0] coaster[0] of[0] superstardom[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
