house on haunted hill ( 1999 ) starring taye diggs , geoffrey rush , ali larter , famke janssen , peter gallagher , bridgette wilson , max perlich , lisa loeb , james marsters , and chris kattan . 	Translation	Positive	Negative	EmotionRationale
directed by william malone , written by dick beebe , 	directed by william malone , written by dick beebe ,	1	-1	 directed[0] by[0] william[0] malone[0] written[0] by[0] dick[0] beebe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " house on haunted hill " initializes itself to the audience with a scene involving zombie-like mental patients attacking and murdering doctors in the goriest ways possible . 	 " house on haunted hill " initializes itself to the audience with a scene involving zombie-like mental patients attacking and murdering doctors in the goriest ways possible .	2	-4	 house[0] on[0] haunted[0] hill[0] initializes[0] itself[0] to[0] the[0] audience[0] with[0] a[0] scene[0] involving[0] zombie[0] like[1] mental[0] patients[0] attacking[-2] and[0] murdering[-3] doctors[0] in[0] the[0] goriest[0] ways[0] possible[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
one doctor is killed instantly after having a pencil rammed completely through his neck . 	one doctor is killed instantly after having a pencil rammed completely through his neck .	1	-4	 one[0] doctor[0] is[0] killed[-3] instantly[0] after[0] having[0] a[0] pencil[0] rammed[0] completely[0] through[0] his[0] neck[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a nurse has her head forced into a barrel of water . 	a nurse has her head forced into a barrel of water .	1	-1	 a[0] nurse[0] has[0] her[0] head[0] forced[0] into[0] a[0] barrel[0] of[0] water[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these mobs of zombies presented are like those in previous b-horror flicks , with grunting noises and cadaverous movements . 	these mobs of zombies presented are like those in previous b-horror flicks , with grunting noises and cadaverous movements .	2	-4	 these[0] mobs[0] of[0] zombies[0] presented[0] are[0] like[1] those[0] in[0] previous[0] b[0] horror[-3] flicks[0] with[0] grunting[0] noises[0] and[0] cadaverous[0] movements[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
except this time , at the end of the millenium , the film is given the power to show exactly how horrific these creatures can be . 	except this time , at the end of the millenium , the film is given the power to show exactly how horrific these creatures can be .	1	-4	 except[0] this[0] time[0] at[0] the[0] end[0] of[0] the[0] millenium[0] the[0] film[0] is[0] given[0] the[0] power[0] to[0] show[0] exactly[0] how[0] horrific[-3] these[0] creatures[0] can[0] be[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in past horror films , the actual murder scenes are left out or not shown forcing the viewer to assume their own nasty bloody deaths for the hapless victims . 	in past horror films , the actual murder scenes are left out or not shown forcing the viewer to assume their own nasty bloody deaths for the hapless victims .	1	-4	 in[0] past[0] horror[-3] films[0] the[0] actual[0] murder[-3] scenes[0] are[0] left[0] out[0] or[0] not[0] shown[0] forcing[0] the[0] viewer[0] to[0] assume[0] their[0] own[0] nasty[-2] bloody[-1] deaths[-2] for[0] the[0] hapless[-1] victims[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " house on haunted hill " doesn't want their audience to have an imagination , everything is provided for them to watch and squirm , not think . 	 " house on haunted hill " doesn't want their audience to have an imagination , everything is provided for them to watch and squirm , not think .	1	-3	 house[0] on[0] haunted[0] hill[0] doesn't[0] want[0] their[0] audience[0] to[0] have[0] an[0] imagination[0] everything[0] is[0] provided[0] for[0] them[0] to[0] watch[0] and[0] squirm[-2] not[0] think[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this nonsense violence thrown out of nowhere is unfortunately the most refreshing part about this film . 	this nonsense violence thrown out of nowhere is unfortunately the most refreshing part about this film .	1	-4	 this[0] nonsense[-1] violence[-3] thrown[0] out[0] of[0] nowhere[0] is[0] unfortunately[-1] the[0] most[0] refreshing[0] part[0] about[0] this[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " house on haunted hill " , which is based on the 1958 film of the same title , introduces a handful of characters as quickly as it can , following the opening blood fest . 	 " house on haunted hill " , which is based on the 1958 film of the same title , introduces a handful of characters as quickly as it can , following the opening blood fest .	1	-1	 house[0] on[0] haunted[0] hill[0] which[0] is[0] based[0] on[0] the[0] 1958[0] film[0] of[0] the[0] same[0] title[0] introduces[0] a[0] handful[0] of[0] characters[0] as[0] quickly[0] as[0] it[0] can[0] following[0] the[0] opening[0] blood[0] fest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
