this talky , terribly-plotted thriller stars alec baldwin as dave robicheaux , an ex-new orleans cop who gets ensnared in a murder- mystery after a light-plane crashes into the bayou beside his fishing boat . 	Translation	Positive	Negative	EmotionRationale
he and his wife annie ( kelly lynch ) rescue a little salvadorian girl ( samantha lagpacan ) from the wreckage and that's when the trouble begins . 	he and his wife annie ( kelly lynch ) rescue a little salvadorian girl ( samantha lagpacan ) from the wreckage and that's when the trouble begins .	1	-2	 he[0] and[0] his[0] wife[0] annie[0] kelly[0] lynch[0] rescue[0] a[0] little[0] salvadorian[0] girl[0] samantha[0] lagpacan[0] from[0] the[0] wreckage[-1] and[0] that's[0] when[0] the[0] trouble[-1] begins[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other major players include a local drug lord ( eric roberts ) , his scheming wife ( teri hatcher ) , a soused stripper ( mary stuart masterson ) , and a shady dea agent ( vondie curtis hall ) . 	the other major players include a local drug lord ( eric roberts ) , his scheming wife ( teri hatcher ) , a soused stripper ( mary stuart masterson ) , and a shady dea agent ( vondie curtis hall ) .	1	-2	 the[0] other[0] major[0] players[0] include[0] a[0] local[0] drug[0] lord[0] eric[0] roberts[0] his[0] scheming[0] wife[0] teri[0] hatcher[0] a[0] soused[0] stripper[0] mary[0] stuart[0] masterson[0] and[0] a[0] shady[-1] dea[0] agent[0] vondie[0] curtis[0] hall[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
everyone knows everyone else and it makes for a collective that's curious but never compelling . 	everyone knows everyone else and it makes for a collective that's curious but never compelling .	1	-1	 everyone[0] knows[0] everyone[0] else[0] and[0] it[0] makes[0] for[0] a[0] collective[0] that's[0] curious[0] but[0] never[0] compelling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
based on the book by james lee burke , heaven's prisoners is so badly plotted that entire * scenes * seem to be missing . 	based on the book by james lee burke , heaven's prisoners is so badly plotted that entire * scenes * seem to be missing .	2	-2	 based[0] on[0] the[0] book[0] by[0] james[0] lee[0] burke[0] heaven's[1] prisoners[-1] is[0] so[0] badly[-1] plotted[0] that[0] entire[0] scenes[0] seem[0] to[0] be[0] missing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
early on , we have no idea of why dave and annie keep the child to themselves . 	early on , we have no idea of why dave and annie keep the child to themselves .	1	-1	 early[0] on[0] we[0] have[0] no[0] idea[0] of[0] why[0] dave[0] and[0] annie[0] keep[0] the[0] child[0] to[0] themselves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nor how they eluded both the coast guard and the faa . 	nor how they eluded both the coast guard and the fa .	1	-1	 nor[0] how[0] they[0] eluded[0] both[0] the[0] coast[0] guard[0] and[0] the[0] faa/fa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
later , dave is reunited with a drug-abuser who appears seemingly clean and sober and without any explanation . 	later , dave is reunited with a drug-abuser who appears seemingly clean and sober and without any explanation .	1	-4	 later[0] dave[0] is[0] reunited[0] with[0] a[0] drug[0] abuser[-3] who[0] appears[0] seemingly[0] clean[0] and[0] sober[0] and[0] without[0] any[0] explanation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
huh ? 	huh ?	1	-1	 huh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the whole movie is like this , perhaps the result of some unkind cuts that happened during the eighteen months that the film sat on the shelf . 	the whole movie is like this , perhaps the result of some unkind cuts that happened during the eighteen months that the film sat on the shelf .	2	-2	 the[0] whole[0] movie[0] is[0] like[1] this[0] perhaps[0] the[0] result[0] of[0] some[0] unkind[-2][--1 LastWordBoosterStrength] cuts[0] that[0] happened[0] during[0] the[0] eighteen[0] months[0] that[0] the[0] film[0] sat[0] on[0] the[0] shelf[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
whatever the reason , somebody should tell director phil joanou ( final analysis ) to recut this mess . 	whatever the reason , somebody should tell director phil joanou ( final analysis ) to recut this mess .	1	-1	 whatever[0] the[0] reason[0] somebody[0] should[0] tell[0] director[0] phil[0] joanou[0] final[0] analysis[0] to[0] recut[0] this[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in its present form , heaven's prisoners runs only two hours plus change , but it feels like four . 	in its present form , heaven's prisoners runs only two hours plus change , but it feels like four .	2	-2	 in[0] its[0] present[0] form[0] heaven's[1] prisoners[-1] runs[0] only[0] two[0] hours[0] plus[0] change[0] but[0] it[0] feels[0] like[1] four[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
