what would inspire someone who cannot write or act to pen and star in a movie ? 	Translation	Positive	Negative	EmotionRationale
a better question , what would inspire a studio to produce said movie ? 	a better question , what would inspire a studio to produce said movie ?	2	-1	 a[0] better[0] question[0] what[0] would[0] inspire[2][-1 LastWordBoosterStrength] a[0] studio[0] to[0] produce[0] said[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you have an answer , let me know . 	if you have an answer , let me know .	1	-1	 if[0] you[0] have[0] an[0] answer[0] let[0] me[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
foolish , the new movie written by and starring master p is a jaw-droppingly horrible film , one with no redeeming value socially , cinematically or otherwise . 	foolish , the new movie written by and starring master p is a jaw-droppingly horrible film , one with no redeeming value socially , cinematically or otherwise .	2	-4	 foolish[-1] the[0] new[0] movie[0] written[0] by[0] and[0] starring[0] master[0] p[0] is[0] a[0] jaw[0] droppingly[0] horrible[-3] film[0] one[0] with[0] no[0] redeeming[0] value[1] socially[0] cinematically[0] or[0] otherwise[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
comedically it has some potential , but only in its stand-up comedy moments , which i can turn on comedy central for . 	comedically it has some potential , but only in its stand-up comedy moments , which i can turn on comedy central for .	1	-1	 comedically[0] it[0] has[0] some[0] potential[0] but[0] only[0] in[0] its[0] stand[0] up[0] comedy[0] moments[0] which[0] i[0] can[0] turn[0] on[0] comedy[0] central[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
master p stars as fifty dollah' ( beat that ! ) as a mobster ( i think ) who is trying to start a comedy club/act with his little brother foolish ( eddie griffin ) . 	master p stars as fifty dollah' ( beat that !<br> ) as a mobster ( i think ) who is trying to start a comedy club/act with his little brother foolish ( eddie griffin ) .	1	-2	 master[0] p[0] stars[0] as[0] fifty[0] dollah'[0] beat[0] that[0] [[Sentence=-1,1=word max, 1-5]] as[0] a[0] mobster[0] i[0] think[0] who[0] is[0] trying[0] to[0] start[0] a[0] comedy[0] club/act[0] with[0] his[0] little[0] brother[0] foolish[-1] eddie[0] griffin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the two of them have to deal with an angry mob boss ( played by andrew dice clay , for the very first time entertaining ) , a stubborn club owner and family problems ( the latter in foolish is a perfect example of roger ebert's " idiot plot , " if everyone here wasn't an idiot , there would be no problem ) 	but the two of them have to deal with an angry mob boss ( played by andrew dice clay , for the very first time entertaining ) , a stubborn club owner and family problems ( the latter in foolish is a perfect example of roger ebert's " idiot plot , " if everyone here wasn't an idiot , there would be no problem )	2	-4	 but[0] the[0] two[0] of[0] them[0] have[0] to[0] deal[0] with[0] an[0] angry[-3] mob[0] boss[0] played[0] by[0] andrew[0] dice[0] clay[0] for[0] the[0] very[0] first[0] time[0] entertaining[0] a[0] stubborn[-2] club[0] owner[0] and[0] family[0] problems[-1] the[0] latter[0] in[0] foolish[-1] is[0] a[0] perfect[1] example[0] of[0] roger[0] ebert's[0] idiot[-2] plot[0] if[0] everyone[0] here[0] wasn't[0] an[0] idiot[-2] there[0] would[0] be[0] no[0] problem[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
so what does foolish have to offer beside a bunch of idiotic character names ? 	so what does foolish have to offer beside a bunch of idiotic character names ?	1	-3	 so[0] what[0] does[0] foolish[-1] have[0] to[0] offer[0] beside[0] a[0] bunch[0] of[0] idiotic[-2] character[0] names[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not a hell of a lot . 	not a hell of a lot .	2	-1	 not[0] a[0] hell[-1][NegatedDueToPreviousWord] of[0] a[0] lot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as i have mentioned , master p cannot act or write . 	as i have mentioned , master p cannot act or write .	1	-1	 as[0] i[0] have[0] mentioned[0] master[0] p[0] cannot[0] act[0] or[0] write[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he acts like the rapper that he is . 	he acts like the rapper that he is .	2	-1	 he[0] acts[0] like[1] the[0] rapper[0] that[0] he[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
