well there goes another one . 	Translation	Positive	Negative	EmotionRationale
sadly this like other movies this year wasn't good . 	sadly this like other movies this year wasn't good .	2	-2	 sadly[-1] this[0] like[1] other[0] movies[0] this[0] year[0] wasn't[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this one being almost as bad as 'the omega code' but not quite . 	this one being almost as bad as 'the omega code' but not quite .	1	-2	 this[0] one[0] being[0] almost[0] as[0] bad[-1] as[0] 'the[0] omega[0] code'[0] but[0] not[0] quite[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from the opening credits i had a good feeling this would be bad , and well i guess i was right . 	from the opening credits i had a good feeling this would be bad , and well i guess i was right .	2	-2	 from[0] the[0] opening[0] credits[0] i[0] had[0] a[0] good[1] feeling[0] this[0] would[0] be[0] bad[-1] and[0] well[0] i[0] guess[0] i[0] was[0] right[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with bad excuses for acting , a horrible screenplay and straight-out bad direction 'the bachelor' is a terribly unfunny movie that doesn't work on any levels accept that fact that rene zellwegar who does give a good performance . 	with bad excuses for acting , a horrible screenplay and straight-out bad direction 'the bachelor' is a terribly unfunny movie that doesn't work on any levels accept that fact that rene zellwegar who does give a good performance .	2	-4	 with[0] bad[-1] excuses[0] for[0] acting[0] a[0] horrible[-3] screenplay[0] and[0] straight[0] out[0] bad[-1] direction[0] 'the[0] bachelor'[0] is[0] a[0] terribly[-3] unfunny[0] movie[0] that[0] doesn't[0] work[0] on[0] any[0] levels[0] accept[0] that[0] fact[0] that[0] rene[0] zellwegar[0] who[0] does[0] give[0] a[0] good[1] performance[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the two cameos by brooke shields and mariah carey are also good with brooke being the best . 	the two cameos by broke shields and mariah carey are also good with broke being the best .	2	-2	 the[0] two[0] cameos[0] by[0] brooke/broke[-1] shields[0] and[0] mariah[0] carey[0] are[0] also[0] good[1] with[0] brooke/broke[-1] being[0] the[0] best[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie is troubled from the start because chris o'donnell is hugely miscast and gives one of the worst performances to date . 	the movie is troubled from the start because chris o'donnell is hugely miscast and gives one of the worst performances to date .	1	-3	 the[0] movie[0] is[0] troubled[-1] from[0] the[0] start[0] because[0] chris[0] o'donnell[0] is[0] hugely[0] miscast[0] and[0] gives[0] one[0] of[0] the[0] worst[-2] performances[0] to[0] date[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
here is the stupid plot : chris o'donnell plays jimmie shelton a man who has just broken up with his girlfriend , he meets anne ( rene zellwegar ) they instantly hit it off and are together for three years . 	here is the stupid plot : chris o'donnell plays jimmie shelton a man who has just broken up with his girlfriend , he meets anne ( rene zellwegar ) they instantly hit it off and are together for three years .	2	-2	 here[0] is[0] the[0] stupid[-1] plot[0] chris[0] o'donnell[0] plays[1] jimmie[0] shelton[0] a[0] man[0] who[0] has[0] just[0] broken[-1][--1 LastWordBoosterStrength] up[0] with[0] his[0] girlfriend[0] he[0] meets[0] anne[0] rene[0] zellwegar[0] they[0] instantly[0] hit[0] it[0] off[0] and[0] are[0] together[0] for[0] three[0] years[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jimmie decides that he wants to bring their relationship a little bit up . 	jimmie decides that he wants to bring their relationship a little bit up .	1	-1	 jimmie[0] decides[0] that[0] he[0] wants[0] to[0] bring[0] their[0] relationship[0] a[0] little[0] bit[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he really doesn't realize that anne thinks he wants to marry her ( what he wants i never did catch ) . 	he really doesn't realize that anne thinks he wants to marry her ( what he wants i never did catch ) .	1	-1	 he[0] really[0] doesn't[0] realize[0] that[0] anne[0] thinks[0] he[0] wants[0] to[0] marry[0] her[0] what[0] he[0] wants[0] i[0] never[0] did[0] catch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so he proposes in a really bad way , and she shoots him down and is very mad . 	so he proposes in a really bad way , and she shoots him down and is very mad .	1	-3	 so[0] he[0] proposes[0] in[0] a[0] really[0] bad[-1][-1 LastWordBoosterStrength] way[0] and[0] she[0] shoots[-1] him[0] down[0] and[0] is[0] very[0] mad[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he of course tries to apologize but nothing seems to help any . 	he of course tries to apologize but nothing seems to help any .	1	-1	 he[0] of[0] course[0] tries[0] to[0] apologize[0] but[0] nothing[0] seems[0] to[0] help[0] any[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then his grandfather dies and he learns that he has left jimmie 100 million dollars . . . . as 	then his grandfather dies and he learns that he has left jimmie 100 million dollars .<br> .<br> .<br> .<br> as	1	-1	 then[0] his[0] grandfather[0] dies[0] and[0] he[0] learns[0] that[0] he[0] has[0] left[0] jimmie[0] 100[0] million[0] dollars[0] [[Sentence=-1,1=word max, 1-5]] as[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
long as he marries before the next day at 6 : 05 pm . 	long as he marries before the next day at 6 : 05 pm .	1	-1	 long[0] as[0] he[0] marries[0] before[0] the[0] next[0] day[0] at[0] 6[0] 05[0] pm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now jimmie must find anne and try to marry her to get the money and because he loves her , or get married to someone else to get the money itself , leading to an un-funny and predictable ending that leaves a bad taste in our mouths . 	now jimmie must find anne and try to marry her to get the money and because he loves her , or get married to someone else to get the money itself , leading to an un-funny and predictable ending that leaves a bad taste in our mouths .	3	-2	 now[0] jimmie[0] must[0] find[0] anne[0] and[0] try[0] to[0] marry[0] her[0] to[0] get[0] the[0] money[0] and[0] because[0] he[0] loves[2] her[0] or[0] get[0] married[0] to[0] someone[0] else[0] to[0] get[0] the[0] money[0] itself[0] leading[0] to[0] an[0] un[0] funny[1] and[0] predictable[0] ending[0] that[0] leaves[0] a[0] bad[-1] taste[0] in[0] our[0] mouths[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ok so maybe this could be one of the dumbest , cliched , silliest romantic comedy to date that has no real big laughs . 	ok so maybe this could be one of the dumbest , cliched , silliest romantic comedy to date that has no real big laughs .	4	-2	 ok[0] so[0] maybe[0] this[0] could[0] be[0] one[0] of[0] the[0] dumbest[-1] cliched[0] silliest[1] romantic[3] comedy[0] to[0] date[0] that[0] has[0] no[0] real[0] big[0] laughs[1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
even the supporting roles of artie lange , hal holbrook and ed anser aren't even good . 	even the supporting roles of artie lange , hal holbrook and ed anser aren't even good .	2	-2	 even[0] the[0] supporting[1] roles[0] of[0] artie[0] lange[0] hal[0] holbrook[0] and[0] ed[0] anser[0] aren't[0] even[0] good[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot was a good idea , but the script would have to have been written in less than five minutes and by a five year old . 	the plot was a good idea , but the script would have to have been written in less than five minutes and by a five year old .	2	-1	 the[0] plot[0] was[0] a[0] good[1] idea[0] but[0] the[0] script[0] would[0] have[0] to[0] have[0] been[0] written[0] in[0] less[0] than[0] five[0] minutes[0] and[0] by[0] a[0] five[0] year[0] old[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the choppy dialogue and bad directing don't help things any . 	the choppy dialogue and bad directing don't help things any .	1	-2	 the[0] choppy[0] dialogue[0] and[0] bad[-1] directing[0] don't[0] help[0] things[0] any[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even though chris o'donnell gave an ok performance in the two batman movies , he does not give even a remotely good or funny performance here and i wanted to boo and throw my pop at the screen to get rid of him . 	even though chris o'donnell gave an ok performance in the two batman movies , he does not give even a remotely good or funny performance here and i wanted to boo and throw my pop at the screen to get rid of him .	2	-2	 even[0] though[0] chris[0] o'donnell[0] gave[0] an[0] ok[0] performance[0] in[0] the[0] two[0] batman[0] movies[0] he[0] does[0] not[0] give[0] even[0] a[0] remotely[0] good[1] or[0] funny[1] performance[0] here[0] and[0] i[0] wanted[0] to[0] boo[0] and[0] throw[0] my[0] pop[0] at[0] the[0] screen[0] to[0] get[0] rid[-1] of[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rene zelweggar is a different story and gave a charming , sweet and likable performance ( as usual ) and really was the only thing that saved this confused movie from being a total huge washout . 	rene zelweggar is a different story and gave a charming , sweet and likable performance ( as usual ) and really was the only thing that saved this confused movie from being a total huge washout .	2	-2	 rene[0] zelweggar[0] is[0] a[0] different[0] story[0] and[0] gave[0] a[0] charming[1] sweet[1] and[0] likable[0] performance[0] as[0] usual[0] and[0] really[0] was[0] the[0] only[0] thing[0] that[0] saved[1] this[0] confused[-1] movie[0] from[0] being[0] a[0] total[0] huge[0] washout[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her sister played by marley shelton is also good and the two have good chemistry onscreen . 	her sister played by marley shelton is also good and the two have good chemistry onscreen .	2	-1	 her[0] sister[0] played[0] by[0] marley[0] shelton[0] is[0] also[0] good[1] and[0] the[0] two[0] have[0] good[1] chemistry[0] onscreen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
brooke shields showed up in a funny little performance as a big-headed mogul who after a while became routine and old . 	broke shields showed up in a funny little performance as a big-headed mogul who after a while became routine and old .	2	-2	 brooke/broke[-1] shields[0] showed[0] up[0] in[0] a[0] funny[1] little[0] performance[0] as[0] a[0] big[0] headed[0] mogul[0] who[0] after[0] a[0] while[0] became[0] routine[0] and[0] old[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one really can't help but think that we have seen this stuff before . 	one really can't help but think that we have seen this stuff before .	1	-1	 one[0] really[0] can't[0] help[0] but[0] think[0] that[0] we[0] have[0] seen[0] this[0] stuff[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not like this is an original idea and in the end , everyone knows what is going to happen due do its cliches and typicalness . 	it's not like this is an original idea and in the end , everyone knows what is going to happen due do its cliches and typicalness .	1	-2	 it's[0] not[0] like[1][NegatedDueToPreviousWord] this[0] is[0] an[0] original[0] idea[0] and[0] in[0] the[0] end[0] everyone[0] knows[0] what[0] is[0] going[0] to[0] happen[0] due[0] do[0] its[0] cliches[0] and[0] typicalness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
'the bachelor' works on no good levels and in fact doesn't work at all . 	'the bachelor' works on no good levels and in fact doesn't work at all .	2	-1	 'the[0] bachelor'[0] works[0] on[0] no[0] good[1] levels[0] and[0] in[0] fact[0] doesn't[0] work[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ed anser and hal holbrook were wasted in terrible roles and mariah carey can not act to save her soul , and this could be the only film of her movie career dispite her terrific music career . 	ed anser and hal holbrook were wasted in terrible roles and mariah carey can not act to save her soul , and this could be the only film of her movie career dispite her terrific music career .	4	-4	 ed[0] anser[0] and[0] hal[0] holbrook[0] were[0] wasted[-1] in[0] terrible[-3] roles[0] and[0] mariah[0] carey[0] can[0] not[0] act[0] to[0] save[1] her[0] soul[0] and[0] this[0] could[0] be[0] the[0] only[0] film[0] of[0] her[0] movie[0] career[0] dispite[0] her[0] terrific[3] music[0] career[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
chris o'donnell is not as bad an actor as casper van dien but that is not saying a great deal . 	chris o'donnell is not as bad an actor as casper van dien but that is not saying a great deal .	3	-1	 chris[0] o'donnell[0] is[0] not[0] as[0] bad[-1][NegatedDueToPreviousWord] an[0] actor[0] as[0] casper[0] van[0] dien[0] but[0] that[0] is[0] not[0] saying[0] a[0] great[2] deal[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he seems held back and really doesn't get into his character much and after even the first 30 minutes gets annoying and old . 	he seems held back and really doesn't get into his character much and after even the first 30 minutes gets annoying and old .	1	-3	 he[0] seems[0] held[0] back[0] and[0] really[0] doesn't[0] get[0] into[0] his[0] character[0] much[0] and[0] after[0] even[0] the[0] first[0] 30[0] minutes[0] gets[0] annoying[-2] and[0] old[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
artie lange just to me seems like he is trying to another chris farley and was completely unfunny and un-nerving . 	artie lange just to me seems like he is trying to another chris farley and was completely unfunny and un-nerving .	2	-1	 artie[0] lange[0] just[0] to[0] me[0] seems[0] like[1] he[0] is[0] trying[0] to[0] another[0] chris[0] farley[0] and[0] was[0] completely[0] unfunny[0] and[0] un[0] nerving[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
why the filmmakers would want to waste such a cast in such a bad movie , with such bad acting and dialogue is a question only they will know . 	why the filmmakers would want to waste such a cast in such a bad movie , with such bad acting and dialogue is a question only they will know .	1	-2	 why[0] the[0] filmmakers[0] would[0] want[0] to[0] waste[-1] such[0] a[0] cast[0] in[0] such[0] a[0] bad[-1] movie[0] with[0] such[0] bad[-1] acting[0] and[0] dialogue[0] is[0] a[0] question[0] only[0] they[0] will[0] know[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe they thought it would become a hit or a critical success , and sometimes i don't agree with other critics on movies , even from the trailers for this film they made it look bad and showed all the mildly funny parts . 	maybe they thought it would become a hit or a critical success , and sometimes i don't agree with other critics on movies , even from the trailers for this film they made it look bad and showed all the mildly funny parts .	3	-2	 maybe[0] they[0] thought[0] it[0] would[0] become[0] a[0] hit[0] or[0] a[0] critical[-1] success[2] and[0] sometimes[0] i[0] don't[0] agree[0] with[0] other[0] critics[0] on[0] movies[0] even[0] from[0] the[0] trailers[0] for[0] this[0] film[0] they[0] made[0] it[0] look[0] bad[-1] and[0] showed[0] all[0] the[0] mildly[0] funny[1] parts[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
