what would you do if no one could see you ? 	Translation	Positive	Negative	EmotionRationale
well , if you're a super smart bio-molecular research scientist working for the military , you'd grope a co-worker and rough-up your neighbor from across the street . 	well , if you're a super smart bio-molecular research scientist working for the military , you'd grope a co-worker and rough-up your neighbor from across the street .	3	-2	 well[0] if[0] you're[0] a[0] super[2] smart[1] bio[0] molecular[0] research[0] scientist[0] working[0] for[0] the[0] military[0] you'd[0] grope[0] a[0] co[0] worker[0] and[0] rough[-1] up[0] your[0] neighbor[0] from[0] across[0] the[0] street[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that's right . 	that's right .	1	-1	 that's[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of all the non-criminal possibilities brought about by rendering oneself invisible , in " hollow man " kevin bacon's character opts to commit sex crimes . 	of all the non-criminal possibilities brought about by rendering oneself invisible , in " hollow man " kevin bacon's character opts to commit sex crimes .	1	-2	 of[0] all[0] the[0] non[0] criminal[-1] possibilities[0] brought[0] about[0] by[0] rendering[0] oneself[0] invisible[-1] in[0] hollow[-1] man[0] kevin[0] bacon's[0] character[0] opts[0] to[0] commit[0] sex[0] crimes[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
er , it's kevin bacon who plays the super smart military bio-molecular research scientist ? 	er , it's kevin bacon who plays the super smart military bio-molecular research scientist ?	3	-1	 er[0] it's[0] kevin[0] bacon[0] who[0] plays[1] the[0] super[2] smart[1] military[0] bio[0] molecular[0] research[0] scientist[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
something sounds horribly wrong already . 	something sounds horribly wrong already .	1	-4	 something[0] sounds[0] horribly[-3] wrong[-1] already[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but this is a paul verhoeven film , and the sleazepin director of such open-crotch classics as " basic instinct " and the infamous " showgirls " never lets a little credibility get in the way of his voyeuristic tendencies which , when you come right down to it , is all this film is about . 	but this is a paul verhoeven film , and the sleazepin director of such open-crotch classics as " basic instinct " and the infamous " showgirls " never lets a little credibility get in the way of his voyeuristic tendencies which , when you come right down to it , is all this film is about .	1	-3	 but[0] this[0] is[0] a[0] paul[0] verhoeven[0] film[0] and[0] the[0] sleazepin[-2] director[0] of[0] such[0] open[0] crotch[0] classics[0] as[0] basic[0] instinct[0] and[0] the[0] infamous[-1] showgirls[0] never[0] lets[0] a[0] little[0] credibility[0] get[0] in[0] the[0] way[0] of[0] his[0] voyeuristic[0] tendencies[0] which[0] when[0] you[0] come[0] right[0] down[0] to[0] it[0] is[0] all[0] this[0] film[0] is[0] about[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " hollow man " features a string of hapless , c-list actors ( among them bacon , elisabeth shue , josh brolin , and kim dickens ) in a grade-z plot with a lot of special effects that , frankly , don't look much better than those used in the 1933 version of " the invisible man . " 	 " hollow man " features a string of hapless , c-list actors ( among them bacon , elisabeth shue , josh brolin , and kim dickens ) in a grade-z plot with a lot of special effects that , frankly , don't look much better than those used in the 1933 version of " the invisible man .<br> "	2	-2	 hollow[-1] man[0] features[0] a[0] string[0] of[0] hapless[-1] c[0] list[0] actors[0] among[0] them[0] bacon[0] elisabeth[0] shue[0] josh[0] brolin[0] and[0] kim[0] dickens[0] in[0] a[0] grade[0] z[0] plot[0] with[0] a[0] lot[0] of[0] special[1] effects[0] that[0] frankly[0] don't[0] look[0] much[0] better[0] than[0] those[0] used[0] in[0] the[0] 1933[0] version[0] of[0] the[0] invisible[-1] man[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oh bacon glistens when he gets wet all right and looks like a rather fatty side of cheap flank steak when he's attempting reentry but otherwise it's lots of " thermal " shots and inanimate objects ( elisabeth shue included ) bobbing around without any visible signs of support . 	oh bacon glistens when he gets wet all right and looks like a rather fatty side of cheap flank steak when he's attempting reentry but otherwise it's lots of " thermal " shots and inanimate objects ( elisabeth shue included ) bobbing around without any visible signs of support .	2	-2	 oh[0] bacon[0] glistens[0] when[0] he[0] gets[0] wet[0] all[0] right[0] and[0] looks[0] like[1] a[0] rather[0] fatty[-1] side[0] of[0] cheap[-1] flank[0] steak[0] when[0] he's[0] attempting[0] reentry[0] but[0] otherwise[0] it's[0] lots[0] of[0] thermal[0] shots[0] and[0] inanimate[0] objects[0] elisabeth[0] shue[0] included[0] bobbing[0] around[0] without[0] any[0] visible[0] signs[0] of[0] support[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
since invisibility , once achieved , isn't much of an effect ( the actors spend half their time conversing with nobody and the other half of their time talking to each other--it amounts to much of a muchness ) , the director elects to wardrobe all of his female protagonists in loosely-buttoned sweaters so that the minute bacon's character gets invisible he can head straight for them . 	since invisibility , once achieved , isn't much of an effect ( the actors spend half their time conversing with nobody and the other half of their time talking to each other-it amounts to much of a muchness ) , the director elects to wardrobe all of his female protagonists in loosely-buttoned sweaters so that the minute bacon's character gets invisible he can head straight for them .	1	-2	 since[0] invisibility[0] once[0] achieved[0] isn't[0] much[0] of[0] an[0] effect[0] the[0] actors[0] spend[0] half[0] their[0] time[0] conversing[0] with[0] nobody[0] and[0] the[0] other[0] half[0] of[0] their[0] time[0] talking[0] to[0] each[0] other[0] it[0] amounts[0] to[0] much[0] of[0] a[0] muchness[0] the[0] director[0] elects[0] to[0] wardrobe[0] all[0] of[0] his[0] female[0] protagonists[0] in[0] loosely[0] buttoned[0] sweaters[0] so[0] that[0] the[0] minute[0] bacon's[0] character[0] gets[0] invisible[-1] he[0] can[0] head[0] straight[0] for[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's as if that fascinating concept--what would you do if no one could see you ? --is 	it's as if that fascinating concept-what would you do if no one could see you ?<br> -is	1	-1	 it's[0] as[0] if[0] that[0] fascinating[0] concept[0] what[0] would[0] you[0] do[0] if[0] no[0] one[0] could[0] see[0] you[0] [[Sentence=-1,1=word max, 1-5]] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simply a verhoeven ploy to show some skin . 	simply a verhoeven ploy to show some skin .	1	-1	 simply[0] a[0] verhoeven[0] ploy[0] to[0] show[0] some[0] skin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a horror film , " hollow man " is unsophisticated and disturbing ( in its intent , not its achievements ) and not worth your time or your hard-earned dollars . 	as a horror film , " hollow man " is unsophisticated and disturbing ( in its intent , not its achievements ) and not worth your time or your hard-earned dollars .	1	-4	 as[0] a[0] horror[-3] film[0] hollow[-1] man[0] is[0] unsophisticated[0] and[0] disturbing[-1] in[0] its[0] intent[0] not[0] its[0] achievements[0] and[0] not[0] worth[0] your[0] time[0] or[0] your[0] hard[0] earned[0] dollars[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's minor verhoeven--and even that's not saying much--and boy is it hollow . 	it's minor verhoeven-and even that's not saying much-and boy is it hollow .	1	-2	 it's[0] minor[0] verhoeven[0] and[0] even[0] that's[0] not[0] saying[0] much[0] and[0] boy[0] is[0] it[0] hollow[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
