a backdrop of new year's eve in 1981 would seem to lend itself to a great party movie . 	Translation	Positive	Negative	EmotionRationale
the decor possibilities are endless - disco balls had yet to migrate into the dark corners of the attic , big hair was worth its weight in aquanet , and the louder the fashion , the better the look . 	the decor possibilities are endless - disco balls had yet to migrate into the dark corners of the attic , big hair was worth its weight in aquanet , and the louder the fashion , the better the look .	1	-1	 the[0] decor[0] possibilities[0] are[0] endless[0] disco[0] balls[0] had[0] yet[0] to[0] migrate[0] into[0] the[0] dark[0] corners[0] of[0] the[0] attic[0] big[0] hair[0] was[0] worth[0] its[0] weight[0] in[0] aquanet[0] and[0] the[0] louder[0] the[0] fashion[0] the[0] better[0] the[0] look[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but despite this setting , these details and a soundtrack that includes some 40-plus irresistible hits from the early days of the me decade , something is inherently wrong with " 200 cigarettes . " 	but despite this setting , these details and a soundtrack that includes some 40-plus irresistible hits from the early days of the me decade , something is inherently wrong with " 200 cigarettes .<br> "	1	-2	 but[0] despite[0] this[0] setting[0] these[0] details[0] and[0] a[0] soundtrack[0] that[0] includes[0] some[0] 40[0] plus[0] irresistible[0] hits[0] from[0] the[0] early[0] days[0] of[0] the[0] me[0] decade[0] something[0] is[0] inherently[0] wrong[-1] with[0] 200[0] cigarettes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a better title for this nostalgic mess would be " 50 missed opportunities . " 	a better title for this nostalgic mess would be " 50 missed opportunities .<br> "	1	-2	 a[0] better[0] title[0] for[0] this[0] nostalgic[0] mess[0] would[0] be[0] 50[0] missed[-1] opportunities[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what is it that makes this retro-comedy such a downer ? 	what is it that makes this retro-comedy such a downer ?	1	-1	 what[0] is[0] it[0] that[0] makes[0] this[0] retro[0] comedy[0] such[0] a[0] downer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's certainly not the cast , which includes enough hot , young talent for several movies . 	it's certainly not the cast , which includes enough hot , young talent for several movies .	2	-1	 it's[0] certainly[0] not[0] the[0] cast[0] which[0] includes[0] enough[0] hot[0] young[0] talent[1] for[0] several[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's courtney love , cementing her reputation as a serious actress ; christina ricci , hot off her shoulda-been-nominated turn in " the opposite of sex " ; paul rudd , who gets even more appealing with every role ; kate hudson , inheriting some fine acting genes from mom goldie hawn ; and affleck brothers ben and casey , two of the best things about " good will hunting . " 	there's courtney love , cementing her reputation as a serious actress ; christina ricci , hot off her shoulda-been-nominated turn in " the opposite of sex " ; paul rudd , who gets even more appealing with every role ; kate hudson , inheriting some fine acting genes from mom goldie hawn ; and affleck brothers ben and casey , two of the best things about " good will hunting .<br> "	3	-2	 there's[0] courtney[0] love[2] cementing[0] her[0] reputation[0] as[0] a[0] serious[-1] actress[0] christina[0] ricci[0] hot[0] off[0] her[0] shoulda[0] been[0] nominated[0] turn[0] in[0] the[0] opposite[0] of[0] sex[0] paul[0] rudd[0] who[0] gets[0] even[0] more[0] appealing[0] with[0] every[0] role[0] kate[0] hudson[0] inheriting[0] some[0] fine[2][-1 LastWordBoosterStrength] acting[0] genes[0] from[0] mom[0] goldie[0] hawn[0] and[0] affleck[0] brothers[0] ben[0] and[0] casey[0] two[0] of[0] the[0] best[1] things[0] about[0] good[1] will[0] hunting[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
perhaps the question is this : what drew these and other immensely talented actors to such a dreary project ? 	perhaps the question is this : what drew these and other immensely talented actors to such a dreary project ?	2	-2	 perhaps[0] the[0] question[0] is[0] this[0] what[0] drew[0] these[0] and[0] other[0] immensely[0] talented[1] actors[0] to[0] such[0] a[0] dreary[-1] project[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
maybe it looked good on paper . 	maybe it looked good on paper .	2	-1	 maybe[0] it[0] looked[0] good[1] on[0] paper[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " 200 cigarettes " is composed of a series of vignettes , as various characters make their way through new york's festively decorated east village to a holiday bash thrown by a jittery bundle of nerves named monica ( martha plimpton , all dressed up in her best cyndi lauper ) . 	 " 200 cigarettes " is composed of a series of vignettes , as various characters make their way through new york's festively decorated east village to a holiday bash thrown by a jittery bundle of nerves named monica ( martha plimpton , all dressed up in her best cyndi lauper ) .	2	-2	 200[0] cigarettes[0] is[0] composed[0] of[0] a[0] series[0] of[0] vignettes[0] as[0] various[0] characters[0] make[0] their[0] way[0] through[0] new[0] york's[0] festively[0] decorated[0] east[0] village[0] to[0] a[0] holiday[0] bash[0] thrown[0] by[0] a[0] jittery[-1] bundle[0] of[0] nerves[0] named[0] monica[0] martha[0] plimpton[0] all[0] dressed[0] up[0] in[0] her[0] best[1] cyndi[0] lauper[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
among the potential guests are likeable cad kevin ( rudd ) and his best friend lucy ( love ) , busy bickering over his recent break-up , and a clumsy but seemingly charming bartender ( ben affleck ) who opens his mouth only to spew forth bad pick-up lines . 	among the potential guests are likeable cad kevin ( rudd ) and his best friend lucy ( love ) , busy bickering over his recent break-up , and a clumsy but seemingly charming bartender ( ben affleck ) who opens his mouth only to spew forth bad pick-up lines .	3	-2	 among[0] the[0] potential[0] guests[0] are[0] likeable[2] cad[0] kevin[0] rudd[0] and[0] his[0] best[1] friend[1] lucy[0] love[2] busy[0] bickering[0] over[0] his[0] recent[0] break[0] up[0] and[0] a[0] clumsy[-1] but[0] seemingly[0] charming[1] bartender[0] ben[0] affleck[0] who[0] opens[0] his[0] mouth[0] only[0] to[0] spew[-1] forth[0] bad[-1] pick[0] up[0] lines[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
