phew , what a mess ! 	Translation	Positive	Negative	EmotionRationale
for his fifth collaboration with director rich- ard donner ( lethal weapon i-iii , maverick ) , mel gibson plays a motormouth , maybe mentally ill new york city cabbie , jerry , whose wild conspiracy theories are all but ignored by alice ( julia roberts , acting all serious ) , the justice department employee that he has a crush on . 	for his fifth collaboration with director rich- ard donner ( lethal weapon i-i , maverick ) , mel gibson plays a motormouth , maybe mentally ill new york city cabbie , jerry , whose wild conspiracy theories are all but ignored by alice ( julia roberts , acting all serious ) , the justice department employee that he has a crush on .	2	-2	 for[0] his[0] fifth[0] collaboration[0] with[0] director[0] rich[0] ard[0] donner[0] lethal[0] weapon[-1] i[0] iii/i[0][+0.6 MultipleLetters] maverick[0] mel[0] gibson[0] plays[1] a[0] motormouth[0] maybe[0] mentally[0] ill[-1] new[0] york[0] city[0] cabbie[0] jerry[0] whose[0] wild[0] conspiracy[-1] theories[0] are[0] all[0] but[0] ignored[0] by[0] alice[0] julia[0] roberts[0] acting[0] all[0] serious[-1] the[0] justice[0] department[0] employee[0] that[0] he[0] has[0] a[0] crush[-1] on[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she not interested , but another person is : a cia psychiatrist ( patrick stewart ) who promptly kidnaps him . 	she not interested , but another person is : a cia psychiatrist ( patrick stewart ) who promptly kidnaps him .	1	-2	 she[0] not[0] interested[1][NegatedDueToPreviousWord] but[0] another[0] person[0] is[0] a[0] cia[0] psychiatrist[0] patrick[0] stewart[0] who[0] promptly[0] kidnaps[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is one of jerry's conjectures correct ? 	is one of jerry's conjectures correct ?	1	-1	 is[0] one[0] of[0] jerry's[0] conjectures[0] correct[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * is * the metal strip in the new  100 bill being used to track your movements ? 	 * is * the metal strip in the new  100 bill being used to track your movements ?	1	-1	 is[0] the[0] metal[0] strip[0] in[0] the[0] new[0] 100[0] bill[0] being[0] used[0] to[0] track[0] your[0] movements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is oliver stone still alive , because he cut a deal with george bush to spread * dis * information ? 	is oliver stone still alive , because he cut a deal with george bush to spread * dis * information ?	1	-1	 is[0] oliver[0] stone[0] still[0] alive[0] because[0] he[0] cut[0] a[0] deal[0] with[0] george[0] bush[0] to[0] spread[0] dis[0] information[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is this movie really about * any * of the crazed cabbie's theories ? 	is this movie really about * any * of the crazed cabbie's theories ?	1	-1	 is[0] this[0] movie[0] really[0] about[0] any[0] of[0] the[0] crazed[0] cabbie's[0] theories[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , no , and no . 	no , no , and no .	1	-1	 no[0] no[0] and[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as it turns out , there's some other nonsense going on here , involving and revolving around jerry's background . 	as it turns out , there's some other nonsense going on here , involving and revolving around jerry's background .	1	-2	 as[0] it[0] turns[0] out[0] there's[0] some[0] other[0] nonsense[-1] going[0] on[0] here[0] involving[0] and[0] revolving[0] around[0] jerry's[0] background[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( hint : pay attention to an early scene where jerry blacks out and flashes back , in quick succession , to images of an interrogation room , hypodermic needles , and ms . roberts herself . ) 	 ( hint : pay attention to an early scene where jerry blacks out and flashes back , in quick succession , to images of an interrogation room , hypodermic needles , and ms .<br> roberts herself .<br> )	3	-1	 hint[0] pay[0] attention[0] to[0] an[0] early[0] scene[0] where[0] jerry[0] blacks[0] out[0] and[0] flashes[0] back[0] in[0] quick[0] succession[2] to[0] images[0] of[0] an[0] interrogation[0] room[0] hypodermic[0] needles[0] and[0] ms[0] [[Sentence=-1,3=word max, 1-5]] roberts[0] herself[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the * initial * premise is pretty good and is played , for a while , at a delightfully dizzying clip . 	the * initial * premise is pretty good and is played , for a while , at a delightfully dizying clip .	3	-1	 the[0] initial[0] premise[0] is[0] pretty[2] good[1] and[0] is[0] played[0] for[0] a[0] while[0] at[0] a[0] delightfully[2] dizzying/dizying[0] clip[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
