i saw this film on christmas day expecting an upbeat comedy . 	Translation	Positive	Negative	EmotionRationale
boy was i in for a christmas dissapointment ! 	boy was i in for a christmas dissapointment !	1	-1	 boy[0] was[0] i[0] in[0] for[0] a[0] christmas[0] dissapointment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after an hour of the movie , i was ready to change rooms-into another theater ! 	after an hour of the movie , i was ready to change rooms-into another theater !	1	-1	 after[0] an[0] hour[0] of[0] the[0] movie[0] i[0] was[0] ready[0] to[0] change[0] rooms[0] into[0] another[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
read on to see what i have to say . . . . 	read on to see what i have to say .<br> .<br> .<br> .	1	-1	 read[0] on[0] to[0] see[0] what[0] i[0] have[0] to[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
four rooms : 	four rooms :	1	-1	 four[0] rooms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starring : tim roth , jennifer beals , antonio banderas , quentin tarantino , valeria golino , madonna , bruce willis , marisa tomei , alicia witt , lili taylor , and ione skye . 	starring : tim roth , jennifer beals , antonio banderas , quentin tarantino , valeria golino , madonna , bruce willis , marisa tomei , alicia wit , lili taylor , and ione skye .	1	-1	 starring[0] tim[0] roth[0] jennifer[0] beals[0] antonio[0] banderas[0] quentin[0] tarantino[0] valeria[0] golino[0] madonna[0] bruce[0] willis[0] marisa[0] tomei[0] alicia[0] witt/wit[0] lili[0] taylor[0] and[0] ione[0] skye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
possible stars ) 	possible stars )	1	-1	 possible[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " four rooms " was supposed to be one of the biggest hits of the year . 	 " four rooms " was supposed to be one of the biggest hits of the year .	1	-1	 four[0] rooms[0] was[0] supposed[0] to[0] be[0] one[0] of[0] the[0] biggest[0] hits[0] of[0] the[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
key word here : " supposed . " 	key word here : " supposed .<br> "	1	-1	 key[0] word[0] here[0] supposed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
four of the biggest directors in hollywood : quentin tarantino , robert rodriguez , alexander rockwell , and alison anders were all directing one big film with a big and popular cast . 	four of the biggest directors in hollywood : quentin tarantino , robert rodriguez , alexander rockwell , and alison anders were all directing one big film with a big and popular cast .	1	-1	 four[0] of[0] the[0] biggest[0] directors[0] in[0] hollywood[0] quentin[0] tarantino[0] robert[0] rodriguez[0] alexander[0] rockwell[0] and[0] alison[0] anders[0] were[0] all[0] directing[0] one[0] big[0] film[0] with[0] a[0] big[0] and[0] popular[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i guess it was all just too much because this turned out to be the biggest flop of the year and it could of been great . 	i guess it was all just too much because this turned out to be the biggest flop of the year and it could of been great .	3	-1	 i[0] guess[0] it[0] was[0] all[0] just[0] too[0] much[0] because[0] this[0] turned[0] out[0] to[0] be[0] the[0] biggest[0] flop[0] of[0] the[0] year[0] and[0] it[0] could[0] of[0] been[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
