synopsis : in " sooner than you think " america , the future of law enforcement resides in blade squad , a ragtag group of culturally diverse rollerblading cops with jetpacks strapped on their backs . 	Translation	Positive	Negative	EmotionRationale
a dangerous criminal , however , attempts to destroy blade squad after his brother dies while being chased by them . 	a dangerous criminal , however , attempts to destroy blade squad after his brother dies while being chased by them .	1	-3	 a[0] dangerous[-1] criminal[-1] however[0] attempts[0] to[0] destroy[-2] blade[0] squad[0] after[0] his[0] brother[0] dies[0] while[0] being[0] chased[-1] by[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
comments : so , what do an ex-gangbanger turned insubordinate traffic cop , a former prostitute with a substance abuse problem , and a junkie turned dennis rodman wannabe turned cop who crashed four police cruisers all have in common ? 	comments : so , what do an ex-gangbanger turned insubordinate traffic cop , a former prostitute with a substance abuse problem , and a junkie turned dennis rodman wannabe turned cop who crashed four police cruisers all have in common ?	1	-4	 comments[0] so[0] what[0] do[0] an[0] ex[0] gangbanger[0] turned[0] insubordinate[0] traffic[0] cop[0] a[0] former[0] prostitute[0] with[0] a[0] substance[0] abuse[-3] problem[-1] and[0] a[0] junkie[0] turned[0] dennis[0] rodman[0] wannabe[0] turned[0] cop[0] who[0] crashed[0] four[0] police[0] cruisers[0] all[0] have[0] in[0] common[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
why , they're all members of blade squad , an elite new crimefighting unit wearing black uniforms , rollerblades , and jetpacks ! 	why , they're all members of blade squad , an elite new crimefighting unit wearing black uniforms , rollerblades , and jetpacks !	1	-2	 why[0] they're[0] all[0] members[0] of[0] blade[0] squad[0] an[0] elite[0] new[0] crimefighting[-1] unit[0] wearing[0] black[0] uniforms[0] rollerblades[0] and[0] jetpacks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they also carry video cameras so they can communicate with one another a la the marines in james cameron's aliens . 	they also carry video cameras so they can communicate with one another a la the marines in james cameron's aliens .	1	-1	 they[0] also[0] carry[0] video[0] cameras[0] so[0] they[0] can[0] communicate[0] with[0] one[0] another[0] a[0] la[0] the[0] marines[0] in[0] james[0] cameron's[0] aliens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , it's blade squad , the fox network's wednesday night movie of the week . 	yes , it's blade squad , the fox network's wednesday night movie of the week .	1	-1	 yes[0] it's[0] blade[0] squad[0] the[0] fox[0] network's[0] wednesday[0] night[0] movie[0] of[0] the[0] week[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this " movie , " marking its dubious world premiere today , curiously has a number of guest stars . 	this " movie , " marking its dubious world premiere today , curiously has a number of guest stars .	1	-2	 this[0] movie[0] marking[0] its[0] dubious[-1] world[0] premiere[0] today[0] curiously[0] has[0] a[0] number[0] of[0] guest[0] stars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " how can a movie have guest stars ? " 	 " how can a movie have guest stars ?<br> "	1	-1	 how[0] can[0] a[0] movie[0] have[0] guest[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you may ask . 	you may ask .	1	-1	 you[0] may[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , blade squad is not really a movie so to speak but a 2 hour pilot for a possible tv series packaged as a movie . 	well , blade squad is not really a movie so to speak but a 2 hour pilot for a possible tv series packaged as a movie .	1	-1	 well[0] blade[0] squad[0] is[0] not[0] really[0] a[0] movie[0] so[0] to[0] speak[0] but[0] a[0] 2[0] hour[0] pilot[0] for[0] a[0] possible[0] tv[0] series[0] packaged[0] as[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blade squad is dumb . 	blade squad is dumb .	1	-2	 blade[0] squad[0] is[0] dumb[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
blade squad is loud . 	blade squad is loud .	1	-1	 blade[0] squad[0] is[0] loud[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blade squad is obnoxious . 	blade squad is obnoxious .	1	-3	 blade[0] squad[0] is[0] obnoxious[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
blade squad will probably be a ratings hit and spawn a long-lived tv series . 	blade squad will probably be a ratings hit and spawn a long-lived tv series .	1	-1	 blade[0] squad[0] will[0] probably[0] be[0] a[0] ratings[0] hit[0] and[0] spawn[0] a[0] long[0] lived[0] tv[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why not ? 	why not ?	1	-1	 why[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after all , television has given its audience crimefighters with talking cars ( " knight rider " ) , fast helicopters ( " airwolf " ) , and super fast motorcycles ( " street hawk " ) , and viewers have eaten it up in the past . 	after all , television has given its audience crimefighters with talking cars ( " knight rider " ) , fast helicopters ( " airwolf " ) , and super fast motorcycles ( " street hawk " ) , and viewers have eaten it up in the past .	3	-2	 after[0] all[0] television[0] has[0] given[0] its[0] audience[0] crimefighters[-1] with[0] talking[0] cars[0] knight[0] rider[0] fast[0] helicopters[0] airwolf[0] and[0] super[2] fast[0] motorcycles[0] street[0] hawk[0] and[0] viewers[0] have[0] eaten[0] it[0] up[0] in[0] the[0] past[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so , why not crimefighters with jet-powered roller blades ? 	so , why not crimefighters with jet-powered roller blades ?	2	-1	 so[0] why[0] not[0] crimefighters[-1][NegatedDueToPreviousWord] with[0] jet[0] powered[0] roller[0] blades[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
