if i were to plot a graph of year against movie-plot-ridiculity for = hollywood movies , you'll probably see a line with constant gradient . 	Translation	Positive	Negative	EmotionRationale
  now , if i were to plot that same graph for the movies that the michael   bay/jerry bruckheimer has made over the last 4 years , that line would be   exponential in growth . 	  now , if i were to plot that same graph for the movies that the michael   bay/jerry bruckheimer has made over the last 4 years , that line would be   exponential in growth .	1	-1	 now[0] if[0] i[0] were[0] to[0] plot[0] that[0] same[0] graph[0] for[0] the[0] movies[0] that[0] the[0] michael[0] bay/jerry[0] bruckheimer[0] has[0] made[0] over[0] the[0] last[0] 4[0] years[0] that[0] line[0] would[0] be[0] exponential[0] in[0] growth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the team started out with the will smith vehicle   bad boys which was no more than a 2hr long action-music-video ,   nevertheless entertaining . 	the team started out with the will smith vehicle   bad boys which was no more than a 2hr long action-music-video ,   nevertheless entertaining .	1	-2	 the[0] team[0] started[0] out[0] with[0] the[0] will[0] smith[0] vehicle[0] bad[-1] boys[0] which[0] was[0] no[0] more[0] than[0] a[0] 2hr[0] long[0] action[0] music[0] video[0] nevertheless[0] entertaining[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then came the rock , where audiences flocked   to see nicholas cage team up with sean connery against some terrorizing   general fighting over some stupid cause . 	then came the rock , where audiences flocked   to see nicholas cage team up with sean connery against some terrorizing   general fighting over some stupid cause .	2	-3	 then[0] came[0] the[0] rock[1] where[0] audiences[0] flocked[0] to[0] see[0] nicholas[0] cage[0] team[0] up[0] with[0] sean[0] connery[0] against[-1] some[0] terrorizing[-2][--1 LastWordBoosterStrength] general[0] fighting[-2] over[0] some[0] stupid[-1][--1 LastWordBoosterStrength] cause[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
con-air was ridiculousy dumb in   its premise but it did have fun moments , and who can forget the nursery   rhyme sang by that psycho killer played by steve buscemi . 	con-air was ridiculousy dumb in   its premise but it did have fun moments , and who can forget the nursery   rhyme sang by that psycho killer played by steve buscemi .	2	-3	 con[0] air[0] was[0] ridiculousy[-2] dumb[-1] in[0] its[0] premise[0] but[0] it[0] did[0] have[0] fun[1] moments[0] and[0] who[0] can[0] forget[0] the[0] nursery[0] rhyme[0] sang[0] by[0] that[0] psycho[0] killer[-1] played[0] by[0] steve[0] buscemi[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
while these   movies worked because there was something better to cover-up the dirt ,   armageddon does not . 	while these   movies worked because there was something better to cover-up the dirt ,   armageddon does not .	1	-2	 while[0] these[0] movies[0] worked[0] because[0] there[0] was[0] something[0] better[0] to[0] cover[0] up[0] the[0] dirt[-1] armageddon[0] does[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
very much like deep impact , a meteor is heading towards earth and they   didn't realize it until 18 days from impact . 	very much like deep impact , a meteor is heading towards earth and they   didn't realize it until 18 days from impact .	2	-1	 very[0] much[0] like[1] deep[0] impact[0] a[0] meteor[0] is[0] heading[0] towards[0] earth[0] and[0] they[0] didn't[0] realize[0] it[0] until[0] 18[0] days[0] from[0] impact[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
deep impact settled with   the modest meteor size as large as the city of new york but armageddon   just had to be bigger . . . . well 	deep impact settled with   the modest meteor size as large as the city of new york but armageddon   just had to be bigger .<br> .<br> .<br> .<br> well	1	-1	 deep[0] impact[0] settled[0] with[0] the[0] modest[0] meteor[0] size[0] as[0] large[0] as[0] the[0] city[0] of[0] new[0] york[0] but[0] armageddon[0] just[0] had[0] to[0] be[0] bigger[0] [[Sentence=-1,1=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
about the size of texas ( that kinda meteor   whould probably knock earth out of its orbit ! ) . 	about the size of texas ( that kinda meteor   whould probably knock earth out of its orbit !<br> ) .	1	-1	 about[0] the[0] size[0] of[0] texas[0] that[0] kinda[0] meteor[0] whould[0] probably[0] knock[0] earth[0] out[0] of[0] its[0] orbit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the panic of this   sighting spurs the idea of landing people on the meteor , drill it then   nuke it ( sounds familiar ) and who better to do such a job than harry   stamper ( bruce willis ) , your very own oil-driller extraordinaire and   his team of macho-misfits , nursing the tagline  there ain't nothin' on   this planet that harry can't drill ! ' . 	the panic of this   sighting spurs the idea of landing people on the meteor , drill it then   nuke it ( sounds familiar ) and who better to do such a job than harry   stamper ( bruce willis ) , your very own oil-driller extraordinaire and   his team of macho-misfits , nursing the tagline  there ain't nothin' on   this planet that harry can't drill !<br> ' .	1	-3	 the[0] panic[-2] of[0] this[0] sighting[0] spurs[0] the[0] idea[0] of[0] landing[0] people[0] on[0] the[0] meteor[0] drill[0] it[0] then[0] nuke[0] it[0] sounds[0] familiar[0] and[0] who[0] better[0] to[0] do[0] such[0] a[0] job[0] than[0] harry[0] stamper[0] bruce[0] willis[0] your[0] very[0] own[0] oil[0] driller[0] extraordinaire[0] and[0] his[0] team[0] of[0] macho[0] misfits[0] nursing[0] the[0] tagline[0] there[0] ain't[0] nothin'[0] on[0] this[0] planet[0] that[0] harry[0] can't[0] drill[0] [[Sentence=-3,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
in that 18 days , harry's group was   split into 2 teams , trained for deep-space flight and finally blasted   into space in with special drilling vehicles on 2 new space shuttles . 	in that 18 days , harry's group was   split into 2 teams , trained for deep-space flight and finally blasted   into space in with special drilling vehicles on 2 new space shuttles .	2	-1	 in[0] that[0] 18[0] days[0] harry's[0] group[0] was[0] split[0] into[0] 2[0] teams[0] trained[0] for[0] deep[0] space[0] flight[0] and[0] finally[0] blasted[0] into[0] space[0] in[0] with[0] special[1] drilling[0] vehicles[0] on[0] 2[0] new[0] space[0] shuttles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the main relationship drama of armageddon is formed within the   relationship of harry , a . j . 	the main relationship drama of armageddon is formed within the   relationship of harry , a .<br> j .	1	-1	 the[0] main[0] relationship[0] drama[0] of[0] armageddon[0] is[0] formed[0] within[0] the[0] relationship[0] of[0] harry[0] a[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and grace . 	and grace .	3	-1	 and[0] grace[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to give you an idea , a . j . 	to give you an idea , a .<br> j .	1	-1	 to[0] give[0] you[0] an[0] idea[0] a[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
works   for harry , and loves grace , harry's daughter . 	works   for harry , and loves grace , harry's daughter .	4	-1	 works[0] for[0] harry[0] and[0] loves[2] grace[2][+1 MultiplePositiveWords] harry's[0] daughter[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the problem is , harry   hates to see his daughter hanging around some scruffy grunt like himself   for the rest of her life . 	the problem is , harry   hates to see his daughter hanging around some scruffy grunt like himself   for the rest of her life .	2	-4	 the[0] problem[-1] is[0] harry[0] hates[-3] to[0] see[0] his[0] daughter[0] hanging[0] around[0] some[0] scruffy[0] grunt[0] like[1] himself[0] for[0] the[0] rest[0] of[0] her[0] life[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
so while a . j . 	so while a .<br> j .	1	-1	 so[0] while[0] a[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
