so much for sweet returns . 	Translation	Positive	Negative	EmotionRationale
after smart horror films were starting to be made again after the exploitative 80's slasher movies , starting with 1996's " scream , " and followed by " scream 2 , " " urban legend , " and the original , " i know what you did last summer , " a film like , " i still know what you did last summer , " was bound to be made sooner or late . 	after smart horror films were starting to be made again after the exploitative 80's slasher movies , starting with 1996's " scream , " and followed by " scream 2 , " " urban legend , " and the original , " i know what you did last summer , " a film like , " i still know what you did last summer , " was bound to be made sooner or late .	2	-4	 after[0] smart[1] horror[-3] films[0] were[0] starting[0] to[0] be[0] made[0] again[0] after[0] the[0] exploitative[0] 80's[0] slasher[-1] movies[0] starting[0] with[0] 1996's[0] scream[-3] and[0] followed[0] by[0] scream[-3] 2[0] urban[0] legend[0] and[0] the[0] original[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] a[0] film[0] like[1] i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] was[0] bound[0] to[0] be[0] made[0] sooner[0] or[0] late[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it is a perfect example of the exact reason why horror films temporarily burned out , and that is because they reached for the lowest-common-denominator in filmmaking , favoring non-stop deaths and gore for suspense , and trading in fleshed out , likable characters for one-dimensional nitwits . 	it is a perfect example of the exact reason why horror films temporarily burned out , and that is because they reached for the lowest-common-denominator in filmmaking , favoring non-stop deaths and gore for suspense , and trading in fleshed out , likable characters for one-dimensional nitwits .	2	-4	 it[0] is[0] a[0] perfect[1] example[0] of[0] the[0] exact[0] reason[0] why[0] horror[-3] films[0] temporarily[-1] burned[-1] out[0] and[0] that[0] is[0] because[0] they[0] reached[0] for[0] the[0] lowest[-1] common[0] denominator[0] in[0] filmmaking[0] favoring[1] non[0] stop[0] deaths[-2] and[0] gore[0] for[0] suspense[0] and[0] trading[0] in[0] fleshed[0] out[0] likable[0] characters[0] for[0] one[0] dimensional[0] nitwits[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it has been exactly one year since julie james ( jennifer love hewitt ) suffered through the ordeal of being terrorized by ben willis , a psychopathic fisherman whom her friends and she accidentally hit in the middle of the road , and then , thinking he was dead , dumped him into the ocean . 	it has been exactly one year since julie james ( jennifer love hewitt ) suffered through the ordeal of being terrorized by ben willis , a psychopathic fisherman whom her friends and she accidentally hit in the middle of the road , and then , thinking he was dead , dumped him into the ocean .	3	-4	 it[0] has[0] been[0] exactly[0] one[0] year[0] since[0] julie[0] james[0] jennifer[0] love[2] hewitt[0] suffered[-3] through[0] the[0] ordeal[-2] of[0] being[0] terrorized[-2] by[0] ben[0] willis[0] a[0] psychopathic[0] fisherman[0] whom[0] her[0] friends[1] and[0] she[0] accidentally[-1] hit[0] in[0] the[0] middle[0] of[0] the[0] road[0] and[0] then[0] thinking[0] he[0] was[0] dead[-2] dumped[-1] him[0] into[0] the[0] ocean[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
since then , julie has relocated to boston university , and although often paranoid and haunted by bad dreams , she has been able to put her life back together . 	since then , julie has relocated to boston university , and although often paranoid and haunted by bad dreams , she has been able to put her life back together .	1	-3	 since[0] then[0] julie[0] has[0] relocated[0] to[0] boston[0] university[0] and[0] although[0] often[0] paranoid[-2] and[0] haunted[0] by[0] bad[-1] dreams[0] she[0] has[0] been[0] able[0] to[0] put[0] her[0] life[0] back[0] together[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when julie's friend , karla ( brandy ) , is called up by a radio station and answers correctly what the capital of brazil is , she wins a vacation to the bahamas for four people , which also includes karla's horny boyfriend , tyrell ( mekhi phifer ) , and will ( matthew settle ) , who karla sets julie up with after her own boyfriend , ray ( freddie prinze jr . , also returning from the original ) , doesn't show up . 	when julie's friend , karla ( brandy ) , is called up by a radio station and answers correctly what the capital of brazil is , she wins a vacation to the bahamas for four people , which also includes karla's horny boyfriend , tyrell ( mekhi phifer ) , and will ( matthew settle ) , who karla sets julie up with after her own boyfriend , ray ( freddie prinze jr .<br> , also returning from the original ) , doesn't show up .	2	-1	 when[0] julie's[0] friend[1] karla[0] brandy[0] is[0] called[0] up[0] by[0] a[0] radio[0] station[0] and[0] answers[0] correctly[0] what[0] the[0] capital[0] of[0] brazil[0] is[0] she[0] wins[0] a[0] vacation[0] to[0] the[0] bahamas[0] for[0] four[0] people[0] which[0] also[0] includes[0] karla's[0] horny[0] boyfriend[0] tyrell[0] mekhi[0] phifer[0] and[0] will[0] matthew[0] settle[0] who[0] karla[0] sets[0] julie[0] up[0] with[0] after[0] her[0] own[0] boyfriend[0] ray[0] freddie[0] prinze[0] jr[0] [[Sentence=-1,2=word max, 1-5]] also[0] returning[0] from[0] the[0] original[0] doesn't[0] show[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
when they reach the secluded island , they discover it is the last day of the open season , and will be stranded there for the 4th of july weekend with a few employees to fend off a violent storm headed for them . 	when they reach the secluded island , they discover it is the last day of the open season , and will be stranded there for the 4th of july weekend with a few employees to fend off a violent storm headed for them .	1	-3	 when[0] they[0] reach[0] the[0] secluded[0] island[0] they[0] discover[0] it[0] is[0] the[0] last[0] day[0] of[0] the[0] open[0] season[0] and[0] will[0] be[0] stranded[0] there[0] for[0] the[0] 4th[0] of[0] july[0] weekend[0] with[0] a[0] few[0] employees[0] to[0] fend[0] off[0] a[0] violent[-2] storm[-1] headed[0] for[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
of course , julie , her friends , and the workers aren't the only ones there , as the murderous ben willis , dressed in fisherman garb , returns to seek revenge on julie once and for all . 	of course , julie , her friends , and the workers aren't the only ones there , as the murderous ben willis , dressed in fisherman garb , returns to seek revenge on julie once and for all .	2	-4	 of[0] course[0] julie[0] her[0] friends[1] and[0] the[0] workers[0] aren't[0] the[0] only[0] ones[0] there[0] as[0] the[0] murderous[-3] ben[0] willis[0] dressed[0] in[0] fisherman[0] garb[0] returns[0] to[0] seek[0] revenge[-1] on[0] julie[0] once[0] and[0] for[0] all[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it is a sad state of affairs when a movie like , " i still know what you did last summer , " is made . 	it is a sad state of affairs when a movie like , " i still know what you did last summer , " is made .	2	-4	 it[0] is[0] a[0] sad[-3] state[0] of[0] affairs[0] when[0] a[0] movie[0] like[1] i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] is[0] made[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i am a very big fan of horror movies , and so it is especially disheartening to find out that this sequel to " ikwydls , " which i am a fan of , is almost an exact replica of a " friday the 13th " movie . 	i am a very big fan of horror movies , and so it is especially disheartening to find out that this sequel to " ikwydls , " which i am a fan of , is almost an exact replica of a " friday the 13th " movie .	1	-4	 i[0] am[0] a[0] very[0] big[0] fan[0] of[0] horror[-3] movies[0] and[0] so[0] it[0] is[0] especially[0] disheartening[-1][-1 LastWordBoosterStrength] to[0] find[0] out[0] that[0] this[0] sequel[0] to[0] ikwydls[0] which[0] i[0] am[0] a[0] fan[0] of[0] is[0] almost[0] an[0] exact[0] replica[0] of[0] a[0] friday[0] the[0] 13th[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while the original focused more on the story and characters , as well as genuinely suspenseful moments , thanks to the screenplay by kevin williamson ( who didn't return to write the sequel , and it shows ) , " i still know . . . " 	while the original focused more on the story and characters , as well as genuinely suspenseful moments , thanks to the screenplay by kevin williamson ( who didn't return to write the sequel , and it shows ) , " i still know .<br> .<br> .<br> "	2	-1	 while[0] the[0] original[0] focused[0] more[0] on[0] the[0] story[0] and[0] characters[0] as[0] well[0] as[0] genuinely[0] suspenseful[0] moments[0] thanks[1] to[0] the[0] screenplay[0] by[0] kevin[0] williamson[0] who[0] didn't[0] return[0] to[0] write[0] the[0] sequel[0] and[0] it[0] shows[0] i[0] still[0] know[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
