janeane garofalo in a romantic comedy -- it was a good idea a couple years ago with the truth about cats and dogs but is almost excruciating in the matchmaker . 	Translation	Positive	Negative	EmotionRationale
this is a by-the-books movie that plods along on a predestined course with no surprises and very few laughs . 	this is a by-the-books movie that plods along on a predestined course with no surprises and very few laughs .	2	-1	 this[0] is[0] a[0] by[0] the[0] books[0] movie[0] that[0] plods[0] along[0] on[0] a[0] predestined[0] course[0] with[0] no[0] surprises[0] and[0] very[0] few[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it also jumps on the ever-popular political satire bandwagon and manages to fall flat there , too . 	it also jumps on the ever-popular political satire bandwagon and manages to fall flat there , too .	1	-1	 it[0] also[0] jumps[0] on[0] the[0] ever[0] popular[0] political[0] satire[0] bandwagon[0] and[0] manages[0] to[0] fall[0] flat[0] there[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
garofalo plays a campaign aide to a massacusetts senator ( jay o . sanders ) running for reelection . 	garofalo plays a campaign aide to a massacusetts senator ( jay o .<br> sanders ) running for reelection .	2	-1	 garofalo[0] plays[1] a[0] campaign[0] aide[0] to[0] a[0] massacusetts[0] senator[0] jay[0] o[0] [[Sentence=-1,2=word max, 1-5]] sanders[0] running[0] for[0] reelection[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
denis leary plays the stereotypical strategist with no ethics who decides the only way for the scandal- plagued senator to win is to play up his irish roots and cash in on that boston roman catholic democrat contingent that's made the kennedy family so popular . 	denis leary plays the stereotypical strategist with no ethics who decides the only way for the scandal- plagued senator to win is to play up his irish roots and cash in on that boston roman catholic democrat contingent that's made the kennedy family so popular .	2	-3	 denis[0] leary[0] plays[1] the[0] stereotypical[0] strategist[0] with[0] no[0] ethics[0] who[0] decides[0] the[0] only[0] way[0] for[0] the[0] scandal[-2] plagued[-1] senator[0] to[0] win[0] is[0] to[0] play[0] up[0] his[0] irish[0] roots[0] and[0] cash[0] in[0] on[0] that[0] boston[0] roman[0] catholic[0] democrat[0] contingent[0] that's[0] made[0] the[0] kennedy[0] family[0] so[0] popular[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
so leary orders garofalo to go to ireland and dig up some relatives to exploit . 	so leary orders garofalo to go to ireland and dig up some relatives to exploit .	1	-1	 so[0] leary[0] orders[0] garofalo[0] to[0] go[0] to[0] ireland[0] and[0] dig[0] up[0] some[0] relatives[0] to[0] exploit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she soon learns why " easier said than done " is the mantra of movies like this . 	she soon learns why " easier said than done " is the mantra of movies like this .	2	-1	 she[0] soon[0] learns[0] why[0] easier[0] said[0] than[0] done[0] is[0] the[0] mantra[0] of[0] movies[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the matchmaker falls for every cliche of things that can go wrong -- garofalo has to take a tiny plane to ireland , almost misses the bus to town , can't get a hotel room , ends up in the smallest , trashiest one around , has a dog piss on her luggage , and so on . 	the matchmaker falls for every cliche of things that can go wrong - garofalo has to take a tiny plane to ireland , almost misses the bus to town , can't get a hotel room , ends up in the smallest , trashiest one around , has a dog piss on her luggage , and so on .	1	-3	 the[0] matchmaker[0] falls[0] for[0] every[0] cliche[0] of[0] things[0] that[0] can[0] go[0] wrong[-1] garofalo[0] has[0] to[0] take[0] a[0] tiny[0] plane[0] to[0] ireland[0] almost[0] misses[-2] the[0] bus[0] to[0] town[0] can't[0] get[0] a[0] hotel[0] room[0] ends[0] up[0] in[0] the[0] smallest[0] trashiest[-1] one[0] around[0] has[0] a[0] dog[0] piss[-2] on[0] her[0] luggage[0] and[0] so[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then comes what roger ebert calls the " meet cute . " 	then comes what roger ebert calls the " meet cute .<br> "	2	-1	 then[0] comes[0] what[0] roger[0] ebert[0] calls[0] the[0] meet[0] cute[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it happens in every romance : the man and woman have to meet each other for the first time in some unconventional , cinematic way . 	it happens in every romance : the man and woman have to meet each other for the first time in some unconventional , cinematic way .	4	-1	 it[0] happens[0] in[0] every[0] romance[3] the[0] man[0] and[0] woman[0] have[0] to[0] meet[0] each[0] other[0] for[0] the[0] first[0] time[0] in[0] some[0] unconventional[0] cinematic[0] way[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in the matchmaker , it happens when garofalo walks into her hotel bathroom and finds a nude sean ( david o'hara ) in the bathtub , his dog sitting at his side . 	in the matchmaker , it happens when garofalo walks into her hotel bathroom and finds a nude sean ( david o'hara ) in the bathtub , his dog sitting at his side .	1	-1	 in[0] the[0] matchmaker[0] it[0] happens[0] when[0] garofalo[0] walks[0] into[0] her[0] hotel[0] bathroom[0] and[0] finds[0] a[0] nude[0] sean[0] david[0] o'hara[0] in[0] the[0] bathtub[0] his[0] dog[0] sitting[0] at[0] his[0] side[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no points for guessing it's the same dog that just made water on her luggage . 	no points for guessing it's the same dog that just made water on her luggage .	1	-1	 no[0] points[0] for[0] guessing[0] it's[0] the[0] same[0] dog[0] that[0] just[0] made[0] water[0] on[0] her[0] luggage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also no points for guessing garofalo hates o'hara on sight . 	also no points for guessing garofalo hates o'hara on sight .	1	-4	 also[0] no[0] points[0] for[0] guessing[0] garofalo[0] hates[-3] o'hara[0] on[0] sight[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that's how it works in movies like these . 	that's how it works in movies like these .	2	-1	 that's[0] how[0] it[0] works[0] in[0] movies[0] like[1] these[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i know from the instant i saw that irishman in the bathtub that she'd hate him for awhile , then succumb to his charms , live happily for a reel or so before allowing some superficial detail to throw the relationship into turmoil , after which they'd reconcile in time for a happy irish tune to play over the end credits . 	i know from the instant i saw that irishman in the bathtub that she'd hate him for awhile , then succumb to his charms , live happily for a reel or so before allowing some superficial detail to throw the relationship into turmoil , after which they'd reconcile in time for a happy irish tune to play over the end credits .	3	-4	 i[0] know[0] from[0] the[0] instant[0] i[0] saw[0] that[0] irishman[0] in[0] the[0] bathtub[0] that[0] she'd[0] hate[-3] him[0] for[0] awhile[0] then[0] succumb[-1] to[0] his[0] charms[1] live[0] happily[2] for[0] a[0] reel[0] or[0] so[0] before[0] allowing[0] some[0] superficial[-1][--1 LastWordBoosterStrength] detail[0] to[0] throw[0] the[0] relationship[0] into[0] turmoil[-2] after[0] which[0] they'd[0] reconcile[0] in[0] time[0] for[0] a[0] happy[1] irish[0] tune[0] to[0] play[0] over[0] the[0] end[0] credits[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i haven't mentioned the movie's twist yet . 	i haven't mentioned the movie's twist yet .	1	-1	 i[0] haven't[0] mentioned[0] the[0] movie's[0] twist[0] yet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
garofalo comes to the small ireland town during the annual matchmaking festival , during which lonely folks from around the county pair off into a future of bliss . 	garofalo comes to the small ireland town during the annual matchmaking festival , during which lonely folks from around the county pair off into a future of bliss .	5	-2	 garofalo[0] comes[0] to[0] the[0] small[0] ireland[0] town[0] during[0] the[0] annual[0] matchmaking[0] festival[0] during[0] which[0] lonely[-1] folks[0] from[0] around[0] the[0] county[0] pair[0] off[0] into[0] a[0] future[0] of[0] bliss[4] [[Sentence=-2,5=word max, 1-5]][[[5,-2 max of sentences]]]
milo o'shea ( who looks like an irish tom snyder ) is the matchmaker who pops onscreen occasionally to spew his words of wisdom and bring lonely souls together . 	milo o'shea ( who looks like an irish tom snyder ) is the matchmaker who pops onscreen occasionally to spew his words of wisdom and bring lonely souls together .	2	-2	 milo[0] o'shea[0] who[0] looks[0] like[1] an[0] irish[0] tom[0] snyder[0] is[0] the[0] matchmaker[0] who[0] pops[0] onscreen[0] occasionally[0] to[0] spew[-1] his[0] words[0] of[0] wisdom[0] and[0] bring[0] lonely[-1] souls[0] together[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rest assured he'll do all he can to match up garofalo and o'hara . 	rest assured he'll do all he can to match up garofalo and o'hara .	1	-1	 rest[0] assured[0] he'll[0] do[0] all[0] he[0] can[0] to[0] match[0] up[0] garofalo[0] and[0] o'hara[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , and in keeping with the matchmaker's utter predictability , he dies toward the end . 	oh , and in keeping with the matchmaker's utter predictability , he dies toward the end .	1	-1	 oh[0] and[0] in[0] keeping[0] with[0] the[0] matchmaker's[0] utter[0] predictability[0] he[0] dies[0] toward[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what the message here ? 	what the message here ?	1	-1	 what[0] the[0] message[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes even the most respectable person of comedic distinction , like garofalo , will sell out with a weak script . 	sometimes even the most respectable person of comedic distinction , like garofalo , will sell out with a weak script .	3	-2	 sometimes[0] even[0] the[0] most[0] respectable[2] person[0] of[0] comedic[0] distinction[0] like[1] garofalo[0] will[0] sell[0] out[0] with[0] a[0] weak[-1] script[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i was excited to see garofalo and leary in the same movie , but they actually only have two or three scenes together . 	i was excited to see garofalo and leary in the same movie , but they actually only have two or three scenes together .	3	-1	 i[0] was[0] excited[2] to[0] see[0] garofalo[0] and[0] leary[0] in[0] the[0] same[0] movie[0] but[0] they[0] actually[0] only[0] have[0] two[0] or[0] three[0] scenes[0] together[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
leary stays stateside , for the most part , yelling at garofalo over the phone and generally being an asshole . 	leary stays stateside , for the most part , yelling at garofalo over the phone and generally being an asshole .	1	-3	 leary[0] stays[0] stateside[0] for[0] the[0] most[0] part[0] yelling[0] at[0] garofalo[0] over[0] the[0] phone[0] and[0] generally[0] being[0] an[0] asshole[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he even undoes himself with the old microphone's still on after he's done giving the speech cliche . 	he even undoes himself with the old microphone's still on after he's done giving the speech cliche .	1	-1	 he[0] even[0] undoes[0] himself[0] with[0] the[0] old[0] microphone's[0] still[0] on[0] after[0] he's[0] done[0] giving[0] the[0] speech[0] cliche[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both of them should have known better . 	both of them should have known better .	1	-1	 both[0] of[0] them[0] should[0] have[0] known[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
