romeo is bleeding wants to carry the unusual flavor of reservoir dogs or bad lieutenant . 	Translation	Positive	Negative	EmotionRationale
with director peter medak , whose previous credits include the good films let him have it and the krays , and top-notch character actors gary oldman and lena olin , they seemed likely to be a successful combination . 	with director peter medak , whose previous credits include the good films let him have it and the krays , and top-notch character actors gary oldman and lena olin , they seemed likely to be a successful combination .	3	-1	 with[0] director[0] peter[0] medak[0] whose[0] previous[0] credits[0] include[0] the[0] good[1] films[0] let[0] him[0] have[0] it[0] and[0] the[0] krays[0] and[0] top[0] notch[0] character[0] actors[0] gary[0] oldman[0] and[0] lena[0] olin[0] they[0] seemed[0] likely[0] to[0] be[0] a[0] successful[2] combination[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
those mentioned films , however , brought something to the screen that romeo is bleeding did not : a solid , well-written screenplay . 	those mentioned films , however , brought something to the screen that romeo is bleeding did not : a solid , well-written screenplay .	1	-1	 those[0] mentioned[0] films[0] however[0] brought[0] something[0] to[0] the[0] screen[0] that[0] romeo[0] is[0] bleeding[0] did[0] not[0] a[0] solid[0] well[0] written[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
call me cynical , but the jobs of writer and producer don't seem to mix well . 	call me cynical , but the jobs of writer and producer don't seem to mix well .	1	-2	 call[0] me[0] cynical[-1] but[0] the[0] jobs[0] of[0] writer[0] and[0] producer[0] don't[0] seem[0] to[0] mix[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gary oldman plays jack grimaldi , a good cop turned bad , selling information to the mob and cheating on his wife . 	gary oldman plays jack grimaldi , a good cop turned bad , selling information to the mob and cheating on his wife .	2	-3	 gary[0] oldman[0] plays[1] jack[0] grimaldi[-2] a[0] good[1] cop[0] turned[0] bad[-1] selling[0] information[0] to[0] the[0] mob[0] and[0] cheating[-2] on[0] his[0] wife[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his cheating is obvious enough to obtain his nickname , although the name doesn't provide any insight or analogy to the shakespearean character . 	his cheating is obvious enough to obtain his nickname , although the name doesn't provide any insight or analogy to the shakespearean character .	1	-3	 his[0] cheating[-2] is[0] obvious[0] enough[0] to[0] obtain[0] his[0] nickname[0] although[0] the[0] name[0] doesn't[0] provide[0] any[0] insight[0] or[0] analogy[0] to[0] the[0] shakespearean[0] character[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jack has become addicted to " feeding the hole " , a hole in the ground where he stores his payoff money . 	jack has become addicted to " feeding the hole " , a hole in the ground where he stores his payoff money .	1	-2	 jack[0] has[0] become[0] addicted[-1] to[0] feeding[0] the[0] hole[0] a[0] hole[0] in[0] the[0] ground[0] where[0] he[0] stores[0] his[0] payoff[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when he realizes his colleagues are being shot , he feebly attempts to get out . 	when he realizes his colleagues are being shot , he feebly attempts to get out .	1	-2	 when[0] he[0] realizes[0] his[0] colleagues[0] are[0] being[0] shot[-1] he[0] feebly[0] attempts[0] to[0] get[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gary oldman's performance is disappointingly weak ; he seems nearly bored . 	gary oldman's performance is disappointingly weak ; he seems nearly bored .	1	-2	 gary[0] oldman's[0] performance[0] is[0] disappointingly[-1] weak[-1] he[0] seems[0] nearly[0] bored[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the process , he also gets tangled-up with mona demarkov , a russian mobsterette who wants to take over the territory from top boss falcone , played adequately by roy scheider . 	in the process , he also gets tangled-up with mona demarkov , a russian mobsterette who wants to take over the territory from top boss falcone , played adequately by roy scheider .	1	-1	 in[0] the[0] process[0] he[0] also[0] gets[0] tangled[0] up[0] with[0] mona[0] demarkov[0] a[0] russian[0] mobsterette[0] who[0] wants[0] to[0] take[0] over[0] the[0] territory[0] from[0] top[0] boss[0] falcone[0] played[0] adequately[0] by[0] roy[0] scheider[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
demarkov , played by lena olin , is a tough but tremendously sexy woman with seemingly no problems maneuvering within the mob world . 	demarkov , played by lena olin , is a tough but tremendously sexy woman with seemingly no problems maneuvering within the mob world .	3	-2	 demarkov[0] played[0] by[0] lena[0] olin[0] is[0] a[0] tough[-1] but[0] tremendously[0] sexy[2] woman[0] with[0] seemingly[0] no[0] problems[-1] maneuvering[0] within[0] the[0] mob[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this character is combination of both linda hamilton and arnold schwarznegger from terminator 2 . i can't remember seeing a character quite like her . 	this character is combination of both linda hamilton and arnold schwarznegger from terminator 2 .<br> i can't remember seeing a character quite like her .	2	-1	 this[0] character[0] is[0] combination[0] of[0] both[0] linda[0] hamilton[0] and[0] arnold[0] schwarznegger[0] from[0] terminator[0] 2[0] [[Sentence=-1,1=word max, 1-5]] i[0] can't[0] remember[0] seeing[0] a[0] character[0] quite[0] like[1] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
