sean connery stars as a harvard law professor who heads back into the courtroom , by way of the everglades , to defend a young , educated black man ( blair underwood ) . 	Translation	Positive	Negative	EmotionRationale
the guy is on death row for the murder of a white girl , and says that his confession was coerced from the region's tough , black cop ( lawrence fishburne ) . 	the guy is on death row for the murder of a white girl , and says that his confession was coerced from the region's tough , black cop ( lawrence fishburne ) .	1	-4	 the[0] guy[0] is[0] on[0] death[-2] row[0] for[0] the[0] murder[-3] of[0] a[0] white[0] girl[0] and[0] says[0] that[0] his[0] confession[-1] was[0] coerced[-2] from[0] the[0] region's[0] tough[-1] black[0] cop[0] lawrence[0] fishburne[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
watching connery and fishburne bump heads for two hours is amusing enough , but the plot's a joke . 	watching connery and fishburne bump heads for two hours is amusing enough , but the plot's a joke .	2	-1	 watching[0] connery[0] and[0] fishburne[0] bump[0] heads[0] for[0] two[0] hours[0] is[0] amusing[1] enough[0] but[0] the[0] plot's[0] a[0] joke[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's no logic at work here . 	there's no logic at work here .	1	-1	 there's[0] no[0] logic[0] at[0] work[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tone is also an issue--there is none . 	tone is also an issue-there is none .	1	-1	 tone[0] is[0] also[0] an[0] issue[0] there[0] is[0] none[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director arne glimcher never establishes exactly what his film is trying to say . 	director arne glimcher never establishes exactly what his film is trying to say .	1	-1	 director[0] arne[0] glimcher[0] never[0] establishes[0] exactly[0] what[0] his[0] film[0] is[0] trying[0] to[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it a statement on human rights ? 	is it a statement on human rights ?	1	-1	 is[0] it[0] a[0] statement[0] on[0] human[0] rights[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it a knock-off of silence of the lambs ? 	is it a knock-off of silence of the lambs ?	1	-1	 is[0] it[0] a[0] knock[0] off[0] of[0] silence[0] of[0] the[0] lambs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
glimcher never tells . 	glimcher never tells .	1	-1	 glimcher[0] never[0] tells[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , he forces his characters to jump through hoop after hoop , over drawbridge after drawbridge , hoping that the audience won't notice what's missing . 	instead , he forces his characters to jump through hoop after hoop , over drawbridge after drawbridge , hoping that the audience won't notice what's missing .	2	-1	 instead[0] he[0] forces[0] his[0] characters[0] to[0] jump[0] through[0] hoop[0] after[0] hoop[0] over[0] drawbridge[0] after[0] drawbridge[0] hoping[1] that[0] the[0] audience[0] won't[0] notice[0] what's[0] missing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just awful . 	just awful .	1	-3	 just[0] awful[-3][--1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the madness of king george 107 min . 	the madness of king george 107 min .	1	-2	 the[0] madness[-1] of[0] king[0] george[0] 107[0] min[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
/ not rated                            	/ not rated                           	1	-1	 /[0] not[0] rated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still wondering who nigel hawthorne is ? 	still wondering who nigel hawthorne is ?	1	-1	 still[0] wondering[0] who[0] nigel[0] hawthorne[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
