cashing in on the success of white men can't jump and the failure of most of their solo vehicles ( including the cowboy way and drop zone ) , wesley snipes and woody harrelson have reteamed , hoping that they can strike up the same success . 	Translation	Positive	Negative	EmotionRationale
sadly , if this dismal , cliche ridden and mind-numbingly boring action pic is anything to go by , they haven't got a chance in hell of even coming close . 	sadly , if this dismal , cliche ridden and mind-numbingly boring action pic is anything to go by , they haven't got a chance in hell of even coming close .	1	-2	 sadly[-1] if[0] this[0] dismal[-1] cliche[0] ridden[0] and[0] mind[0] numbingly[-1] boring[-1] action[0] pic[0] is[0] anything[0] to[0] go[0] by[0] they[0] haven't[0] got[0] a[0] chance[0] in[0] hell[-1] of[0] even[0] coming[0] close[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time out , the duo play foster brothers who are transit cops . 	this time out , the duo play foster brothers who are transit cops .	1	-1	 this[0] time[0] out[0] the[0] duo[0] play[0] foster[0] brothers[0] who[0] are[0] transit[0] cops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
following several run-ins with their tyrannical boss ( robert blake ) , who is obsessed with the " money train " --a train which carries all the subway's takings--and will let nothing stop it ( now * there's * an original plot device ) , harrelson's character decides to try and take off with the cash . 	following several run-ins with their tyrannical boss ( robert blake ) , who is obsessed with the " money train " -a train which carries all the subway's takings-and will let nothing stop it ( now * there's * an original plot device ) , harrelson's character decides to try and take off with the cash .	1	-3	 following[0] several[0] run[0] ins[0] with[0] their[0] tyrannical[0] boss[0] robert[0] blake[0] who[0] is[0] obsessed[-2] with[0] the[0] money[0] train[0] a[0] train[0] which[0] carries[0] all[0] the[0] subway's[0] takings[0] and[0] will[0] let[0] nothing[0] stop[0] it[0] now[0] there's[0] an[0] original[0] plot[0] device[0] harrelson's[0] character[0] decides[0] to[0] try[0] and[0] take[0] off[0] with[0] the[0] cash[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
along the way , both of them fall in love with the same woman--another transit cop who also hates her boss . 	along the way , both of them fall in love with the same woman-another transit cop who also hates her boss .	3	-4	 along[0] the[0] way[0] both[0] of[0] them[0] fall[0] in[0] love[2] with[0] the[0] same[0] woman[0] another[0] transit[0] cop[0] who[0] also[0] hates[-3] her[0] boss[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this leads to the typical sibling rivalry crap that you usually find in a film of this standard ( 'you were always the better brother' etc . etc . etc . ) , and doesn't help to add anything to the film . 	this leads to the typical sibling rivalry crap that you usually find in a film of this standard ( 'you were always the better brother' etc .<br> etc .<br> etc .<br> ) , and doesn't help to add anything to the film .	1	-3	 this[0] leads[0] to[0] the[0] typical[0] sibling[0] rivalry[-1] crap[-2] that[0] you[0] usually[0] find[0] in[0] a[0] film[0] of[0] this[0] standard[0] 'you[0] were[0] always[0] the[0] better[0] brother'[0] etc[0] [[Sentence=-3,1=word max, 1-5]] etc[0] [[Sentence=-1,1=word max, 1-5]] etc[0] [[Sentence=-1,1=word max, 1-5]] and[0] doesn't[0] help[0] to[0] add[0] anything[0] to[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
given a better script , better performers in supporting roles and a shorter running time ( the film almost went for two hours--or did it just feel like it ? ) , this film might ( and i mean * might * ) have turned out okay , but as it is , it is stocked with the worst action film cliches , whose only purpose appears to be to pad the film out to its painfully long running time . 	given a better script , better performers in supporting roles and a shorter running time ( the film almost went for two hours-or did it just feel like it ?<br> ) , this film might ( and i mean * might * ) have turned out okay , but as it is , it is stocked with the worst action film cliches , whose only purpose appears to be to pad the film out to its painfully long running time .	2	-4	 given[0] a[0] better[0] script[0] better[0] performers[0] in[0] supporting[1] roles[0] and[0] a[0] shorter[0] running[0] time[0] the[0] film[0] almost[0] went[0] for[0] two[0] hours[0] or[0] did[0] it[0] just[0] feel[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]] this[0] film[0] might[0] and[0] i[0] mean[0] might[0] have[0] turned[0] out[0] okay[0] but[0] as[0] it[0] is[0] it[0] is[0] stocked[0] with[0] the[0] worst[-2] action[0] film[0] cliches[0] whose[0] only[0] purpose[0] appears[0] to[0] be[0] to[0] pad[0] the[0] film[0] out[0] to[0] its[0] painfully[-3] long[0] running[0] time[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
robert blake , who plays the evil boss , has got to be the most pathetic bad guy in film history ! 	robert blake , who plays the evil boss , has got to be the most pathetic bad guy in film history !	2	-3	 robert[0] blake[0] who[0] plays[1] the[0] evil[-2] boss[0] has[0] got[0] to[0] be[0] the[0] most[0] pathetic[-2] bad[-1] guy[0] in[0] film[0] history[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he sounds like wayne newton , and appears to think the best way to appear evil is to have your eyes bulging as though they are about to burst out of their sockets ! 	he sounds like wayne newton , and appears to think the best way to appear evil is to have your eyes bulging as though they are about to burst out of their sockets !	2	-3	 he[0] sounds[0] like[1] wayne[0] newton[0] and[0] appears[0] to[0] think[0] the[0] best[1] way[0] to[0] appear[0] evil[-2] is[0] to[0] have[0] your[0] eyes[0] bulging[0] as[0] though[0] they[0] are[0] about[0] to[0] burst[0] out[0] of[0] their[0] sockets[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but this is only one of money train's problems . 	but this is only one of money train's problems .	1	-2	 but[0] this[0] is[0] only[0] one[0] of[0] money[0] train's[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you look at the script as if it was an action film , it lacks originality and suspense . 	if you look at the script as if it was an action film , it lacks originality and suspense .	1	-1	 if[0] you[0] look[0] at[0] the[0] script[0] as[0] if[0] it[0] was[0] an[0] action[0] film[0] it[0] lacks[0] originality[0] and[0] suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but if you try to look at it as if it were a heist film , it is even worse . 	but if you try to look at it as if it were a heist film , it is even worse .	1	-3	 but[0] if[0] you[0] try[0] to[0] look[0] at[0] it[0] as[0] if[0] it[0] were[0] a[0] heist[0] film[0] it[0] is[0] even[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the final robbery sequence is almost trivialised and the characters definitely ain't butch and sundance . 	the final robbery sequence is almost trivialised and the characters definitely ain't butch and sundance .	1	-2	 the[0] final[0] robbery[-1] sequence[0] is[0] almost[0] trivialised[-1] and[0] the[0] characters[0] definitely[0] ain't[0] butch[0] and[0] sundance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film isn't all bad though . 	the film isn't all bad though .	2	-1	 the[0] film[0] isn't[0] all[0] bad[-1][NegatedDueToPreviousWord] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
snipes and harrelson , when they aren't using the dumb cliches that the script gives them , make an agreeable duo , and some of the stunt-work is indeed excellent . 	snipes and harrelson , when they aren't using the dumb cliches that the script gives them , make an agreeable duo , and some of the stunt-work is indeed excellent .	4	-2	 snipes[0] and[0] harrelson[0] when[0] they[0] aren't[0] using[0] the[0] dumb[-1] cliches[0] that[0] the[0] script[0] gives[0] them[0] make[0] an[0] agreeable[0] duo[0] and[0] some[0] of[0] the[0] stunt[-1] work[0] is[0] indeed[0] excellent[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
but good stunt-work cannot save a bottom-of-the-barrel action movie . 	but good stunt-work cannot save a bottom-of-the-barrel action movie .	2	-2	 but[0] good[1] stunt[-1] work[0] cannot[0] save[1][NegatedDueToPreviousWord] a[0] bottom[0] of[0] the[0] barrel[0] action[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you're a really undemanding action freak , there's a chance you'll like this . 	if you're a really undemanding action freak , there's a chance you'll like this .	2	-2	 if[0] you're[0] a[0] really[0] undemanding[0] action[0] freak[-1] there's[0] a[0] chance[0] you'll[0] like[1] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but if you're looking for something original , or suspenseful , try somewhere else--i doubt you'll find it here . 	but if you're looking for something original , or suspenseful , try somewhere else-i doubt you'll find it here .	1	-2	 but[0] if[0] you're[0] looking[0] for[0] something[0] original[0] or[0] suspenseful[0] try[0] somewhere[0] else[0] i[0] doubt[-1] you'll[0] find[0] it[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
