last summer , a feature-length version of the avengers hit theaters to the tune of a unanimous critical panning . 	Translation	Positive	Negative	EmotionRationale
based on the famous 60's television show , the film was an enormous box-office flop and a huge disappointment for warner bros . a year later , the studio is up to their old tricks again , with the unnecessary revival of the robert conrad program the wild , wild west . 	based on the famous 60's television show , the film was an enormous box-office flop and a huge disappointment for warner bros .<br> a year later , the studio is up to their old tricks again , with the unnecessary revival of the robert conrad program the wild , wild west .	1	-2	 based[0] on[0] the[0] famous[0] 60's[0] television[0] show[0] the[0] film[0] was[0] an[0] enormous[0] box[0] office[0] flop[0] and[0] a[0] huge[0] disappointment[-1] for[0] warner[0] bros[0] [[Sentence=-2,1=word max, 1-5]] a[0] year[0] later[0] the[0] studio[0] is[0] up[0] to[0] their[0] old[0] tricks[-1] again[0] with[0] the[0] unnecessary[-1] revival[0] of[0] the[0] robert[0] conrad[0] program[0] the[0] wild[0] wild[0] west[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it sounded promising : the same tag-team of star will smith and director barry sonnenfeld , who both contributed to make men in black such a financial success , is at the reins again . 	but it sounded promising : the same tag-team of star will smith and director barry sonnenfeld , who both contributed to make men in black such a financial success , is at the reins again .	3	-1	 but[0] it[0] sounded[0] promising[1] the[0] same[0] tag[0] team[0] of[0] star[0] will[0] smith[0] and[0] director[0] barry[0] sonnenfeld[0] who[0] both[0] contributed[0] to[0] make[0] men[0] in[0] black[0] such[0] a[0] financial[0] success[2] is[0] at[0] the[0] reins[0] again[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and co-star kevin kline is attached to the project , as well as a substantial budget to spice up the special effects . 	and co-star kevin kline is attached to the project , as well as a substantial budget to spice up the special effects .	2	-1	 and[0] co[0] star[0] kevin[0] kline[0] is[0] attached[0] to[0] the[0] project[0] as[0] well[0] as[0] a[0] substantial[0] budget[0] to[0] spice[0] up[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i mean , what could possibly go wrong ? 	i mean , what could possibly go wrong ?	1	-2	 i[0] mean[0] what[0] could[0] possibly[0] go[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the answer is just about everything . 	the answer is just about everything .	1	-1	 the[0] answer[0] is[0] just[0] about[0] everything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wild wild west is a cinematic abomination - a film that was so entirely pointless to begin with that it is never given a proper chance to get out of the gate . 	wild wild west is a cinematic abomination - a film that was so entirely pointless to begin with that it is never given a proper chance to get out of the gate .	1	-3	 wild[0] wild[0] west[0] is[0] a[0] cinematic[0] abomination[-2] a[0] film[0] that[0] was[0] so[0] entirely[0] pointless[-1] to[0] begin[0] with[0] that[0] it[0] is[0] never[0] given[0] a[0] proper[0] chance[0] to[0] get[0] out[0] of[0] the[0] gate[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are a lot of fancy special effects , and a handful of distinguished actors who try desperately to tunnel through the inane plot and make a lasting impression . 	there are a lot of fancy special effects , and a handful of distinguished actors who try desperately to tunnel through the inane plot and make a lasting impression .	2	-3	 there[0] are[0] a[0] lot[0] of[0] fancy[0] special[1] effects[0] and[0] a[0] handful[0] of[0] distinguished[0] actors[0] who[0] try[0] desperately[-2] to[0] tunnel[0] through[0] the[0] inane[-1] plot[0] and[0] make[0] a[0] lasting[0] impression[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but the script is so deliriously uneven , the entire movie so off course , that no human being or technical achievement has a chance to salvage it . 	but the script is so deliriously uneven , the entire movie so off course , that no human being or technical achievement has a chance to salvage it .	1	-2	 but[0] the[0] script[0] is[0] so[0] deliriously[0] uneven[-1] the[0] entire[0] movie[0] so[0] off[0] course[0] that[0] no[0] human[0] being[0] or[0] technical[0] achievement[0] has[0] a[0] chance[0] to[0] salvage[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at square one , we have a bizarre case of casting . 	at square one , we have a bizarre case of casting .	1	-2	 at[0] square[0] one[0] we[0] have[0] a[0] bizarre[-1] case[0] of[0] casting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
will smith plays james west , a renegade cowboy who was originally played by white actor robert conrad in the tv series . 	will smith plays james west , a renegade cowboy who was originally played by white actor robert conrad in the tv series .	2	-1	 will[0] smith[0] plays[1] james[0] west[0] a[0] renegade[0] cowboy[0] who[0] was[0] originally[0] played[0] by[0] white[0] actor[0] robert[0] conrad[0] in[0] the[0] tv[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
my guess regarding the casting of african-american smith is a simple one : the actor   a cozy summertime release   big bucks for all those involved . 	my guess regarding the casting of african-american smith is a simple one : the actor   a cozy summertime release   big bucks for all those involved .	2	-1	 my[0] guess[0] regarding[0] the[0] casting[0] of[0] african[0] american[0] smith[0] is[0] a[0] simple[0] one[0] the[0] actor[0] a[0] cozy[1] summertime[0] release[0] big[0] bucks[0] for[0] all[0] those[0] involved[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
smith is a very talented performer who usually brings swift assurance to any comic relief material , but this is not an ideal role for him . 	smith is a very talented performer who usually brings swift assurance to any comic relief material , but this is not an ideal role for him .	3	-1	 smith[0] is[0] a[0] very[0] talented[1][1 LastWordBoosterStrength] performer[0] who[0] usually[0] brings[0] swift[0] assurance[0] to[0] any[0] comic[0] relief[1] material[0] but[0] this[0] is[0] not[0] an[0] ideal[0] role[0] for[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
