set in harlem during the great depression , rival gangster " families " go to war over control of " the numbers " , an illegal gambling lottery . 	Translation	Positive	Negative	EmotionRationale
 " runners " take bets from potential lottery winners and deliver them to private locations for drawings . 	 " runners " take bets from potential lottery winners and deliver them to private locations for drawings .	2	-1	 runners[0] take[0] bets[0] from[0] potential[0] lottery[0] winners[1] and[0] deliver[0] them[0] to[0] private[0] locations[0] for[0] drawings[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the undisputed leader of the harlem numbers is the madame queen ( cicely tyson ) who is challenged by dutch schulz ( tim roth ) , a ruthless hoodlum . 	the undisputed leader of the harlem numbers is the madame queen ( cicely tyson ) who is challenged by dutch schulz ( tim roth ) , a ruthless hoodlum .	1	-3	 the[0] undisputed[0] leader[0] of[0] the[0] harlem[0] numbers[0] is[0] the[0] madame[0] queen[0] cicely[0] tyson[0] who[0] is[0] challenged[-1] by[0] dutch[0] schulz[0] tim[0] roth[0] a[0] ruthless[-2] hoodlum[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by turning against the queen , dutch defies his partner , the infamous lucky luciano ( andy garcia ) , who wishes to respect the queen and keep the peace . 	by turning against the queen , dutch defies his partner , the infamous lucky luciano ( andy garcia ) , who wishes to respect the queen and keep the peace .	3	-2	 by[0] turning[0] against[-1] the[0] queen[0] dutch[0] defies[0] his[0] partner[0] the[0] infamous[-1] lucky[1] luciano[0] andy[0] garcia[0] who[0] wishes[0] to[0] respect[2] the[0] queen[0] and[0] keep[0] the[0] peace[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the queens' army strengthens when an acquaintance , ellsworth " bumpy " johnson ( lawrence fishburne ) is released from prison and becomes a bodyguard for her . 	the queens' army strengthens when an acquaintance , ellsworth " bumpy " johnson ( lawrence fishburne ) is released from prison and becomes a bodyguard for her .	1	-2	 the[0] queens'[0] army[0] strengthens[0] when[0] an[0] acquaintance[0] ellsworth[0] bumpy[0] johnson[0] lawrence[0] fishburne[0] is[0] released[0] from[0] prison[-1] and[0] becomes[0] a[0] bodyguard[0] for[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he proves himself worthy in short time as he thwarts an assassination attempt ( on himself and the queen ) , and later takes control of the queens army when she is jailed for tax evasion . 	he proves himself worthy in short time as he thwarts an assassination attempt ( on himself and the queen ) , and later takes control of the queens army when she is jailed for tax evasion .	1	-3	 he[0] proves[0] himself[0] worthy[0] in[0] short[0] time[0] as[0] he[0] thwarts[-1] an[0] assassination[-2] attempt[0] on[0] himself[0] and[0] the[0] queen[0] and[0] later[0] takes[0] control[0] of[0] the[0] queens[0] army[0] when[0] she[0] is[0] jailed[-1] for[0] tax[-1] evasion[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bumpy's reign is not as restrained and subdued as the queen and he declares all out war on dutch . 	bumpy's reign is not as restrained and subdued as the queen and he declares all out war on dutch .	1	-3	 bumpy's[0] reign[0] is[0] not[0] as[0] restrained[0] and[0] subdued[0] as[0] the[0] queen[0] and[0] he[0] declares[0] all[0] out[0] war[-2] on[0] dutch[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bloody gang warfare ensues . 	bloody gang warfare ensues .	1	-3	 bloody[-1] gang[0] warfare[-2] ensues[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bumpy faces many obstacles during his reign . 	bumpy faces many obstacles during his reign .	1	-2	 bumpy[0] faces[0] many[0] obstacles[-1] during[0] his[0] reign[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his new army questions his methods . 	his new army questions his methods .	1	-1	 his[0] new[0] army[0] questions[0] his[0] methods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his girlfriend ( vanessa l . williams ) and the queen disagree with his violent solutions . 	his girlfriend ( vanessa l .<br> williams ) and the queen disagree with his violent solutions .	1	-3	 his[0] girlfriend[0] vanessa[0] l[0] [[Sentence=-1,1=word max, 1-5]] williams[0] and[0] the[0] queen[0] disagree[-1] with[0] his[0] violent[-2] solutions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most importantly ( in his eyes ) , dutch has become a more formidable foe than he imagined , and seeks help from lucky luciano to assassinate him . 	most importantly ( in his eyes ) , dutch has become a more formidable foe than he imagined , and seeks help from lucky luciano to assassinate him .	2	-3	 most[0] importantly[0] in[0] his[0] eyes[0] dutch[0] has[0] become[0] a[0] more[0] formidable[-1] foe[-2] than[0] he[0] imagined[0] and[0] seeks[0] help[0] from[0] lucky[1] luciano[0] to[0] assassinate[-2] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
