in our time . 	Translation	Positive	Negative	EmotionRationale
in our modern world , where the cool rule , it's hard to imagine that shakespeare is becoming 'the man' . 	in our modern world , where the cool rule , it's hard to imagine that shakespeare is becoming 'the man' .	2	-1	 in[0] our[0] modern[0] world[0] where[0] the[0] cool[1] rule[0] it's[0] hard[0] to[0] imagine[0] that[0] shakespeare[0] is[0] becoming[0] 'the[0] man'[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and yet - film after film , after film , is based on his everlasting magic . 	and yet - film after film , after film , is based on his everlasting magic .	1	-1	 and[0] yet[0] film[0] after[0] film[0] after[0] film[0] is[0] based[0] on[0] his[0] everlasting[0] magic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in warner brothers' latest production , shakespeare is kicking ass to a rap beat , while his magic and intelligence slowly fades away . 	in warner brothers' latest production , shakespeare is kicking ass to a rap beat , while his magic and intelligence slowly fades away .	1	-2	 in[0] warner[0] brothers'[0] latest[0] production[0] shakespeare[0] is[0] kicking[-1] ass[0] to[0] a[0] rap[0] beat[0] while[0] his[0] magic[0] and[0] intelligence[0] slowly[0] fades[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though the producers of the matrix have vaguely based their picture on william shakespeare's 'romeo and juliet' , its title sequence with a frightening rap song and a black limo making its way through the dark streets of new york , is very hard to associate with shakespeare's poetry . 	though the producers of the matrix have vaguely based their picture on william shakespeare's 'romeo and juliet' , its title sequence with a frightening rap song and a black limo making its way through the dark streets of new york , is very hard to associate with shakespeare's poetry .	1	-4	 though[0] the[0] producers[0] of[0] the[0] matrix[0] have[0] vaguely[-1] based[0] their[0] picture[0] on[0] william[0] shakespeare's[0] 'romeo[0] and[0] juliet'[0] its[0] title[0] sequence[0] with[0] a[0] frightening[-3] rap[0] song[0] and[0] a[0] black[0] limo[0] making[0] its[0] way[0] through[0] the[0] dark[0] streets[0] of[0] new[0] york[0] is[0] very[0] hard[0] to[0] associate[0] with[0] shakespeare's[0] poetry[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film takes place during a silent war between the two major mafia families in the city - the afro americans against the chinese . 	the film takes place during a silent war between the two major mafia families in the city - the afro americans against the chinese .	1	-3	 the[0] film[0] takes[0] place[0] during[0] a[0] silent[0] war[-2] between[0] the[0] two[0] major[0] mafia[0] families[0] in[0] the[0] city[0] the[0] afro[0] americans[0] against[-1] the[0] chinese[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the youngest son of a chinese mafia chieftain is found murdered . 	the youngest son of a chinese mafia chieftain is found murdered .	1	-4	 the[0] youngest[0] son[0] of[0] a[0] chinese[0] mafia[0] chieftain[0] is[0] found[0] murdered[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the afro-americans are immediately suspected , but a peace treaty is signed between the two godfathers . 	the afro-americans are immediately suspected , but a peace treaty is signed between the two godfathers .	1	-1	 the[0] afro[0] americans[0] are[0] immediately[0] suspected[0] but[0] a[0] peace[0] treaty[0] is[0] signed[0] between[0] the[0] two[0] godfathers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is at this point that han ( the romeo of the story ) finds out about his brother's death . 	it is at this point that han ( the romeo of the story ) finds out about his brother's death .	1	-3	 it[0] is[0] at[0] this[0] point[0] that[0] han[0] the[0] romeo[0] of[0] the[0] story[0] finds[0] out[0] about[0] his[0] brother's[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
escaping from a prison in china , he returns to united states to avenge his brother's fate . 	escaping from a prison in china , he returns to united states to avenge his brother's fate .	1	-2	 escaping[0] from[0] a[0] prison[-1] in[0] china[0] he[0] returns[0] to[0] united[0] states[0] to[0] avenge[-1] his[0] brother's[0] fate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but before he can restore justice with his kung fu kicks , he falls in love with a mysterious beauty . 	but before he can restore justice with his kung fu kicks , he falls in love with a mysterious beauty .	3	-2	 but[0] before[0] he[0] can[0] restore[0] justice[0] with[0] his[0] kung[0] fu[0] kicks[-1] he[0] falls[0] in[0] love[2] with[0] a[0] mysterious[0] beauty[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
