you know that a movie has issues when most everyone in the audience comes out laughing . . . and 	Translation	Positive	Negative	EmotionRationale
it's not a comedy ! 	it's not a comedy !	1	-1	 it's[0] not[0] a[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what a strange career path for director chuck russell . 	and what a strange career path for director chuck russell .	1	-1	 and[0] what[0] a[0] strange[0] career[0] path[0] for[0] director[0] chuck[0] russell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he starts his career off with a decent take on the " nightmare on elm street " series with his debut as director on installment number three . 	he starts his career off with a decent take on the " nightmare on elm street " series with his debut as director on instalment number three .	1	-3	 he[0] starts[0] his[0] career[0] off[0] with[0] a[0] decent[0] take[0] on[0] the[0] nightmare[-2] on[0] elm[0] street[0] series[0] with[0] his[0] debut[0] as[0] director[0] on[0] installment/instalment[0] number[0] three[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he follows that up with the blob the very next year , but waits another six years to do his next piece , a little film called the mask starring jim carrey , and then one more star vehicle in eraser two years after that . 	he follows that up with the blob the very next year , but waits another six years to do his next piece , a little film called the mask starring jim carrey , and then one more star vehicle in eraser two years after that .	1	-2	 he[0] follows[0] that[0] up[0] with[0] the[0] blob[0] the[0] very[0] next[0] year[0] but[0] waits[0] another[0] six[0] years[0] to[0] do[0] his[0] next[0] piece[0] a[0] little[0] film[0] called[0] the[0] mask[0] starring[0] jim[0] carrey[0] and[0] then[0] one[0] more[0] star[0] vehicle[0] in[0] eraser[-1] two[0] years[0] after[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so then he thought , " let me wait another five years , get a weak script jammed with cliches and hope that jimmy smits and kim basinger could pull it out of its ashes " ? ! ? 	so then he thought , " let me wait another five years , get a weak script jammed with cliches and hope that jimmy smits and kim basinger could pull it out of its ashes " ?<br> !<br> ?	3	-2	 so[0] then[0] he[0] thought[0] let[0] me[0] wait[0] another[0] five[0] years[0] get[0] a[0] weak[-1] script[0] jammed[0] with[0] cliches[0] and[0] hope[2] that[0] jimmy[0] smits[0] and[0] kim[0] basinger[0] could[0] pull[0] it[0] out[0] of[0] its[0] ashes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
strange dude and one crappy flick . 	strange dude and one crappy flick .	1	-3	 strange[0] dude[0] and[0] one[0] crappy[-2] flick[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
plot : a six-year old girl is believed to be some kind of mysterious prophet sent down from god . 	plot : a six-year old girl is believed to be some kind of mysterious prophet sent down from god .	1	-1	 plot[0] a[0] six[0] year[0] old[0] girl[0] is[0] believed[0] to[0] be[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] mysterious[0] prophet[0] sent[0] down[0] from[0] god[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a satanic cult wants the girl to switch over to their side , while the girl's aunt wants to . . . well , 	a satanic cult wants the girl to switch over to their side , while the girl's aunt wants to .<br> .<br> .<br> well ,	1	-3	 a[0] satanic[-2] cult[0] wants[0] the[0] girl[0] to[0] switch[0] over[0] to[0] their[0] side[0] while[0] the[0] girl's[0] aunt[0] wants[0] to[0] [[Sentence=-3,1=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
save her from those damn devil worshippers ! 	save her from those damn devil worshippers !	2	-2	 save[1] her[0] from[0] those[0] damn[-1] devil[-1] worshippers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
enter one occult expert agent , plenty of bobo cops and lots of nuns praying , and you've just about got the gist of things here . 	enter one occult expert agent , plenty of bobo cops and lots of nuns praying , and you've just about got the gist of things here .	1	-1	 enter[0] one[0] occult[0] expert[0] agent[0] plenty[0] of[0] bobo[0] cops[0] and[0] lots[0] of[0] nuns[0] praying[0] and[0] you've[0] just[0] about[0] got[0] the[0] gist[0] of[0] things[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : with plot holes the size of my ass , this movie barely squeezes any sense out of its clich ? -ridden plot , with wasted talent , cheezy effects , bad dialogue and unintentional laughs to boot . 	critique : with plot holes the size of my ass , this movie barely squeezes any sense out of its clich ?<br> -ridden plot , with wasted talent , cheezy effects , bad dialogue and unintentional laughs to boot .	2	-2	 critique[0] with[0] plot[0] holes[0] the[0] size[0] of[0] my[0] ass[0] this[0] movie[0] barely[0] squeezes[0] any[0] sense[0] out[0] of[0] its[0] clich[0] [[Sentence=-1,1=word max, 1-5]] ridden[0] plot[0] with[0] wasted[-1] talent[1] cheezy[0] effects[0] bad[-1] dialogue[0] and[0] unintentional[0] laughs[1] to[0] boot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
