the marvelous british actor derek jacobi stars in writer and director john maybury's love is the devil about the popular modern artist francis bacon . 	Translation	Positive	Negative	EmotionRationale
as always , jacobi's acting is impeccable , but the movie tries hard and succeeds at being unentertaining and opaque . 	as always , jacobi's acting is impeccable , but the movie tries hard and succeeds at being unentertaining and opaque .	3	-1	 as[0] always[0] jacobi's[0] acting[0] is[0] impeccable[0] but[0] the[0] movie[0] tries[0] hard[0] and[0] succeeds[2] at[0] being[0] unentertaining[0] and[0] opaque[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie convincingly argues that francis , played by jacobi , was a completely despicable and vain individual , but it never provides any insight into his work or any motivation for his attitude . 	the movie convincingly argues that francis , played by jacobi , was a completely despicable and vain individual , but it never provides any insight into his work or any motivation for his attitude .	1	-5	 the[0] movie[0] convincingly[0] argues[-1] that[0] francis[0] played[0] by[0] jacobi[0] was[0] a[0] completely[0] despicable[-3][-1 LastWordBoosterStrength] and[0] vain[-2] individual[0] but[0] it[0] never[0] provides[0] any[0] insight[0] into[0] his[0] work[0] or[0] any[0] motivation[0] for[0] his[0] attitude[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
when interviewed by a fawning talk show host , francis calls his style " chance brushstrokes . " 	when interviewed by a fawning talk show host , francis calls his style " chance brushstrokes .<br> "	1	-1	 when[0] interviewed[0] by[0] a[0] fawning[0] talk[0] show[0] host[0] francis[0] calls[0] his[0] style[0] chance[0] brushstrokes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starting with a burglary of francis's flat , the film uses loud sound effects that sound like they were lifted from a cheap horror movie . 	starting with a burglary of francis's flat , the film uses loud sound effects that sound like they were lifted from a cheap horror movie .	2	-4	 starting[0] with[0] a[0] burglary[-1] of[0] francis's[0] flat[0] the[0] film[0] uses[0] loud[0] sound[0] effects[0] that[0] sound[0] like[1] they[0] were[0] lifted[0] from[0] a[0] cheap[-1] horror[-3] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the camera shots are heavy on the avant-garde angles -- lots of wide-angle close-ups and distorted shots filmed through colored-glass reflections . 	the camera shots are heavy on the avant-garde angles - lots of wide-angle close-ups and distorted shots filmed through colored-glass reflections .	1	-2	 the[0] camera[0] shots[0] are[0] heavy[0] on[0] the[0] avant[0] garde[0] angles[0] lots[0] of[0] wide[0] angle[0] close[0] ups[0] and[0] distorted[-1] shots[0] filmed[0] through[0] colored[0] glass[0] reflections[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the director is much more interested in filmmaking style than in the substance of the story with the result being a sterile examination of a lonely and vain man . 	the director is much more interested in filmmaking style than in the substance of the story with the result being a sterile examination of a lonely and vain man .	2	-3	 the[0] director[0] is[0] much[0] more[0] interested[1] in[0] filmmaking[0] style[0] than[0] in[0] the[0] substance[0] of[0] the[0] story[0] with[0] the[0] result[0] being[0] a[0] sterile[0] examination[0] of[0] a[0] lonely[-1] and[0] vain[-2] man[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
daniel craig , in a lifeless performance , plays the burglar and boxer , george dyer . 	daniel craig , in a lifeless performance , plays the burglar and boxer , george dyer .	2	-2	 daniel[0] craig[0] in[0] a[0] lifeless[-1] performance[0] plays[1] the[0] burglar[-1] and[0] boxer[0] george[0] dyer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when francis lays eyes on him after the break-in , francis promises not to call the police if he'll stay for sex . 	when francis lays eyes on him after the break-in , francis promises not to call the police if he'll stay for sex .	2	-1	 when[0] francis[0] lays[0] eyes[0] on[0] him[0] after[0] the[0] break[0] in[0] francis[0] promises[1] not[0] to[0] call[0] the[0] police[0] if[0] he'll[0] stay[0] for[0] sex[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he stays for the entire movie but never respects the man with whom he shares a bed . 	he stays for the entire movie but never respects the man with whom he shares a bed .	1	-3	 he[0] stays[0] for[0] the[0] entire[0] movie[0] but[0] never[0] respects[2][NegatedDueToPreviousWord] the[0] man[0] with[0] whom[0] he[0] shares[0] a[0] bed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he thinks that francis's paintings have " no bloody use , " and the movie presents no counterargument . 	he thinks that francis's paintings have " no bloody use , " and the movie presents no counterargument .	1	-2	 he[0] thinks[0] that[0] francis's[0] paintings[0] have[0] no[0] bloody[-1] use[0] and[0] the[0] movie[0] presents[0] no[0] counterargument[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
writer maybury barely outlines francis's character , and george and the rest of the supporting cast remain a complete enigma . 	writer maybury barely outlines francis's character , and george and the rest of the supporting cast remain a complete enigma .	2	-1	 writer[0] maybury[0] barely[0] outlines[0] francis's[0] character[0] and[0] george[0] and[0] the[0] rest[0] of[0] the[0] supporting[1] cast[0] remain[0] a[0] complete[0] enigma[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we learn little of george other than francis's reason for liking him -- george's " amorality and innocence . " 	we learn little of george other than francis's reason for liking him - george's " amorality and innocence .<br> "	3	-3	 we[0] learn[0] little[0] of[0] george[0] other[0] than[0] francis's[0] reason[0] for[0] liking[2] him[0] george's[0] amorality[-2] and[0] innocence[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
francis's love of sadomasochism is shown early and often . 	francis's love of sadomasochism is shown early and often .	3	-1	 francis's[0] love[2] of[0] sadomasochism[0] is[0] shown[0] early[0] and[0] often[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " boxing is such a marvelous aperitif for sex , " he reflects to george on the way to watch a boxing match . 	 " boxing is such a marvelous aperitif for sex , " he reflects to george on the way to watch a boxing match .	1	-1	 boxing[0] is[0] such[0] a[0] marvelous[0] aperitif[0] for[0] sex[0] he[0] reflects[0] to[0] george[0] on[0] the[0] way[0] to[0] watch[0] a[0] boxing[0] match[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the fighter's head is sliced open with a heavy blow , the camera cuts to a gleeful francis whose own head is soaked by the flying blood . 	as the fighter's head is sliced open with a heavy blow , the camera cuts to a gleeful francis whose own head is soaked by the flying blood .	1	-3	 as[0] the[0] fighter's[-2] head[0] is[0] sliced[0] open[0] with[0] a[0] heavy[0] blow[0] the[0] camera[0] cuts[0] to[0] a[0] gleeful[0] francis[0] whose[0] own[0] head[0] is[0] soaked[0] by[0] the[0] flying[0] blood[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
francis appears to be in complete ecstasy . 	francis appears to be in complete ecstasy .	5	-1	 francis[0] appears[0] to[0] be[0] in[0] complete[0] ecstasy[3][1 LastWordBoosterStrength] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
another of francis's favorite activities is viewing old movies of atrocities . 	another of francis's favorite activities is viewing old movies of atrocities .	2	-1	 another[0] of[0] francis's[0] favorite[1] activities[0] is[0] viewing[0] old[0] movies[0] of[0] atrocities[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the carnage mounts , we witness an orgasmically happy francis in the audience . 	as the carnage mounts , we witness an orgasmically happy francis in the audience .	2	-1	 as[0] the[0] carnage[0] mounts[0] we[0] witness[0] an[0] orgasmically[0] happy[1] francis[0] in[0] the[0] audience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in a film that tries obsessively to shock , one dream sequence portrays a family in a car accident . 	in a film that tries obsessively to shock , one dream sequence portrays a family in a car accident .	1	-3	 in[0] a[0] film[0] that[0] tries[0] obsessively[-2] to[0] shock[-2] one[0] dream[0] sequence[0] portrays[0] a[0] family[0] in[0] a[0] car[0] accident[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
francis's mind slowly examines every bloody limb of the mother , the father , and the boy . 	francis's mind slowly examines every bloody limb of the mother , the father , and the boy .	1	-2	 francis's[0] mind[0] slowly[0] examines[0] every[0] bloody[-1] limb[0] of[0] the[0] mother[0] the[0] father[0] and[0] the[0] boy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sometimes the script throws us tidbits of francis's wisdom which illuminate little while merely sounding insightful . 	sometimes the script throws us tidbits of francis's wisdom which illuminate little while merely sounding insightful .	1	-1	 sometimes[0] the[0] script[0] throws[0] us[0] tidbits[0] of[0] francis's[0] wisdom[0] which[0] illuminate[0] little[0] while[0] merely[0] sounding[0] insightful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( " i'm optimistic by nature . 	 ( " i'm optimistic by nature .	2	-1	 i'm[0] optimistic[1] by[0] nature[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm optimistic about nothing . " 	i'm optimistic about nothing .<br> "	2	-1	 i'm[0] optimistic[1] about[0] nothing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " loneliness is my only true companion . " ) 	 " loneliness is my only true companion .<br> " )	2	-2	 loneliness[-1] is[0] my[0] only[0] true[1] companion[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we learn more details about francis's makeup techniques than about the man himself . 	we learn more details about francis's makeup techniques than about the man himself .	1	-1	 we[0] learn[0] more[0] details[0] about[0] francis's[0] makeup[0] techniques[0] than[0] about[0] the[0] man[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he prefers shoe polish for his hair and sink cleaning powder for his teeth . 	he prefers shoe polish for his hair and sink cleaning powder for his teeth .	1	-1	 he[0] prefers[0] shoe[0] polish[0] for[0] his[0] hair[0] and[0] sink[0] cleaning[0] powder[0] for[0] his[0] teeth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
full of metaphorical interpretations , the film's best scene occurs late one night when george has to get up to go to the bathroom . 	full of metaphorical interpretations , the film's best scene occurs late one night when george has to get up to go to the bathroom .	2	-1	 full[0] of[0] metaphorical[0] interpretations[0] the[0] film's[0] best[1] scene[0] occurs[0] late[0] one[0] night[0] when[0] george[0] has[0] to[0] get[0] up[0] to[0] go[0] to[0] the[0] bathroom[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mistaking francis's picture of a toilet for the genuine article , he urinates on it and then crawls back into bed contentedly . 	mistaking francis's picture of a toilet for the genuine article , he urinates on it and then crawls back into bed contentedly .	2	-2	 mistaking[-1] francis's[0] picture[0] of[0] a[0] toilet[0] for[0] the[0] genuine[0] article[0] he[0] urinates[0] on[0] it[0] and[0] then[0] crawls[0] back[0] into[0] bed[0] contentedly[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like a parody of a bad art house movie , love is the devil has horrid characters filmed bizarrely and confusingly by a director who is much more interested in technique than storytelling . 	like a parody of a bad art house movie , love is the devil has horrid characters filmed bizarrely and confusingly by a director who is much more interested in technique than storytelling .	3	-4	 like[1] a[0] parody[0] of[0] a[0] bad[-1] art[0] house[0] movie[0] love[2] is[0] the[0] devil[-1] has[0] horrid[-3] characters[0] filmed[0] bizarrely[0] and[0] confusingly[-1] by[0] a[0] director[0] who[0] is[0] much[0] more[0] interested[1] in[0] technique[0] than[0] storytelling[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
by the end , the audience hasn't learned any more than it could have in a three-minute sketch . 	by the end , the audience hasn't learned any more than it could have in a three-minute sketch .	1	-1	 by[0] the[0] end[0] the[0] audience[0] hasn't[0] learned[0] any[0] more[0] than[0] it[0] could[0] have[0] in[0] a[0] three[0] minute[0] sketch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
love is the devil runs 1 : 30 . 	love is the devil runs 1 : 30 .	3	-2	 love[2] is[0] the[0] devil[-1] runs[0] 1[0] 30[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film is not rated but should be considered nc-17 for violence , profanity , graphic sex , nudity and sadomasochism and is unacceptable for most teenagers . 	the film is not rated but should be considered nc-17 for violence , profanity , graphic sex , nudity and sadomasochism and is unacceptable for most teenagers .	1	-4	 the[0] film[0] is[0] not[0] rated[0] but[0] should[0] be[0] considered[0] nc[0] -17[0] for[0] violence[-3] profanity[0] graphic[0] sex[0] nudity[0] and[0] sadomasochism[0] and[0] is[0] unacceptable[0] for[0] most[0] teenagers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
