as a hot-shot defense attorney , kevin lomax ( keanu reeves ) has a special talent for picking juries that will ultimately acquit his clients . 	Translation	Positive	Negative	EmotionRationale
he is also an excellent judge of character , knowing just which strings to pull to sway the jury while breaking down a potentially damaging witness's testimony . 	he is also an excellent judge of character , knowing just which strings to pull to sway the jury while breaking down a potentially damaging witness's testimony .	4	-1	 he[0] is[0] also[0] an[0] excellent[3] judge[0] of[0] character[0] knowing[0] just[0] which[0] strings[0] to[0] pull[0] to[0] sway[0] the[0] jury[0] while[0] breaking[0] down[0] a[0] potentially[0] damaging[0] witness's[0] testimony[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and , on top of that , he's a damn good trial lawyer . 	and , on top of that , he's a damn good trial lawyer .	2	-2	 and[0] on[0] top[0] of[0] that[0] he's[0] a[0] damn[-1] good[1] trial[0] lawyer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the opening scene , it is obvious that the defendant that he represents is guilty , but it doesn't hamper lomax's desire to creatively squeeze his client through the doors of reasonable doubt , thereby getting an acquittal . 	in the opening scene , it is obvious that the defendant that he represents is guilty , but it doesn't hamper lomax's desire to creatively squeeze his client through the doors of reasonable doubt , thereby getting an acquittal .	1	-4	 in[0] the[0] opening[0] scene[0] it[0] is[0] obvious[0] that[0] the[0] defendant[-1] that[0] he[0] represents[0] is[0] guilty[-3] but[0] it[0] doesn't[0] hamper[0] lomax's[0] desire[0] to[0] creatively[0] squeeze[0] his[0] client[0] through[0] the[0] doors[0] of[0] reasonable[0] doubt[-1] thereby[0] getting[0] an[0] acquittal[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his unblemished record of victories soon captures the attention of one of the most prestigious firms in the country , headed by john milton ( al pacino ) . 	his unblemished record of victories soon captures the attention of one of the most prestigious firms in the country , headed by john milton ( al pacino ) .	1	-2	 his[0] unblemished[0] record[0] of[0] victories[0] soon[0] captures[-1] the[0] attention[0] of[0] one[0] of[0] the[0] most[0] prestigious[0] firms[0] in[0] the[0] country[0] headed[0] by[0] john[0] milton[0] al[0] pacino[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is brought to their headquarters in nyc , where he immediately impresses milton , and is subsequently offered a full-time position as head of their newly-created criminal law division . 	he is brought to their headquarters in nyc , where he immediately impresses milton , and is subsequently offered a full-time position as head of their newly-created criminal law division .	2	-2	 he[0] is[0] brought[0] to[0] their[0] headquarters[0] in[0] nyc[0] where[0] he[0] immediately[0] impresses[1] milton[0] and[0] is[0] subsequently[0] offered[0] a[0] full[0] time[0] position[0] as[0] head[0] of[0] their[0] newly[0] created[0] criminal[-1] law[0] division[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lomax is soon given the case of his life . 	lomax is soon given the case of his life .	1	-1	 lomax[0] is[0] soon[0] given[0] the[0] case[0] of[0] his[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he must defend a real estate tycoon who has been charged with a triple homicide . 	he must defend a real estate tycoon who has been charged with a triple homicide .	1	-2	 he[0] must[0] defend[0] a[0] real[0] estate[0] tycoon[0] who[0] has[0] been[0] charged[-1] with[0] a[0] triple[0] homicide[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the draw of fame and his desire to prove just how good he really is begins to isolate him in his own hell . 	the draw of fame and his desire to prove just how good he really is begins to isolate him in his own hell .	2	-2	 the[0] draw[0] of[0] fame[0] and[0] his[0] desire[0] to[0] prove[0] just[0] how[0] good[1] he[0] really[0] is[0] begins[0] to[0] isolate[-1] him[0] in[0] his[0] own[0] hell[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he works late , defends the guilty , pledges his soul to his firm , and begins to neglect his smart but fretful wife , mary ann ( charlize theron ) . 	he works late , defends the guilty , pledges his soul to his firm , and begins to neglect his smart but fretful wife , mary an ( charlize theron ) .	2	-4	 he[0] works[0] late[0] defends[0] the[0] guilty[-3] pledges[0] his[0] soul[0] to[0] his[0] firm[0] and[0] begins[0] to[0] neglect[0] his[0] smart[1] but[0] fretful[-2] wife[0] mary[0] ann/an[0] charlize[0] theron[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but what starts off as a promising john grisham-like story about conscience-stricken lawyers takes an abrupt detour as supernatural forces begin to tinker with the story . 	but what starts off as a promising john grisham-like story about conscience-stricken lawyers takes an abrupt detour as supernatural forces begin to tinker with the story .	2	-2	 but[0] what[0] starts[0] off[0] as[0] a[0] promising[1] john[0] grisham[0] like[1] story[0] about[0] conscience[0] stricken[-1] lawyers[0] takes[0] an[0] abrupt[-1] detour[0] as[0] supernatural[0] forces[0] begin[0] to[0] tinker[0] with[0] the[0] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it begins like a typical parable where a small-town boy makes it big , but then has to balance his sense of self against the allure of money , power , and greed . 	it begins like a typical parable where a small-town boy makes it big , but then has to balance his sense of self against the allure of money , power , and greed .	2	-3	 it[0] begins[0] like[1] a[0] typical[0] parable[0] where[0] a[0] small[0] town[0] boy[0] makes[0] it[0] big[0] but[0] then[0] has[0] to[0] balance[0] his[0] sense[0] of[0] self[0] against[-1] the[0] allure[0] of[0] money[0] power[0] and[0] greed[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but milton is far more than just a corrupt partner of the firm . 	but milton is far more than just a corrupt partner of the firm .	1	-3	 but[0] milton[0] is[0] far[0] more[0] than[0] just[0] a[0] corrupt[-2] partner[0] of[0] the[0] firm[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
quite literally , he is the devil in disguise , and as the movie progresses , he reveals some uncanny talents that one could have only if he had sold his soul long ago . 	quite literally , he is the devil in disguise , and as the movie progresses , he reveals some uncanny talents that one could have only if he had sold his soul long ago .	2	-2	 quite[0] literally[0] he[0] is[0] the[0] devil[-1] in[0] disguise[-1] and[0] as[0] the[0] movie[0] progresses[0] he[0] reveals[0] some[0] uncanny[0] talents[1] that[0] one[0] could[0] have[0] only[0] if[0] he[0] had[0] sold[0] his[0] soul[0] long[0] ago[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
freaky and frightening things begin to happen , and after much of the film has elasped , milton's horrifying intent is finally revealed . 	freaky and frightening things begin to happen , and after much of the film has elasped , milton's horrifying intent is finally revealed .	1	-4	 freaky[-1] and[0] frightening[-3] things[0] begin[0] to[0] happen[0] and[0] after[0] much[0] of[0] the[0] film[0] has[0] elasped[0] milton's[0] horrifying[-3] intent[0] is[0] finally[0] revealed[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie tries to give us two separate and distinct acts . 	the movie tries to give us two separate and distinct acts .	1	-1	 the[0] movie[0] tries[0] to[0] give[0] us[0] two[0] separate[0] and[0] distinct[0] acts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first involves the comeuppance of lomax as a big-city trial lawyer . 	the first involves the comeuppance of lomax as a big-city trial lawyer .	1	-1	 the[0] first[0] involves[0] the[0] comeuppance[0] of[0] lomax[0] as[0] a[0] big[0] city[0] trial[0] lawyer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the second focuses on milton and his ulterior motive for employing lomax . 	the second focuses on milton and his ulterior motive for employing lomax .	1	-1	 the[0] second[0] focuses[0] on[0] milton[0] and[0] his[0] ulterior[0] motive[0] for[0] employing[0] lomax[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , the two never mix well into a cohesive story , and what we get are two underdeveloped stories that rely too much on one shaky revelation to tie them together and an impressive production piece to give it an underlying atmosphere . 	unfortunately , the two never mix well into a cohesive story , and what we get are two underdeveloped stories that rely too much on one shaky revelation to tie them together and an impressive production piece to give it an underlying atmosphere .	2	-2	 unfortunately[-1] the[0] two[0] never[0] mix[0] well[0] into[0] a[0] cohesive[0] story[0] and[0] what[0] we[0] get[0] are[0] two[0] underdeveloped[0] stories[0] that[0] rely[0] too[0] much[0] on[0] one[0] shaky[-1] revelation[0] to[0] tie[0] them[0] together[0] and[0] an[0] impressive[1] production[0] piece[0] to[0] give[0] it[0] an[0] underlying[0] atmosphere[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
granted , the film is very handsome-looking . 	granted , the film is very handsome-looking .	3	-1	 granted[0] the[0] film[0] is[0] very[0] handsome[1][1 LastWordBoosterStrength] looking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you'll enjoy the final scene where the wall mural seemingly comes to life during a heated speech given by pacino . 	you'll enjoy the final scene where the wall mural seemingly comes to life during a heated speech given by pacino .	3	-1	 you'll[0] enjoy[2] the[0] final[0] scene[0] where[0] the[0] wall[0] mural[0] seemingly[0] comes[0] to[0] life[0] during[0] a[0] heated[0] speech[0] given[0] by[0] pacino[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you'll also like the images of power and temptation expressed through the fleshy and flashy parties . 	you'll also like the images of power and temptation expressed through the fleshy and flashy parties .	2	-2	 you'll[0] also[0] like[1] the[0] images[0] of[0] power[0] and[0] temptation[-1] expressed[0] through[0] the[0] fleshy[0] and[0] flashy[0] parties[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you'll also feel the loneliness and insanity that sets in with mary ann , knowing that her husband is slowly drifting away . 	you'll also feel the loneliness and insanity that sets in with mary an , knowing that her husband is slowly drifting away .	1	-2	 you'll[0] also[0] feel[0] the[0] loneliness[-1] and[0] insanity[0] that[0] sets[0] in[0] with[0] mary[0] ann/an[0] knowing[0] that[0] her[0] husband[0] is[0] slowly[0] drifting[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this was one of the better storylines , but unfortunately , is only a sub-plot . 	this was one of the better storylines , but unfortunately , is only a sub-plot .	1	-2	 this[0] was[0] one[0] of[0] the[0] better[0] storylines[0] but[0] unfortunately[-1] is[0] only[0] a[0] sub[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as with all thing's involving the devil , you can expect nothing but the worst . 	as with all thing's involving the devil , you can expect nothing but the worst .	1	-3	 as[0] with[0] all[0] thing's[0] involving[0] the[0] devil[-1] you[0] can[0] expect[0] nothing[0] but[0] the[0] worst[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the first few scenes , reeves anchors the film , but then slowly drifts into the background . 	in the first few scenes , reeves anchors the film , but then slowly drifts into the background .	1	-1	 in[0] the[0] first[0] few[0] scenes[0] reeves[0] anchors[0] the[0] film[0] but[0] then[0] slowly[0] drifts[0] into[0] the[0] background[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his path from self-vanity to self-consciousness is never fully explored . 	his path from self-vanity to self-consciousness is never fully explored .	1	-2	 his[0] path[0] from[0] self[0] vanity[-1] to[0] self[0] consciousness[0] is[0] never[0] fully[0] explored[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his actions seem arbitrary , and his reasons for them not fully known . 	his actions seem arbitrary , and his reasons for them not fully known .	1	-2	 his[0] actions[0] seem[0] arbitrary[-1] and[0] his[0] reasons[0] for[0] them[0] not[0] fully[0] known[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pacino's comical portrayal is spirited , but the vanity of his character begins to shift the focus of the movie . 	pacino's comical portrayal is spirited , but the vanity of his character begins to shift the focus of the movie .	1	-2	 pacino's[0] comical[0] portrayal[0] is[0] spirited[0] but[0] the[0] vanity[-1] of[0] his[0] character[0] begins[0] to[0] shift[0] the[0] focus[0] of[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is another plot or two that is introduced , but never gets revisited . 	there is another plot or two that is introduced , but never gets revisited .	1	-1	 there[0] is[0] another[0] plot[0] or[0] two[0] that[0] is[0] introduced[0] but[0] never[0] gets[0] revisited[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the focus seemed inconsistent throughout , and the final payoff seemed quick and cheap . 	the focus seemed inconsistent throughout , and the final payoff seemed quick and cheap .	1	-2	 the[0] focus[0] seemed[0] inconsistent[-1] throughout[0] and[0] the[0] final[0] payoff[0] seemed[0] quick[0] and[0] cheap[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this movie tries to be horrifying , thrilling , and dramatic all at the same time . 	this movie tries to be horrifying , thrilling , and dramatic all at the same time .	4	-4	 this[0] movie[0] tries[0] to[0] be[0] horrifying[-3] thrilling[3] and[0] dramatic[0] all[0] at[0] the[0] same[0] time[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
however , while the devil's advocate strives to get noticed , ultimately it makes very little impression at all . 	however , while the devil's advocate strives to get noticed , ultimately it makes very little impression at all .	1	-2	 however[0] while[0] the[0] devil's[-1] advocate[0] strives[0] to[0] get[0] noticed[0] ultimately[0] it[0] makes[0] very[0] little[0] impression[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
