here's a rarity : a children's film that attempts to tackle a weighty subject , is there a god ? 	Translation	Positive	Negative	EmotionRationale
done well , it could have been a gem among the wasteland of modern children's cinema . 	done well , it could have been a gem among the wasteland of modern children's cinema .	1	-2	 done[0] well[0] it[0] could[0] have[0] been[0] a[0] gem[0] among[0] the[0] wasteland[-1] of[0] modern[0] children's[0] cinema[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , it isn't . 	unfortunately , it isn't .	1	-2	 unfortunately[-1] it[0] isn't[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with jumbled messages , and an unclear audience , wide awake was better left asleep . 	with jumbled messages , and an unclear audience , wide awake was better left asleep .	1	-2	 with[0] jumbled[0] messages[0] and[0] an[0] unclear[-1] audience[0] wide[0] awake[0] was[0] better[0] left[0] asleep[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fifth grader joshua beal ( joseph cross ) is in the middle of a moral crisis . 	fifth grader joshua beal ( joseph cross ) is in the middle of a moral crisis .	1	-3	 fifth[0] grader[0] joshua[0] beal[0] joseph[0] cross[-1] is[0] in[0] the[0] middle[0] of[0] a[0] moral[0] crisis[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his beloved grandfather ( robert loggia ) has died , and joshua has begun a quest . 	his beloved grandfather ( robert loggia ) has died , and joshua has begun a quest .	3	-1	 his[0] beloved[2] grandfather[0] robert[0] loggia[0] has[0] died[0] and[0] joshua[0] has[0] begun[0] a[0] quest[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he wants to find god , to discover why bad things happen . 	he wants to find god , to discover why bad things happen .	1	-2	 he[0] wants[0] to[0] find[0] god[0] to[0] discover[0] why[0] bad[-1] things[0] happen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this religious quest is slightly disturbing for his parents ( dana delany and denis leary ) , but they do their best to cope with their son as he explores different religious faiths . 	this religious quest is slightly disturbing for his parents ( dana delany and denis leary ) , but they do their best to cope with their son as he explores different religious faiths .	2	-1	 this[0] religious[0] quest[0] is[0] slightly[0] disturbing[-1][--1 LastWordBoosterStrength] for[0] his[0] parents[0] dana[0] delany[0] and[0] denis[0] leary[0] but[0] they[0] do[0] their[0] best[1] to[0] cope[0] with[0] their[0] son[0] as[0] he[0] explores[0] different[0] religious[0] faiths[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at his catholic school , his favorite teacher , sister terry ( rosie o'donnell ) , tries to give him guidance , but this is a journey he must make on his own . 	at his catholic school , his favorite teacher , sister terry ( rosie o'donnell ) , tries to give him guidance , but this is a journey he must make on his own .	2	-1	 at[0] his[0] catholic[0] school[0] his[0] favorite[1] teacher[0] sister[0] terry[0] rosie[0] o'donnell[0] tries[0] to[0] give[0] him[0] guidance[0] but[0] this[0] is[0] a[0] journey[0] he[0] must[0] make[0] on[0] his[0] own[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile , he is having the most momentous year of his life . 	meanwhile , he is having the most momentous year of his life .	3	-1	 meanwhile[0] he[0] is[0] having[0] the[0] most[0] momentous[2] year[0] of[0] his[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he has several adventures with his daredevil best friend dave ( timothy reifsnyder ) , he gets his first crush , and begins to wake up to the world around him while he is on his spiritual journey . 	he has several adventures with his daredevil best friend dave ( timothy reifsnyder ) , he gets his first crush , and begins to wake up to the world around him while he is on his spiritual journey .	2	-2	 he[0] has[0] several[0] adventures[0] with[0] his[0] daredevil[0] best[1] friend[1] dave[0] timothy[0] reifsnyder[0] he[0] gets[0] his[0] first[0] crush[-1] and[0] begins[0] to[0] wake[0] up[0] to[0] the[0] world[0] around[0] him[0] while[0] he[0] is[0] on[0] his[0] spiritual[0] journey[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is somewhat confusing as to what the real audience for wide awake is expected to be . 	it is somewhat confusing as to what the real audience for wide awake is expected to be .	1	-2	 it[0] is[0] somewhat[0] confusing[-1] as[0] to[0] what[0] the[0] real[0] audience[0] for[0] wide[0] awake[0] is[0] expected[0] to[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on its surface , it appears to be a kid's film . 	on its surface , it appears to be a kid's film .	1	-1	 on[0] its[0] surface[0] it[0] appears[0] to[0] be[0] a[0] kid's[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
