plot : a young french boy sees his parents killed before his eyes by tim roth , oops . . . i 	Translation	Positive	Negative	EmotionRationale
mean , an evil man . 	mean , an evil man .	1	-3	 mean[0] an[0] evil[-2] man[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he vows revenge on that man and is taught the ways of the musketeer by some old dude who used to be one himself ? 	he vows revenge on that man and is taught the ways of the musketeer by some old dude who used to be one himself ?	1	-2	 he[0] vows[0] revenge[-1] on[0] that[0] man[0] and[0] is[0] taught[0] the[0] ways[0] of[0] the[0] musketeer[0] by[0] some[0] old[0] dude[0] who[0] used[0] to[0] be[0] one[0] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyway , fourteen years go by and . . . arrgh , well , you know the rest . . . swish-swish-zzzzzzz ! 	anyway , fourteen years go by and .<br> .<br> .<br> arrgh , well , you know the rest .<br> .<br> .<br> swish-swish-z !	2	-1	 anyway[0] fourteen[0] years[0] go[0] by[0] and[0] [[Sentence=-1,1=word max, 1-5]] arrgh[0] well[0] you[0] know[0] the[0] rest[0] [[Sentence=-1,1=word max, 1-5]] swish[0] swish[0] zzzzzzz/z[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
critique : this is a pretty bad movie . 	critique : this is a pretty bad movie .	3	-2	 critique[0] this[0] is[0] a[0] pretty[2] bad[-1] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
let's see , where should i start ? 	let's see , where should i start ?	1	-1	 let's[0] see[0] where[0] should[0] i[0] start[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
okay , first of all , the story is just plain boring . 	okay , first of all , the story is just plain boring .	1	-2	 okay[0] first[0] of[0] all[0] the[0] story[0] is[0] just[0] plain[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not original , is entirely predictable and lacks energy . 	it's not original , is entirely predictable and lacks energy .	1	-1	 it's[0] not[0] original[0] is[0] entirely[0] predictable[0] and[0] lacks[0] energy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
okay , what's next ? 	okay , what's next ?	1	-1	 okay[0] what's[0] next[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
acting , you say . 	acting , you say .	1	-1	 acting[0] you[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hmmmm , well , the main actor , justin chambers , is basically an uncharismatic version of chris o'donnell but with less range ( think about that ! ) , and mena suvari , is just plain off . 	hm , well , the main actor , justin chambers , is basically an uncharismatic version of chris o'donnell but with less range ( think about that !<br> ) , and mena suvari , is just plain off .	2	-1	 hmmmm/hm[0][+0.6 MultipleLetters] well[0] the[0] main[0] actor[0] justin[0] chambers[0] is[0] basically[0] an[0] uncharismatic[0] version[0] of[0] chris[0] o'donnell[0] but[0] with[0] less[0] range[0] think[0] about[0] that[0] [[Sentence=-1,2=word max, 1-5]] and[0] mena[0] suvari[0] is[0] just[0] plain[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
