the recent onslaught of film noir that has popped up in multiplexes , with everything ranging from " l . a . confidential " to " palmetto " to " the big lebowski , " has proved to be an artistic commodity for veteran , talented directors . 	Translation	Positive	Negative	EmotionRationale
with this particular genre , directors are able to collate the sleazy underworld of the lower-class and the glamorous , opulent upper-class , while maintaining the noirish , ambiguous ambience , the staple of film noir . 	with this particular genre , directors are able to collate the sleazy underworld of the lower-class and the glamorous , opulent upper-class , while maintaining the noirish , ambiguous ambience , the staple of film noir .	2	-3	 with[0] this[0] particular[0] genre[0] directors[0] are[0] able[0] to[0] collate[0] the[0] sleazy[-2] underworld[-1] of[0] the[0] lower[0] class[0] and[0] the[0] glamorous[1] opulent[0] upper[0] class[0] while[0] maintaining[0] the[0] noirish[0] ambiguous[-1] ambience[0] the[0] staple[0] of[0] film[0] noir[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " wild things " could be classified as a black comedy , a sultry film noir or a plain ol' erotic thriller , but the one category it doesn't qualify for is that of a quality motion picture . 	 " wild things " could be classified as a black comedy , a sultry film noir or a plain ol' erotic thriller , but the one category it doesn't qualify for is that of a quality motion picture .	2	-1	 wild[0] things[0] could[0] be[0] classified[0] as[0] a[0] black[0] comedy[0] a[0] sultry[0] film[0] noir[0] or[0] a[0] plain[0] ol'[0] erotic[0] thriller[1] but[0] the[0] one[0] category[0] it[0] doesn't[0] qualify[0] for[0] is[0] that[0] of[0] a[0] quality[0] motion[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
overacted , overwrought and overlong , " wild things " is a confused mess , a movie that wants to have its cake and eat it too . 	overacted , overwrought and overlong , " wild things " is a confused mess , a movie that wants to have its cake and eat it too .	1	-2	 overacted[0] overwrought[0] and[0] overlong[0] wild[0] things[0] is[0] a[0] confused[-1] mess[0] a[0] movie[0] that[0] wants[0] to[0] have[0] its[0] cake[0] and[0] eat[0] it[0] too[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with its incalculable twists , turns , more twists and more turns , it soon becomes a tedious exercise in pointlessness . 	with its incalculable twists , turns , more twists and more turns , it soon becomes a tedious exercise in pointlessness .	1	-3	 with[0] its[0] incalculable[0] twists[0] turns[0] more[0] twists[0] and[0] more[0] turns[0] it[0] soon[0] becomes[0] a[0] tedious[-2] exercise[0] in[0] pointlessness[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in spite of game efforts by kevin bacon and matt dillon , who manage to sustain straight faces throughout the ordeal , " wild things " not once jells in its eroticism , unpredictability , character motivation , sense of the world , plot , etc . there's not one redeeming quality in the picture that is not technical . 	in spite of game efforts by kevin bacon and matt dillon , who manage to sustain straight faces throughout the ordeal , " wild things " not once jells in its eroticism , unpredictability , character motivation , sense of the world , plot , etc .<br> there's not one redeeming quality in the picture that is not technical .	1	-4	 in[0] spite[-3] of[0] game[0] efforts[0] by[0] kevin[0] bacon[0] and[0] matt[0] dillon[0] who[0] manage[0] to[0] sustain[0] straight[0] faces[0] throughout[0] the[0] ordeal[-2] wild[0] things[0] not[0] once[0] jells[0] in[0] its[0] eroticism[0] unpredictability[0] character[0] motivation[0] sense[0] of[0] the[0] world[0] plot[0] etc[0] [[Sentence=-4,1=word max, 1-5]] there's[0] not[0] one[0] redeeming[0] quality[0] in[0] the[0] picture[0] that[0] is[0] not[0] technical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
directed by john mcnaughton ( " henry : portrait of a serial killer " ) , " wild things " follows sam lombardo ( matt dillon ) , a hunkish , suburban florida high school teacher who's the dream of every spruced up female in the community . 	directed by john mcnaughton ( " henry : portrait of a serial killer " ) , " wild things " follows sam lombardo ( matt dillon ) , a hunkish , suburban florida high school teacher who's the dream of every spruced up female in the community .	1	-2	 directed[0] by[0] john[0] mcnaughton[0] henry[0] portrait[0] of[0] a[0] serial[0] killer[-1] wild[0] things[0] follows[0] sam[0] lombardo[0] matt[0] dillon[0] a[0] hunkish[0] suburban[0] florida[0] high[0] school[0] teacher[0] who's[0] the[0] dream[0] of[0] every[0] spruced[0] up[0] female[0] in[0] the[0] community[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
particularly one . 	particularly one .	1	-1	 particularly[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kelly van ryan ( denise richards ) adores him to such extent that she offers to wash his jeep with a partner . 	kelly van ryan ( denise richards ) adores him to such extent that she offers to wash his jeep with a partner .	4	-1	 kelly[0] van[0] ryan[0] denise[0] richards[0] adores[3] him[0] to[0] such[0] extent[0] that[0] she[0] offers[0] to[0] wash[0] his[0] jeep[0] with[0] a[0] partner[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
soon , her tiny shorts are soaked and tells the other girl to take a hike , enabling her to come into his house . 	soon , her tiny shorts are soaked and tells the other girl to take a hike , enabling her to come into his house .	1	-1	 soon[0] her[0] tiny[0] shorts[0] are[0] soaked[0] and[0] tells[0] the[0] other[0] girl[0] to[0] take[0] a[0] hike[0] enabling[0] her[0] to[0] come[0] into[0] his[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
next thing , she cries rape . 	next thing , she cries rape .	1	-5	 next[0] thing[0] she[0] cries[-2] rape[-3][-1 MultiplePositiveWords] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
