 " snake eyes " is the most aggravating kind of movie : the kind that shows so much potential then becomes unbelievably disappointing . 	Translation	Positive	Negative	EmotionRationale
it's not just because this is a brian depalma film , and since he's a great director and one who's films are always greeted with at least some fanfare . 	it's not just because this is a brian depalma film , and since he's a great director and one who's films are always greeted with at least some fanfare .	3	-1	 it's[0] not[0] just[0] because[0] this[0] is[0] a[0] brian[0] depalma[0] film[0] and[0] since[0] he's[0] a[0] great[2] director[0] and[0] one[0] who's[0] films[0] are[0] always[0] greeted[0] with[0] at[0] least[0] some[0] fanfare[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and it's not even because this was a film starring nicolas cage and since he gives a brauvara performance , this film is hardly worth his talents . 	and it's not even because this was a film starring nicolas cage and since he gives a brauvara performance , this film is hardly worth his talents .	2	-1	 and[0] it's[0] not[0] even[0] because[0] this[0] was[0] a[0] film[0] starring[0] nicolas[0] cage[0] and[0] since[0] he[0] gives[0] a[0] brauvara[0] performance[0] this[0] film[0] is[0] hardly[0] worth[0] his[0] talents[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's worse than that . 	it's worse than that .	1	-3	 it's[0] worse[-2] than[0] that[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's aggravating for the sole reason that its story could be so much more , could be totally intelligent , and it opens up with absolutely no subtlety that it will be handled complexly and intensely . . . then at one point in the movie makes on wrong turn that leads it to the hall of fame of half-assedness . 	it's aggravating for the sole reason that its story could be so much more , could be totally intelligent , and it opens up with absolutely no subtlety that it will be handled complexly and intensely .<br> .<br> .<br> then at one point in the movie makes on wrong turn that leads it to the hall of fame of half-assedness .	3	-3	 it's[0] aggravating[-2] for[0] the[0] sole[0] reason[0] that[0] its[0] story[0] could[0] be[0] so[0] much[0] more[0] could[0] be[0] totally[0] intelligent[1][1 LastWordBoosterStrength] and[0] it[0] opens[0] up[0] with[0] absolutely[0] no[0] subtlety[0] that[0] it[0] will[0] be[0] handled[0] complexly[0] and[0] intensely[0] [[Sentence=-3,3=word max, 1-5]] then[0] at[0] one[0] point[0] in[0] the[0] movie[0] makes[0] on[0] wrong[-1] turn[0] that[0] leads[0] it[0] to[0] the[0] hall[0] of[0] fame[0] of[0] half[0] assedness[0] [[Sentence=-2,1=word max, 1-5]][[[3,-3 max of sentences]]]
or more deservedly , the hall of fame of the eighth-assedness . 	or more deservedly , the hall of fame of the eighth-assedness .	1	-1	 or[0] more[0] deservedly[0] the[0] hall[0] of[0] fame[0] of[0] the[0] eighth[0] assedness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in certain circles , " snake eyes " was being advertised as a kind of modern day version of kurosawa's classic " rashomon , " where a crime is told from the four different ( and i mean different ) perspectives , and it looks as though it may actually be just like this with the opening , which , i might add , is superb . 	in certain circles , " snake eyes " was being advertised as a kind of modern day version of kurosawa's classic " rashomon , " where a crime is told from the four different ( and i mean different ) perspectives , and it looks as though it may actually be just like this with the opening , which , i might add , is superb .	2	-2	 in[0] certain[0] circles[0] snake[0] eyes[0] was[0] being[0] advertised[0] as[0] a[0] kind[1] of[0] modern[0] day[0] version[0] of[0] kurosawa's[0] classic[0] rashomon[0] where[0] a[0] crime[-1] is[0] told[0] from[0] the[0] four[0] different[0] and[0] i[0] mean[0] different[0] perspectives[0] and[0] it[0] looks[0] as[0] though[0] it[0] may[0] actually[0] be[0] just[0] like[1][-1 LastWordBoosterStrength] this[0] with[0] the[0] opening[0] which[0] i[0] might[0] add[0] is[0] superb[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in one very very very long steadicam shot , we meet the protagonist , crooked atlantic city detective , rick santoro ( cage ) , and follow him before a boxing match as he talks on his cell phone with his wife , interupts a pay-per-view event on tv , chases down a gambler , enters the arena all pumped up for the fight , sits down and talks with his bud , kevin dunne ( gary sinise , who's character should not be confused with that of actor kevin dunn , who's also in this ) , and watches as it happens . 	in one very very very long steadicam shot , we meet the protagonist , crooked atlantic city detective , rick santoro ( cage ) , and follow him before a boxing match as he talks on his cell phone with his wife , interupts a pay-per-view event on tv , chases down a gambler , enters the arena all pumped up for the fight , sits down and talks with his bud , kevin dune ( gary sinise , who's character should not be confused with that of actor kevin dun , who's also in this ) , and watches as it happens .	2	-3	 in[0] one[0] very[0] very[0] very[0] long[0] steadicam[0] shot[-1] we[0] meet[0] the[0] protagonist[0] crooked[-1] atlantic[0] city[0] detective[0] rick[0] santoro[0] cage[0] and[0] follow[0] him[0] before[0] a[0] boxing[0] match[0] as[0] he[0] talks[0] on[0] his[0] cell[0] phone[0] with[0] his[0] wife[0] interupts[0] a[0] pay[0] per[0] view[0] event[0] on[0] tv[0] chases[-1] down[0] a[0] gambler[-1] enters[0] the[0] arena[0] all[0] pumped[0] up[0] for[0] the[0] fight[-2] sits[0] down[0] and[0] talks[0] with[0] his[0] bud[0] kevin[0] dunne/dune[0] gary[0] sinise[0] who's[0] character[0] should[0] not[0] be[0] confused[-1][NegatedDueToPreviousWord] with[0] that[0] of[0] actor[0] kevin[0] dunn/dun[0] who's[0] also[0] in[0] this[0] and[0] watches[0] as[0] it[0] happens[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there's a big name in the crowd , and that's the secretary of defense , charles kirkland ( joel fabiani ) , who's sitting behind rick , and who gets shot a second after the heavyweight champion , lincoln tyler ( stan shaw ) , is knocked out . 	there's a big name in the crowd , and that's the secretary of defense , charles kirkland ( joel fabiani ) , who's sitting behind rick , and who gets shot a second after the heavyweight champion , lincoln tyler ( stan shaw ) , is knocked out .	1	-2	 there's[0] a[0] big[0] name[0] in[0] the[0] crowd[0] and[0] that's[0] the[0] secretary[0] of[0] defense[0] charles[0] kirkland[0] joel[0] fabiani[0] who's[0] sitting[0] behind[0] rick[0] and[0] who[0] gets[0] shot[-1] a[0] second[0] after[0] the[0] heavyweight[0] champion[0] lincoln[0] tyler[0] stan[0] shaw[0] is[0] knocked[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this all happens in the opening shot , and it creates so many red herrings and possibilities of what happened that it opens this scene up for close examination and total deconstruction . 	this all happens in the opening shot , and it creates so many red herrings and possibilities of what happened that it opens this scene up for close examination and total deconstruction .	1	-2	 this[0] all[0] happens[0] in[0] the[0] opening[0] shot[-1] and[0] it[0] creates[0] so[0] many[0] red[0] herrings[0] and[0] possibilities[0] of[0] what[0] happened[0] that[0] it[0] opens[0] this[0] scene[0] up[0] for[0] close[0] examination[0] and[0] total[0] deconstruction[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what really happened , this film asks , and it sets this film up extremely well for when rick begins to question people and get different perspectives on the scene . . . and 	what really happened , this film asks , and it sets this film up extremely well for when rick begins to question people and get different perspectives on the scene .<br> .<br> .<br> and	1	-1	 what[0] really[0] happened[0] this[0] film[0] asks[0] and[0] it[0] sets[0] this[0] film[0] up[0] extremely[0] well[0] for[0] when[0] rick[0] begins[0] to[0] question[0] people[0] and[0] get[0] different[0] perspectives[0] on[0] the[0] scene[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
