mugshot ( director/writer/cinematographer/editor : matt mahurin ; cast : belinda becker ( stella ) , michael williams ( rumor ) , robert knepper ( joe/chris ) , robert walker ( random ) , willie lassic ( young brother of rumor ) , maxine joiner ( rumor's mother ) ; runtime : 87 ; mortal films ; 1995 ) 	Translation	Positive	Negative	EmotionRationale
reviewed by dennis schwartz 	reviewed by dennis schwartz	1	-1	 reviewed[0] by[0] dennis[0] schwartz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bleak indie film about a stolen identity . 	a bleak indie film about a stolen identity .	1	-2	 a[0] bleak[-1] indie[0] film[0] about[0] a[0] stolen[-1] identity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's not much more to this visually stylish film than what meets the eye , as it relies on shock to tell its story of a prolonged vicious mugging . 	there's not much more to this visually stylish film than what meets the eye , as it relies on shock to tell its story of a prolonged vicious mugging .	1	-4	 there's[0] not[0] much[0] more[0] to[0] this[0] visually[0] stylish[0] film[0] than[0] what[0] meets[0] the[0] eye[0] as[0] it[0] relies[0] on[0] shock[-2] to[0] tell[0] its[0] story[0] of[0] a[0] prolonged[0] vicious[-3] mugging[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it falls into the category of being a pretentious art-house film , leaving a bitter taste in one's mouth as it stereotypes its characters and unintentionally further inflames the racial issues . 	it falls into the category of being a pretentious art-house film , leaving a bitter taste in one's mouth as it stereotypes its characters and unintentionally further inflames the racial issues .	1	-2	 it[0] falls[0] into[0] the[0] category[0] of[0] being[0] a[0] pretentious[-1] art[0] house[0] film[0] leaving[0] a[0] bitter[-1] taste[0] in[0] one's[0] mouth[0] as[0] it[0] stereotypes[0] its[0] characters[0] and[0] unintentionally[0] further[0] inflames[-1] the[0] racial[0] issues[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it tries to make a heavy-handed point about disenfranchised black youths trapped by their environment , with their only way out being crime . 	it tries to make a heavy-handed point about disenfranchised black youths trapped by their environment , with their only way out being crime .	1	-2	 it[0] tries[0] to[0] make[0] a[0] heavy[0] handed[0] point[0] about[0] disenfranchised[0] black[0] youths[0] trapped[0] by[0] their[0] environment[0] with[0] their[0] only[0] way[0] out[0] being[0] crime[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the story is so filled with violence and its nyc setting looks like hell , that it's hard to enjoy this film and to follow what the logic in the story is supposed to mean . 	but the story is so filled with violence and its nyc setting looks like hell , that it's hard to enjoy this film and to follow what the logic in the story is supposed to mean .	3	-4	 but[0] the[0] story[0] is[0] so[0] filled[0] with[0] violence[-3] and[0] its[0] nyc[0] setting[0] looks[0] like[1] hell[-1] that[0] it's[0] hard[0] to[0] enjoy[2] this[0] film[0] and[0] to[0] follow[0] what[0] the[0] logic[0] in[0] the[0] story[0] is[0] supposed[0] to[0] mean[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the relationship between the black mugger and his white victim is a cloudy one , which the film never determines what it wants to say about it . 	the relationship between the black mugger and his white victim is a cloudy one , which the film never determines what it wants to say about it .	1	-3	 the[0] relationship[0] between[0] the[0] black[0] mugger[0] and[0] his[0] white[0] victim[-2] is[0] a[0] cloudy[0] one[0] which[0] the[0] film[0] never[0] determines[0] what[0] it[0] wants[0] to[0] say[0] about[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
matt mahurin is virtual one-man crew in putting this film together ( director/writer /cinematographer/editor ) , who is a still photographer in his day job . 	matt mahurin is virtual one-man crew in putting this film together ( director/writer /cinematographer/editor ) , who is a still photographer in his day job .	1	-1	 matt[0] mahurin[0] is[0] virtual[0] one[0] man[0] crew[0] in[0] putting[0] this[0] film[0] together[0] director/writer[0] /cinematographer/editor[0] who[0] is[0] a[0] still[0] photographer[0] in[0] his[0] day[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film works best as a visually challenging piece , as each shot looks like a photograph carefully telling the story unfolding . 	the film works best as a visually challenging piece , as each shot looks like a photograph carefully telling the story unfolding .	2	-2	 the[0] film[0] works[0] best[1] as[0] a[0] visually[0] challenging[0] piece[0] as[0] each[0] shot[-1] looks[0] like[1] a[0] photograph[0] carefully[0] telling[0] the[0] story[0] unfolding[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a white photographer ( robert knepper ) is mugged by a black gang while he's on a freelance assignment to take a photo shoot of harlem at night . 	a white photographer ( robert knepper ) is mugged by a black gang while he's on a freelance assignment to take a photo shoot of harlem at night .	1	-2	 a[0] white[0] photographer[0] robert[0] knepper[0] is[0] mugged[0] by[0] a[0] black[0] gang[0] while[0] he's[0] on[0] a[0] freelance[0] assignment[0] to[0] take[0] a[0] photo[0] shoot[-1] of[0] harlem[0] at[0] night[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he becomes a victim of amnesia and his head is bloodied as he's left in a deserted harlem building , as the gang leaves him for dead ; but , one of the muggers , rumor ( michael williams ) , comes back and pretends to help him . 	he becomes a victim of amnesia and his head is bloodied as he's left in a deserted harlem building , as the gang leaves him for dead ; but , one of the muggers , rumor ( michael williams ) , comes back and pretends to help him .	1	-3	 he[0] becomes[0] a[0] victim[-2] of[0] amnesia[0] and[0] his[0] head[0] is[0] bloodied[0] as[0] he's[0] left[0] in[0] a[0] deserted[0] harlem[0] building[0] as[0] the[0] gang[0] leaves[0] him[0] for[0] dead[-2] but[0] one[0] of[0] the[0] muggers[0] rumor[-1] michael[0] williams[0] comes[0] back[0] and[0] pretends[0] to[0] help[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's a would-be photographer , who keeps a scrapbook entitled mugshots in the project apartment he shares with his mother and younger brother . 	he's a would-be photographer , who keeps a scrapbook entitled mugshots in the project apartment he shares with his mother and younger brother .	1	-1	 he's[0] a[0] would[0] be[0] photographer[0] who[0] keeps[0] a[0] scrapbook[0] entitled[0] mugshots[0] in[0] the[0] project[0] apartment[0] he[0] shares[0] with[0] his[0] mother[0] and[0] younger[0] brother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
keeping his victim in the dark about who he is by calling him joe and not telling him what's happening , he becomes the photographer for a few days . 	keeping his victim in the dark about who he is by calling him joe and not telling him what's happening , he becomes the photographer for a few days .	1	-3	 keeping[0] his[0] victim[-2] in[0] the[0] dark[0] about[0] who[0] he[0] is[0] by[0] calling[0] him[0] joe[0] and[0] not[0] telling[0] him[0] what's[0] happening[0] he[0] becomes[0] the[0] photographer[0] for[0] a[0] few[0] days[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
