it was with great anticipation that i sat down to view braveheart last week as it premiered on american cable . 	Translation	Positive	Negative	EmotionRationale
the academy award winning film had been highly acclaimed . 	the academy award winning film had been highly acclaimed .	2	-1	 the[0] academy[0] award[0] winning[1] film[0] had[0] been[0] highly[0] acclaimed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it also featured the music of one of my favorite film composers , james horner . 	it also featured the music of one of my favorite film composers , james horner .	2	-1	 it[0] also[0] featured[0] the[0] music[0] of[0] one[0] of[0] my[0] favorite[1] film[0] composers[0] james[0] horner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what i was in for was a disappointing and overlong film which was anything but the best picture of 1995 . 	what i was in for was a disappointing and overlong film which was anything but the best picture of 1995 .	2	-2	 what[0] i[0] was[0] in[0] for[0] was[0] a[0] disappointing[-1] and[0] overlong[0] film[0] which[0] was[0] anything[0] but[0] the[0] best[1] picture[0] of[0] 1995[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what drags braveheart down is its screenplay . 	what drags braveheart down is its screenplay .	3	-1	 what[0] drags[0] braveheart[2] down[0] is[0] its[0] screenplay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it abounds with high production values : john toll's award-winning cinematography ( which also graced edward zwick's 1994 legends of the fall ) , a gorgeous score by horner , and the sort of logistics that make you wish assistant directors were household names . 	it abounds with high production values : john toll's award-winning cinematography ( which also graced edward zwick's 1994 legends of the fall ) , a gorgeous score by horner , and the sort of logistics that make you wish assistant directors were household names .	3	-1	 it[0] abounds[0] with[0] high[0] production[0] values[1] john[0] toll's[0] award[0] winning[1] cinematography[0] which[0] also[0] graced[1] edward[0] zwick's[0] 1994[0] legends[0] of[0] the[0] fall[0] a[0] gorgeous[2] score[0] by[0] horner[0] and[0] the[0] sort[0] of[0] logistics[0] that[0] make[0] you[0] wish[0] assistant[0] directors[0] were[0] household[0] names[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but this does not save a misguided script . 	but this does not save a misguided script .	1	-2	 but[0] this[0] does[0] not[0] save[1][NegatedDueToPreviousWord] a[0] misguided[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film wishes to paint its central character as a hero , but the viewer's only response to his " heroism " is intellectual : william wallace ( producer-director mel gibson ) is fighting for freedom and against tyranny , so we have to root for him . 	the film wishes to paint its central character as a hero , but the viewer's only response to his " heroism " is intellectual : william wallace ( producer-director mel gibson ) is fighting for freedom and against tyranny , so we have to root for him .	3	-3	 the[0] film[0] wishes[0] to[0] paint[0] its[0] central[0] character[0] as[0] a[0] hero[2] but[0] the[0] viewer's[0] only[0] response[0] to[0] his[0] heroism[2] is[0] intellectual[0] william[0] wallace[0] producer[0] director[0] mel[0] gibson[0] is[0] fighting[-2] for[0] freedom[0] and[0] against[-1] tyranny[-2] so[0] we[0] have[0] to[0] root[0] for[0] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but wallace's actions paint a different story . 	but wallace's actions paint a different story .	1	-1	 but[0] wallace's[0] actions[0] paint[0] a[0] different[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he speaks of freedom and acts of vengeance . 	he speaks of freedom and acts of vengeance .	1	-3	 he[0] speaks[0] of[0] freedom[0] and[0] acts[0] of[0] vengeance[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
though one intellectually realizes wallace is on the right side , the film paints an unconvincing emotional portait , in which wallace is just not as bad as the english king . 	though one intellectually realizes wallace is on the right side , the film paints an unconvincing emotional portait , in which wallace is just not as bad as the english king .	2	-2	 though[0] one[0] intellectually[0] realizes[0] wallace[0] is[0] on[0] the[0] right[0] side[0] the[0] film[0] paints[0] an[0] unconvincing[0] emotional[-1] portait[0] in[0] which[0] wallace[0] is[0] just[0] not[0] as[0] bad[-1][NegatedDueToPreviousWord] as[0] the[0] english[0] king[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
wallace speaks of freedom , but his acts point toward vengeance . 	wallace speaks of freedom , but his acts point toward vengeance .	1	-3	 wallace[0] speaks[0] of[0] freedom[0] but[0] his[0] acts[0] point[0] toward[0] vengeance[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after kicking the english out of scotland , he decides to invade england . 	after kicking the english out of scotland , he decides to invade england .	1	-2	 after[0] kicking[-1] the[0] english[0] out[0] of[0] scotland[0] he[0] decides[0] to[0] invade[-1] england[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is evident of a " spartacus complex " , and this example applies both historically and cinematically . 	this is evident of a " spartacus complex " , and this example applies both historically and cinematically .	1	-1	 this[0] is[0] evident[0] of[0] a[0] spartacus[0] complex[0] and[0] this[0] example[0] applies[0] both[0] historically[0] and[0] cinematically[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the historical spartacus at one point moved from liberating slaves to sacking roman cities ; the film spartacus , like braveheart , has high production values and competent performaces and is dragged down by an awful screenplay . 	the historical spartacus at one point moved from liberating slaves to sacking roman cities ; the film spartacus , like braveheart , has high production values and competent performaces and is dragged down by an awful screenplay .	3	-4	 the[0] historical[0] spartacus[0] at[0] one[0] point[0] moved[0] from[0] liberating[0] slaves[0] to[0] sacking[0] roman[0] cities[0] the[0] film[0] spartacus[0] like[1] braveheart[2] has[0] high[0] production[0] values[1] and[0] competent[0] performaces[0] and[0] is[0] dragged[0] down[0] by[0] an[0] awful[-3] screenplay[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it is a shame that such an excellent score is part of such a terrible film . 	it is a shame that such an excellent score is part of such a terrible film .	4	-4	 it[0] is[0] a[0] shame[-2] that[0] such[0] an[0] excellent[3] score[0] is[0] part[0] of[0] such[0] a[0] terrible[-3] film[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
horner's score tries to make emotional connection , but the performances and the script do not help . 	horner's score tries to make emotional connection , but the performances and the script do not help .	1	-2	 horner's[0] score[0] tries[0] to[0] make[0] emotional[-1] connection[0] but[0] the[0] performances[0] and[0] the[0] script[0] do[0] not[0] help[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gibson portrays wallace in such a way that the audience cannot relate to him or identify with him . 	gibson portrays wallace in such a way that the audience cannot relate to him or identify with him .	1	-1	 gibson[0] portrays[0] wallace[0] in[0] such[0] a[0] way[0] that[0] the[0] audience[0] cannot[0] relate[0] to[0] him[0] or[0] identify[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this drags down any emotional connection to the film's plot , and turns three hours into a total waste of time . 	this drags down any emotional connection to the film's plot , and turns three hours into a total waste of time .	1	-3	 this[0] drags[0] down[0] any[0] emotional[-1] connection[0] to[0] the[0] film's[0] plot[0] and[0] turns[0] three[0] hours[0] into[0] a[0] total[0] waste[-1][-1 LastWordBoosterStrength] of[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
