you know the plot : a dimwit with a shady past is seduced into committing a crime only to be double-crossed by a fatal femme . 	Translation	Positive	Negative	EmotionRationale
in " palmetto , " the dimwit is harry barber ( woody harrelson ) , a reporter who's just been released from prison ( he was framed by the gangsters and corrupt officials he was investigating ) . 	in " palmetto , " the dimwit is harry barber ( woody harrelson ) , a reporter who's just been released from prison ( he was framed by the gangsters and corrupt officials he was investigating ) .	1	-3	 in[0] palmetto[0] the[0] dimwit[-1] is[0] harry[0] barber[0] woody[0] harrelson[0] a[0] reporter[0] who's[0] just[0] been[0] released[0] from[0] prison[-1] he[0] was[0] framed[0] by[0] the[0] gangsters[0] and[0] corrupt[-2] officials[0] he[0] was[0] investigating[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
enter la femme : rhea malroux ( elisabeth shue ) , the sexy young wife of the richest man in palmetto , florida ( rolf hoppe ) . 	enter la femme : rhea malroux ( elisabeth shue ) , the sexy young wife of the richest man in palmetto , florida ( rolf hope ) .	3	-1	 enter[0] la[0] femme[0] rhea[0] malroux[0] elisabeth[0] shue[0] the[0] sexy[2] young[0] wife[0] of[0] the[0] richest[0] man[0] in[0] palmetto[0] florida[0] rolf[0] hoppe/hope[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she and her stepdaughter odette ( chlo ? sevigny ) have a plot to extort 500k from the old man : harry will " kidnap " odette . 	she and her stepdaughter odette ( chlo ?<br> sevigny ) have a plot to extort 500k from the old man : harry will " kidnap " odette .	1	-2	 she[0] and[0] her[0] stepdaughter[0] odette[0] chlo[0] [[Sentence=-1,1=word max, 1-5]] sevigny[0] have[0] a[0] plot[0] to[0] extort[0] 500k[0] from[0] the[0] old[0] man[0] harry[0] will[0] kidnap[-1] odette[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after groping both women , harry agrees . 	after groping both women , harry agrees .	1	-1	 after[0] groping[0] both[0] women[0] harry[0] agrees[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as everyone except harry can see , he's being set up as a fall guy . 	as everyone except harry can see , he's being set up as a fall guy .	1	-1	 as[0] everyone[0] except[0] harry[0] can[0] see[0] he's[0] being[0] set[0] up[0] as[0] a[0] fall[0] guy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure enough , before long , harry has a dead body in his trunk and the cops on his tail . 	sure enough , before long , harry has a dead body in his trunk and the cops on his tail .	1	-3	 sure[0] enough[0] before[0] long[0] harry[0] has[0] a[0] dead[-2] body[0] in[0] his[0] trunk[0] and[0] the[0] cops[0] on[0] his[0] tail[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his brother-in-law ( tom wright ) , an assistant da , has hired harry to be the press liaison for the case , so harry gets a front row seat for his own manhunt ( and we get to watch him sweat-literally ) . 	his brother-in-law ( tom wright ) , an assistant da , has hired harry to be the press liaison for the case , so harry gets a front row seat for his own manhunt ( and we get to watch him sweat-literally ) .	1	-1	 his[0] brother[0] in[0] law[0] tom[0] wright[0] an[0] assistant[0] da[0] has[0] hired[0] harry[0] to[0] be[0] the[0] press[0] liaison[0] for[0] the[0] case[0] so[0] harry[0] gets[0] a[0] front[0] row[0] seat[0] for[0] his[0] own[0] manhunt[0] and[0] we[0] get[0] to[0] watch[0] him[0] sweat[0] literally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are several plot twists , of course-a couple of them even took me by surprise . 	there are several plot twists , of course-a couple of them even took me by surprise .	1	-1	 there[0] are[0] several[0] plot[0] twists[0] of[0] course[0] a[0] couple[0] of[0] them[0] even[0] took[0] me[0] by[0] surprise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently every woman in palmetto is a raving horndog , and they're on harry like he's the only bone in the kennel . 	apparently every woman in palmetto is a raving horndog , and they're on harry like he's the only bone in the kennel .	2	-1	 apparently[0] every[0] woman[0] in[0] palmetto[0] is[0] a[0] raving[0] horndog[0] and[0] they're[0] on[0] harry[0] like[1] he's[0] the[0] only[0] bone[0] in[0] the[0] kennel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
shue vamps so broadly that i expected tex avery's wolf to show up . 	shue vamps so broadly that i expected tex avery's wolf to show up .	1	-1	 shue[0] vamps[0] so[0] broadly[0] that[0] i[0] expected[0] tex[0] avery's[0] wolf[0] to[0] show[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her incredible performance in " leaving las vegas " seems to have been a fluke . 	her incredible performance in " leaving las vegas " seems to have been a fluke .	1	-1	 her[0] incredible[0] performance[0] in[0] leaving[0] las[0] vegas[0] seems[0] to[0] have[0] been[0] a[0] fluke[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here , she could easily be mistaken for melanie griffith . 	here , she could easily be mistaken for melanie griffith .	1	-2	 here[0] she[0] could[0] easily[0] be[0] mistaken[-1] for[0] melanie[0] griffith[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shue's character is supposed to be a savvy schemer but she comes off as a brainless bimbo . 	shue's character is supposed to be a savy schemer but she comes off as a brainless bimbo .	1	-1	 shue's[0] character[0] is[0] supposed[0] to[0] be[0] a[0] savvy/savy[0] schemer[0] but[0] she[0] comes[0] off[0] as[0] a[0] brainless[0] bimbo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in addition to shue and sevigny , the kennel includes gina gershon ( who filled the dimwit-with-a-shady-past role in " bound " ) as harry's girlfriend nina ; when harry gets out of jail , she licks his face ( now there's a horndog ) . 	in addition to shue and sevigny , the kennel includes gina gershon ( who filled the dimwit-with-a-shady-past role in " bound " ) as harry's girlfriend nina ; when harry gets out of jail , she licks his face ( now there's a horndog ) .	1	-2	 in[0] addition[0] to[0] shue[0] and[0] sevigny[0] the[0] kennel[0] includes[0] gina[0] gershon[0] who[0] filled[0] the[0] dimwit[-1] with[0] a[0] shady[-1] past[0] role[0] in[0] bound[0] as[0] harry's[0] girlfriend[0] nina[0] when[0] harry[0] gets[0] out[0] of[0] jail[-1] she[0] licks[0] his[0] face[0] now[0] there's[0] a[0] horndog[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the parts are so overplayed that with a little push " palmetto " could have been an over-the-top parody of film noir a la " romeo is bleeding . " 	the parts are so overplayed that with a little push " palmetto " could have been an over-the-top parody of film noir a la " romeo is bleeding .<br> "	1	-1	 the[0] parts[0] are[0] so[0] overplayed[0] that[0] with[0] a[0] little[0] push[0] palmetto[0] could[0] have[0] been[0] an[0] over[0] the[0] top[0] parody[0] of[0] film[0] noir[0] a[0] la[0] romeo[0] is[0] bleeding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as it is , it's best watched at 2am on showtime ( the love scenes seem to have been written for one of that channel's soft porn programs anyway ) . 	as it is , it's best watched at 2am on showtime ( the love scenes seem to have been written for one of that channel's soft porn programs anyway ) .	3	-1	 as[0] it[0] is[0] it's[0] best[1] watched[0] at[0] 2am[0] on[0] showtime[0] the[0] love[2] scenes[0] seem[0] to[0] have[0] been[0] written[0] for[0] one[0] of[0] that[0] channel's[0] soft[0] porn[0] programs[0] anyway[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " palmetto " has a well-known director , volker schl ? ndorff , who's best known for his adaptations of major literary works , especially " the tin drum . " 	 " palmetto " has a well-known director , volker schl ?<br> ndorff , who's best known for his adaptations of major literary works , especially " the tin drum .<br> "	2	-1	 palmetto[0] has[0] a[0] well[0] known[0] director[0] volker[0] schl[0] [[Sentence=-1,1=word max, 1-5]] ndorff[0] who's[0] best[1] known[0] for[0] his[0] adaptations[0] of[0] major[0] literary[0] works[0] especially[0] the[0] tin[0] drum[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i suppose he must have been drawn to this plot-by-numbers script by the same admiration for classic film noir that led scorsese to remake " cape fear . " 	i suppose he must have been drawn to this plot-by-numbers script by the same admiration for classic film noir that led scorsese to remake " cape fear .<br> "	3	-4	 i[0] suppose[0] he[0] must[0] have[0] been[0] drawn[0] to[0] this[0] plot[0] by[0] numbers[0] script[0] by[0] the[0] same[0] admiration[2] for[0] classic[0] film[0] noir[0] that[0] led[0] scorsese[0] to[0] remake[0] cape[0] fear[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
schl ? ndorff tries hard-he makes an interesting motif out of the ubiquitous palmetto bugs-but nothing can freshen up this stale script . 	schl ?<br> ndorff tries hard-he makes an interesting motif out of the ubiquitous palmetto bugs-but nothing can freshen up this stale script .	2	-2	 schl[0] [[Sentence=-1,1=word max, 1-5]] ndorff[0] tries[0] hard[0] he[0] makes[0] an[0] interesting[1] motif[0] out[0] of[0] the[0] ubiquitous[0] palmetto[0] bugs[0] but[0] nothing[0] can[0] freshen[0] up[0] this[0] stale[-1] script[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
