the cartoon is way better . 	Translation	Positive	Negative	EmotionRationale
that's the bottom line on disney's incredibly hyped live action version of its 1961 animated feature . 	that's the bottom line on disney's incredibly hyped live action version of its 1961 animated feature .	1	-1	 that's[0] the[0] bottom[0] line[0] on[0] disney's[0] incredibly[0] hyped[0] live[0] action[0] version[0] of[0] its[0] 1961[0] animated[0] feature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the alliance between disney and slapstick king john hughes has produced a frenetic " home alone " with puppies , and not much else . 	the alliance between disney and slapstick king john hughes has produced a frenetic " home alone " with puppies , and not much else .	1	-2	 the[0] alliance[0] between[0] disney[0] and[0] slapstick[-1] king[0] john[0] hughes[0] has[0] produced[0] a[0] frenetic[0] home[0] alone[0] with[0] puppies[0] and[0] not[0] much[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when production of this remake was announced , the big question seemed to be " why ? 	when production of this remake was announced , the big question seemed to be " why ?	1	-1	 when[0] production[0] of[0] this[0] remake[0] was[0] announced[0] the[0] big[0] question[0] seemed[0] to[0] be[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the original cartoon still works , so what's the point ? " 	the original cartoon still works , so what's the point ?<br> "	1	-1	 the[0] original[0] cartoon[0] still[0] works[0] so[0] what's[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the answer , it appears , is to give disney an excuse for yet another massive merchandising campaign . 	the answer , it appears , is to give disney an excuse for yet another massive merchandising campaign .	1	-1	 the[0] answer[0] it[0] appears[0] is[0] to[0] give[0] disney[0] an[0] excuse[0] for[0] yet[0] another[0] massive[0] merchandising[0] campaign[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story , for those of you who missed childhood , is simple . 	the story , for those of you who missed childhood , is simple .	1	-2	 the[0] story[0] for[0] those[0] of[0] you[0] who[0] missed[-1] childhood[0] is[0] simple[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
two dalmatians , pongo and perdy , fall in love at first sight . 	two dalmatians , pongo and perdy , fall in love at first sight .	3	-1	 two[0] dalmatians[0] pongo[0] and[0] perdy[0] fall[0] in[0] love[2] at[0] first[0] sight[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they drag their " human pets " together , and in a short time both couples marry . 	they drag their " human pets " together , and in a short time both couples marry .	1	-2	 they[0] drag[-1] their[0] human[0] pets[0] together[0] and[0] in[0] a[0] short[0] time[0] both[0] couples[0] marry[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the heavenly match-ups turn chaotic when pongo and perdy's new-born pups are stolen ; their dog-napping engineered by the evil cruella devil , who wants them for their pelts . 	the heavenly match-ups turn chaotic when pongo and perdy's new-born pups are stolen ; their dog-napping engineered by the evil cruella devil , who wants them for their pelts .	2	-5	 the[0] heavenly[1] match[0] ups[0] turn[0] chaotic[-1] when[0] pongo[0] and[0] perdy's[0] new[0] born[0] pups[0] are[0] stolen[-1] their[0] dog[0] napping[0] engineered[0] by[0] the[0] evil[-2] cruella[-3][-1 MultiplePositiveWords] devil[-1] who[0] wants[0] them[0] for[0] their[0] pelts[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
everyone in the animal kingdom then joins in a frantic effort to save the puppies . 	everyone in the animal kingdom then joins in a frantic effort to save the puppies .	2	-2	 everyone[0] in[0] the[0] animal[0] kingdom[0] then[0] joins[0] in[0] a[0] frantic[-1] effort[0] to[0] save[1] the[0] puppies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the original movie , the animated pooches had a broad range of facial expressions and distinct personalities . 	in the original movie , the animated pooches had a broad range of facial expressions and distinct personalities .	1	-1	 in[0] the[0] original[0] movie[0] the[0] animated[0] pooches[0] had[0] a[0] broad[0] range[0] of[0] facial[0] expressions[0] and[0] distinct[0] personalities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
