this movie is based off the wildly popular video-game series of the same name . 	Translation	Positive	Negative	EmotionRationale
before this film , the game had a few spin-off cartoons- which were ok . 	before this film , the game had a few spin-off cartoons- which were ok .	1	-1	 before[0] this[0] film[0] the[0] game[0] had[0] a[0] few[0] spin[0] off[0] cartoons[0] which[0] were[0] ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the idea of doing a movie is insane . 	but the idea of doing a movie is insane .	1	-2	 but[0] the[0] idea[0] of[0] doing[0] a[0] movie[0] is[0] insane[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it should have been animated , if it should have been done at all . 	it should have been animated , if it should have been done at all .	1	-1	 it[0] should[0] have[0] been[0] animated[0] if[0] it[0] should[0] have[0] been[0] done[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead the people do the best they can with a talented cast . 	instead the people do the best they can with a talented cast .	2	-1	 instead[0] the[0] people[0] do[0] the[0] best[1] they[0] can[0] with[0] a[0] talented[1] cast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet it still fails . 	yet it still fails .	1	-3	 yet[0] it[0] still[0] fails[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot is completely different from the game's plot- i'm not complaining about that . 	the plot is completely different from the game's plot- i'm not complaining about that .	2	-1	 the[0] plot[0] is[0] completely[0] different[0] from[0] the[0] game's[0] plot[0] i'm[0] not[0] complaining[-1][NegatedDueToPreviousWord] about[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story involves the mario bros . having a plumbing business in brooklyn and having to compete with a rival company . 	the story involves the mario bros .<br> having a plumbing business in brooklyn and having to compete with a rival company .	1	-2	 the[0] story[0] involves[0] the[0] mario[0] bros[0] [[Sentence=-1,1=word max, 1-5]] having[0] a[0] plumbing[0] business[0] in[0] brooklyn[0] and[0] having[0] to[0] compete[0] with[0] a[0] rival[-1] company[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eventually they find a construction site by their nemesis , which happens to be enviromentally un-safe . 	eventually they find a construction site by their nemesis , which happens to be enviromentally un-safe .	2	-1	 eventually[0] they[0] find[0] a[0] construction[0] site[0] by[0] their[0] nemesis[0] which[0] happens[0] to[0] be[0] enviromentally[0] un[0] safe[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so , due to luigi's ( john leguizamo ) girlfriend - princess daisy - they go and investigate . 	so , due to luigi's ( john leguizamo ) girlfriend - princess daisy - they go and investigate .	1	-1	 so[0] due[0] to[0] luigi's[0] john[0] leguizamo[0] girlfriend[0] princess[0] daisy[0] they[0] go[0] and[0] investigate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they get transported to a blade runner-esque world lead by king koopa ( dennis hopper ) . 	they get transported to a blade runner-esque world lead by king koopa ( dennis hopper ) .	1	-1	 they[0] get[0] transported[0] to[0] a[0] blade[0] runner[0] esque[0] world[0] lead[0] by[0] king[0] koopa[0] dennis[0] hopper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
