a few months before the release of star wars episode 1 , the phantom menace , 20th century fox decides to release another space film , that is a complete rip off of star wars . 	Translation	Positive	Negative	EmotionRationale
what is the point of this ? 	what is the point of this ?	1	-1	 what[0] is[0] the[0] point[0] of[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i do not know , but i wish it hadn't been done , considering wing commander is definitely the year's worst film so far . 	i do not know , but i wish it hadn't been done , considering wing commander is definitely the year's worst film so far .	1	-3	 i[0] do[0] not[0] know[0] but[0] i[0] wish[0] it[0] hadn't[0] been[0] done[0] considering[0] wing[0] commander[0] is[0] definitely[0] the[0] year's[0] worst[-2] film[0] so[0] far[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to attract people to this horrible movie , they attached the full trailer for the phantom menace . 	to attract people to this horrible movie , they attached the full trailer for the phantom menace .	2	-4	 to[0] attract[1] people[0] to[0] this[0] horrible[-3] movie[0] they[0] attached[0] the[0] full[0] trailer[0] for[0] the[0] phantom[0] menace[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
wing commander will draw large crowds , because this is the only film where you can find the phantom menace full trailer attached at this time . 	wing commander will draw large crowds , because this is the only film where you can find the phantom menace full trailer attached at this time .	1	-3	 wing[0] commander[0] will[0] draw[0] large[0] crowds[0] because[0] this[0] is[0] the[0] only[0] film[0] where[0] you[0] can[0] find[0] the[0] phantom[0] menace[-2] full[0] trailer[0] attached[0] at[0] this[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the trailer for the phantom menace was certainly the best part of the movie experience i had tonight . 	the trailer for the phantom menace was certainly the best part of the movie experience i had tonight .	2	-3	 the[0] trailer[0] for[0] the[0] phantom[0] menace[-2] was[0] certainly[0] the[0] best[1] part[0] of[0] the[0] movie[0] experience[0] i[0] had[0] tonight[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
many people do not know that wing commander is based on a star wars computer game . 	many people do not know that wing commander is based on a star wars computer game .	1	-3	 many[0] people[0] do[0] not[0] know[0] that[0] wing[0] commander[0] is[0] based[0] on[0] a[0] star[0] wars[-2] computer[0] game[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i found this very interesting , considering this fact almost says that wing commander is a star wars movie . 	i found this very interesting , considering this fact almost says that wing commander is a star wars movie .	3	-3	 i[0] found[0] this[0] very[0] interesting[1][1 LastWordBoosterStrength] considering[0] this[0] fact[0] almost[0] says[0] that[0] wing[0] commander[0] is[0] a[0] star[0] wars[-2] movie[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it is nowhere near the level of the star wars films though . 	it is nowhere near the level of the star wars films though .	1	-3	 it[0] is[0] nowhere[0] near[0] the[0] level[0] of[0] the[0] star[0] wars[-2] films[0] though[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
freddie prinze jr . stars in the film as christopher blair . 	freddie prinze jr .<br> stars in the film as christopher blair .	1	-1	 freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] stars[0] in[0] the[0] film[0] as[0] christopher[0] blair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wing commander was a huge mistake for freddie . 	wing commander was a huge mistake for freddie .	1	-2	 wing[0] commander[0] was[0] a[0] huge[0] mistake[-1] for[0] freddie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this was definitely his worst performance to date . 	this was definitely his worst performance to date .	1	-3	 this[0] was[0] definitely[0] his[0] worst[-2] performance[0] to[0] date[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after january's she's all that , i actually saw a good actor in freddie , but now all those visions have been crushed . 	after january's she's all that , i actually saw a good actor in freddie , but now all those visions have been crushed .	2	-1	 after[0] january's[0] she's[0] all[0] that[0] i[0] actually[0] saw[0] a[0] good[1] actor[0] in[0] freddie[0] but[0] now[0] all[0] those[0] visions[0] have[0] been[0] crushed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( for now anyway . ) 	 ( for now anyway .<br> )	1	-1	 for[0] now[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
christopher blair is a pilot who is a part of the battle to stop the kilrathi , a group that is trying to destroy the earth . 	christopher blair is a pilot who is a part of the battle to stop the kilrathi , a group that is trying to destroy the earth .	1	-3	 christopher[0] blair[0] is[0] a[0] pilot[0] who[0] is[0] a[0] part[0] of[0] the[0] battle[-1] to[0] stop[0] the[0] kilrathi[0] a[0] group[0] that[0] is[0] trying[0] to[0] destroy[-2] the[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
blair's parents also fought in the space battles , and also died there . 	blair's parents also fought in the space battles , and also died there .	1	-3	 blair's[0] parents[0] also[0] fought[-2] in[0] the[0] space[0] battles[-1] and[0] also[0] died[0] there[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his parents were pilgrims , so many people disrespect him because of this . 	his parents were pilgrims , so many people disrespect him because of this .	1	-1	 his[0] parents[0] were[0] pilgrims[0] so[0] many[0] people[0] disrespect[0] him[0] because[0] of[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blair is under the command of " angel " , played by saffron burrows , and he is friends with another pilot , todd " maniac marshall " , played by matthew lillard . 	blair is under the command of " angel " , played by saffron burrows , and he is friends with another pilot , todd " maniac marshal " , played by matthew lillard .	2	-3	 blair[0] is[0] under[0] the[0] command[0] of[0] angel[0] played[0] by[0] saffron[0] burrows[0] and[0] he[0] is[0] friends[1] with[0] another[0] pilot[0] todd[0] maniac[-2] marshall/marshal[0] played[0] by[0] matthew[0] lillard[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
matthew lillard seems to play the same role in every movie , and he does in this one too . 	matthew lillard seems to play the same role in every movie , and he does in this one too .	1	-1	 matthew[0] lillard[0] seems[0] to[0] play[0] the[0] same[0] role[0] in[0] every[0] movie[0] and[0] he[0] does[0] in[0] this[0] one[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his character as stu in 1996's scream ( a  ) , was a great one , but now , it seems like that same role is being played again , only in a space movie . 	his character as stu in 1996's scream ( a  ) , was a great one , but now , it seems like that same role is being played again , only in a space movie .	3	-4	 his[0] character[0] as[0] stu[0] in[0] 1996's[0] scream[-3] a[0] was[0] a[0] great[2] one[0] but[0] now[0] it[0] seems[0] like[1] that[0] same[0] role[0] is[0] being[0] played[0] again[0] only[0] in[0] a[0] space[0] movie[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the three are just a small part of a large group trying to stop the kilrathi before they take over earth . 	the three are just a small part of a large group trying to stop the kilrathi before they take over earth .	1	-1	 the[0] three[0] are[0] just[0] a[0] small[0] part[0] of[0] a[0] large[0] group[0] trying[0] to[0] stop[0] the[0] kilrathi[0] before[0] they[0] take[0] over[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this plot is very flimsy , and doesn't give a whole lot to work with at all . 	this plot is very flimsy , and doesn't give a whole lot to work with at all .	1	-3	 this[0] plot[0] is[0] very[0] flimsy[-1][-1 LastWordBoosterStrength] and[0] doesn't[0] give[0] a[0] whole[0] lot[0] to[0] work[0] with[0] at[0] all[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this explains why wing commander drags on , seeming like there is no point to any of the events that are going on . 	this explains why wing commander drags on , seeming like there is no point to any of the events that are going on .	2	-1	 this[0] explains[0] why[0] wing[0] commander[0] drags[0] on[0] seeming[0] like[1] there[0] is[0] no[0] point[0] to[0] any[0] of[0] the[0] events[0] that[0] are[0] going[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the acting is horrible in wing commander . 	the acting is horrible in wing commander .	1	-4	 the[0] acting[0] is[0] horrible[-3] in[0] wing[0] commander[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
many lines seem out of place , and are completely meaningless . 	many lines seem out of place , and are completely meaningless .	1	-3	 many[0] lines[0] seem[0] out[0] of[0] place[0] and[0] are[0] completely[0] meaningless[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the acting and dialogue was so terrible , i even found myself laughing at it . 	the acting and dialogue was so terrible , i even found myself laughing at it .	2	-4	 the[0] acting[0] and[0] dialogue[0] was[0] so[0] terrible[-3] i[0] even[0] found[0] myself[0] laughing[1] at[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
