the original _babe_ was my favorite movie of 1995 , a sleeper hit that transcended its target audience . 	Translation	Positive	Negative	EmotionRationale
being a surprise commercial and critical success , it had no marketing tie-ins , which limited its final take . 	being a surprise commercial and critical success , it had no marketing tie-ins , which limited its final take .	3	-2	 being[0] a[0] surprise[0] commercial[0] and[0] critical[-1] success[2] it[0] had[0] no[0] marketing[0] tie[0] ins[0] which[0] limited[0] its[0] final[0] take[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
thus , babe 2 arrives , with a budget greater than the money made in babe 1 . 	thus , babe 2 arrives , with a budget greater than the money made in babe 1 .	3	-1	 thus[0] babe[0] 2[0] arrives[0] with[0] a[0] budget[0] greater[2] than[0] the[0] money[0] made[0] in[0] babe[0] 1[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
plush dolls , vending machines hawking t-shirts , and macy's thanksgiving day balloons arrive for holiday money-grubbing . 	plush dolls , vending machines hawking t-shirts , and macy's thanksgiving day balloons arrive for holiday money-grubbing .	1	-1	 plush[0] dolls[0] vending[0] machines[0] hawking[0] t[0] shirts[0] and[0] macy's[0] thanksgiving[0] day[0] balloons[0] arrive[0] for[0] holiday[0] money[0] grubbing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
too late . 	too late .	1	-1	 too[0] late[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a sad review to write , because babe 2 not only does _not_ live up to the original , but it doesn't even come to a fraction of it . 	this is a sad review to write , because babe 2 not only does _not_ live up to the original , but it doesn't even come to a fraction of it .	1	-4	 this[0] is[0] a[0] sad[-3] review[0] to[0] write[0] because[0] babe[0] 2[0] not[0] only[0] does[0] _not_[0] live[0] up[0] to[0] the[0] original[0] but[0] it[0] doesn't[0] even[0] come[0] to[0] a[0] fraction[0] of[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i shouldn't expect that sequels to modern fairy tales to match their predecessors' magic , but this film tries too hard , and loses its charm . 	i shouldn't expect that sequels to modern fairy tales to match their predecessors' magic , but this film tries too hard , and loses its charm .	2	-2	 i[0] shouldn't[0] expect[0] that[0] sequels[0] to[0] modern[0] fairy[0] tales[0] to[0] match[0] their[0] predecessors'[0] magic[0] but[0] this[0] film[0] tries[0] too[0] hard[0] and[0] loses[-1] its[0] charm[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
consider a driver applying the accelerator with great intensity , unaware that his car is in neutral . 	consider a driver applying the accelerator with great intensity , unaware that his car is in neutral .	3	-1	 consider[0] a[0] driver[0] applying[0] the[0] accelerator[0] with[0] great[2] intensity[0] unaware[0] that[0] his[0] car[0] is[0] in[0] neutral[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
imagine with me , if you will , _scream_'s jamie kennedy , explaining the " rules " for sequels like babe 2 . 	imagine with me , if you will , _scream_'s jamie kennedy , explaining the " rules " for sequels like babe 2 .	2	-1	 imagine[0] with[0] me[0] if[0] you[0] will[0] _scream_'s[0] jamie[0] kennedy[0] explaining[0] the[0] rules[0] for[0] sequels[0] like[1] babe[0] 2[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( 1 ) there must be _more_ talking animals . 	 ( 1 ) there must be _more_ talking animals .	1	-1	 1[0] there[0] must[0] be[0] _more_[0] talking[0] animals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( 2 ) there must be _more_ slapstick comedy . 	 ( 2 ) there must be _more_ slapstick comedy .	1	-2	 2[0] there[0] must[0] be[0] _more_[0] slapstick[-1] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( 3 ) there must be _more_ songs for those mice to sing : that's cute . 	 ( 3 ) there must be _more_ songs for those mice to sing : that's cute .	2	-1	 3[0] there[0] must[0] be[0] _more_[0] songs[0] for[0] those[0] mice[0] to[0] sing[0] that's[0] cute[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( 4 ) keep the story cards to break up the action : that's cute too , even though " the pig gets wise " made no sense , given the context of that story partition . 	 ( 4 ) keep the story cards to break up the action : that's cute too , even though " the pig gets wise " made no sense , given the context of that story partition .	2	-2	 4[0] keep[0] the[0] story[0] cards[0] to[0] break[0] up[0] the[0] action[0] that's[0] cute[1] too[0] even[0] though[0] the[0] pig[0] gets[0] wise[0] made[0] no[0] sense[0] given[0] the[0] context[0] of[0] that[0] story[0] partition[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( 5 ) there must be action , however illogical , that will conjure up pivotal scenes from the original : the trademark song that nobody remembers the words to , the baa-ram-ewe secret code , the " that'll do , pig . 	 ( 5 ) there must be action , however illogical , that will conjure up pivotal scenes from the original : the trademark song that nobody remembers the words to , the ba-ram-ewe secret code , the " that'll do , pig .	1	-2	 5[0] there[0] must[0] be[0] action[0] however[0] illogical[-1] that[0] will[0] conjure[0] up[0] pivotal[0] scenes[0] from[0] the[0] original[0] the[0] trademark[0] song[0] that[0] nobody[0] remembers[0] the[0] words[0] to[0] the[0] baa/ba[0] ram[0] ewe[0] secret[0] code[0] the[0] that'll[0] do[0] pig[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that'll do . " 	that'll do .<br> "	1	-1	 that'll[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now throw in the limitations : ( a ) james cromwell , now a hot commodity , has limited time on the set ( or maybe he didn't approve of the script ) . 	now throw in the limitations : ( a ) james cromwell , now a hot commodity , has limited time on the set ( or maybe he didn't approve of the script ) .	1	-1	 now[0] throw[0] in[0] the[0] limitations[0] a[0] james[0] cromwell[0] now[0] a[0] hot[0] commodity[0] has[0] limited[0] time[0] on[0] the[0] set[0] or[0] maybe[0] he[0] didn't[0] approve[0] of[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( b ) christine cavanaugh , the voice of the original babe , demands more money (  200 , 000--paltry considering the  80 million budget ) . 	 ( b ) christine cavanaugh , the voice of the original babe , demands more money (  200 , 00-paltry considering the  80 million budget ) .	1	-2	 b[0] christine[0] cavanaugh[0] the[0] voice[0] of[0] the[0] original[0] babe[0] demands[0] more[0] money[0] 200[0] 000/00[0] paltry[-1] considering[0] the[0] 80[0] million[0] budget[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
out . 	out .	1	-1	 out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
e . g . 	e .<br> grin� .	1	-1	 e[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
daily comes in with noticable results . 	daily comes in with noticable results .	1	-1	 daily[0] comes[0] in[0] with[0] noticable[0] results[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( c ) george miller , the director , is more well-known for his dark futuristic mad max films and his twilight zone segment , not for kiddie fare ( and no , he didn't direct that _andre_ film in '94 ) . 	 ( c ) george miller , the director , is more well-known for his dark futuristic mad max films and his twilight zone segment , not for kiddie fare ( and no , he didn't direct that _andre_ film in '94 ) .	1	-2	 c[0] george[0] miller[0] the[0] director[0] is[0] more[0] well[0] known[0] for[0] his[0] dark[0] futuristic[0] mad[-1] max[0] films[0] and[0] his[0] twilight[0] zone[0] segment[0] not[0] for[0] kiddie[0] fare[0] and[0] no[0] he[0] didn't[0] direct[0] that[0] _andre_[0] film[0] in[0] '94[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( d ) the special effects are impressive , _but limited_ . 	 ( d ) the special effects are impressive , _but limited_ .	2	-1	 d[0] the[0] special[1] effects[0] are[0] impressive[1] _but[0] limited_[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
babe talks , but most of the time from a single shot , repeated over and over again . 	babe talks , but most of the time from a single shot , repeated over and over again .	1	-2	 babe[0] talks[0] but[0] most[0] of[0] the[0] time[0] from[0] a[0] single[0] shot[-1] repeated[0] over[0] and[0] over[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( babe is center screen , looking straight into the camera , with a happy smirk--regardless of whether he's happy , or scared , or tired ) . 	 ( babe is center screen , looking straight into the camera , with a happy smirk-regardless of whether he's happy , or scared , or tired ) .	2	-4	 babe[0] is[0] center[0] screen[0] looking[0] straight[0] into[0] the[0] camera[0] with[0] a[0] happy[1] smirk[0] regardless[-1] of[0] whether[0] he's[0] happy[1] or[0] scared[-3] or[0] tired[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
season now with the " original " elements , which , as we will find out , are straight from the screenwriting-is-hell bin . 	season now with the " original " elements , which , as we will find out , are straight from the screenwriting-is-hell bin .	1	-2	 season[0] now[0] with[0] the[0] original[0] elements[0] which[0] as[0] we[0] will[0] find[0] out[0] are[0] straight[0] from[0] the[0] screenwriting[0] is[0] hell[-1] bin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( i ) change the venue into " the big city " . 	 ( i ) change the venue into " the big city " .	1	-1	 i[0] change[0] the[0] venue[0] into[0] the[0] big[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this has been praised as wildly original . 	this has been praised as wildly original .	3	-1	 this[0] has[0] been[0] praised[2] as[0] wildly[0] original[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
excuse me : didn't _home alone_ do this several years ago ? 	excuse me : didn't _home alone_ do this several years ago ?	1	-1	 excuse[0] me[0] didn't[0] _home[0] alone_[0] do[0] this[0] several[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how about the muppets ? 	how about the muppets ?	1	-1	 how[0] about[0] the[0] muppets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even _the bad news bears_ travelled to tokyo . 	even _the bad news bears_ travelled to tokyo .	1	-2	 even[0] _the[0] bad[-1] news[0] bears_[0] travelled[0] to[0] tokyo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sorry . 	sorry .	1	-2	 sorry[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no dice . 	no dice .	1	-1	 no[0] dice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
side note : to give the city a fairy-tale look , george miller crafted a fantastical fantasyland that merges the landmarks of the world's great cities , and yes , it _is_ impressive . 	side note : to give the city a fairy-tale look , george miller crafted a fantastical fantasyland that merges the landmarks of the world's great cities , and yes , it _is_ impressive .	3	-1	 side[0] note[0] to[0] give[0] the[0] city[0] a[0] fairy[0] tale[0] look[0] george[0] miller[0] crafted[0] a[0] fantastical[0] fantasyland[0] that[0] merges[0] the[0] landmarks[0] of[0] the[0] world's[0] great[2] cities[0] and[0] yes[0] it[0] _is_[0] impressive[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but this too is over-used , repeating the same view over and again on multiple occasions . 	but this too is over-used , repeating the same view over and again on multiple occasions .	1	-1	 but[0] this[0] too[0] is[0] over[0] used[0] repeating[0] the[0] same[0] view[0] over[0] and[0] again[0] on[0] multiple[0] occasions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , for the most part , babe _remains in the hotel_ . 	and , for the most part , babe _remains in the hotel_ .	1	-1	 and[0] for[0] the[0] most[0] part[0] babe[0] _remains[0] in[0] the[0] hotel_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( ii ) given the limitations of cromwell , the human element is taken over by " the boss' wife " played by magda szubanski . 	 ( i ) given the limitations of cromwell , the human element is taken over by " the boss' wife " played by magda szubanski .	1	-1	 ii/i[0] given[0] the[0] limitations[0] of[0] cromwell[0] the[0] human[0] element[0] is[0] taken[0] over[0] by[0] the[0] boss'[0] wife[0] played[0] by[0] magda[0] szubanski[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
s-t-r-e-t-c-h . 	s-t-are-e-t-c-h .	1	-1	 s[0] t[0] r[0] e[0] t[0] c[0] h[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's not a lead actress-type , she's not funny enough in her physical comedy , and she's simply embarrassing in some of her pratfalls . 	she's not a lead actress-type , she's not funny enough in her physical comedy , and she's simply embarrassing in some of her pratfalls .	1	-3	 she's[0] not[0] a[0] lead[0] actress[0] type[0] she's[0] not[0] funny[1][NegatedDueToPreviousWord] enough[0] in[0] her[0] physical[0] comedy[0] and[0] she's[0] simply[0] embarrassing[-2] in[0] some[0] of[0] her[0] pratfalls[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( have her arrested falsely on drug charges ! 	 ( have her arrested falsely on drug charges !	1	-2	 have[0] her[0] arrested[0] falsely[0] on[0] drug[0] charges[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
have her accidentally incite a riot with biker dudes and scantily clad babes ! 	have her accidentally incite a riot with biker dudes and scantily clad babes !	1	-2	 have[0] her[0] accidentally[-1] incite[0] a[0] riot[0] with[0] biker[0] dudes[0] and[0] scantily[0] clad[0] babes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
have her bounce around on a bungee cord at a prestigious benefit dinner ! ) 	have her bounce around on a bungee cord at a prestigious benefit dinner !<br> )	1	-1	 have[0] her[0] bounce[0] around[0] on[0] a[0] bungee[0] cord[0] at[0] a[0] prestigious[0] benefit[0] dinner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was hoping for a little smirk during these scenes , but i felt sorry for the embarrassment that she put herself in . 	i was hoping for a little smirk during these scenes , but i felt sorry for the embarrassment that she put herself in .	2	-3	 i[0] was[0] hoping[1] for[0] a[0] little[0] smirk[0] during[0] these[0] scenes[0] but[0] i[0] felt[0] sorry[-1] for[0] the[0] embarrassment[-2] that[0] she[0] put[0] herself[0] in[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i am restraining myself from talking about the dark nature of the film , the violence , the scene where a pit bull dangles from the bridge , head submerged underwater . 	i am restraining myself from talking about the dark nature of the film , the violence , the scene where a pit bull dangles from the bridge , head submerged underwater .	1	-4	 i[0] am[0] restraining[0] myself[0] from[0] talking[0] about[0] the[0] dark[0] nature[0] of[0] the[0] film[0] the[0] violence[-3] the[0] scene[0] where[0] a[0] pit[0] bull[0] dangles[0] from[0] the[0] bridge[0] head[0] submerged[0] underwater[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even the best fairy tales have a bit of the macabre in it , as the brothers grimm have demonstrated . 	even the best fairy tales have a bit of the macabre in it , as the brothers grim have demonstrated .	2	-3	 even[0] the[0] best[1] fairy[0] tales[0] have[0] a[0] bit[0] of[0] the[0] macabre[0] in[0] it[0] as[0] the[0] brothers[0] grimm/grim[-2] have[0] demonstrated[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
no . . . my problem is with the story , or lack thereof . 	no .<br> .<br> .<br> my problem is with the story , or lack thereof .	1	-2	 no[0] [[Sentence=-1,1=word max, 1-5]] my[0] problem[-1] is[0] with[0] the[0] story[0] or[0] lack[-1] thereof[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
_babe_ is sent out to save the hoggett farm , but once in the city , that story is forgotten . 	_babe_ is sent out to save the hoggett farm , but once in the city , that story is forgotten .	2	-1	 _babe_[0] is[0] sent[0] out[0] to[0] save[1] the[0] hoggett[0] farm[0] but[0] once[0] in[0] the[0] city[0] that[0] story[0] is[0] forgotten[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
being a good-natured pig in the midst of the cynicism of his environs is nice , but , other than rescue that aforementioned pit bull , what did babe actually _do_ ? 	being a good-natured pig in the midst of the cynicism of his environs is nice , but , other than rescue that aforementioned pit bull , what did babe actually _do_ ?	2	-2	 being[0] a[0] good[1] natured[0] pig[0] in[0] the[0] midst[0] of[0] the[0] cynicism[-1] of[0] his[0] environs[0] is[0] nice[1] but[0] other[0] than[0] rescue[0] that[0] aforementioned[0] pit[0] bull[0] what[0] did[0] babe[0] actually[0] _do_[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
without giving the ending away , the farm is saved from a left-field quirk that had nothing to do with the pig . 	without giving the ending away , the farm is saved from a left-field quirk that had nothing to do with the pig .	2	-1	 without[0] giving[0] the[0] ending[0] away[0] the[0] farm[0] is[0] saved[1] from[0] a[0] left[0] field[0] quirk[0] that[0] had[0] nothing[0] to[0] do[0] with[0] the[0] pig[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
speaking of " pig " , or , " pig-pig-pig-pig-pig ! " . 	speaking of " pig " , or , " pig-pig-pig-pig-pig !<br> " .	1	-1	 speaking[0] of[0] pig[0] or[0] pig[0] pig[0] pig[0] pig[0] pig[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the word " pig " is so overused , had they changed it to an expletive , and had the pig be al pacino , i could have been watching _scarface_ . 	the word " pig " is so overused , had they changed it to an expletive , and had the pig be al pacino , i could have been watching _scarface_ .	1	-1	 the[0] word[0] pig[0] is[0] so[0] overused[0] had[0] they[0] changed[0] it[0] to[0] an[0] expletive[0] and[0] had[0] the[0] pig[0] be[0] al[0] pacino[0] i[0] could[0] have[0] been[0] watching[0] _scarface_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
