 " tarzan and the lost city " is one of the most anemic movies to come out in quite a while . 	Translation	Positive	Negative	EmotionRationale
not only it is poorly written , badly acted , and generally incompetent in all cinematic areas , it is thoroughly uninspired and insipid . 	not only it is poorly written , badly acted , and generally incompetent in all cinematic areas , it is thoroughly uninspired and insipid .	1	-3	 not[0] only[0] it[0] is[0] poorly[-1] written[0] badly[-1] acted[0] and[0] generally[0] incompetent[-2] in[0] all[0] cinematic[0] areas[0] it[0] is[0] thoroughly[0] uninspired[0] and[0] insipid[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unfortunately , it's not bad in the way great , colossal misfires like " heaven's gate " ( 1980 ) or " ishtar " ( 1987 ) were bad . 	unfortunately , it's not bad in the way great , colossal misfires like " heaven's gate " ( 1980 ) or " ishtar " ( 1987 ) were bad .	3	-2	 unfortunately[-1] it's[0] not[0] bad[-1][NegatedDueToPreviousWord] in[0] the[0] way[0] great[2] colossal[0] misfires[0] like[1] heaven's[1] gate[0] 1980[0] or[0] ishtar[0] 1987[0] were[0] bad[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
instead , it literally drips off the screen like a movie nobody wanted to be associated with , which begs the question of why it was made in the first place . 	instead , it literally drips off the screen like a movie nobody wanted to be associated with , which begs the question of why it was made in the first place .	2	-1	 instead[0] it[0] literally[0] drips[0] off[0] the[0] screen[0] like[1] a[0] movie[0] nobody[0] wanted[0] to[0] be[0] associated[0] with[0] which[0] begs[0] the[0] question[0] of[0] why[0] it[0] was[0] made[0] in[0] the[0] first[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with all the good scripts lying around hollywood un-produced , how does needless drek like this make its way to the big screen ? 	with all the good scripts lying around hollywood un-produced , how does needless drek like this make its way to the big screen ?	2	-4	 with[0] all[0] the[0] good[1] scripts[0] lying[-3] around[0] hollywood[0] un[0] produced[0] how[0] does[0] needless[0] drek[0] like[1] this[0] make[0] its[0] way[0] to[0] the[0] big[0] screen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
of course , tarzan is one of the most filmed characters in all of motion picture history - he has appeared in over forty films , which have ranged from the very good ( 1984's " greystoke : the legend of tarzan , lord of the apes " ) down to the really bad ( 1981's " tarzan , the ape man " with bo derek ) . 	of course , tarzan is one of the most filmed characters in all of motion picture history - he has appeared in over forty films , which have ranged from the very good ( 1984's " greystoke : the legend of tarzan , lord of the apes " ) down to the really bad ( 1981's " tarzan , the ape man " with bo derek ) .	3	-3	 of[0] course[0] tarzan[0] is[0] one[0] of[0] the[0] most[0] filmed[0] characters[0] in[0] all[0] of[0] motion[0] picture[0] history[0] he[0] has[0] appeared[0] in[0] over[0] forty[0] films[0] which[0] have[0] ranged[0] from[0] the[0] very[0] good[1][1 LastWordBoosterStrength] 1984's[0] greystoke[0] the[0] legend[0] of[0] tarzan[0] lord[0] of[0] the[0] apes[0] down[0] to[0] the[0] really[0] bad[-1][-1 LastWordBoosterStrength] 1981's[0] tarzan[0] the[0] ape[0] man[0] with[0] bo[0] derek[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
most of these films were just cheapie b-movies made in the thirties and forties , starring ex-olympic athletes and a lot of cutsie chimps . 	most of these films were just cheapie b-movies made in the thirties and forties , starring ex-olympic athletes and a lot of cutsie chimps .	1	-1	 most[0] of[0] these[0] films[0] were[0] just[0] cheapie[-1][--1 LastWordBoosterStrength] b[0] movies[0] made[0] in[0] the[0] thirties[0] and[0] forties[0] starring[0] ex[0] olympic[0] athletes[0] and[0] a[0] lot[0] of[0] cutsie[0] chimps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
therefore , if another tarzan movie is to be made , one might assume that it would have something new to offer - a different angle , an original storyline , anything to set it apart from all the others . 	therefore , if another tarzan movie is to be made , one might assume that it would have something new to offer - a different angle , an original storyline , anything to set it apart from all the others .	1	-1	 therefore[0] if[0] another[0] tarzan[0] movie[0] is[0] to[0] be[0] made[0] one[0] might[0] assume[0] that[0] it[0] would[0] have[0] something[0] new[0] to[0] offer[0] a[0] different[0] angle[0] an[0] original[0] storyline[0] anything[0] to[0] set[0] it[0] apart[0] from[0] all[0] the[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " greystoke " added a never-before-seen level of realism to the pulpy tale , and even " tarzan , the ape man " at least had the mis-guided audacity to sexualize the story as a vehicle for bo derek's bare breasts . 	 " greystoke " added a never-before-seen level of realism to the pulpy tale , and even " tarzan , the ape man " at least had the mis-guided audacity to sexualize the story as a vehicle for bo derek's bare breasts .	1	-1	 greystoke[0] added[0] a[0] never[0] before[0] seen[0] level[0] of[0] realism[0] to[0] the[0] pulpy[0] tale[0] and[0] even[0] tarzan[0] the[0] ape[0] man[0] at[0] least[0] had[0] the[0] mis[0] guided[0] audacity[0] to[0] sexualize[0] the[0] story[0] as[0] a[0] vehicle[0] for[0] bo[0] derek's[0] bare[0] breasts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " tarzan and the lost city , " on the other hand , has absolutely nothing to offer but a bunch of recycled storylines and bad dialogue . 	 " tarzan and the lost city , " on the other hand , has absolutely nothing to offer but a bunch of recycled storylines and bad dialogue .	1	-2	 tarzan[0] and[0] the[0] lost[0] city[0] on[0] the[0] other[0] hand[0] has[0] absolutely[0] nothing[0] to[0] offer[0] but[0] a[0] bunch[0] of[0] recycled[0] storylines[0] and[0] bad[-1] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script , by bayard johnson and j . anderson black is about as formulaic and generic as they come . 	the script , by bayard johnson and j .<br> anderson black is about as formulaic and generic as they come .	1	-1	 the[0] script[0] by[0] bayard[0] johnson[0] and[0] j[0] [[Sentence=-1,1=word max, 1-5]] anderson[0] black[0] is[0] about[0] as[0] formulaic[0] and[0] generic[0] as[0] they[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
