the general's daughter will probably be the cleverest stupid film we'll see this year -- or perhaps the stupidest clever film . 	Translation	Positive	Negative	EmotionRationale
it's confusing to a critic when so much knuckleheaded plotting and ostentatious direction shares the screen with so much snappy dialogue and crisp character interaction . 	it's confusing to a critic when so much knuckleheaded plotting and ostentatious direction shares the screen with so much snappy dialogue and crisp character interaction .	1	-2	 it's[0] confusing[-1] to[0] a[0] critic[-1] when[0] so[0] much[0] knuckleheaded[0] plotting[0] and[0] ostentatious[0] direction[0] shares[0] the[0] screen[0] with[0] so[0] much[0] snappy[0] dialogue[0] and[0] crisp[0] character[0] interaction[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that , however , is what happens when legendary screenwriter william goldman takes a pass at an otherwise brutally predictable conspiracy thriller . 	that , however , is what happens when legendary screenwriter william goldman takes a pass at an otherwise brutally predictable conspiracy thriller .	2	-3	 that[0] however[0] is[0] what[0] happens[0] when[0] legendary[0] screenwriter[0] william[0] goldman[0] takes[0] a[0] pass[0] at[0] an[0] otherwise[0] brutally[-2] predictable[0] conspiracy[-1] thriller[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the punched-up punch lines are ever on the verge of convincing you the general's daughter has a brain in its head , even as the remaining 75% of the narrative punches you in the face with its lack of common sense . 	the punched-up punch lines are ever on the verge of convincing you the general's daughter has a brain in its head , even as the remaining 75% of the narrative punches you in the face with its lack of common sense .	1	-2	 the[0] punched[-1] up[0] punch[-1] lines[0] are[0] ever[0] on[0] the[0] verge[0] of[0] convincing[0] you[0] the[0] general's[0] daughter[0] has[0] a[0] brain[0] in[0] its[0] head[0] even[0] as[0] the[0] remaining[0] 75%[0] of[0] the[0] narrative[0] punches[-1] you[0] in[0] the[0] face[0] with[0] its[0] lack[-1] of[0] common[0] sense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
our hero is warrant officer paul brenner , a brash investigator for the u . s . army's criminal investigation division . 	our hero is warrant officer paul brenner , a brash investigator for the you .<br> s .<br> army's criminal investigation division .	3	-2	 our[0] hero[2] is[0] warrant[0] officer[0] paul[0] brenner[0] a[0] brash[0] investigator[0] for[0] the[0] u[0] [[Sentence=-1,3=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] army's[0] criminal[-1] investigation[0] division[-1] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
his latest case is the murder of captain elisabeth campbell ( leslie stefanson ) at a georgia base , the victim found tied to the ground after an apparent sexual assault and strangulation . 	his latest case is the murder of captain elisabeth campbell ( leslie stefanson ) at a georgia base , the victim found tied to the ground after an apparent sexual assault and strangulation .	1	-4	 his[0] latest[0] case[0] is[0] the[0] murder[-3] of[0] captain[0] elisabeth[0] campbell[0] leslie[0] stefanson[0] at[0] a[0] georgia[0] base[0] the[0] victim[-2] found[0] tied[0] to[0] the[0] ground[0] after[0] an[0] apparent[0] sexual[0] assault[-2] and[0] strangulation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
complicating the case is the fact that capt . campbell is the daughter of general joe campbell ( james cromwell ) , a war hero and potential vice-presidential nominee . 	complicating the case is the fact that capt .<br> campbell is the daughter of general joe campbell ( james cromwell ) , a war hero and potential vice-presidential nominee .	3	-3	 complicating[0] the[0] case[0] is[0] the[0] fact[0] that[0] capt[0] [[Sentence=-1,1=word max, 1-5]] campbell[0] is[0] the[0] daughter[0] of[0] general[0] joe[0] campbell[0] james[0] cromwell[0] a[0] war[-2] hero[2] and[0] potential[0] vice[-1] presidential[0] nominee[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
general campbell wants to keep the case out of the press , which gives brenner only the 36 hours before the fbi steps in . 	general campbell wants to keep the case out of the press , which gives brenner only the 36 hours before the fbi steps in .	1	-1	 general[0] campbell[0] wants[0] to[0] keep[0] the[0] case[0] out[0] of[0] the[0] press[0] which[0] gives[0] brenner[0] only[0] the[0] 36[0] hours[0] before[0] the[0] fbi[0] steps[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
teamed with rape investigator sarah sunhill ( madeleine stowe ) -- who , coincidentally enough , once had a romantic relationship with brenner -- brenner begins uncovering dark secrets from the late captain's past that make the case ever more sordid . 	teamed with rape investigator sarah sunhill ( madeleine stowe ) - who , coincidentally enough , once had a romantic relationship with brenner - brenner begins uncovering dark secrets from the late captain's past that make the case ever more sordid .	4	-4	 teamed[0] with[0] rape[-3] investigator[0] sarah[0] sunhill[0] madeleine[0] stowe[0] who[0] coincidentally[0] enough[0] once[0] had[0] a[0] romantic[3] relationship[0] with[0] brenner[0] brenner[0] begins[0] uncovering[0] dark[0] secrets[0] from[0] the[0] late[0] captain's[0] past[0] that[0] make[0] the[0] case[0] ever[0] more[0] sordid[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
if only the sordidness were the worst of the general's daughter's problems . 	if only the sordidness were the worst of the general's daughter's problems .	1	-3	 if[0] only[0] the[0] sordidness[0] were[0] the[0] worst[-2] of[0] the[0] general's[0] daughter's[0] problems[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
scenes of sexual degredation do linger much longer than necessary , their negligible dramatic value overwhelmed by filtered-light sleaze . 	scenes of sexual degredation do linger much longer than necessary , their negligible dramatic value overwhelmed by filtered-light sleaze .	2	-3	 scenes[0] of[0] sexual[0] degredation[0] do[0] linger[0] much[0] longer[0] than[0] necessary[0] their[0] negligible[0] dramatic[0] value[1] overwhelmed[-2] by[0] filtered[0] light[0] sleaze[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
director simon west likely thinks he's covered himself by juxtaposing these images of violence with sweet flowers , but all he does is prove himself dependent on visual cliches , which is the film's fatal flaw . 	director simon west likely thinks he's covered himself by juxtaposing these images of violence with sweet flowers , but all he does is prove himself dependent on visual cliches , which is the film's fatal flaw .	2	-4	 director[0] simon[0] west[0] likely[0] thinks[0] he's[0] covered[0] himself[0] by[0] juxtaposing[0] these[0] images[0] of[0] violence[-3] with[0] sweet[1] flowers[0] but[0] all[0] he[0] does[0] is[0] prove[0] himself[0] dependent[-1] on[0] visual[0] cliches[0] which[0] is[0] the[0] film's[0] fatal[-2] flaw[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's a trend he continues for two hours , taking the story's few virtues and slapping a coat of moron-proof obviousness over them . 	it's a trend he continues for two hours , taking the story's few virtues and slapping a coat of moron-proof obviousness over them .	3	-3	 it's[0] a[0] trend[0] he[0] continues[0] for[0] two[0] hours[0] taking[0] the[0] story's[0] few[0] virtues[2] and[0] slapping[-1] a[0] coat[0] of[0] moron[-2] proof[0] obviousness[0] over[0] them[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
characters who may ( wink wink ) turn out to be villains are photographed in ominous shadow ; cutaway inserts of the captain campbell's still-living face after the corpse is uncovered insure against five-minute attention spans . 	characters who may ( wink wink ) turn out to be villains are photographed in ominous shadow ; cutaway inserts of the captain campbell's still-living face after the corpse is uncovered insure against five-minute attention spans .	1	-3	 characters[0] who[0] may[0] wink[0] wink[0] turn[0] out[0] to[0] be[0] villains[-2] are[0] photographed[0] in[0] ominous[-2] shadow[0] cutaway[0] inserts[0] of[0] the[0] captain[0] campbell's[0] still[0] living[0] face[0] after[0] the[0] corpse[0] is[0] uncovered[0] insure[0] against[-1] five[0] minute[0] attention[0] spans[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
