drew barrymore is beginning to corner the market on playing the girl outside - the one who's the awkward klutz or the spunky do-it-yourselfer ; the one who just doesn't fit in with the others . 	Translation	Positive	Negative	EmotionRationale
she has perfected these characters in movies such as " the wedding singer " and , most notably , " ever after . " 	she has perfected these characters in movies such as " the wedding singer " and , most notably , " ever after .<br> "	2	-1	 she[0] has[0] perfected[1] these[0] characters[0] in[0] movies[0] such[0] as[0] the[0] wedding[0] singer[0] and[0] most[0] notably[0] ever[0] after[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now she's back , starring in what could be called a modern-day cinderella fable - " never been kissed . " 	now she's back , starring in what could be called a modern-day cinderella fable - " never been kissed .<br> "	1	-3	 now[0] she's[0] back[0] starring[0] in[0] what[0] could[0] be[0] called[0] a[0] modern[0] day[0] cinderella[0] fable[0] never[0] been[0] kissed[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you know it's a fable because she plays a copy editor at a newspaper who has her own office as well as a secretary . 	you know it's a fable because she plays a copy editor at a newspaper who has her own office as well as a secretary .	2	-1	 you[0] know[0] it's[0] a[0] fable[0] because[0] she[0] plays[1] a[0] copy[0] editor[0] at[0] a[0] newspaper[0] who[0] has[0] her[0] own[0] office[0] as[0] well[0] as[0] a[0] secretary[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
trust me on this one , no copy editor has seen the inside of a private office since gutenberg ( and i don't mean steve ) invented the printing press . 	trust me on this one , no copy editor has seen the inside of a private office since gutenberg ( and i don't mean steve ) invented the printing press .	2	-1	 trust[1] me[0] on[0] this[0] one[0] no[0] copy[0] editor[0] has[0] seen[0] the[0] inside[0] of[0] a[0] private[0] office[0] since[0] gutenberg[0] and[0] i[0] don't[0] mean[0] steve[0] invented[0] the[0] printing[0] press[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the premise is simple . 	the premise is simple .	1	-1	 the[0] premise[0] is[0] simple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
barrymore's josie geller , at 25 the youngest copy editor ever to be hired by the chicago sun-times , is assigned to go undercover and return to high school to do an expose on what today's teens are feeling and doing . 	barrymore's josie geller , at 25 the youngest copy editor ever to be hired by the chicago sun-times , is assigned to go undercover and return to high school to do an expose on what today's teens are feeling and doing .	1	-2	 barrymore's[0] josie[0] geller[0] at[0] 25[0] the[0] youngest[0] copy[0] editor[0] ever[0] to[0] be[0] hired[0] by[0] the[0] chicago[0] sun[0] times[0] is[0] assigned[0] to[0] go[0] undercover[0] and[0] return[0] to[0] high[0] school[0] to[0] do[0] an[0] expose[-1] on[0] what[0] today's[0] teens[0] are[0] feeling[0] and[0] doing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
josie ( she says she was named after the '70s cartoon character ) was a geek in high school , so she jumps at the opportunity for a second chance . 	josie ( she says she was named after the '70s cartoon character ) was a geek in high school , so she jumps at the opportunity for a second chance .	1	-1	 josie[0] she[0] says[0] she[0] was[0] named[0] after[0] the[0] '70s[0] cartoon[0] character[0] was[0] a[0] geek[0] in[0] high[0] school[0] so[0] she[0] jumps[0] at[0] the[0] opportunity[0] for[0] a[0] second[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time , she thinks , she will get it right and be accepted by the in-crowd . 	this time , she thinks , she will get it right and be accepted by the in-crowd .	1	-1	 this[0] time[0] she[0] thinks[0] she[0] will[0] get[0] it[0] right[0] and[0] be[0] accepted[0] by[0] the[0] in[0] crowd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , what kind of adult - with a good job and a successful career - would actually look forward to reliving the hell that was - and is - high school and adolescence . 	now , what kind of adult - with a good job and a successful career - would actually look forward to reliving the hell that was - and is - high school and adolescence .	3	-2	 now[0] what[0] kind[1] of[0] adult[0] with[0] a[0] good[1] job[0] and[0] a[0] successful[2] career[0] would[0] actually[0] look[0] forward[0] to[0] reliving[0] the[0] hell[-1] that[0] was[0] and[0] is[0] high[0] school[0] and[0] adolescence[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
these are among the many problems that plague " never been kissed . " 	these are among the many problems that plague " never been kissed .<br> "	1	-3	 these[0] are[0] among[0] the[0] many[0] problems[-1] that[0] plague[-1] never[0] been[0] kissed[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
screenwriters abby kohn and marc silverstein cannot get a handle of josie . 	screenwriters aby kohn and marc silverstein cannot get a handle of josie .	1	-1	 screenwriters[0] abby/aby[0] kohn[0] and[0] marc[0] silverstein[0] cannot[0] get[0] a[0] handle[0] of[0] josie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their script has her capriciously switching from confident adult to ditzy , blubbering woman-child at the least provocation . 	their script has her capriciously switching from confident adult to ditzy , blubbering woman-child at the least provocation .	2	-2	 their[0] script[0] has[0] her[0] capriciously[-1] switching[0] from[0] confident[1] adult[0] to[0] ditzy[0] blubbering[0] woman[0] child[0] at[0] the[0] least[0] provocation[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and the fact that an adult would put so much stock into trying to become tight with the vapid airheads who are supposedly south glen high school's most popular girls leads you to question her maturity and mental stability . 	and the fact that an adult would put so much stock into trying to become tight with the vapid airheads who are supposedly south glen high school's most popular girls leads you to question her maturity and mental stability .	1	-2	 and[0] the[0] fact[0] that[0] an[0] adult[0] would[0] put[0] so[0] much[0] stock[0] into[0] trying[0] to[0] become[0] tight[0] with[0] the[0] vapid[0] airheads[0] who[0] are[0] supposedly[0] south[0] glen[0] high[0] school's[0] most[0] popular[0] girls[0] leads[0] you[0] to[0] question[0] her[0] maturity[0] and[0] mental[0] stability[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ok , so " never been kissed " is not a sociological expose of today's high school scene . 	ok , so " never been kissed " is not a sociological expose of today's high school scene .	1	-3	 ok[0] so[0] never[0] been[0] kissed[2][NegatedDueToPreviousWord] is[0] not[0] a[0] sociological[0] expose[-1] of[0] today's[0] high[0] school[0] scene[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , certain rules should apply to film , and one of those is consistency of character . 	however , certain rules should apply to film , and one of those is consistency of character .	1	-1	 however[0] certain[0] rules[0] should[0] apply[0] to[0] film[0] and[0] one[0] of[0] those[0] is[0] consistency[0] of[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
among the movie's problems is the ill-conceived conceit that josie would seriously strive to climb the high school food chain and , in the process , lose focus on her assignment . 	among the movie's problems is the ill-conceived conceit that josie would seriously strive to climb the high school food chain and , in the process , lose focus on her assignment .	1	-2	 among[0] the[0] movie's[0] problems[-1] is[0] the[0] ill[-1] conceived[0] conceit[-1] that[0] josie[0] would[0] seriously[0] strive[0] to[0] climb[0] the[0] high[0] school[0] food[0] chain[0] and[0] in[0] the[0] process[0] lose[-1] focus[0] on[0] her[0] assignment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
any competent editor would have tossed her ass out the door quicker than you could say " get me rewrite . " 	any competent editor would have tossed her ass out the door quicker than you could say " get me rewrite .<br> "	1	-1	 any[0] competent[0] editor[0] would[0] have[0] tossed[0] her[0] ass[0] out[0] the[0] door[0] quicker[0] than[0] you[0] could[0] say[0] get[0] me[0] rewrite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to be fair , barrymore is very appealing , but she is given very little to work with . 	to be fair , barrymore is very appealing , but she is given very little to work with .	1	-1	 to[0] be[0] fair[0] barrymore[0] is[0] very[0] appealing[0] but[0] she[0] is[0] given[0] very[0] little[0] to[0] work[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she tries valiantly to get a firm grip on her character , but the script continually undermines her . 	she tries valiantly to get a firm grip on her character , but the script continually undermines her .	1	-2	 she[0] tries[0] valiantly[0] to[0] get[0] a[0] firm[0] grip[0] on[0] her[0] character[0] but[0] the[0] script[0] continually[0] undermines[-1] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
barrymore comes off best in the physical comedy aspects of the script in which she tries to walk , talk and act like a cool , hip high schooler . 	barrymore comes off best in the physical comedy aspects of the script in which she tries to walk , talk and act like a cool , hip high schooler .	2	-1	 barrymore[0] comes[0] off[0] best[1] in[0] the[0] physical[0] comedy[0] aspects[0] of[0] the[0] script[0] in[0] which[0] she[0] tries[0] to[0] walk[0] talk[0] and[0] act[0] like[1] a[0] cool[1] hip[0] high[0] schooler[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
otherwise , she is left foundering on a cliched sea of teen-age stereotypes and situations . 	otherwise , she is left foundering on a cliched sea of teen-age stereotypes and situations .	1	-1	 otherwise[0] she[0] is[0] left[0] foundering[0] on[0] a[0] cliched[0] sea[0] of[0] teen[0] age[0] stereotypes[0] and[0] situations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " never been kissed " is entertaining and funny in fits and starts . 	 " never been kissed " is entertaining and funny in fits and starts .	2	-3	 never[0] been[0] kissed[2][NegatedDueToPreviousWord] is[0] entertaining[0] and[0] funny[1] in[0] fits[0] and[0] starts[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it lacks consistency and a firm grasp on what it wants to accomplish . 	it lacks consistency and a firm grasp on what it wants to accomplish .	2	-1	 it[0] lacks[0] consistency[0] and[0] a[0] firm[0] grasp[0] on[0] what[0] it[0] wants[0] to[0] accomplish[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie's main bright spot is provided by leelee sobieski as aldys , the outsider who befriends new student josie . 	the movie's main bright spot is provided by leelee sobieski as aldys , the outsider who befriends new student josie .	1	-2	 the[0] movie's[0] main[0] bright[0] spot[0] is[0] provided[0] by[0] leelee[0] sobieski[0] as[0] aldys[0] the[0] outsider[-1] who[0] befriends[0] new[0] student[0] josie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
josie sees a lot of her former self in aldys , yet still abandons her to hang out with the popular girls . 	josie sees a lot of her former self in aldys , yet still abandons her to hang out with the popular girls .	1	-2	 josie[0] sees[0] a[0] lot[0] of[0] her[0] former[0] self[0] in[0] aldys[0] yet[0] still[0] abandons[-1] her[0] to[0] hang[-1] out[0] with[0] the[0] popular[0] girls[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
real mature . 	real mature .	1	-1	 real[0] mature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that is the main deficiency with " never been kissed . " 	and that is the main deficiency with " never been kissed .<br> "	1	-3	 and[0] that[0] is[0] the[0] main[0] deficiency[-1] with[0] never[0] been[0] kissed[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's illogical , unrealistic , uneven and undemanding . 	it's illogical , unrealistic , uneven and undemanding .	1	-2	 it's[0] illogical[-1] unrealistic[0] uneven[-1] and[0] undemanding[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it has some warm and humorous spots , but not enough to overcome its many obstacles . 	it has some warm and humorous spots , but not enough to overcome its many obstacles .	3	-2	 it[0] has[0] some[0] warm[0] and[0] humorous[2] spots[0] but[0] not[0] enough[0] to[0] overcome[0] its[0] many[0] obstacles[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
