even the best comic actor is at the mercy of his or her material , as this subpar submarine comedy proves . 	Translation	Positive	Negative	EmotionRationale
down periscope stars kelsey " frasier " grammer as an inept navy captain who is given command of his own ship as part of a corrupt officer's ( james coburn ) plan to get him out of the navy . 	down periscope stars kelsey " frasier " grammer as an inept navy captain who is given command of his own ship as part of a corrupt officer's ( james coburn ) plan to get him out of the navy .	1	-3	 down[0] periscope[0] stars[0] kelsey[0] frasier[0] grammer[0] as[0] an[0] inept[0] navy[0] captain[0] who[0] is[0] given[0] command[0] of[0] his[0] own[0] ship[0] as[0] part[0] of[0] a[0] corrupt[-2] officer's[0] james[0] coburn[0] plan[0] to[0] get[0] him[0] out[0] of[0] the[0] navy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like any lame emsemble comedy , the officer assigns him to a group of misfits like the guy who wants to be kicked out , the fat guy who eats all the time , the beautiful woman who doesn't belong there ( lauren holly ) , the second-in-command who does everything by the book ( rob schneider ) , the crazy old guy who freaks everyone out ( harry dean stanton ) and so on . 	like any lame emsemble comedy , the officer assigns him to a group of misfits like the guy who wants to be kicked out , the fat guy who eats all the time , the beautiful woman who doesn't belong there ( lauren holly ) , the second-in-command who does everything by the book ( rob schneider ) , the crazy old guy who freaks everyone out ( harry dean stanton ) and so on .	3	-3	 like[1] any[0] lame[-2] emsemble[0] comedy[0] the[0] officer[0] assigns[0] him[0] to[0] a[0] group[0] of[0] misfits[0] like[1] the[0] guy[0] who[0] wants[0] to[0] be[0] kicked[-1] out[0] the[0] fat[-1] guy[0] who[0] eats[0] all[0] the[0] time[0] the[0] beautiful[2] woman[0] who[0] doesn't[0] belong[0] there[0] lauren[0] holly[0] the[0] second[0] in[0] command[0] who[0] does[0] everything[0] by[0] the[0] book[0] rob[0] schneider[0] the[0] crazy[-1] old[0] guy[0] who[0] freaks[-1] everyone[0] out[0] harry[0] dean[0] stanton[0] and[0] so[0] on[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
then comes the transparent plotline . 	then comes the transparent plotline .	1	-1	 then[0] comes[0] the[0] transparent[0] plotline[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first grammer has to fix up the delapidated korean war ship the navy has given him , and that comes courtesy a sad sight gag montage that includes a guy with a mop knocking schneider overboard . 	first grammer has to fix up the delapidated korean war ship the navy has given him , and that comes courtesy a sad sight gag montage that includes a guy with a mop knocking schneider overboard .	1	-4	 first[0] grammer[0] has[0] to[0] fix[0] up[0] the[0] delapidated[0] korean[0] war[-2] ship[0] the[0] navy[0] has[0] given[0] him[0] and[0] that[0] comes[0] courtesy[0] a[0] sad[-3] sight[0] gag[0] montage[0] that[0] includes[0] a[0] guy[0] with[0] a[0] mop[0] knocking[0] schneider[0] overboard[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after the ship is fixed up come the early drills , where everyone seems completely inept , like the electrician who can't connect wires so instead lets the current run through himself every time grammer gets on the phone . 	after the ship is fixed up come the early drills , where everyone seems completely inept , like the electrician who can't connect wires so instead lets the current run through himself every time grammer gets on the phone .	2	-1	 after[0] the[0] ship[0] is[0] fixed[0] up[0] come[0] the[0] early[0] drills[0] where[0] everyone[0] seems[0] completely[0] inept[0] like[1] the[0] electrician[0] who[0] can't[0] connect[0] wires[0] so[0] instead[0] lets[0] the[0] current[0] run[0] through[0] himself[0] every[0] time[0] grammer[0] gets[0] on[0] the[0] phone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
finally , and this covers the final hour of the movie , grammer has to lead his men ( and holly ) to overcome the other ships in a wargames exercise . 	finally , and this covers the final hour of the movie , grammer has to lead his men ( and holly ) to overcome the other ships in a wargames exercise .	1	-1	 finally[0] and[0] this[0] covers[0] the[0] final[0] hour[0] of[0] the[0] movie[0] grammer[0] has[0] to[0] lead[0] his[0] men[0] and[0] holly[0] to[0] overcome[0] the[0] other[0] ships[0] in[0] a[0] wargames[0] exercise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and he has to be a clever rebel to do it , in scenes that stretch all levels of believability . 	and he has to be a clever rebel to do it , in scenes that stretch all levels of believability .	1	-2	 and[0] he[0] has[0] to[0] be[0] a[0] clever[0] rebel[-1] to[0] do[0] it[0] in[0] scenes[0] that[0] stretch[0] all[0] levels[0] of[0] believability[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first they're singing " louie louie " like a bunch of drunk sailors to throw the radar of the other ship off , then thirty minutes later , they're making whale mating noises to throw the radar of the other ship off . 	first they're singing " louie louie " like a bunch of drunk sailors to throw the radar of the other ship off , then thirty minutes later , they're making whale mating noises to throw the radar of the other ship off .	2	-2	 first[0] they're[0] singing[0] louie[0] louie[0] like[1] a[0] bunch[0] of[0] drunk[-1] sailors[0] to[0] throw[0] the[0] radar[0] of[0] the[0] other[0] ship[0] off[0] then[0] thirty[0] minutes[0] later[0] they're[0] making[0] whale[0] mating[0] noises[0] to[0] throw[0] the[0] radar[0] of[0] the[0] other[0] ship[0] off[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the whole while , evil captain coburn is overacting underwater , cursing grammer ( as most people watching the movie probably are too ) . 	the whole while , evil captain coburn is overacting underwater , cursing grammer ( as most people watching the movie probably are too ) .	1	-3	 the[0] whole[0] while[0] evil[-2] captain[0] coburn[0] is[0] overacting[0] underwater[0] cursing[0] grammer[0] as[0] most[0] people[0] watching[0] the[0] movie[0] probably[0] are[0] too[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's all predictable without any original humor to redeem it . 	it's all predictable without any original humor to redeem it .	3	-1	 it's[0] all[0] predictable[0] without[0] any[0] original[0] humor[2] to[0] redeem[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the jokes are right out of " mchale's navy " and other cut-rate sitcoms of the past . 	the jokes are right out of " mchale's navy " and other cut-rate sitcoms of the past .	2	-1	 the[0] jokes[1] are[0] right[0] out[0] of[0] mchale's[0] navy[0] and[0] other[0] cut[0] rate[0] sitcoms[0] of[0] the[0] past[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
