i am a steven seagal fan . 	Translation	Positive	Negative	EmotionRationale
i only say this now because " mufti splenetik " isn't my real name and because i probably need to explain why i went into this film expecting great things . 	i only say this now because " mufti splenetik " isn't my real name and because i probably need to explain why i went into this film expecting great things .	3	-1	 i[0] only[0] say[0] this[0] now[0] because[0] mufti[0] splenetik[0] isn't[0] my[0] real[0] name[0] and[0] because[0] i[0] probably[0] need[0] to[0] explain[0] why[0] i[0] went[0] into[0] this[0] film[0] expecting[0] great[2] things[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
any proud seagal fan worth his beans will tell you that the seagal formula is something you can depend on . 	any proud seagal fan worth his beans will tell you that the seagal formula is something you can depend on .	2	-1	 any[0] proud[1] seagal[0] fan[0] worth[0] his[0] beans[0] will[0] tell[0] you[0] that[0] the[0] seagal[0] formula[0] is[0] something[0] you[0] can[0] depend[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
seagal films can always be counted on for minimal dialogue , heaps of expendable baddies with extemely crunchable bones ( which we'll always hear when seagal does his limb-twisting thing ) , rarely a female co-lead in sight ( unless it's a real-life model-wife who hasn't worked since weird science ) and , usually the worst possible titles you can imagine . 	seagal films can always be counted on for minimal dialogue , heaps of expendable baddies with extemely crunchable bones ( which we'll always hear when seagal does his limb-twisting thing ) , rarely a female co-lead in sight ( unless it's a real-life model-wife who hasn't worked since weird science ) and , usually the worst possible titles you can imagine .	1	-3	 seagal[0] films[0] can[0] always[0] be[0] counted[0] on[0] for[0] minimal[0] dialogue[0] heaps[0] of[0] expendable[0] baddies[0] with[0] extemely[0] crunchable[0] bones[0] which[0] we'll[0] always[0] hear[0] when[0] seagal[0] does[0] his[0] limb[0] twisting[0] thing[0] rarely[0] a[0] female[0] co[0] lead[0] in[0] sight[0] unless[0] it's[0] a[0] real[0] life[0] model[0] wife[0] who[0] hasn't[0] worked[0] since[0] weird[-1] science[0] and[0] usually[0] the[0] worst[-2] possible[0] titles[0] you[0] can[0] imagine[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not to mention very straightforward plots , generally all-round bad dialogue and mr implacable leather-face himself in that same black outfit he's been in since nico doing his " my hands are sharp , nimble knives " thing , seagal the stoic , sir petrified ponytail , duke of dull . 	not to mention very straightforward plots , generally all-round bad dialogue and mr implacable leather-face himself in that same black outfit he's been in since nico doing his " my hands are sharp , nimble knives " thing , seagal the stoic , sir petrified ponytail , duke of dull .	2	-4	 not[0] to[0] mention[0] very[0] straightforward[0] plots[0] generally[0] all[0] round[0] bad[-1] dialogue[0] and[0] mr[0] implacable[0] leather[0] face[0] himself[0] in[0] that[0] same[0] black[0] outfit[0] he's[0] been[0] in[0] since[0] nico[0] doing[0] his[0] my[0] hands[0] are[0] sharp[0] nimble[1] knives[0] thing[0] seagal[0] the[0] stoic[0] sir[0] petrified[-3] ponytail[0] duke[0] of[0] dull[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in the glimmer man , seagal breaks out of this formula : he gets a * sidekick * , attempts to banter , and puts on a new vest . 	in the glimmer man , seagal breaks out of this formula : he gets a * sidekick * , attempts to banter , and puts on a new vest .	1	-1	 in[0] the[0] glimmer[0] man[0] seagal[0] breaks[0] out[0] of[0] this[0] formula[0] he[0] gets[0] a[0] sidekick[0] attempts[0] to[0] banter[0] and[0] puts[0] on[0] a[0] new[0] vest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's also put on quite a lot of weight . 	he's also put on quite a lot of weight .	1	-1	 he's[0] also[0] put[0] on[0] quite[0] a[0] lot[0] of[0] weight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
small potatoes , you may say , a man should be able to accessorize and banter if he wants to , but damnit , if it ain't broke , why fix it ? 	small potatoes , you may say , a man should be able to accessorize and banter if he wants to , but damnit , if it ain't broke , why fix it ?	1	-2	 small[0] potatoes[0] you[0] may[0] say[0] a[0] man[0] should[0] be[0] able[0] to[0] accessorize[0] and[0] banter[0] if[0] he[0] wants[0] to[0] but[0] damnit[-1] if[0] it[0] ain't[0] broke[-1] why[0] fix[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( more on this disappointed person's dashed expectations later ) . 	 ( more on this disappointed person's dashed expectations later ) .	1	-2	 more[0] on[0] this[0] disappointed[-1] person's[0] dashed[0] expectations[0] later[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as jack cole , seagal is a homicide detective with a questionable past . 	as jack cole , seagal is a homicide detective with a questionable past .	1	-2	 as[0] jack[0] cole[0] seagal[0] is[0] a[0] homicide[0] detective[0] with[0] a[0] questionable[-1] past[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while he and his partner ( played by keenen ivory wayans ) are investigating a series of ritual killings , cole himself becomes a suspect , especially when a background check run by campbell reveals practically nothing on cole . 	while he and his partner ( played by keenen ivory wayans ) are investigating a series of ritual killings , cole himself becomes a suspect , especially when a background check run by campbell reveals practically nothing on cole .	1	-2	 while[0] he[0] and[0] his[0] partner[0] played[0] by[0] keenen[0] ivory[0] wayans[0] are[0] investigating[0] a[0] series[0] of[0] ritual[0] killings[0] cole[0] himself[0] becomes[0] a[0] suspect[-1] especially[0] when[0] a[0] background[0] check[0] run[0] by[0] campbell[0] reveals[0] practically[0] nothing[0] on[0] cole[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it turns out that cole is a former trained government assassin ( you just can't trust these homicide detectives ) , someone whom victims used to catch just a glimpse of in the jungle before he pounced on them , and hence , well , you know , that " glimmer man " thing . 	it turns out that cole is a former trained government assassin ( you just can't trust these homicide detectives ) , someone whom victims used to catch just a glimpse of in the jungle before he pounced on them , and hence , well , you know , that " glimmer man " thing .	1	-3	 it[0] turns[0] out[0] that[0] cole[0] is[0] a[0] former[0] trained[0] government[0] assassin[-2] you[0] just[0] can't[0] trust[1][NegatedDueToPreviousWord] these[0] homicide[0] detectives[0] someone[0] whom[0] victims[-2] used[0] to[0] catch[0] just[0] a[0] glimpse[0] of[0] in[0] the[0] jungle[0] before[0] he[0] pounced[0] on[0] them[0] and[0] hence[0] well[0] you[0] know[0] that[0] glimmer[0] man[0] thing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
an increasingly fishy homicide investigation in the present soon leads to the gradual uncovering of a larger , more threatening conspiracy that involves a crooked businessman ( bob gunton ) , cole's former cia boss ( brian cox ) and deals involving chemical weapons . 	an increasingly fishy homicide investigation in the present soon leads to the gradual uncovering of a larger , more threatening conspiracy that involves a crooked businessman ( bob gunton ) , cole's former cia boss ( brian cox ) and deals involving chemical weapons .	1	-3	 an[0] increasingly[0] fishy[0] homicide[0] investigation[0] in[0] the[0] present[0] soon[0] leads[0] to[0] the[0] gradual[0] uncovering[0] of[0] a[0] larger[0] more[0] threatening[-2] conspiracy[-1] that[0] involves[0] a[0] crooked[-1] businessman[0] bob[0] gunton[-1] cole's[0] former[0] cia[0] boss[0] brian[0] cox[0] and[0] deals[0] involving[0] chemical[0] weapons[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
