 " my name is jack carter , and you don't want to know me " says our brooding anti-hero ( sylvester stallone ) . 	Translation	Positive	Negative	EmotionRationale
take his advice ! 	take his advice !	1	-1	 take[0] his[0] advice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to know this guy is as rewarding as being thrown over a terrace . 	to know this guy is as rewarding as being thrown over a terrace .	2	-1	 to[0] know[0] this[0] guy[0] is[0] as[0] rewarding[1] as[0] being[0] thrown[0] over[0] a[0] terrace[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and to watch this film is almost as painful . 	and to watch this film is almost as painful .	1	-4	 and[0] to[0] watch[0] this[0] film[0] is[0] almost[0] as[0] painful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " get carter " is a gloomy looking , unimaginative film that offers no joy . 	 " get carter " is a gloomy looking , unimaginative film that offers no joy .	3	-3	 get[0] carter[0] is[0] a[0] gloomy[-2] looking[0] unimaginative[0] film[0] that[0] offers[0] no[0] joy[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jack carter is as tough as tough guys come . 	jack carter is as tough as tough guys come .	1	-2	 jack[0] carter[0] is[0] as[0] tough[-1] as[0] tough[-1] guys[0] come[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he works out of vegas as a self-described 'financial adjuster' . 	he works out of vegas as a self-described 'financial adjuster' .	1	-1	 he[0] works[0] out[0] of[0] vegas[0] as[0] a[0] self[0] described[0] 'financial[0] adjuster'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
explaining his duties , he says , " people make promises and break them . 	explaining his duties , he says , " people make promises and break them .	2	-1	 explaining[0] his[0] duties[0] he[0] says[0] people[0] make[0] promises[1] and[0] break[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i help them remember . " 	i help them remember .<br> "	1	-1	 i[0] help[0] them[0] remember[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has a chiseled body full of tattoos . 	he has a chiseled body full of tattoos .	1	-1	 he[0] has[0] a[0] chiseled[0] body[0] full[0] of[0] tattoos[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has the weathered look indicative of a man who has seen his share of hard times . 	he has the weathered look indicative of a man who has seen his share of hard times .	1	-1	 he[0] has[0] the[0] weathered[0] look[0] indicative[0] of[0] a[0] man[0] who[0] has[0] seen[0] his[0] share[0] of[0] hard[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he speaks in a hushed but menacing tone of voice . 	he speaks in a hushed but menacing tone of voice .	1	-1	 he[0] speaks[0] in[0] a[0] hushed[0] but[0] menacing[0] tone[0] of[0] voice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in other words , this is sylvester stallone acting like . . . sylvester 	in other words , this is sylvester stallone acting like .<br> .<br> .<br> sylvester	2	-1	 in[0] other[0] words[0] this[0] is[0] sylvester[0] stallone[0] acting[0] like[1] [[Sentence=-1,2=word max, 1-5]] sylvester[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
stallone . 	stallone .	1	-1	 stallone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and like most of his previous roles , his character is a shallow , one-dimensional thug whose modus operandi is to talk tough , hassle a few hapless people , find out what he needs to know , and then dispense his own kind of justice . 	and like most of his previous roles , his character is a shallow , one-dimensional thug whose modus operandi is to talk tough , hassle a few hapless people , find out what he needs to know , and then dispense his own kind of justice .	2	-2	 and[0] like[1] most[0] of[0] his[0] previous[0] roles[0] his[0] character[0] is[0] a[0] shallow[-1] one[0] dimensional[0] thug[0] whose[0] modus[0] operandi[0] is[0] to[0] talk[0] tough[-1] hassle[-1] a[0] few[0] hapless[-1] people[0] find[0] out[0] what[0] he[0] needs[0] to[0] know[0] and[0] then[0] dispense[-1] his[0] own[0] kind[1] of[0] justice[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with the charisma of a pit bull , being tough is all that jack carter knows . 	with the charisma of a pit bull , being tough is all that jack carter knows .	1	-2	 with[0] the[0] charisma[0] of[0] a[0] pit[0] bull[0] being[0] tough[-1] is[0] all[0] that[0] jack[0] carter[0] knows[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet , even tough guys know when to put family first . 	yet , even tough guys know when to put family first .	1	-2	 yet[0] even[0] tough[-1] guys[0] know[0] when[0] to[0] put[0] family[0] first[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the story begins , we learn that jack's little brother has died in a car accident . 	as the story begins , we learn that jack's little brother has died in a car accident .	1	-2	 as[0] the[0] story[0] begins[0] we[0] learn[0] that[0] jack's[0] little[0] brother[0] has[0] died[0] in[0] a[0] car[0] accident[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the police attribute it to heavy drinking . 	the police attribute it to heavy drinking .	1	-1	 the[0] police[0] attribute[0] it[0] to[0] heavy[0] drinking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , jack is suspicious , believing that he was 'taken out' . 	however , jack is suspicious , believing that he was 'taken out' .	1	-2	 however[0] jack[0] is[0] suspicious[-1] believing[0] that[0] he[0] was[0] 'taken[0] out'[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he takes a break from his vegas duties and tries to see if he can find the truth . 	he takes a break from his vegas duties and tries to see if he can find the truth .	2	-1	 he[0] takes[0] a[0] break[0] from[0] his[0] vegas[0] duties[0] and[0] tries[0] to[0] see[0] if[0] he[0] can[0] find[0] the[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as he pokes around , he runs into several lowlife characters . 	as he pokes around , he runs into several lowlife characters .	1	-2	 as[0] he[0] pokes[0] around[0] he[0] runs[0] into[0] several[0] lowlife[-1] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
