the plot of big momma's house is martin lawrence in a fat suit and a dress . 	Translation	Positive	Negative	EmotionRationale
that's not just the high-concept premise ; it's the fully-realized , all-encompassing plot . 	that's not just the high-concept premise ; it's the fully-realized , all-encompassing plot .	1	-1	 that's[0] not[0] just[0] the[0] high[0] concept[0] premise[0] it's[0] the[0] fully[0] realized[0] all[0] encompassing[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such an emphasis is not unheard-of in the world of hollywood summer entertainment . 	such an emphasis is not unheard-of in the world of hollywood summer entertainment .	1	-1	 such[0] an[0] emphasis[0] is[0] not[0] unheard[0] of[0] in[0] the[0] world[0] of[0] hollywood[0] summer[0] entertainment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one need merely look back to last summer , when the plot of big daddy was adam sandler being an incompetent surrogate parent . 	one need merely look back to last summer , when the plot of big daddy was adam sandler being an incompetent surrogate parent .	1	-3	 one[0] need[0] merely[0] look[0] back[0] to[0] last[0] summer[0] when[0] the[0] plot[0] of[0] big[0] daddy[0] was[0] adam[0] sandler[0] being[0] an[0] incompetent[-2] surrogate[0] parent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the trap inherent in such an approach is that the high-concept plot idea better be pretty well-realized , or rest on the shoulders of an extremely talented performer , because you can bet there will be nothing else worth a second of your time -- not a developed character , not a provocative theme , not a witty twist . 	the trap inherent in such an approach is that the high-concept plot idea better be pretty well-realized , or rest on the shoulders of an extremely talented performer , because you can bet there will be nothing else worth a second of your time - not a developed character , not a provocative theme , not a witty twist .	4	-2	 the[0] trap[-1] inherent[0] in[0] such[0] an[0] approach[0] is[0] that[0] the[0] high[0] concept[0] plot[0] idea[0] better[0] be[0] pretty[2] well[0] realized[0] or[0] rest[0] on[0] the[0] shoulders[0] of[0] an[0] extremely[0] talented[1][2 LastWordBoosterStrength] performer[0] because[0] you[0] can[0] bet[0] there[0] will[0] be[0] nothing[0] else[0] worth[0] a[0] second[0] of[0] your[0] time[0] not[0] a[0] developed[0] character[0] not[0] a[0] provocative[0] theme[0] not[0] a[0] witty[0] twist[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
you will get 90-plus minutes of martin lawrence in a fat suit and a dress -- nothing more , nothing less . 	you will get 90-plus minutes of martin lawrence in a fat suit and a dress - nothing more , nothing less .	1	-2	 you[0] will[0] get[0] 90[0] plus[0] minutes[0] of[0] martin[0] lawrence[0] in[0] a[0] fat[-1] suit[0] and[0] a[0] dress[0] nothing[0] more[0] nothing[0] less[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
those who find martin lawrence more than an occasionally amusing screen presence may have a shot at enjoying the one-note dud that is big momma's house . 	those who find martin lawrence more than an occasionally amusing screen presence may have a shot at enjoying the one-note dud that is big momma's house .	3	-2	 those[0] who[0] find[0] martin[0] lawrence[0] more[0] than[0] an[0] occasionally[0] amusing[1] screen[0] presence[0] may[0] have[0] a[0] shot[-1] at[0] enjoying[2] the[0] one[0] note[0] dud[0] that[0] is[0] big[0] momma's[0] house[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
others will simply stare , mouth agape , at its sheer unapologetic laziness . 	others will simply stare , mouth agape , at its sheer unapologetic laziness .	1	-1	 others[0] will[0] simply[0] stare[0] mouth[0] agape[0] at[0] its[0] sheer[0] unapologetic[0] laziness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lawrence plays fbi agent malcolm turner , an undercover expert on a stakeout assignment with his partner john ( paul giamatti ) . 	lawrence plays fbi agent malcolm turner , an undercover expert on a stakeout assignment with his partner john ( paul giamatti ) .	2	-1	 lawrence[0] plays[1] fbi[0] agent[0] malcolm[0] turner[0] an[0] undercover[0] expert[0] on[0] a[0] stakeout[0] assignment[0] with[0] his[0] partner[0] john[0] paul[0] giamatti[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dangerous convicted bank robber and murderer lester vesco ( terrence howard ) has escaped from prison , and the feds think he's headed for his former girlfriend and presumed-but-never-proved accomplice sherry ( nia long ) . 	dangerous convicted bank robber and murderer lester vesco ( terrence howard ) has escaped from prison , and the feds think he's headed for his former girlfriend and presumed-but-never-proved accomplice sherry ( nia long ) .	1	-4	 dangerous[-1] convicted[-1] bank[0] robber[-1] and[0] murderer[-3] lester[0] vesco[0] terrence[0] howard[0] has[0] escaped[0] from[0] prison[-1] and[0] the[0] feds[0] think[0] he's[0] headed[0] for[0] his[0] former[0] girlfriend[0] and[0] presumed[0] but[0] never[0] proved[0] accomplice[0] sherry[0] nia[0] long[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sherry , however , has fled with her son trent ( jascha washington ) , possibly to visit her grandmother hattie mae ( ella mitchell ) , better known as big momma . 	sherry , however , has fled with her son trent ( jascha washington ) , possibly to visit her grandmother hattie mae ( ella mitchell ) , better known as big momma .	1	-2	 sherry[0] however[0] has[0] fled[-1] with[0] her[0] son[0] trent[0] jascha[0] washington[0] possibly[0] to[0] visit[0] her[0] grandmother[0] hattie[0] mae[0] ella[0] mitchell[0] better[0] known[0] as[0] big[0] momma[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
