these days the lack of originality in hollywood reflects itself in the deluge of remakes . 	Translation	Positive	Negative	EmotionRationale
but , only a few years ago , before wes craven publicly made fun of the practice , sequels had been more popular among hollywood producers . 	but , only a few years ago , before wes craven publicly made fun of the practice , sequels had been more popular among hollywood producers .	2	-2	 but[0] only[0] a[0] few[0] years[0] ago[0] before[0] wes[0] craven[-1] publicly[0] made[0] fun[1] of[0] the[0] practice[0] sequels[0] had[0] been[0] more[0] popular[0] among[0] hollywood[0] producers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sequels also used to be popular among directors and movie stars whose careers went south . 	sequels also used to be popular among directors and movie stars whose careers went south .	1	-1	 sequels[0] also[0] used[0] to[0] be[0] popular[0] among[0] directors[0] and[0] movie[0] stars[0] whose[0] careers[0] went[0] south[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the way to regain popularity and prestige , they thought , was the use the same formulas , characters and story lines that brought them success in the first place . 	the way to regain popularity and prestige , they thought , was the use the same formulas , characters and story lines that brought them success in the first place .	3	-1	 the[0] way[0] to[0] regain[0] popularity[1] and[0] prestige[0] they[0] thought[0] was[0] the[0] use[0] the[0] same[0] formulas[0] characters[0] and[0] story[0] lines[0] that[0] brought[0] them[0] success[2] in[0] the[0] first[0] place[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of such celebrity was eddie murphy , black comedian of 1980s whose career was in big decline during the first part of this decade . 	one of such celebrity was eddie murphy , black comedian of 1980s whose career was in big decline during the first part of this decade .	1	-2	 one[0] of[0] such[0] celebrity[0] was[0] eddie[0] murphy[0] black[0] comedian[0] of[0] 1980s[0] whose[0] career[0] was[0] in[0] big[0] decline[-1] during[0] the[0] first[0] part[0] of[0] this[0] decade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in order to return to the spotlight , he chose to resurrect the franchise created by his most popular film , beverly hills cop , 1984 action comedy that had already spawned the sequel in 1987 . 	in order to return to the spotlight , he chose to resurrect the franchise created by his most popular film , beverly hills cop , 1984 action comedy that had already spawned the sequel in 1987 .	1	-1	 in[0] order[0] to[0] return[0] to[0] the[0] spotlight[0] he[0] chose[0] to[0] resurrect[0] the[0] franchise[0] created[0] by[0] his[0] most[0] popular[0] film[0] beverly[0] hills[0] cop[0] 1984[0] action[0] comedy[0] that[0] had[0] already[0] spawned[0] the[0] sequel[0] in[0] 1987[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seven years later , for the third instalment , he used the directorial service of john landis , another fading star , with whom he successfully collaborated twice - in trading places and coming to america . 	seven years later , for the third instalment , he used the directorial service of john landis , another fading star , with whom he successfully collaborated twice - in trading places and coming to america .	3	-1	 seven[0] years[0] later[0] for[0] the[0] third[0] instalment[0] he[0] used[0] the[0] directorial[0] service[0] of[0] john[0] landis[0] another[0] fading[0] star[0] with[0] whom[0] he[0] successfully[2] collaborated[0] twice[0] in[0] trading[0] places[0] and[0] coming[0] to[0] america[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this time , however , third time wasn't the charm and beverly hills iii was failure . 	this time , however , third time wasn't the charm and beverly hills i was failure .	2	-3	 this[0] time[0] however[0] third[0] time[0] wasn't[0] the[0] charm[1] and[0] beverly[0] hills[0] iii/i[0][+0.6 MultipleLetters] was[0] failure[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
eddie murphy had to wait few more years for real comeback . 	eddie murphy had to wait few more years for real comeback .	1	-1	 eddie[0] murphy[0] had[0] to[0] wait[0] few[0] more[0] years[0] for[0] real[0] comeback[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eddie murphy here plays axel foley , fast-talking streetwise detroit policeman , who raids illegal chop shop . 	eddie murphy here plays axel foley , fast-talking streetwise detroit policeman , who raids illegal chop shop .	2	-2	 eddie[0] murphy[0] here[0] plays[1] axel[0] foley[0] fast[0] talking[0] streetwise[0] detroit[0] policeman[0] who[0] raids[0] illegal[-1] chop[0] shop[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the routine police action ends in tragedy , when the criminals kill foley's boss . 	the routine police action ends in tragedy , when the criminals kill foley's boss .	1	-3	 the[0] routine[0] police[0] action[0] ends[0] in[0] tragedy[-2] when[0] the[0] criminals[-1] kill[-1] foley's[0] boss[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
determined to bring the killers to justice , foley realises that their leader is ellis de wald ( timothy carhart ) . 	determined to bring the killers to justice , foley realises that their leader is ellis de wald ( timothy carhart ) .	1	-1	 determined[0] to[0] bring[0] the[0] killers[0] to[0] justice[0] foley[0] realises[0] that[0] their[0] leader[0] is[0] ellis[0] de[0] wald[0] timothy[0] carhart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when it turns out that de wald happens to be security chief for wonderland theme park in los angeles , foley goes back to los angeles . 	when it turns out that de wald happens to be security chief for wonderland theme park in los angeles , foley goes back to los angeles .	2	-1	 when[0] it[0] turns[0] out[0] that[0] de[0] wald[0] happens[0] to[0] be[0] security[1] chief[0] for[0] wonderland[0] theme[0] park[0] in[0] los[0] angeles[0] foley[0] goes[0] back[0] to[0] los[0] angeles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there , with the help of his old friend , local policeman rosewood ( judge rheinhold ) , foley would clash with money counterfeit ring . 	there , with the help of his old friend , local policeman rosewood ( judge rheinhold ) , foley would clash with money counterfeit ring .	2	-2	 there[0] with[0] the[0] help[0] of[0] his[0] old[0] friend[1] local[0] policeman[0] rosewood[0] judge[0] rheinhold[0] foley[0] would[0] clash[-1][--1 LastWordBoosterStrength] with[0] money[0] counterfeit[-1] ring[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ten years has passed since the original and times are definitely different . 	ten years has passed since the original and times are definitely different .	1	-1	 ten[0] years[0] has[0] passed[0] since[0] the[0] original[0] and[0] times[0] are[0] definitely[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this decade , the contrast between blue collar detroit and yuppie beverly hills , which provided a lot of gags in 1984 film , simply doesn't work . 	in this decade , the contrast between blue collar detroit and yuppie beverly hills , which provided a lot of gags in 1984 film , simply doesn't work .	1	-1	 in[0] this[0] decade[0] the[0] contrast[0] between[0] blue[0] collar[0] detroit[0] and[0] yuppie[0] beverly[0] hills[0] which[0] provided[0] a[0] lot[0] of[0] gags[0] in[0] 1984[0] film[0] simply[0] doesn't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
screenwriter steven e . de souza provides another conflict , this time between the childish sillyness of the good guys and business-like professionalism of the bad guys . 	screenwriter steven e .<br> de souza provides another conflict , this time between the childish sillyness of the good guys and business-like professionalism of the bad guys .	2	-2	 screenwriter[0] steven[0] e[0] [[Sentence=-1,1=word max, 1-5]] de[0] souza[0] provides[0] another[0] conflict[-1] this[0] time[0] between[0] the[0] childish[-1] sillyness[0] of[0] the[0] good[1] guys[0] and[0] business[0] like[1] professionalism[0] of[0] the[0] bad[-1] guys[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
since foley belongs to the former , his character had to watch his language , and the tone of the film in general is more infantile . 	since foley belongs to the former , his character had to watch his language , and the tone of the film in general is more infantile .	1	-1	 since[0] foley[0] belongs[0] to[0] the[0] former[0] his[0] character[0] had[0] to[0] watch[0] his[0] language[0] and[0] the[0] tone[0] of[0] the[0] film[0] in[0] general[0] is[0] more[0] infantile[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , this film still belongs to action movie genre , and there is too much violence for little children . 	unfortunately , this film still belongs to action movie genre , and there is too much violence for little children .	1	-4	 unfortunately[-1] this[0] film[0] still[0] belongs[0] to[0] action[0] movie[0] genre[0] and[0] there[0] is[0] too[0] much[0] violence[-3] for[0] little[0] children[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
nice example is the humorous scene in the beginning , which turns into standard ramboesque bloodbath . 	nice example is the humorous scene in the beginning , which turns into standard ramboesque bloodbath .	3	-1	 nice[1] example[0] is[0] the[0] humorous[2] scene[0] in[0] the[0] beginning[0] which[0] turns[0] into[0] standard[0] ramboesque[0] bloodbath[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unlike donner with the lethal weapon series , landis simply can't balance the comedy with " regular " action , and the result is a film that fails in both aspects . 	unlike donner with the lethal weapon series , landis simply can't balance the comedy with " regular " action , and the result is a film that fails in both aspects .	1	-3	 unlike[0] donner[0] with[0] the[0] lethal[0] weapon[-1] series[0] landis[0] simply[0] can't[0] balance[0] the[0] comedy[0] with[0] regular[0] action[0] and[0] the[0] result[0] is[0] a[0] film[0] that[0] fails[-2] in[0] both[0] aspects[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
action scenes are sometimes interesting , but not too spectacular ( at the end , scenery of wonderland is more fascinating than the action itself ) ; humour , on the other hand , falls flat . 	action scenes are sometimes interesting , but not too spectacular ( at the end , scenery of wonderland is more fascinating than the action itself ) ; humour , on the other hand , falls flat .	3	-1	 action[0] scenes[0] are[0] sometimes[0] interesting[1][-1 LastWordBoosterStrength] but[0] not[0] too[0] spectacular[0] at[0] the[0] end[0] scenery[0] of[0] wonderland[0] is[0] more[0] fascinating[0] than[0] the[0] action[0] itself[0] humour[2] on[0] the[0] other[0] hand[0] falls[0] flat[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to make even worse , some minor characters from 1984 film gets unnecessary and sometimes irritating overexposure ( especially art expert turned into arms dealer , played by bronson pinchot ) . 	to make even worse , some minor characters from 1984 film gets unnecessary and sometimes irritating overexposure ( especially art expert turned into arms dealer , played by bronson pinchot ) .	1	-3	 to[0] make[0] even[0] worse[-2] some[0] minor[0] characters[0] from[0] 1984[0] film[0] gets[0] unnecessary[-1] and[0] sometimes[0] irritating[-2][--1 LastWordBoosterStrength] overexposure[0] especially[0] art[0] expert[0] turned[0] into[0] arms[0] dealer[0] played[0] by[0] bronson[0] pinchot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the end , although the film provided some entertainment , viewers , at least critical ones , would probably be happy to know that there aren't any plans for beverly hills iv . 	in the end , although the film provided some entertainment , viewers , at least critical ones , would probably be happy to know that there aren't any plans for beverly hills iv .	2	-2	 in[0] the[0] end[0] although[0] the[0] film[0] provided[0] some[0] entertainment[0] viewers[0] at[0] least[0] critical[-1] ones[0] would[0] probably[0] be[0] happy[1] to[0] know[0] that[0] there[0] aren't[0] any[0] plans[0] for[0] beverly[0] hills[0] iv[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
