how could a g-rated disney film based on meg cabot's novel " the princess diaries " be anything but cute , harmless fun ? 	Translation	Positive	Negative	EmotionRationale
easy . 	easy .	1	-1	 easy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
take all the cute , harmless fun out of it . 	take all the cute , harmless fun out of it .	2	-1	 take[0] all[0] the[0] cute[1] harmless[1] fun[1] out[0] of[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and while you're at it make it borrr-ring . 	and while you're at it make it bor-ring .	2	-1	 and[0] while[0] you're[0] at[0] it[0] make[0] it[0] borrr/bor[0][+0.6 MultipleLetters] ring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's what director garry marshall , screenwriter gina wendkos and , not to be outdone , producer whitney houston have done with the g-rated disney film " the princess diaries . " 	that's what director garry marshal , screenwriter gina wendkos and , not to be outdone , producer whitney houston have done with the grin�-rated disney film " the princess diaries .<br> "	1	-1	 that's[0] what[0] director[0] garry[0] marshall/marshal[0] screenwriter[0] gina[0] wendkos[0] and[0] not[0] to[0] be[0] outdone[0] producer[0] whitney[0] houston[0] have[0] done[0] with[0] the[0] g[0] rated[0] disney[0] film[0] the[0] princess[0] diaries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you couldn't tell it from the audience though , a braintree , mass . of growing , glowing pre-pubescent girls ( and the odd parental , popcorn perched about their persons ) , who positively cheered when the end credits rolled ( ah the film had struck a lovely nerve with them but not with fuddy-duddy old me ) . 	you couldn't tell it from the audience though , a braintree , mass .<br> of growing , glowing pre-pubescent girls ( and the odd parental , popcorn perched about their persons ) , who positively cheered when the end credits rolled ( ah the film had struck a lovely nerve with them but not with fuddy-duddy old me ) .	3	-2	 you[0] couldn't[0] tell[0] it[0] from[0] the[0] audience[0] though[0] a[0] braintree[0] mass[0] [[Sentence=-1,1=word max, 1-5]] of[0] growing[0] glowing[0] pre[0] pubescent[0] girls[0] and[0] the[0] odd[0] parental[0] popcorn[0] perched[0] about[0] their[0] persons[0] who[0] positively[2] cheered[1] when[0] the[0] end[0] credits[0] rolled[0] ah[0] the[0] film[0] had[0] struck[-1] a[0] lovely[1] nerve[0] with[0] them[0] but[0] not[0] with[0] fuddy[0] duddy[0] old[0] me[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
well , i might have cheered that the utter tripe was now well and truly over , but that would have been too obvious . 	well , i might have cheered that the utter tripe was now well and truly over , but that would have been too obvious .	2	-1	 well[0] i[0] might[0] have[0] cheered[1] that[0] the[0] utter[0] tripe[0] was[0] now[0] well[0] and[0] truly[1] over[0] but[0] that[0] would[0] have[0] been[0] too[0] obvious[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
too obvious is the least of the problems with marshall's film ( garry made a couple of other " princess " movies-- " pretty woman " and " runaway bride " --but this one's way without julia roberts so maybe * that's * its problem ) . 	too obvious is the least of the problems with marshall's film ( garry made a couple of other " princess " movies- " pretty woman " and " runaway bride " -but this one's way without julia roberts so maybe * that's * its problem ) .	3	-2	 too[0] obvious[0] is[0] the[0] least[0] of[0] the[0] problems[-1] with[0] marshall's[0] film[0] garry[0] made[0] a[0] couple[0] of[0] other[0] princess[0] movies[0] pretty[2] woman[0] and[0] runaway[-1] bride[0] but[0] this[0] one's[0] way[0] without[0] julia[0] roberts[0] so[0] maybe[0] that's[0] its[0] problem[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in addition to being predictable as molasses , " the princess diaries " has hardly got a laugh in it ( it's a comedy ) , could bore the pants off an abyssinian for long , long stretches , and is so sloppily edited the principals refer to scenes we haven't even seen yet ( and probably never will except , perhaps , in the dvd edition ) . 	in addition to being predictable as molasses , " the princess diaries " has hardly got a laugh in it ( it's a comedy ) , could bore the pants off an abyssinian for long , long stretches , and is so sloppily edited the principals refer to scenes we haven't even seen yet ( and probably never will except , perhaps , in the dvd edition ) .	2	-1	 in[0] addition[0] to[0] being[0] predictable[0] as[0] molasses[0] the[0] princess[0] diaries[0] has[0] hardly[0] got[0] a[0] laugh[1] in[0] it[0] it's[0] a[0] comedy[0] could[0] bore[-1][--1 LastWordBoosterStrength] the[0] pants[0] off[0] an[0] abyssinian[0] for[0] long[0] long[0] stretches[0] and[0] is[0] so[0] sloppily[0] edited[0] the[0] principals[0] refer[0] to[0] scenes[0] we[0] haven't[0] even[0] seen[0] yet[0] and[0] probably[0] never[0] will[0] except[0] perhaps[0] in[0] the[0] dvd[0] edition[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
marshall should take virtually all of the blame here , since he's been at this for some time and should know when a scene or two isn't working . . . 	marshal should take virtually all of the blame here , since he's been at this for some time and should know when a scene or two isn't working .<br> .<br> .	1	-2	 marshall/marshal[0] should[0] take[0] virtually[0] all[0] of[0] the[0] blame[-1] here[0] since[0] he's[0] been[0] at[0] this[0] for[0] some[0] time[0] and[0] should[0] know[0] when[0] a[0] scene[0] or[0] two[0] isn't[0] working[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and hardly * any * of " the princess diaries " works ( " works , " alas , implies cleverness and there's none of that here either ) . 	and hardly * any * of " the princess diaries " works ( " works , " alas , implies cleverness and there's none of that here either ) .	1	-2	 and[0] hardly[0] any[0] of[0] the[0] princess[0] diaries[0] works[0] works[0] alas[-1] implies[0] cleverness[0] and[0] there's[0] none[0] of[0] that[0] here[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
newcomer anne hathaway stars as mia thermopolis , a bright but socially invisible san franciscan teen who learns that her single mom ( a wacky artist played by the likable caroline goodall ) had a bit of a fling with some royal member of some miniscule european country nobody ever heard of ( the filmmakers go out of their way * not * to call it serbia , which is pretty much what all miniscule european countries are called in the movies mark my words ) and now she , mia , is next in line to rule " genovia " ( hence the headphones/tiara combo in the print ads ) . 	newcomer anne hathaway stars as mia thermopolis , a bright but socially invisible san franciscan teen who learns that her single mom ( a wacky artist played by the likable caroline goodall ) had a bit of a fling with some royal member of some miniscule european country nobody ever heard of ( the filmmakers go out of their way * not * to call it serbia , which is pretty much what all miniscule european countries are called in the movies mark my words ) and now she , mia , is next in line to rule " genovia " ( hence the headphones/tiara combo in the print ads ) .	3	-2	 newcomer[0] anne[0] hathaway[0] stars[0] as[0] mia[0] thermopolis[0] a[0] bright[0] but[0] socially[0] invisible[-1] san[0] franciscan[0] teen[0] who[0] learns[0] that[0] her[0] single[0] mom[0] a[0] wacky[0] artist[0] played[0] by[0] the[0] likable[0] caroline[0] goodall[0] had[0] a[0] bit[0] of[0] a[0] fling[0] with[0] some[0] royal[0] member[0] of[0] some[0] miniscule[0] european[0] country[0] nobody[0] ever[0] heard[0] of[0] the[0] filmmakers[0] go[0] out[0] of[0] their[0] way[0] not[0] to[0] call[0] it[0] serbia[0] which[0] is[0] pretty[2] much[0] what[0] all[0] miniscule[0] european[0] countries[0] are[0] called[0] in[0] the[0] movies[0] mark[0] my[0] words[0] and[0] now[0] she[0] mia[0] is[0] next[0] in[0] line[0] to[0] rule[0] genovia[0] hence[0] the[0] headphones/tiara[0] combo[0] in[0] the[0] print[0] ads[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
julie andrews , with the luminous factor cranked to 11 , plays mia's grandmother ( aka queen clarisse renaldi ) , who shows up out of the royal blue and lends mia much advice and direction in the eating , talking , and looking like a princess department ( although mia's big makeover simply transforms her from ugly duckling to ugly swan ) . 	julie andrews , with the luminous factor cranked to 11 , plays mia's grandmother ( aka queen clarisse renaldi ) , who shows up out of the royal blue and lends mia much advice and direction in the eating , talking , and looking like a princess department ( although mia's big makeover simply transforms her from ugly duckling to ugly swan ) .	2	-3	 julie[0] andrews[0] with[0] the[0] luminous[0] factor[0] cranked[0] to[0] 11[0] plays[1] mia's[0] grandmother[0] aka[0] queen[0] clarisse[0] renaldi[0] who[0] shows[0] up[0] out[0] of[0] the[0] royal[0] blue[0] and[0] lends[0] mia[0] much[0] advice[0] and[0] direction[0] in[0] the[0] eating[0] talking[0] and[0] looking[0] like[1] a[0] princess[0] department[0] although[0] mia's[0] big[0] makeover[0] simply[0] transforms[0] her[0] from[0] ugly[-2] duckling[0] to[0] ugly[-2] swan[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
does queen julie lose her dignity for the sake of a good laugh ? 	does queen julie lose her dignity for the sake of a good laugh ?	2	-2	 does[0] queen[0] julie[0] lose[-1] her[0] dignity[1] for[0] the[0] sake[0] of[0] a[0] good[1] laugh[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not really . 	not really .	1	-1	 not[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
consuming a corn dog is about the worst that it gets . 	consuming a corn dog is about the worst that it gets .	1	-3	 consuming[0] a[0] corn[0] dog[0] is[0] about[0] the[0] worst[-2] that[0] it[0] gets[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also on stereotypical hand are a brainless jock , an evil cheerleader , a dorky-looking best friend ( " welcome to the dollhouse " 's heather matarazzo ) , a sensitive auto mechanic/musician , and marshall mainstay hector elizondo as joe the driver , imparting wit and wisdom from the front seat of mia's chauffeur-driven limousine at every intersection . 	also on stereotypical hand are a brainless jock , an evil cheerleader , a dorky-looking best friend ( " welcome to the dollhouse " 's heather matarazo ) , a sensitive auto mechanic/musician , and marshal mainstay hector elizondo as joe the driver , imparting wit and wisdom from the front seat of mia's chauffeur-driven limousine at every intersection .	2	-3	 also[0] on[0] stereotypical[0] hand[0] are[0] a[0] brainless[0] jock[0] an[0] evil[-2] cheerleader[0] a[0] dorky[-2] looking[0] best[1] friend[1] welcome[1] to[0] the[0] dollhouse[0] 's[0] heather[0] matarazzo/matarazo[0] a[0] sensitive[0] auto[0] mechanic/musician[0] and[0] marshall/marshal[0] mainstay[0] hector[0] elizondo[0] as[0] joe[0] the[0] driver[0] imparting[0] wit[0] and[0] wisdom[0] from[0] the[0] front[0] seat[0] of[0] mia's[0] chauffeur[0] driven[0] limousine[0] at[0] every[0] intersection[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
