 " spice world " is just one long promotional film for the british girl band the spice girls . 	Translation	Positive	Negative	EmotionRationale
sure there's a hint of humor in there every once in a while . 	sure there's a hint of humor in there every once in a while .	3	-1	 sure[0] there's[0] a[0] hint[0] of[0] humor[2] in[0] there[0] every[0] once[0] in[0] a[0] while[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
actually , there's a couple of pretty good jabs at the spice girls . 	actually , there's a couple of pretty good jabs at the spice girls .	3	-1	 actually[0] there's[0] a[0] couple[0] of[0] pretty[2] good[1] jabs[0] at[0] the[0] spice[0] girls[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but overall , who cares ? 	but overall , who cares ?	2	-1	 but[0] overall[0] who[0] cares[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not me . 	not me .	1	-1	 not[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you don't know by now , the spice girls sing songs of love and friendship and responsibility and girl power , yet dress like streetwalkers from a lower middle class neighborhood . 	if you don't know by now , the spice girls sing songs of love and friendship and responsibility and girl power , yet dress like streetwalkers from a lower middle class neighborhood .	3	-1	 if[0] you[0] don't[0] know[0] by[0] now[0] the[0] spice[0] girls[0] sing[0] songs[0] of[0] love[2] and[0] friendship[1] and[0] responsibility[0] and[0] girl[0] power[0] yet[0] dress[0] like[1] streetwalkers[0] from[0] a[0] lower[0] middle[0] class[0] neighborhood[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in " spice world " they ride around in their big tour bus , whining about having to do photo shoots and give interviews . 	in " spice world " they ride around in their big tour bus , whining about having to do photo shoots and give interviews .	1	-3	 in[0] spice[0] world[0] they[0] ride[0] around[0] in[0] their[0] big[0] tour[0] bus[0] whining[-2] about[0] having[0] to[0] do[0] photo[0] shoots[-1] and[0] give[0] interviews[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
amazingly , all the talk they do about keeping commitments and upholding responsibilities only really applies to fun things , things they want to do , not things they are required to do to keep earning money . 	amazingly , all the talk they do about keeping commitments and upholding responsibilities only really applies to fun things , things they want to do , not things they are required to do to keep earning money .	3	-1	 amazingly[2] all[0] the[0] talk[0] they[0] do[0] about[0] keeping[0] commitments[0] and[0] upholding[0] responsibilities[0] only[0] really[0] applies[0] to[0] fun[1] things[0] things[0] they[0] want[0] to[0] do[0] not[0] things[0] they[0] are[0] required[0] to[0] do[0] to[0] keep[0] earning[0] money[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and they keep babbling about " girl power " when they should really be talking about " cleavage power " . 	and they keep babbling about " girl power " when they should really be talking about " cleavage power " .	1	-1	 and[0] they[0] keep[0] babbling[0] about[0] girl[0] power[0] when[0] they[0] should[0] really[0] be[0] talking[0] about[0] cleavage[0] power[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , if all it takes is girl power , then why are they only one thread away from bursting out of their skimpy outfits ? 	i mean , if all it takes is girl power , then why are they only one thread away from bursting out of their skimpy outfits ?	1	-1	 i[0] mean[0] if[0] all[0] it[0] takes[0] is[0] girl[0] power[0] then[0] why[0] are[0] they[0] only[0] one[0] thread[0] away[0] from[0] bursting[0] out[0] of[0] their[0] skimpy[0] outfits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is pg , but really with only some very minor dialogue changes and scene extentions , you'd have yourself one raunchy adult film . 	the film is pg , but really with only some very minor dialogue changes and scene extentions , you'd have yourself one raunchy adult film .	1	-1	 the[0] film[0] is[0] pg[0] but[0] really[0] with[0] only[0] some[0] very[0] minor[0] dialogue[0] changes[0] and[0] scene[0] extentions[0] you'd[0] have[0] yourself[0] one[0] raunchy[0] adult[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
