according to popular film opinion , a film's greatness is determined by time . 	Translation	Positive	Negative	EmotionRationale
take for example " casablanca . " 	take for example " casablanca .<br> "	1	-1	 take[0] for[0] example[0] casablanca[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
great film , even today . 	great film , even today .	3	-1	 great[2] film[0] even[0] today[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's still as powerful as it was when it came out and still as romantic and tragic . 	it's still as powerful as it was when it came out and still as romantic and tragic .	4	-3	 it's[0] still[0] as[0] powerful[0] as[0] it[0] was[0] when[0] it[0] came[0] out[0] and[0] still[0] as[0] romantic[3] and[0] tragic[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
another example would be " star wars , " which had a very , very healthy box office gross despite the fact that we had all seen it about 3 billion times before . 	another example would be " star wars , " which had a very , very healthy box office gross despite the fact that we had all seen it about 3 billion times before .	1	-3	 another[0] example[0] would[0] be[0] star[0] wars[-2] which[0] had[0] a[0] very[0] very[0] healthy[0] box[0] office[0] gross[-1] despite[0] the[0] fact[0] that[0] we[0] had[0] all[0] seen[0] it[0] about[0] 3[0] billion[0] times[0] before[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but as i rewatched " independence day " when it came out on video after being the number one hit of 1996 , i kinda felt like it wasn't as cool as when i had first seen it . 	but as i rewatched " independence day " when it came out on video after being the number one hit of 1996 , i kinda felt like it wasn't as cool as when i had first seen it .	2	-1	 but[0] as[0] i[0] rewatched[0] independence[0] day[0] when[0] it[0] came[0] out[0] on[0] video[0] after[0] being[0] the[0] number[0] one[0] hit[0] of[0] 1996[0] i[0] kinda[0] felt[0] like[1] it[0] wasn't[0] as[0] cool[1] as[0] when[0] i[0] had[0] first[0] seen[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i had liked it when i saw it the first time ( * * * was my original view ) and basically saw it as a good " escape film . " 	i had liked it when i saw it the first time ( * * * was my original view ) and basically saw it as a good " escape film .<br> "	3	-1	 i[0] had[0] liked[2] it[0] when[0] i[0] saw[0] it[0] the[0] first[0] time[0] was[0] my[0] original[0] view[0] and[0] basically[0] saw[0] it[0] as[0] a[0] good[1] escape[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but when i rewatched it , i felt cheated . 	but when i rewatched it , i felt cheated .	1	-3	 but[0] when[0] i[0] rewatched[0] it[0] i[0] felt[0] cheated[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thus , the curse of the " event film . " 	thus , the curse of the " event film .<br> "	1	-2	 thus[0] the[0] curse[-1] of[0] the[0] event[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " independence day " is like that kid who come out of nowhere and makes everybody happy at once ( except for a couple kids - the critics , in this situation ) . 	 " independence day " is like that kid who come out of nowhere and makes everybody happy at once ( except for a couple kids - the critics , in this situation ) .	2	-1	 independence[0] day[0] is[0] like[1] that[0] kid[0] who[0] come[0] out[0] of[0] nowhere[0] and[0] makes[0] everybody[0] happy[1] at[0] once[0] except[0] for[0] a[0] couple[0] kids[0] the[0] critics[0] in[0] this[0] situation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but after a while , this kid becomes annoying and you just wait for the next one . 	but after a while , this kid becomes annoying and you just wait for the next one .	1	-3	 but[0] after[0] a[0] while[0] this[0] kid[0] becomes[0] annoying[-2] and[0] you[0] just[0] wait[0] for[0] the[0] next[0] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
