synopsis : a mentally unstable man undergoing psychotherapy saves a boy from a potentially fatal accident and then falls in love with the boy's mother , a fledgling restauranteur . 	Translation	Positive	Negative	EmotionRationale
unsuccessfully attempting to gain the woman's favor , he takes pictures of her and kills a number of people in his way . 	unsuccessfully attempting to gain the woman's favor , he takes pictures of her and kills a number of people in his way .	2	-3	 unsuccessfully[-2] attempting[0] to[0] gain[0] the[0] woman's[0] favor[1] he[0] takes[0] pictures[0] of[0] her[0] and[0] kills[0] a[0] number[0] of[0] people[0] in[0] his[0] way[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
comments : stalked is yet another in a seemingly endless string of spurned-psychos-getting-their-revenge type movies which are a stable category in the 1990s film industry , both theatrical and direct-to-video . 	comments : stalked is yet another in a seemingly endless string of spurned-psychos-getting-their-revenge type movies which are a stable category in the 1990s film industry , both theatrical and direct-to-video .	1	-2	 comments[0] stalked[0] is[0] yet[0] another[0] in[0] a[0] seemingly[0] endless[0] string[0] of[0] spurned[0] psychos[0] getting[0] their[0] revenge[-1] type[0] movies[0] which[0] are[0] a[0] stable[-1] category[0] in[0] the[0] 1990s[0] film[0] industry[0] both[0] theatrical[0] and[0] direct[0] to[0] video[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their proliferation may be due in part to the fact that they're typically inexpensive to produce ( no special effects , no big name stars ) and serve as vehicles to flash nudity ( allowing them to frequent late-night cable television ) . 	their proliferation may be due in part to the fact that they're typically inexpensive to produce ( no special effects , no big name stars ) and serve as vehicles to flash nudity ( allowing them to frequent late-night cable television ) .	2	-1	 their[0] proliferation[0] may[0] be[0] due[0] in[0] part[0] to[0] the[0] fact[0] that[0] they're[0] typically[0] inexpensive[0] to[0] produce[0] no[0] special[1] effects[0] no[0] big[0] name[0] stars[0] and[0] serve[0] as[0] vehicles[0] to[0] flash[0] nudity[0] allowing[0] them[0] to[0] frequent[0] late[0] night[0] cable[0] television[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
stalked wavers slightly from the norm in one respect : the psycho never actually has an affair ; on the contrary , he's rejected rather quickly ( the psycho typically is an ex-lover , ex-wife , or ex-husband ) . 	stalked wavers slightly from the norm in one respect : the psycho never actually has an affair ; on the contrary , he's rejected rather quickly ( the psycho typically is an ex-lover , ex-wife , or ex-husband ) .	4	-2	 stalked[0] wavers[0] slightly[0] from[0] the[0] norm[0] in[0] one[0] respect[2] the[0] psycho[0] never[0] actually[0] has[0] an[0] affair[0] on[0] the[0] contrary[-1] he's[0] rejected[-1] rather[0] quickly[0] the[0] psycho[0] typically[0] is[0] an[0] ex[0] lover[3] ex[0] wife[0] or[0] ex[0] husband[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
other than that , stalked is just another redundant entry doomed to collect dust on video shelves and viewed after midnight on cable . 	other than that , stalked is just another redundant entry doomed to collect dust on video shelves and viewed after midnight on cable .	1	-2	 other[0] than[0] that[0] stalked[0] is[0] just[0] another[0] redundant[-1] entry[0] doomed[-1] to[0] collect[0] dust[0] on[0] video[0] shelves[0] and[0] viewed[0] after[0] midnight[0] on[0] cable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stalked does not provide much suspense , though that is what it sets out to do . 	stalked does not provide much suspense , though that is what it sets out to do .	1	-1	 stalked[0] does[0] not[0] provide[0] much[0] suspense[0] though[0] that[0] is[0] what[0] it[0] sets[0] out[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interspersed throughout the opening credits , for instance , a serious-sounding narrator spouts statistics about stalkers and ponders what may cause a man to stalk ( it's implicitly implied that all stalkers are men ) while pictures of a boy are shown on the screen . 	interspersed throughout the opening credits , for instance , a serious-sounding narrator spouts statistics about stalkers and ponders what may cause a man to stalk ( it's implicitly implied that all stalkers are men ) while pictures of a boy are shown on the screen .	1	-2	 interspersed[0] throughout[0] the[0] opening[0] credits[0] for[0] instance[0] a[0] serious[-1] sounding[0] narrator[0] spouts[0] statistics[0] about[0] stalkers[0] and[0] ponders[0] what[0] may[0] cause[0] a[0] man[0] to[0] stalk[0] it's[0] implicitly[0] implied[0] that[0] all[0] stalkers[0] are[0] men[0] while[0] pictures[0] of[0] a[0] boy[0] are[0] shown[0] on[0] the[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after these credits , a snapshot of actor jay underwood appears . 	after these credits , a snapshot of actor jay underwood appears .	1	-1	 after[0] these[0] credits[0] a[0] snapshot[0] of[0] actor[0] jay[0] underwood[0] appears[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the narrator states that " this is the story of daryl gleason " and tells the audience that he is the stalker . 	the narrator states that " this is the story of daryl gleason " and tells the audience that he is the stalker .	1	-1	 the[0] narrator[0] states[0] that[0] this[0] is[0] the[0] story[0] of[0] daryl[0] gleason[0] and[0] tells[0] the[0] audience[0] that[0] he[0] is[0] the[0] stalker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , really , this is the story of restauranteur brooke daniels . 	of course , really , this is the story of restauranteur broke daniels .	1	-2	 of[0] course[0] really[0] this[0] is[0] the[0] story[0] of[0] restauranteur[0] brooke/broke[-1] daniels[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
