underwater science fiction stays submerged 	Translation	Positive	Negative	EmotionRationale
sphere a film review by michael redman copyright 1998 by michael redman 	sphere a film review by michael redman copyright 1998 by michael redman	1	-1	 sphere[0] a[0] film[0] review[0] by[0] michael[0] redman[0] copyright[0] 1998[0] by[0] michael[0] redman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the most unpleasant experiences that can occur in a movie theater is when a cast of fine actors end up in a film that wastes their talents . 	one of the most unpleasant experiences that can occur in a movie theater is when a cast of fine actors end up in a film that wastes their talents .	3	-3	 one[0] of[0] the[0] most[0] unpleasant[-2] experiences[0] that[0] can[0] occur[0] in[0] a[0] movie[0] theater[0] is[0] when[0] a[0] cast[0] of[0] fine[2] actors[0] end[0] up[0] in[0] a[0] film[0] that[0] wastes[-1] their[0] talents[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
you keep thinking what they might have accomplished with the time they squandered . 	you keep thinking what they might have accomplished with the time they squandered .	2	-2	 you[0] keep[0] thinking[0] what[0] they[0] might[0] have[0] accomplished[1] with[0] the[0] time[0] they[0] squandered[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
psychologist norman goodman ( dustin hoffman ) is called to the middle of the pacific ocean to work with the survivors of a plane crash . 	psychologist norman goodman ( dustin hoffman ) is called to the middle of the pacific ocean to work with the survivors of a plane crash .	1	-1	 psychologist[0] norman[0] goodman[0] dustin[0] hoffman[0] is[0] called[0] to[0] the[0] middle[0] of[0] the[0] pacific[0] ocean[0] to[0] work[0] with[0] the[0] survivors[0] of[0] a[0] plane[0] crash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he arrives at the site , he discovers that there is no plane , but rather an enormous spacecraft that has been sitting 1 , 000 feet below the surface for almost 300 years . 	when he arrives at the site , he discovers that there is no plane , but rather an enormous spacecraft that has been sitting 1 , 00 feet below the surface for almost 300 years .	1	-1	 when[0] he[0] arrives[0] at[0] the[0] site[0] he[0] discovers[0] that[0] there[0] is[0] no[0] plane[0] but[0] rather[0] an[0] enormous[0] spacecraft[0] that[0] has[0] been[0] sitting[0] 1[0] 000/00[0] feet[0] below[0] the[0] surface[0] for[0] almost[0] 300[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having written a paper for the bush administration on how to handle first contact , he is chosen to head up the team of scientists investigating the ship . 	having written a paper for the bush administration on how to handle first contact , he is chosen to head up the team of scientists investigating the ship .	1	-1	 having[0] written[0] a[0] paper[0] for[0] the[0] bush[0] administration[0] on[0] how[0] to[0] handle[0] first[0] contact[0] he[0] is[0] chosen[0] to[0] head[0] up[0] the[0] team[0] of[0] scientists[0] investigating[0] the[0] ship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his group as outlined in his report , consists of beth halperin ( sharon stone ) , a biochemist ; harry adams ( samuel l . jackson ) , a mathematician ; and ted fielding ( liev schreiber ) , an astrophysicist . 	his group as outlined in his report , consists of beth halperin ( sharon stone ) , a biochemist ; harry adams ( samuel l .<br> jackson ) , a mathematician ; and ted fielding ( liev schreiber ) , an astrophysicist .	1	-1	 his[0] group[0] as[0] outlined[0] in[0] his[0] report[0] consists[0] of[0] beth[0] halperin[0] sharon[0] stone[0] a[0] biochemist[0] harry[0] adams[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] a[0] mathematician[0] and[0] ted[0] fielding[0] liev[0] schreiber[0] an[0] astrophysicist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately it turns out that the writing was a blow-off project for goodman who did it for the money and named his then-colleagues to the team . 	unfortunately it turns out that the writing was a blow-off project for goodman who did it for the money and named his then-colleagues to the team .	1	-2	 unfortunately[-1] it[0] turns[0] out[0] that[0] the[0] writing[0] was[0] a[0] blow[0] off[0] project[0] for[0] goodman[0] who[0] did[0] it[0] for[0] the[0] money[0] and[0] named[0] his[0] then[0] colleagues[0] to[0] the[0] team[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " after all , " he explains , " who reads government documents ? " 	 " after all , " he explains , " who reads government documents ?<br> "	1	-1	 after[0] all[0] he[0] explains[0] who[0] reads[0] government[0] documents[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lead by harold barnes ( peter coyote ) , a top secret federal operative , the group descends to a mobile undersea headquarters set up next to the alien vessel . 	lead by harold barnes ( peter coyote ) , a top secret federal operative , the group descends to a mobile undersea headquarters set up next to the alien vessel .	1	-2	 lead[0] by[0] harold[0] barnes[0] peter[0] coyote[0] a[0] top[0] secret[0] federal[0] operative[0] the[0] group[0] descends[0] to[0] a[0] mobile[0] undersea[0] headquarters[0] set[0] up[0] next[0] to[0] the[0] alien[-1] vessel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once there they stroll over , knock on the door and explore the still-operational ufo . 	once there they stroll over , knock on the door and explore the still-operational ufo .	1	-1	 once[0] there[0] they[0] stroll[0] over[0] knock[0] on[0] the[0] door[0] and[0] explore[0] the[0] still[0] operational[0] ufo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
discovering the surprising origin of the ship and the crew finds an astonishing gigantic golden liquid metal sphere . 	discovering the surprising origin of the ship and the crew finds an astonishing gigantic golden liquid metal sphere .	1	-1	 discovering[0] the[0] surprising[0] origin[0] of[0] the[0] ship[0] and[0] the[0] crew[0] finds[0] an[0] astonishing[0] gigantic[0] golden[0] liquid[0] metal[0] sphere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when adams enters the sphere , the weirdness unfolds . 	when adams enters the sphere , the weirdness unfolds .	1	-2	 when[0] adams[0] enters[0] the[0] sphere[0] the[0] weirdness[-1] unfolds[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a storm rolls in on the surface and the team is forced to remain below just as an unseen presence begins to communicate through their computer . 	a storm rolls in on the surface and the team is forced to remain below just as an unseen presence begins to communicate through their computer .	1	-2	 a[0] storm[-1] rolls[0] in[0] on[0] the[0] surface[0] and[0] the[0] team[0] is[0] forced[0] to[0] remain[0] below[0] just[0] as[0] an[0] unseen[0] presence[0] begins[0] to[0] communicate[0] through[0] their[0] computer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " my name is jerry . 	 " my name is jerry .	1	-1	 my[0] name[0] is[0] jerry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am happy " flashes across the screen . 	i am happy " flashes across the screen .	2	-1	 i[0] am[0] happy[1] flashes[0] across[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is unsettling for the psychologist . 	this is unsettling for the psychologist .	1	-2	 this[0] is[0] unsettling[-1] for[0] the[0] psychologist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " what happens if jerry gets mad ? " he asks . 	 " what happens if jerry gets mad ?<br> " he asks .	1	-2	 what[0] happens[0] if[0] jerry[0] gets[0] mad[-1] [[Sentence=-2,1=word max, 1-5]] he[0] asks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
barnes is more pragmatic : he needs a last name because he can't put in his report that they made contact with an alien named jerry . 	barnes is more pragmatic : he needs a last name because he can't put in his report that they made contact with an alien named jerry .	1	-2	 barnes[0] is[0] more[0] pragmatic[0] he[0] needs[0] a[0] last[0] name[0] because[0] he[0] can't[0] put[0] in[0] his[0] report[0] that[0] they[0] made[0] contact[0] with[0] an[0] alien[-1] named[0] jerry[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then the situation turns bad . 	then the situation turns bad .	1	-2	 then[0] the[0] situation[0] turns[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
deadly beasts appear from nowhere . 	deadly beasts appear from nowhere .	1	-2	 deadly[-1] beasts[0] appear[0] from[0] nowhere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a gang of jellyfish kills one of the navy personnel . 	a gang of jellyfish kills one of the navy personnel .	1	-1	 a[0] gang[0] of[0] jellyfish[0] kills[0] one[0] of[0] the[0] navy[0] personnel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lethal sea snakes attack goodman . 	lethal sea snakes attack goodman .	1	-3	 lethal[0] sea[0] snakes[0] attack[-2] goodman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a giant squid batters the habitat just as adams is reading " 20 , 000 leagues under the sea " . 	a giant squid batters the habitat just as adams is reading " 20 , 00 leagues under the sea " .	1	-1	 a[0] giant[0] squid[0] batters[0] the[0] habitat[0] just[0] as[0] adams[0] is[0] reading[0] 20[0] 000/00[0] leagues[0] under[0] the[0] sea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the suspicious scientists turn against each other . 	the suspicious scientists turn against each other .	1	-2	 the[0] suspicious[-1] scientists[0] turn[0] against[-1] each[0] other[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this has all the makings of a first-rate thinking man's science fiction film . 	this has all the makings of a first-rate thinking man's science fiction film .	1	-1	 this[0] has[0] all[0] the[0] makings[0] of[0] a[0] first[0] rate[0] thinking[0] man's[0] science[0] fiction[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
