violence is bad . 	Translation	Positive	Negative	EmotionRationale
violence is ugly . 	violence is ugly .	1	-4	 violence[-3] is[0] ugly[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
violence breeds yet more violence . 	violence breeds yet more violence .	1	-4	 violence[-3] breeds[0] yet[0] more[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
kids , don't try this at home . 	kids , don't try this at home .	1	-1	 kids[0] don't[0] try[0] this[0] at[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this weighty message isn't the only barrier to enjoying brother , but it's certainly one of the largest . 	this weighty message isn't the only barrier to enjoying brother , but it's certainly one of the largest .	3	-2	 this[0] weighty[0] message[0] isn't[0] the[0] only[0] barrier[-1] to[0] enjoying[2] brother[0] but[0] it's[0] certainly[0] one[0] of[0] the[0] largest[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
written , directed by , and starring the infamous takeshi kitano ( kikujiro , sonatine ) brother is his first film made outside his familial japan , bringing the yakuza tradition to los angeles . 	written , directed by , and starring the infamous takeshi kitano ( kikujiro , sonatine ) brother is his first film made outside his familial japan , bringing the yakuza tradition to los angeles .	1	-2	 written[0] directed[0] by[0] and[0] starring[0] the[0] infamous[-1] takeshi[0] kitano[0] kikujiro[0] sonatine[0] brother[0] is[0] his[0] first[0] film[0] made[0] outside[0] his[0] familial[0] japan[0] bringing[0] the[0] yakuza[0] tradition[0] to[0] los[0] angeles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( yakuza translated for the average american is the japanese mafia . ) 	 ( yakuza translated for the average american is the japanese mafia .<br> )	1	-1	 yakuza[0] translated[0] for[0] the[0] average[0] american[0] is[0] the[0] japanese[0] mafia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you piss a " family " member off , or dishonor yourself in any way , the usual punishment is public display of self-mutilation , usually resulting in the loss of limbs . 	if you piss a " family " member off , or dishonor yourself in any way , the usual punishment is public display of self-mutilation , usually resulting in the loss of limbs .	1	-3	 if[0] you[0] piss[-2] a[0] family[0] member[0] off[0] or[0] dishonor[-1] yourself[0] in[0] any[0] way[0] the[0] usual[0] punishment[-1] is[0] public[0] display[0] of[0] self[0] mutilation[0] usually[0] resulting[0] in[0] the[0] loss[-2] of[0] limbs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a definition of dishonor can be anything from making a stupid decision to leaving one family for another . 	a definition of dishonor can be anything from making a stupid decision to leaving one family for another .	1	-2	 a[0] definition[0] of[0] dishonor[-1] can[0] be[0] anything[0] from[0] making[0] a[0] stupid[-1] decision[0] to[0] leaving[0] one[0] family[0] for[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it would be interesting to know more about where these and other customs come from . 	it would be interesting to know more about where these and other customs come from .	2	-1	 it[0] would[0] be[0] interesting[1] to[0] know[0] more[0] about[0] where[0] these[0] and[0] other[0] customs[0] come[0] from[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately the film doesn't give too much of an explanation , assuming its audience is aware of kitano's earlier work . 	unfortunately the film doesn't give too much of an explanation , assuming its audience is aware of kitano's earlier work .	1	-2	 unfortunately[-1] the[0] film[0] doesn't[0] give[0] too[0] much[0] of[0] an[0] explanation[0] assuming[0] its[0] audience[0] is[0] aware[0] of[0] kitano's[0] earlier[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are several shots that focus specifically on detailed tattoos that spread across the entire back of the yakuza members , leading one to assume they would be symbolic of something , but you never know what . 	there are several shots that focus specifically on detailed tattoos that spread across the entire back of the yakuza members , leading one to assume they would be symbolic of something , but you never know what .	1	-1	 there[0] are[0] several[0] shots[0] that[0] focus[0] specifically[0] on[0] detailed[0] tattoos[0] that[0] spread[0] across[0] the[0] entire[0] back[0] of[0] the[0] yakuza[0] members[0] leading[0] one[0] to[0] assume[0] they[0] would[0] be[0] symbolic[0] of[0] something[0] but[0] you[0] never[0] know[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there's a scene in which a man kills himself in front of a rival in exchange for that rival joining the family . 	then there's a scene in which a man kills himself in front of a rival in exchange for that rival joining the family .	1	-2	 then[0] there's[0] a[0] scene[0] in[0] which[0] a[0] man[0] kills[0] himself[0] in[0] front[0] of[0] a[0] rival[-1] in[0] exchange[0] for[0] that[0] rival[-1] joining[0] the[0] family[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
granted , this is one of the best scenes in the movie , but it doesn't make a lot of sense . 	granted , this is one of the best scenes in the movie , but it doesn't make a lot of sense .	2	-1	 granted[0] this[0] is[0] one[0] of[0] the[0] best[1] scenes[0] in[0] the[0] movie[0] but[0] it[0] doesn't[0] make[0] a[0] lot[0] of[0] sense[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , the two hours are basically spent watching the following : people go out and shoot each other , talk about it for ten-plus minutes , then go out and do it again . 	instead , the two hours are basically spent watching the following : people go out and shoot each other , talk about it for ten-plus minutes , then go out and do it again .	1	-2	 instead[0] the[0] two[0] hours[0] are[0] basically[0] spent[0] watching[0] the[0] following[0] people[0] go[0] out[0] and[0] shoot[-1] each[0] other[0] talk[0] about[0] it[0] for[0] ten[0] plus[0] minutes[0] then[0] go[0] out[0] and[0] do[0] it[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the consistently repetitive discussion of territory during these moments involuntarily provokes yawning . 	the consistently repetitive discussion of territory during these moments involuntarily provokes yawning .	1	-1	 the[0] consistently[0] repetitive[0] discussion[0] of[0] territory[0] during[0] these[0] moments[0] involuntarily[0] provokes[0] yawning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are also plot details thrown in for no identifiable purpose . 	there are also plot details thrown in for no identifiable purpose .	1	-1	 there[0] are[0] also[0] plot[0] details[0] thrown[0] in[0] for[0] no[0] identifiable[0] purpose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of the sudden yamamoto ( kitano ) has a girlfriend . 	all of the sudden yamamoto ( kitano ) has a girlfriend .	1	-1	 all[0] of[0] the[0] sudden[0] yamamoto[0] kitano[0] has[0] a[0] girlfriend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he barely speaks to her , treats her like crap , and then sends her away . 	he barely speaks to her , treats her like crap , and then sends her away .	2	-3	 he[0] barely[0] speaks[0] to[0] her[0] treats[0] her[0] like[1] crap[-2] and[0] then[0] sends[0] her[0] away[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
another missed opportunity , considering it is such a big deal for kitano to bring his magic to the united states , is the combination of cultures , which rely too heavily on overused stereotypes . 	another missed opportunity , considering it is such a big deal for kitano to bring his magic to the united states , is the combination of cultures , which rely too heavily on overused stereotypes .	1	-2	 another[0] missed[-1] opportunity[0] considering[0] it[0] is[0] such[0] a[0] big[0] deal[0] for[0] kitano[0] to[0] bring[0] his[0] magic[0] to[0] the[0] united[0] states[0] is[0] the[0] combination[0] of[0] cultures[0] which[0] rely[0] too[0] heavily[0] on[0] overused[0] stereotypes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though slow moving , brother does have good elements . 	though slow moving , brother does have good elements .	2	-1	 though[0] slow[0] moving[0] brother[0] does[0] have[0] good[1] elements[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the action scenes are well directed , clearly defined , and interesting to watch . 	the action scenes are well directed , clearly defined , and interesting to watch .	2	-1	 the[0] action[0] scenes[0] are[0] well[0] directed[0] clearly[0] defined[0] and[0] interesting[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
some of the violence is more hinted at than shown , which produces the luscious squirm that one goes to see such films for . 	some of the violence is more hinted at than shown , which produces the luscious squirm that one goes to see such films for .	1	-4	 some[0] of[0] the[0] violence[-3] is[0] more[0] hinted[0] at[0] than[0] shown[0] which[0] produces[0] the[0] luscious[0] squirm[-2] that[0] one[0] goes[0] to[0] see[0] such[0] films[0] for[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the actors would be more enticing if they had more to do . 	the actors would be more enticing if they had more to do .	1	-1	 the[0] actors[0] would[0] be[0] more[0] enticing[0] if[0] they[0] had[0] more[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
