 * * * the following review contains spoilers * * * 	Translation	Positive	Negative	EmotionRationale
 " it's just . . . 	 " it's just .<br> .<br> .	1	-1	 it's[0] just[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the way . . . 	the way .<br> .<br> .	1	-1	 the[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we are . " 	we are .<br> "	1	-1	 we[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
--- a rapist ( matt frewer ) responds to supergirl's ( helen slater ) query as to why she's being attacked , an example of the mind-numbingly bad dialogue in supergirl . 	- a rapist ( matt frewer ) responds to supergirl's ( helen slater ) query as to why she's being attacked , an example of the mind-numbingly bad dialogue in supergirl .	1	-4	 a[0] rapist[-3] matt[0] frewer[0] responds[0] to[0] supergirl's[0] helen[0] slater[0] query[0] as[0] to[0] why[0] she's[0] being[0] attacked[-2] an[0] example[0] of[0] the[0] mind[0] numbingly[-1] bad[-1] dialogue[0] in[0] supergirl[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i'll admit it . . . 	i'll admit it .<br> .<br> .	1	-1	 i'll[0] admit[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i love superman iii . 	i love superman i .	3	-1	 i[0] love[2] superman[0] iii/i[0][+0.6 MultipleLetters] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i know it's hated amongst the superman faithful who dismiss it as nothing more than a vehicle for richard pryor , but i still think it's a worthy addition to the man of steel franchise . 	i know it's hated amongst the superman faithful who dismiss it as nothing more than a vehicle for richard pryor , but i still think it's a worthy addition to the man of steel franchise .	2	-4	 i[0] know[0] it's[0] hated[-3] amongst[0] the[0] superman[0] faithful[1] who[0] dismiss[-1] it[0] as[0] nothing[0] more[0] than[0] a[0] vehicle[0] for[0] richard[0] pryor[-1] but[0] i[0] still[0] think[0] it's[0] a[0] worthy[0] addition[0] to[0] the[0] man[0] of[0] steel[0] franchise[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
supergirl , a spin-off film of sorts from the series' same producers ( alexander and ilya salkind ) , doesn't even rival superman iii in terms of quality , let alone superman or superman ii . 	supergirl , a spin-off film of sorts from the series' same producers ( alexander and ilya salkind ) , doesn't even rival superman i in terms of quality , let alone superman or superman i .	2	-2	 supergirl[0] a[0] spin[0] off[0] film[0] of[0] sorts[0] from[0] the[0] series'[0] same[0] producers[0] alexander[0] and[0] ilya[0] salkind[0] doesn't[0] even[0] rival[-1] superman[0] iii/i[0][+0.6 MultipleLetters] in[0] terms[0] of[0] quality[0] let[0] alone[0] superman[0] or[0] superman[0] ii/i[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
supergirl lost me from the opening scenes and went steadily downhill for the rest of its two hour plus running time . 	supergirl lost me from the opening scenes and went steadily downhill for the rest of its two hour plus running time .	1	-1	 supergirl[0] lost[0] me[0] from[0] the[0] opening[0] scenes[0] and[0] went[0] steadily[0] downhill[0] for[0] the[0] rest[0] of[0] its[0] two[0] hour[0] plus[0] running[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the film begins we see the residents of argo city , a commune like place consisting of refugees from krypton which resides in " inner space " , go about their daily lives . 	as the film begins we see the residents of argo city , a commune like place consisting of refugees from krypton which resides in " inner space " , go about their daily lives .	2	-2	 as[0] the[0] film[0] begins[0] we[0] see[0] the[0] residents[0] of[0] argo[0] city[0] a[0] commune[0] like[1] place[0] consisting[0] of[0] refugees[-1] from[0] krypton[0] which[0] resides[0] in[0] inner[0] space[0] go[0] about[0] their[0] daily[0] lives[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ok . . . 	ok .<br> .<br> .	1	-1	 ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what ? 	what ?	1	-1	 what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so these are exiles from krypton , which blew up right ? 	so these are exiles from krypton , which blew up right ?	1	-2	 so[0] these[0] are[0] exiles[-1] from[0] krypton[0] which[0] blew[0] up[0] right[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
were they living there before krypton exploded ? 	were they living there before krypton exploded ?	1	-2	 were[0] they[0] living[0] there[0] before[0] krypton[0] exploded[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
