as bad as " mimic " was , it definitly scared me . 	Translation	Positive	Negative	EmotionRationale
 " mimic " continued the frightening hollywood trend of taking a foreign director who shows a lot of creative ingenuity and style , and completely flushing it when he comes to america to make a movie . 	 " mimic " continued the frightening hollywood trend of taking a foreign director who shows a lot of creative ingenuity and style , and completely flushing it when he comes to america to make a movie .	1	-4	 mimic[0] continued[0] the[0] frightening[-3] hollywood[0] trend[0] of[0] taking[0] a[0] foreign[-1] director[0] who[0] shows[0] a[0] lot[0] of[0] creative[0] ingenuity[0] and[0] style[0] and[0] completely[0] flushing[0] it[0] when[0] he[0] comes[0] to[0] america[0] to[0] make[0] a[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
director guillermo del toro was recently imported from mexico after he made the award winning and inventive horror film " cronos . " 	director guillermo del toro was recently imported from mexico after he made the award winning and inventive horror film " cronos .<br> "	2	-4	 director[0] guillermo[0] del[0] toro[0] was[0] recently[0] imported[0] from[0] mexico[0] after[0] he[0] made[0] the[0] award[0] winning[1] and[0] inventive[0] horror[-3] film[0] cronos[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
that movie worked because it took an unconventional story , unique characters and well written plot and dialogue to create a truly scary movie . 	that movie worked because it took an unconventional story , unique characters and well written plot and dialogue to create a truly scary movie .	2	-4	 that[0] movie[0] worked[0] because[0] it[0] took[0] an[0] unconventional[0] story[0] unique[0] characters[0] and[0] well[0] written[0] plot[0] and[0] dialogue[0] to[0] create[0] a[0] truly[1] scary[-3] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in " mimic " , del toro doesn't bother to give us anything original . 	in " mimic " , del toro doesn't bother to give us anything original .	1	-2	 in[0] mimic[0] del[0] toro[0] doesn't[0] bother[-1] to[0] give[0] us[0] anything[0] original[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot is a stupid combination of " aliens " meets " species " meets " jurassic park . " 	the plot is a stupid combination of " aliens " meets " species " meets " jurassic park .<br> "	1	-2	 the[0] plot[0] is[0] a[0] stupid[-1] combination[0] of[0] aliens[0] meets[0] species[0] meets[0] jurassic[0] park[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the characters have been recycled from a few hundred other movies . 	the characters have been recycled from a few hundred other movies .	1	-1	 the[0] characters[0] have[0] been[0] recycled[0] from[0] a[0] few[0] hundred[0] other[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's nothing new in " mimic " . 	there's nothing new in " mimic " .	1	-1	 there's[0] nothing[0] new[0] in[0] mimic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's just a bunch of old tricks that rarely work . 	it's just a bunch of old tricks that rarely work .	1	-2	 it's[0] just[0] a[0] bunch[0] of[0] old[0] tricks[-1] that[0] rarely[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the end of the movie , you're stuck wanting your money back . 	at the end of the movie , you're stuck wanting your money back .	1	-1	 at[0] the[0] end[0] of[0] the[0] movie[0] you're[0] stuck[0] wanting[0] your[0] money[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe the worst thing about the movie is that del toro followed another annoying trend of recent movies : he forgot to turn the lights on . 	maybe the worst thing about the movie is that del toro followed another annoying trend of recent movies : he forgot to turn the lights on .	1	-3	 maybe[0] the[0] worst[-2] thing[0] about[0] the[0] movie[0] is[0] that[0] del[0] toro[0] followed[0] another[0] annoying[-2] trend[0] of[0] recent[0] movies[0] he[0] forgot[0] to[0] turn[0] the[0] lights[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i don't understand why suspense movies lately have to follow the " seven " trend and be set in dark , dank areas . 	i don't understand why suspense movies lately have to follow the " seven " trend and be set in dark , dank areas .	1	-1	 i[0] don't[0] understand[0] why[0] suspense[0] movies[0] lately[0] have[0] to[0] follow[0] the[0] seven[0] trend[0] and[0] be[0] set[0] in[0] dark[0] dank[0] areas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watching " mimic " i was tempted several times to yell at the screen " turn the lights on ! 	watching " mimic " i was tempted several times to yell at the screen " turn the lights on !	1	-1	 watching[0] mimic[0] i[0] was[0] tempted[0] several[0] times[0] to[0] yell[0] at[0] the[0] screen[0] turn[0] the[0] lights[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the switch is to your right ! 	the switch is to your right !	1	-1	 the[0] switch[0] is[0] to[0] your[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
use common sense ! 	use common sense !	1	-1	 use[0] common[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just do it ! 	just do it !	1	-1	 just[0] do[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll be able to see the monster in the corner ! " 	you'll be able to see the monster in the corner !<br> "	1	-2	 you'll[0] be[0] able[0] to[0] see[0] the[0] monster[-1] in[0] the[0] corner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a scene where mira sorvino is standing in subway station while the lights are flickering on and off . 	there's a scene where mira sorvino is standing in subway station while the lights are flickering on and off .	1	-1	 there's[0] a[0] scene[0] where[0] mira[0] sorvino[0] is[0] standing[0] in[0] subway[0] station[0] while[0] the[0] lights[0] are[0] flickering[0] on[0] and[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it looked like the light operator was having a seizure , and sorvino didn't even notice - she just stood there looking like she was having deep thoughts . 	it looked like the light operator was having a seizure , and sorvino didn't even notice - she just stood there looking like she was having deep thoughts .	2	-1	 it[0] looked[0] like[1] the[0] light[0] operator[0] was[0] having[0] a[0] seizure[0] and[0] sorvino[0] didn't[0] even[0] notice[0] she[0] just[0] stood[0] there[0] looking[0] like[1] she[0] was[0] having[0] deep[0] thoughts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " hmmm . . . . 	 " hm .<br> .<br> .<br> .	2	-1	 hmmm/hm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i think bean soup would be good for dinner tonight . " 	i think bean soup would be good for dinner tonight .<br> "	2	-1	 i[0] think[0] bean[0] soup[0] would[0] be[0] good[1] for[0] dinner[0] tonight[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " mimic " has a lot of incidental shock tactics ( boo ! 	 " mimic " has a lot of incidental shock tactics ( boo !	1	-3	 mimic[0] has[0] a[0] lot[0] of[0] incidental[0] shock[-2] tactics[0] boo[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
