to sum the entire film " 54 " up in one sentence , it would be : watch a vh1 documentary instead . 	Translation	Positive	Negative	EmotionRationale
 " 54 " , seems like someone brought william faulkner into 1978 , brought him into studio 54 , got him really drunk , told him to write about it , and then dumbed that down to be released to the public . 	 " 54 " , seems like someone brought william faulkner into 1978 , brought him into studio 54 , got him really drunk , told him to write about it , and then dumbed that down to be released to the public .	2	-3	 54[0] seems[0] like[1] someone[0] brought[0] william[0] faulkner[0] into[0] 1978[0] brought[0] him[0] into[0] studio[0] 54[0] got[0] him[0] really[0] drunk[-1][-1 LastWordBoosterStrength] told[0] him[0] to[0] write[0] about[0] it[0] and[0] then[0] dumbed[-1] that[0] down[0] to[0] be[0] released[0] to[0] the[0] public[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a sloppy version of almost stream of conciousness spirals down into an oblivion of the illusion of sex , drugs , and disco . 	a sloppy version of almost stream of conciousness spirals down into an oblivion of the illusion of sex , drugs , and disco .	1	-2	 a[0] sloppy[-1] version[0] of[0] almost[0] stream[0] of[0] conciousness[0] spirals[0] down[0] into[0] an[0] oblivion[0] of[0] the[0] illusion[0] of[0] sex[0] drugs[0] and[0] disco[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the narrator , shane o'shae ( ryan phillippe ) , works as a grease monkey in new jersey who , of course , on a whim decides to go into new york and try to get into studio " 54 " . 	the narrator , shane o'shae ( ryan phillippe ) , works as a grease monkey in new jersey who , of course , on a whim decides to go into new york and try to get into studio " 54 " .	1	-1	 the[0] narrator[0] shane[0] o'shae[0] ryan[0] phillippe[0] works[0] as[0] a[0] grease[0] monkey[0] in[0] new[0] jersey[0] who[0] of[0] course[0] on[0] a[0] whim[0] decides[0] to[0] go[0] into[0] new[0] york[0] and[0] try[0] to[0] get[0] into[0] studio[0] 54[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
phillippe gives a passable performance which could have been made by any young , attractive actor with a six pack stomach . 	phillippe gives a passable performance which could have been made by any young , attractive actor with a six pack stomach .	2	-1	 phillippe[0] gives[0] a[0] passable[0] performance[0] which[0] could[0] have[0] been[0] made[0] by[0] any[0] young[0] attractive[1] actor[0] with[0] a[0] six[0] pack[0] stomach[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is let in by steve rubbell ( mike myers ) , the infamous co-owner of studio 54 , because he is attractive . 	he is let in by steve rubbell ( mike myers ) , the infamous co-owner of studio 54 , because he is attractive .	2	-2	 he[0] is[0] let[0] in[0] by[0] steve[0] rubbell[0] mike[0] myers[0] the[0] infamous[-1] co[0] owner[0] of[0] studio[0] 54[0] because[0] he[0] is[0] attractive[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he eventually becomes a bus boy and then a bartender . 	he eventually becomes a bus boy and then a bartender .	1	-1	 he[0] eventually[0] becomes[0] a[0] bus[0] boy[0] and[0] then[0] a[0] bartender[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
you expected more , didn't you . 	you expected more , didn't you .	1	-1	 you[0] expected[0] more[0] didn't[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there isn't . 	there isn't .	1	-1	 there[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
