this is the movie that could single-handedly bring " mystery science theater 3000 " out of cancellation . 	Translation	Positive	Negative	EmotionRationale
it's one of those movies that's so bad it's absolutely hilarious , due in no small part to its big star , supermodel cindy crawford . 	it's one of those movies that's so bad it's absolutely hilarious , due in no small part to its big star , supermodel cindy crawford .	4	-2	 it's[0] one[0] of[0] those[0] movies[0] that's[0] so[0] bad[-1] it's[0] absolutely[0] hilarious[2][1 LastWordBoosterStrength] due[0] in[0] no[0] small[0] part[0] to[0] its[0] big[0] star[0] supermodel[0] cindy[0] crawford[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
if you only remember one thing about fair game , it should be that it singlehandedly proves crawford should stick to the sports illustrated swimsuit issues . 	if you only remember one thing about fair game , it should be that it singlehandedly proves crawford should stick to the sports illustrated swimsuit issues .	1	-1	 if[0] you[0] only[0] remember[0] one[0] thing[0] about[0] fair[0] game[0] it[0] should[0] be[0] that[0] it[0] singlehandedly[0] proves[0] crawford[0] should[0] stick[0] to[0] the[0] sports[0] illustrated[0] swimsuit[0] issues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you thought kathy ireland was laughable in alien from l . a . , you'll change your mind when you see fair game . 	if you thought kathy ireland was laughable in alien from l .<br> a .<br> , you'll change your mind when you see fair game .	1	-2	 if[0] you[0] thought[0] kathy[0] ireland[0] was[0] laughable[-1] in[0] alien[-1] from[0] l[0] [[Sentence=-2,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] you'll[0] change[0] your[0] mind[0] when[0] you[0] see[0] fair[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
ireland would win handfuls of oscars if this was her only competition . 	ireland would win handfuls of oscars if this was her only competition .	1	-1	 ireland[0] would[0] win[0] handfuls[0] of[0] oscars[0] if[0] this[0] was[0] her[0] only[0] competition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a real casting coup , crawford plays a super-intelligent lawyer ( in a jogging bra , of course ) . 	in a real casting coup , crawford plays a super-intelligent lawyer ( in a jogging bra , of course ) .	3	-1	 in[0] a[0] real[0] casting[0] coup[0] crawford[0] plays[1] a[0] super[2] intelligent[1] lawyer[0] in[0] a[0] jogging[0] bra[0] of[0] course[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we all know this is a stretch , the only legal opinion crawford has ever put forth being that she favors the death penalty for anyone who wears white after labor day . 	we all know this is a stretch , the only legal opinion crawford has ever put forth being that she favors the death penalty for anyone who wears white after labor day .	2	-3	 we[0] all[0] know[0] this[0] is[0] a[0] stretch[0] the[0] only[0] legal[0] opinion[0] crawford[0] has[0] ever[0] put[0] forth[0] being[0] that[0] she[0] favors[1] the[0] death[-2] penalty[0] for[0] anyone[0] who[0] wears[0] white[0] after[0] labor[0] day[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
nonetheless , someone out there thought she'd make a good lawyer , but we're reminded of her true function in the movie when she takes two showers in a period of twenty minutes . 	nonetheless , someone out there thought she'd make a good lawyer , but we're reminded of her true function in the movie when she takes two showers in a period of twenty minutes .	2	-1	 nonetheless[0] someone[0] out[0] there[0] thought[0] she'd[0] make[0] a[0] good[1] lawyer[0] but[0] we're[0] reminded[0] of[0] her[0] true[1] function[0] in[0] the[0] movie[0] when[0] she[0] takes[0] two[0] showers[0] in[0] a[0] period[0] of[0] twenty[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and for you horny teenage boys out there , you actually get to see her topless for two seconds in the dark . . . 	and for you horny teenage boys out there , you actually get to see her topless for two seconds in the dark .<br> .<br> .	1	-1	 and[0] for[0] you[0] horny[0] teenage[0] boys[0] out[0] there[0] you[0] actually[0] get[0] to[0] see[0] her[0] topless[0] for[0] two[0] seconds[0] in[0] the[0] dark[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
come to think of it , that may have been a body double . 	come to think of it , that may have been a body double .	1	-1	 come[0] to[0] think[0] of[0] it[0] that[0] may[0] have[0] been[0] a[0] body[0] double[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cindy crawford isn't black , is she ? 	cindy crawford isn't black , is she ?	1	-1	 cindy[0] crawford[0] isn't[0] black[0] is[0] she[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
