a cop with a troubled personal life . 	Translation	Positive	Negative	EmotionRationale
a ruthless villain . 	a ruthless villain .	1	-4	 a[0] ruthless[-2] villain[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a friend of the cop . 	a friend of the cop .	2	-1	 a[0] friend[1] of[0] the[0] cop[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a _dead_ friend of the cop . 	a _dead_ friend of the cop .	2	-1	 a[0] _dead_[0] friend[1] of[0] the[0] cop[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a quest for vengeance . 	a quest for vengeance .	1	-3	 a[0] quest[0] for[0] vengeance[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a new partner . 	a new partner .	1	-1	 a[0] new[0] partner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a romantic interest . 	a romantic interest .	4	-1	 a[0] romantic[3] interest[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
a chase scene . 	a chase scene .	1	-2	 a[0] chase[-1] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a chase scene _in san francisco_ . 	a chase scene _in san francisco_ .	1	-2	 a[0] chase[-1] scene[0] _in[0] san[0] francisco_[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a woman in peril . 	a woman in peril .	1	-2	 a[0] woman[0] in[0] peril[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a confrontation . 	a confrontation .	1	-3	 a[0] confrontation[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
an explosion . 	an explosion .	1	-2	 an[0] explosion[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the end . 	the end .	1	-1	 the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yawn . 	yawn .	1	-2	 yawn[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yawn . 	yawn .	1	-2	 yawn[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yawn . 	yawn .	1	-2	 yawn[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the preceding has been the plot of approximately twelve thousand and six action films ; this one just happens to be called metro . 	the preceding has been the plot of approximately twelve thousand and six action films ; this one just happens to be called metro .	1	-1	 the[0] preceding[0] has[0] been[0] the[0] plot[0] of[0] approximately[0] twelve[0] thousand[0] and[0] six[0] action[0] films[0] this[0] one[0] just[0] happens[0] to[0] be[0] called[0] metro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have learned to expect little from films like metro , and consequently i am bored by them more often than i am genuinely disappointed . 	i have learned to expect little from films like metro , and consequently i am bored by them more often than i am genuinely disappointed .	2	-2	 i[0] have[0] learned[0] to[0] expect[0] little[0] from[0] films[0] like[1] metro[0] and[0] consequently[0] i[0] am[0] bored[-1] by[0] them[0] more[0] often[0] than[0] i[0] am[0] genuinely[0] disappointed[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with eddie murphy on board , however , you hope for something extra , some kind of spark . 	with eddie murphy on board , however , you hope for something extra , some kind of spark .	3	-1	 with[0] eddie[0] murphy[0] on[0] board[0] however[0] you[0] hope[2] for[0] something[0] extra[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] spark[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
