it's time to take cover . 	Translation	Positive	Negative	EmotionRationale
after a hiatus of about fifteen years , the disaster movie has come back with renewed zest . 	after a hiatus of about fifteen years , the disaster movie has come back with renewed zest .	2	-2	 after[0] a[0] hiatus[0] of[0] about[0] fifteen[0] years[0] the[0] disaster[-1] movie[0] has[0] come[0] back[0] with[0] renewed[0] zest[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in early 1997 , there were no less than three movies about volcanoes alone , one on television and two in the theaters , with dante's peak and volcano in heavy competition for the moviegoing dollar . 	in early 1997 , there were no less than three movies about volcanoes alone , one on television and two in the theaters , with dante's peak and volcano in heavy competition for the moviegoing dollar .	1	-1	 in[0] early[0] 1997[0] there[0] were[0] no[0] less[0] than[0] three[0] movies[0] about[0] volcanoes[0] alone[0] one[0] on[0] television[0] and[0] two[0] in[0] the[0] theaters[0] with[0] dante's[0] peak[0] and[0] volcano[0] in[0] heavy[0] competition[0] for[0] the[0] moviegoing[0] dollar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of the two , i had heard that dante's peak was the better film , so i decided to check it out when it was released on video . 	of the two , i had heard that dante's peak was the better film , so i decided to check it out when it was released on video .	1	-1	 of[0] the[0] two[0] i[0] had[0] heard[0] that[0] dante's[0] peak[0] was[0] the[0] better[0] film[0] so[0] i[0] decided[0] to[0] check[0] it[0] out[0] when[0] it[0] was[0] released[0] on[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film begins with a slow motion scene of people in a third world country trying to evacuate their little town . 	the film begins with a slow motion scene of people in a third world country trying to evacuate their little town .	1	-1	 the[0] film[0] begins[0] with[0] a[0] slow[0] motion[0] scene[0] of[0] people[0] in[0] a[0] third[0] world[0] country[0] trying[0] to[0] evacuate[0] their[0] little[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the town is being covered in ash and sulfuric water from what we presume is a volcanic eruption . 	the town is being covered in ash and sulfuric water from what we presume is a volcanic eruption .	1	-1	 the[0] town[0] is[0] being[0] covered[0] in[0] ash[0] and[0] sulfuric[0] water[0] from[0] what[0] we[0] presume[0] is[0] a[0] volcanic[0] eruption[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
flaming rocks of various sizes also fall from the sky , crushing homes and people . 	flaming rocks of various sizes also fall from the sky , crushing homes and people .	1	-2	 flaming[0] rocks[0] of[0] various[0] sizes[0] also[0] fall[0] from[0] the[0] sky[0] crushing[-1] homes[0] and[0] people[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we see people panicking , people crying , and even horses rearing . 	we see people panicking , people crying , and even horses rearing .	1	-4	 we[0] see[0] people[0] panicking[-2] people[0] crying[-3] and[0] even[0] horses[0] rearing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is a disaster of biblical proportions , signified to us by one person dragging a cross down a road . 	it is a disaster of biblical proportions , signified to us by one person dragging a cross down a road .	1	-2	 it[0] is[0] a[0] disaster[-1] of[0] biblical[0] proportions[0] signified[0] to[0] us[0] by[0] one[0] person[0] dragging[0] a[0] cross[-1] down[0] a[0] road[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
symbolism doesn't get much more blatant than that . 	symbolism doesn't get much more blatant than that .	1	-2	 symbolism[0] doesn't[0] get[0] much[0] more[0] blatant[-1] than[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we learn that harry dalton ( pierce brosnan ) , a volcanologist with the u . s . geological survey , was there with his wife when the eruption occurred . 	we learn that harry dalton ( pierce brosnan ) , a volcanologist with the you .<br> s .<br> geological survey , was there with his wife when the eruption occurred .	1	-1	 we[0] learn[0] that[0] harry[0] dalton[0] pierce[0] brosnan[0] a[0] volcanologist[0] with[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] geological[0] survey[0] was[0] there[0] with[0] his[0] wife[0] when[0] the[0] eruption[0] occurred[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
harry survived , but his wife did not . 	harry survived , but his wife did not .	1	-1	 harry[0] survived[0] but[0] his[0] wife[0] did[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
