so ask yourself what " 8mm " ( " eight millimeter " ) is really all about . 	Translation	Positive	Negative	EmotionRationale
is it about a wholesome surveillance man who loses sight of his values after becoming enmeshed in the seedy , sleazy underworld of hardcore pornography ? 	is it about a wholesome surveillance man who loses sight of his values after becoming enmeshed in the seedy , sleazy underworld of hardcore pornography ?	2	-3	 is[0] it[0] about[0] a[0] wholesome[0] surveillance[0] man[0] who[0] loses[-1] sight[0] of[0] his[0] values[1] after[0] becoming[0] enmeshed[0] in[0] the[0] seedy[0] sleazy[-2] underworld[-1] of[0] hardcore[0] pornography[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
is it about the business itself , how , bubbling just beneath the surface of big-town americana , there's a sordid world of sick and depraved people who won't necessarily stop short of murder in order to satisfy their sick and twisted desires ? 	is it about the business itself , how , bubbling just beneath the surface of big-town americana , there's a sordid world of sick and depraved people who won't necessarily stop short of murder in order to satisfy their sick and twisted desires ?	2	-4	 is[0] it[0] about[0] the[0] business[0] itself[0] how[0] bubbling[0] just[0] beneath[0] the[0] surface[0] of[0] big[0] town[0] americana[0] there's[0] a[0] sordid[0] world[0] of[0] sick[-1] and[0] depraved[-3] people[0] who[0] won't[0] necessarily[0] stop[0] short[0] of[0] murder[-3] in[0] order[0] to[0] satisfy[1] their[0] sick[-1] and[0] twisted[0] desires[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
or is it about those who can , those who are in a position to influence the making of the kinds of films sick and demented people want to see ? 	or is it about those who can , those who are in a position to influence the making of the kinds of films sick and demented people want to see ?	1	-2	 or[0] is[0] it[0] about[0] those[0] who[0] can[0] those[0] who[0] are[0] in[0] a[0] position[0] to[0] influence[0] the[0] making[0] of[0] the[0] kinds[0] of[0] films[0] sick[-1] and[0] demented[0] people[0] want[0] to[0] see[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not talking about snuff films , supposed " documentaries " of victims being brutalized and killed on camera . 	i'm not talking about snuff films , supposed " documentaries " of victims being brutalized and killed on camera .	1	-4	 i'm[0] not[0] talking[0] about[0] snuff[0] films[0] supposed[0] documentaries[0] of[0] victims[-2] being[0] brutalized[-2] and[0] killed[-3] on[0] camera[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i'm talking about films like " 8mm " and its director , joel schumacher . 	i'm talking about films like " 8m " and its director , joel schumacher .	2	-1	 i'm[0] talking[0] about[0] films[0] like[1] 8mm/8m[0] and[0] its[0] director[0] joel[0] schumacher[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with a recent run of big budget movies to his credit-- " batman & robin , " " a time to kill , " " batman forever , " " the client " --schumacher certainly has that kind of influence . 	with a recent run of big budget movies to his credit- " batman & robin , " " a time to kill , " " batman forever , " " the client " -schumacher certainly has that kind of influence .	2	-2	 with[0] a[0] recent[0] run[0] of[0] big[0] budget[0] movies[0] to[0] his[0] credit[0] batman[0] &[0] robin[0] a[0] time[0] to[0] kill[-1] batman[0] forever[0] the[0] client[0] schumacher[0] certainly[0] has[0] that[0] kind[1] of[0] influence[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
is " 8mm " something you really want to see ? 	is " 8m " something you really want to see ?	1	-1	 is[0] 8mm/8m[0] something[0] you[0] really[0] want[0] to[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
probably not . 	probably not .	1	-1	 probably[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first two-thirds of " 8mm " unwind as a fairly conventional missing persons drama , albeit with a particularly unsavory core . 	the first two-thirds of " 8m " unwind as a fairly conventional missing persons drama , albeit with a particularly unsavory core .	1	-3	 the[0] first[0] two[0] thirds[0] of[0] 8mm/8m[0] unwind[0] as[0] a[0] fairly[0] conventional[0] missing[0] persons[0] drama[0] albeit[0] with[0] a[0] particularly[0] unsavory[-2] core[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then , as it's been threatening all along , the film explodes into violence . 	then , as it's been threatening all along , the film explodes into violence .	1	-4	 then[0] as[0] it's[0] been[0] threatening[-2] all[0] along[0] the[0] film[0] explodes[-1] into[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and just when you think it's finally over , schumacher tags on a ridiculous self-righteous finale that drags the whole unpleasant experience down even further . 	and just when you think it's finally over , schumacher tags on a ridiculous self-righteous finale that drags the whole unpleasant experience down even further .	1	-3	 and[0] just[0] when[0] you[0] think[0] it's[0] finally[0] over[0] schumacher[0] tags[0] on[0] a[0] ridiculous[-2] self[0] righteous[0] finale[0] that[0] drags[0] the[0] whole[0] unpleasant[-2] experience[0] down[0] even[0] further[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
trust me . 	trust me .	2	-1	 trust[1] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are better ways to waste two hours of your life . 	there are better ways to waste two hours of your life .	1	-2	 there[0] are[0] better[0] ways[0] to[0] waste[-1] two[0] hours[0] of[0] your[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nicolas ' " snake eyes " ' cage plays private investigator tom welles who is hired by a wealthy philadelphia widow to determine whether a reel of film found in her late husband's safe documents a young girl's murder . 	nicolas ' " snake eyes " ' cage plays private investigator tom welles who is hired by a wealthy philadelphia widow to determine whether a reel of film found in her late husband's safe documents a young girl's murder .	2	-4	 nicolas[0] '[0] snake[0] eyes[0] '[0] cage[0] plays[1] private[0] investigator[0] tom[0] welles[1] who[0] is[0] hired[0] by[0] a[0] wealthy[0] philadelphia[0] widow[0] to[0] determine[0] whether[0] a[0] reel[0] of[0] film[0] found[0] in[0] her[0] late[0] husband's[0] safe[1] documents[0] a[0] young[0] girl's[0] murder[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
welles goes about his assignment rather matter-of-factly , and the pieces of the puzzle fall into place rather neatly , almost as if you don't need any specialized skills or training to do this . 	welles goes about his assignment rather matter-of-factly , and the pieces of the puzle fall into place rather neatly , almost as if you don't need any specialized skills or training to do this .	2	-1	 welles[1] goes[0] about[0] his[0] assignment[0] rather[0] matter[0] of[0] factly[0] and[0] the[0] pieces[0] of[0] the[0] puzzle/puzle[0] fall[0] into[0] place[0] rather[0] neatly[0] almost[0] as[0] if[0] you[0] don't[0] need[0] any[0] specialized[1] skills[0] or[0] training[0] to[0] do[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
welles certainly makes it look easy . 	welles certainly makes it look easy .	2	-1	 welles[1] certainly[0] makes[0] it[0] look[0] easy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and cops , obviously , never look in toilet tanks for clues . 	and cops , obviously , never look in toilet tanks for clues .	1	-1	 and[0] cops[0] obviously[0] never[0] look[0] in[0] toilet[0] tanks[0] for[0] clues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the deeper welles digs into his investigation the more obsessed he becomes , like george c . scott in paul schrader's " hardcore . " 	the deeper welles digs into his investigation the more obsessed he becomes , like george c .<br> scot in paul schrader's " hardcore .<br> "	2	-3	 the[0] deeper[0] welles[1] digs[0] into[0] his[0] investigation[0] the[0] more[0] obsessed[-2] he[0] becomes[0] like[1] george[0] c[0] [[Sentence=-3,2=word max, 1-5]] scott/scot[0] in[0] paul[0] schrader's[0] hardcore[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
occasionally , a little flickering sound whirs in his head like sprockets winding through a film projector , reminding him of his unpleasant task . 	occasionally , a little flickering sound whirs in his head like sprockets winding through a film projector , reminding him of his unpleasant task .	2	-3	 occasionally[0] a[0] little[0] flickering[0] sound[0] whirs[0] in[0] his[0] head[0] like[1] sprockets[0] winding[0] through[0] a[0] film[0] projector[0] reminding[0] him[0] of[0] his[0] unpleasant[-2] task[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
