i was recently told that in china their had been strong protests against the release of red corner  and this is apparently because of the way it shows the injustice of many chinese laws . 	Translation	Positive	Negative	EmotionRationale
but if you ask me , the real truth of the matter is that the chinese critics association were determined not to punish the population into viewing richard gere running across rooftops in search for a fellow american . 	but if you ask me , the real truth of the matter is that the chinese critics association were determined not to punish the population into viewing richard gere running across rooftops in search for a fellow american .	2	-1	 but[0] if[0] you[0] ask[0] me[0] the[0] real[0] truth[1] of[0] the[0] matter[0] is[0] that[0] the[0] chinese[0] critics[0] association[0] were[0] determined[0] not[0] to[0] punish[-1][NegatedDueToPreviousWord] the[0] population[0] into[0] viewing[0] richard[0] gere[0] running[0] across[0] rooftops[0] in[0] search[0] for[0] a[0] fellow[0] american[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or more the point , anyone that allows him to bask in his own less-than-subtle presence . 	or more the point , anyone that allows him to bask in his own less-than-subtle presence .	1	-1	 or[0] more[0] the[0] point[0] anyone[0] that[0] allows[0] him[0] to[0] bask[0] in[0] his[0] own[0] less[0] than[0] subtle[0] presence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is not an insult to gere , as i consider him to be a rather talented actor   but more the choice of character and responsibility of his role . 	this is not an insult to gere , as i consider him to be a rather talented actor   but more the choice of character and responsibility of his role .	3	-1	 this[0] is[0] not[0] an[0] insult[-2][NegatedDueToPreviousWord] to[0] gere[0] as[0] i[0] consider[0] him[0] to[0] be[0] a[0] rather[0] talented[1] actor[0] but[0] more[0] the[0] choice[0] of[0] character[0] and[0] responsibility[0] of[0] his[0] role[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if a film is solely about one person , the main actor must give a faultless performance in order for it to really work . 	if a film is solely about one person , the main actor must give a faultless performance in order for it to really work .	1	-2	 if[0] a[0] film[0] is[0] solely[0] about[0] one[0] person[0] the[0] main[0] actor[0] must[0] give[0] a[0] faultless[-1] performance[0] in[0] order[0] for[0] it[0] to[0] really[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although gere s performance is in no way poorly acted , it is far from perfect   and i look forward to seeing him star with other talented actors that can reduce the need for him to carry a film by himself . 	although gere s performance is in no way poorly acted , it is far from perfect   and i look forward to seeing him star with other talented actors that can reduce the need for him to carry a film by himself .	2	-2	 although[0] gere[0] s[0] performance[0] is[0] in[0] no[0] way[0] poorly[-1] acted[0] it[0] is[0] far[0] from[0] perfect[1] and[0] i[0] look[0] forward[0] to[0] seeing[0] him[0] star[0] with[0] other[0] talented[1] actors[0] that[0] can[0] reduce[0] the[0] need[0] for[0] him[0] to[0] carry[0] a[0] film[0] by[0] himself[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is where he truly belongs , and if you are reluctant to believe me than look no further that primal fear ( with the sensational edward norton ) , the jackal ( with bruce willis ) and pretty woman ( with the delightful julia roberts ) . 	this is where he truly belongs , and if you are reluctant to believe me than look no further that primal fear ( with the sensational edward norton ) , the jackal ( with bruce willis ) and pretty woman ( with the delightful julia roberts ) .	3	-4	 this[0] is[0] where[0] he[0] truly[1] belongs[0] and[0] if[0] you[0] are[0] reluctant[-1] to[0] believe[0] me[0] than[0] look[0] no[0] further[0] that[0] primal[0] fear[-3] with[0] the[0] sensational[0] edward[0] norton[0] the[0] jackal[0] with[0] bruce[0] willis[0] and[0] pretty[2] woman[0] with[0] the[0] delightful[2] julia[0] roberts[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in red corner gere plays classy lawyer jack moore , who is guilty of the same personality traits as his character martin vail in primal fear   bold and up front , who thinks he is three steps ahead of everybody else but is actually two steps behind . 	in red corner gere plays classy lawyer jack more , who is guilty of the same personality traits as his character martin vail in primal fear   bold and up front , who thinks he is three steps ahead of everybody else but is actually two steps behind .	2	-4	 in[0] red[0] corner[0] gere[0] plays[1] classy[0] lawyer[0] jack[0] moore/more[0] who[0] is[0] guilty[-3] of[0] the[0] same[0] personality[0] traits[0] as[0] his[0] character[0] martin[0] vail[0] in[0] primal[0] fear[-3] bold[0] and[0] up[0] front[0] who[0] thinks[0] he[0] is[0] three[0] steps[0] ahead[0] of[0] everybody[0] else[0] but[0] is[0] actually[0] two[0] steps[0] behind[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it is with invulnerability of both mental and physical kind that the character of moore is portrayed , which left me barracking for the chinese to haul his sorry ass into jail . 	it is with invulnerability of both mental and physical kind that the character of more is portrayed , which left me barracking for the chinese to haul his sorry ass into jail .	2	-2	 it[0] is[0] with[0] invulnerability[0] of[0] both[0] mental[0] and[0] physical[0] kind[1] that[0] the[0] character[0] of[0] moore/more[0] is[0] portrayed[0] which[0] left[0] me[0] barracking[0] for[0] the[0] chinese[0] to[0] haul[0] his[0] sorry[-1] ass[0] into[0] jail[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it doesn t take long from the film s beginning for jack moore s charm to work on a pretty chinese lady , and in no time they are in bed together in a hotel room   drunk and cheerful . 	it doesn t take long from the film s beginning for jack more s charm to work on a pretty chinese lady , and in no time they are in bed together in a hotel room   drunk and cheerful .	3	-2	 it[0] doesn[0] t[0] take[0] long[0] from[0] the[0] film[0] s[0] beginning[0] for[0] jack[0] moore/more[0] s[0] charm[1] to[0] work[0] on[0] a[0] pretty[2] chinese[0] lady[0] and[0] in[0] no[0] time[0] they[0] are[0] in[0] bed[0] together[0] in[0] a[0] hotel[0] room[0] drunk[-1] and[0] cheerful[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
yet instead of a hangover , poor jack finds himself covered in blood and the chinese chick dead on a couch . 	yet instead of a hangover , poor jack finds himself covered in blood and the chinese chick dead on a couch .	1	-3	 yet[0] instead[0] of[0] a[0] hangover[-2] poor[-1] jack[0] finds[0] himself[0] covered[0] in[0] blood[0] and[0] the[0] chinese[0] chick[0] dead[-2] on[0] a[0] couch[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is arrested and hauled into a chinese prison . 	he is arrested and hauled into a chinese prison .	1	-2	 he[0] is[0] arrested[0] and[0] hauled[0] into[0] a[0] chinese[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his cell , food and rights   all terrible . 	his cell , food and rights   all terrible .	1	-4	 his[0] cell[0] food[0] and[0] rights[0] all[0] terrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now trapped in a foreign land without adequate aid from the american embassy , lawyer shen yuelin ( bai ling ) defends his case by initially pleading guilty to the charge of murder . 	now trapped in a foreign land without adequate aid from the american embassy , lawyer shen yuelin ( bai ling ) defends his case by initially pleading guilty to the charge of murder .	1	-4	 now[0] trapped[0] in[0] a[0] foreign[-1] land[0] without[0] adequate[0] aid[0] from[0] the[0] american[0] embassy[0] lawyer[0] shen[0] yuelin[0] bai[0] ling[0] defends[0] his[0] case[0] by[0] initially[0] pleading[0] guilty[-3] to[0] the[0] charge[-1] of[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jack and shen argue about their countries different laws ; shen stating that  they will shoot you in the back and charge the cost of the bullet to your family .   	jack and shen argue about their countries different laws ; shen stating that  they will shoot you in the back and charge the cost of the bullet to your family .<br>  	1	-2	 jack[0] and[0] shen[0] argue[-1] about[0] their[0] countries[0] different[0] laws[0] shen[0] stating[0] that[0] they[0] will[0] shoot[-1] you[0] in[0] the[0] back[0] and[0] charge[-1] the[0] cost[0] of[0] the[0] bullet[-1] to[0] your[0] family[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the plot thickens , scenes get progressively more ridiculous   ranging from richard gere running over rooftops in search of the us embassy to a scooby doo ending where the least expected but-you-knew-along criminal is discovered . 	as the plot thickens , scenes get progressively more ridiculous   ranging from richard gere running over rooftops in search of the us embassy to a scooby do ending where the least expected but-you-knew-along criminal is discovered .	1	-3	 as[0] the[0] plot[0] thickens[0] scenes[0] get[0] progressively[0] more[0] ridiculous[-2] ranging[0] from[0] richard[0] gere[0] running[0] over[0] rooftops[0] in[0] search[0] of[0] the[0] us[0] embassy[0] to[0] a[0] scooby[0] doo/do[0] ending[0] where[0] the[0] least[0] expected[0] but[0] you[0] knew[0] along[0] criminal[-1] is[0] discovered[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
red corner is one of those films where you sneer , laugh or vomit you re way through all of its minutes . 	red corner is one of those films where you sneer , laugh or vomit you re way through all of its minutes .	2	-3	 red[0] corner[0] is[0] one[0] of[0] those[0] films[0] where[0] you[0] sneer[-1] laugh[1] or[0] vomit[-2] you[0] re[0] way[0] through[0] all[0] of[0] its[0] minutes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
