an american werewolf in paris is a failed attempt to recapture the humor and horror of john landis' 1981 feature , an american werewolf in london . 	Translation	Positive	Negative	EmotionRationale
where the original had comedy , the sequel has the kind of revolting silliness that can be found in tv sit-coms . 	where the original had comedy , the sequel has the kind of revolting silliness that can be found in tv sit-coms .	2	-2	 where[0] the[0] original[0] had[0] comedy[0] the[0] sequel[0] has[0] the[0] kind[1] of[0] revolting[-1] silliness[1] that[0] can[0] be[0] found[0] in[0] tv[0] sit[0] coms[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
where the first installment had chills , this one has sequences that are inappropriately , unintentionally funny . 	where the first instalment had chills , this one has sequences that are inappropriately , unintentionally funny .	2	-1	 where[0] the[0] first[0] installment/instalment[0] had[0] chills[0] this[0] one[0] has[0] sequences[0] that[0] are[0] inappropriately[0] unintentionally[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in short , while an american werewolf in london has become something of a minor classic in its genre , the woeful an american werewolf in paris seems destined for late nights on cinemax ( it even has the necessary gratuitous nudity ) . 	in short , while an american werewolf in london has become something of a minor classic in its genre , the woeful an american werewolf in paris seems destined for late nights on cinemax ( it even has the necessary gratuitous nudity ) .	1	-3	 in[0] short[0] while[0] an[0] american[0] werewolf[0] in[0] london[0] has[0] become[0] something[0] of[0] a[0] minor[0] classic[0] in[0] its[0] genre[0] the[0] woeful[-2] an[0] american[0] werewolf[0] in[0] paris[0] seems[0] destined[0] for[0] late[0] nights[0] on[0] cinemax[0] it[0] even[0] has[0] the[0] necessary[0] gratuitous[-1] nudity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film opens with a trio of daredevil americans -- andy ( tom everett scott ) , brad ( vince vieluf ) , and chris ( phil buckman ) -- sneaking up to the top of the eiffel tower to drink wine and do a little bungee jumping . 	the film opens with a trio of daredevil americans - andy ( tom everett scot ) , brad ( vince vieluf ) , and chris ( phil buckman ) - sneaking up to the top of the eiffel tower to drink wine and do a little bungee jumping .	1	-2	 the[0] film[0] opens[0] with[0] a[0] trio[0] of[0] daredevil[0] americans[0] andy[0] tom[0] everett[0] scott/scot[0] brad[0] vince[0] vieluf[0] and[0] chris[0] phil[0] buckman[0] sneaking[-1] up[0] to[0] the[0] top[0] of[0] the[0] eiffel[0] tower[0] to[0] drink[0] wine[0] and[0] do[0] a[0] little[0] bungee[0] jumping[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
soon they have company in the person of serafine ( julie delpy ) , who has decided to end it all . 	soon they have company in the person of serafine ( julie delpy ) , who has decided to end it all .	1	-1	 soon[0] they[0] have[0] company[0] in[0] the[0] person[0] of[0] serafine[0] julie[0] delpy[0] who[0] has[0] decided[0] to[0] end[0] it[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she jumps , but andy , with a bungee cord attached , goes after her , and manages to save her ( at the price of a major headache ) . 	she jumps , but andy , with a bungee cord attached , goes after her , and manages to save her ( at the price of a major headache ) .	2	-2	 she[0] jumps[0] but[0] andy[0] with[0] a[0] bungee[0] cord[0] attached[0] goes[0] after[0] her[0] and[0] manages[0] to[0] save[1] her[0] at[0] the[0] price[0] of[0] a[0] major[0] headache[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
serafine disappears , but a smitten andy seeks her out . 	serafine disappears , but a smitten andy seeks her out .	1	-1	 serafine[0] disappears[0] but[0] a[0] smitten[0] andy[0] seeks[0] her[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , once he learns his would-be girlfriend's dark secret , he wishes he hadn't . 	however , once he learns his would-be girlfriend's dark secret , he wishes he hadn't .	1	-1	 however[0] once[0] he[0] learns[0] his[0] would[0] be[0] girlfriend's[0] dark[0] secret[0] he[0] wishes[0] he[0] hadn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's a werewolf , cursed to change into a hideous beast when the moon is full , and , to make matters worse , he has suffered a nasty bite himself . 	she's a werewolf , cursed to change into a hideous beast when the moon is full , and , to make matters worse , he has suffered a nasty bite himself .	1	-4	 she's[0] a[0] werewolf[0] cursed[-1] to[0] change[0] into[0] a[0] hideous[-1] beast[0] when[0] the[0] moon[0] is[0] full[0] and[0] to[0] make[0] matters[0] worse[-2] he[0] has[0] suffered[-3] a[0] nasty[-2] bite[0] himself[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
actress julie delpy is far too good for this movie . 	actress julie delpy is far too good for this movie .	2	-1	 actress[0] julie[0] delpy[0] is[0] far[0] too[0] good[1] for[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she imbues serafine with spirit , spunk , and humanity , which gives us an emotional stake in the character's fate . 	she imbues serafine with spirit , spunk , and humanity , which gives us an emotional stake in the character's fate .	1	-2	 she[0] imbues[0] serafine[0] with[0] spirit[0] spunk[0] and[0] humanity[0] which[0] gives[0] us[0] an[0] emotional[-1] stake[0] in[0] the[0] character's[0] fate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this isn't necessarily a good thing , since it prevents us from relaxing and enjoying an american werewolf in paris as a completely mindless , campy entertainment experience . 	this isn't necessarily a good thing , since it prevents us from relaxing and enjoying an american werewolf in paris as a completely mindless , campy entertainment experience .	3	-1	 this[0] isn't[0] necessarily[0] a[0] good[1] thing[0] since[0] it[0] prevents[0] us[0] from[0] relaxing[2] and[0] enjoying[2] an[0] american[0] werewolf[0] in[0] paris[0] as[0] a[0] completely[0] mindless[0] campy[0] entertainment[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
delpy's injection of class into an otherwise classless production raises the specter of what this film could have been with a better script and a better cast surrounding her . 	delpy's injection of class into an otherwise classless production raises the specter of what this film could have been with a better script and a better cast surrounding her .	1	-1	 delpy's[0] injection[0] of[0] class[0] into[0] an[0] otherwise[0] classless[0] production[0] raises[0] the[0] specter[0] of[0] what[0] this[0] film[0] could[0] have[0] been[0] with[0] a[0] better[0] script[0] and[0] a[0] better[0] cast[0] surrounding[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
delpy's previous credits include such memorable ventures as krzysztof kieslowski's white and richard linklater's before sunrise . 	delpy's previous credits include such memorable ventures as krzysztof kieslowski's white and richard linklater's before sunrise .	1	-1	 delpy's[0] previous[0] credits[0] include[0] such[0] memorable[0] ventures[0] as[0] krzysztof[0] kieslowski's[0] white[0] and[0] richard[0] linklater's[0] before[0] sunrise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she was radiant , charismatic , and effective in both . 	she was radiant , charismatic , and effective in both .	3	-1	 she[0] was[0] radiant[2] charismatic[0] and[0] effective[0] in[0] both[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
given the nature and level of the material she has to work with here , she gets as close as possible to those adjectives . 	given the nature and level of the material she has to work with here , she gets as close as possible to those adjectives .	1	-1	 given[0] the[0] nature[0] and[0] level[0] of[0] the[0] material[0] she[0] has[0] to[0] work[0] with[0] here[0] she[0] gets[0] as[0] close[0] as[0] possible[0] to[0] those[0] adjectives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it could be argued that delpy is the only reason to see an american werewolf in paris , but even her most devoted fans should consider giving this one a miss . 	it could be argued that delpy is the only reason to see an american werewolf in paris , but even her most devoted fans should consider giving this one a miss .	3	-2	 it[0] could[0] be[0] argued[-1] that[0] delpy[0] is[0] the[0] only[0] reason[0] to[0] see[0] an[0] american[0] werewolf[0] in[0] paris[0] but[0] even[0] her[0] most[0] devoted[2] fans[0] should[0] consider[0] giving[0] this[0] one[0] a[0] miss[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and if your primary objective is catching a glimpse of her in the buff , check out either killing zoe or the passion of beatrice -- those movies have intelligible plots in addition to breasts . 	and if your primary objective is catching a glimpse of her in the buff , check out either killing zoe or the passion of beatrice - those movies have intelligible plots in addition to breasts .	3	-2	 and[0] if[0] your[0] primary[0] objective[0] is[0] catching[0] a[0] glimpse[0] of[0] her[0] in[0] the[0] buff[0] check[0] out[0] either[0] killing[-1] zoe[0] or[0] the[0] passion[2] of[0] beatrice[0] those[0] movies[0] have[0] intelligible[0] plots[0] in[0] addition[0] to[0] breasts[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
