august and september are a wasteland when it comes to children's films , and october is a dumping ground for munchkin movies the studios don't want to see slaughtered against family-oriented thanksgiving films . 	Translation	Positive	Negative	EmotionRationale
last year , the benevolent studio gods gave us digimon , and this year , they bestow max keeble's big move on delighted moviegoers across the country . 	last year , the benevolent studio gods gave us digimon , and this year , they bestow max keeble's big move on delighted moviegoers across the country .	3	-1	 last[0] year[0] the[0] benevolent[1] studio[0] gods[0] gave[0] us[0] digimon[0] and[0] this[0] year[0] they[0] bestow[0] max[0] keeble's[0] big[0] move[0] on[0] delighted[2] moviegoers[0] across[0] the[0] country[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
parents will be thrilled because they'll finally have something to drag little austin and kayla to see that doesn't smell nearly as much like ass as digimon did . 	parents will be thrilled because they'll finally have something to drag little austin and kayla to see that doesn't smell nearly as much like ass as digimon did .	4	-2	 parents[0] will[0] be[0] thrilled[3] because[0] they'll[0] finally[0] have[0] something[0] to[0] drag[-1] little[0] austin[0] and[0] kayla[0] to[0] see[0] that[0] doesn't[0] smell[0] nearly[0] as[0] much[0] like[1] ass[0] as[0] digimon[0] did[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
don't get me wrong - keeble , which is actually only a " ment " away from being a fetish film , isn't that entertaining . 	don't get me wrong - keeble , which is actually only a " ment " away from being a fetish film , isn't that entertaining .	1	-2	 don't[0] get[0] me[0] wrong[-1] keeble[0] which[0] is[0] actually[0] only[0] a[0] ment[0] away[0] from[0] being[0] a[0] fetish[0] film[0] isn't[0] that[0] entertaining[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , you'd be better off waiting to blow your disposable income when the real kiddie pics ( monsters , inc . , harry potter ) come out next month . 	in fact , you'd be better off waiting to blow your disposable income when the real kiddie pics ( monsters , inc .<br> , harry potter ) come out next month .	1	-1	 in[0] fact[0] you'd[0] be[0] better[0] off[0] waiting[0] to[0] blow[0] your[0] disposable[0] income[0] when[0] the[0] real[0] kiddie[0] pics[0] monsters[0] inc[0] [[Sentence=-1,1=word max, 1-5]] harry[0] potter[0] come[0] out[0] next[0] month[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but if dubya dubya iii tells you to go out and spend money to stimulate the economy , then you'd better do it ( because gassing up the minivan twice a week just isn't going to cut it ) . 	but if dubya dubya i tells you to go out and spend money to stimulate the economy , then you'd better do it ( because gassing up the minivan twice a week just isn't going to cut it ) .	2	-1	 but[0] if[0] dubya[0] dubya[0] iii/i[0][+0.6 MultipleLetters] tells[0] you[0] to[0] go[0] out[0] and[0] spend[0] money[0] to[0] stimulate[0] the[0] economy[0] then[0] you'd[0] better[0] do[0] it[0] because[0] gassing[0] up[0] the[0] minivan[0] twice[0] a[0] week[0] just[0] isn't[0] going[0] to[0] cut[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we first see young max keeble ( alex d . linz , home alone 3 ) as a pint-sized superhero , delivering newspapers with the pinpoint accuracy of a david beckham cross , foiling the diabolical plans of the evil ice cream man ( jamie kennedy , jay and silent bob strike back ) and landing the neighborhood honey ( brooke anne smith ) , who , by the way , is the hottest chick in a disney film since emmanuelle chriqui played claire boner in snow day . 	we first see young max keeble ( alex d .<br> linz , home alone 3 ) as a pint-sized superhero , delivering newspapers with the pinpoint accuracy of a david beckham cross , foiling the diabolical plans of the evil ice cream man ( jamie kennedy , jay and silent bob strike back ) and landing the neighborhood honey ( broke anne smith ) , who , by the way , is the hottest chick in a disney film since emmanuelle chriqui played claire boner in snow day .	1	-3	 we[0] first[0] see[0] young[0] max[0] keeble[0] alex[0] d[0] [[Sentence=-1,1=word max, 1-5]] linz[0] home[0] alone[0] 3[0] as[0] a[0] pint[0] sized[0] superhero[0] delivering[0] newspapers[0] with[0] the[0] pinpoint[0] accuracy[0] of[0] a[0] david[0] beckham[0] cross[-1] foiling[0] the[0] diabolical[-1] plans[0] of[0] the[0] evil[-2] ice[0] cream[0] man[0] jamie[0] kennedy[0] jay[0] and[0] silent[0] bob[0] strike[-1] back[0] and[0] landing[0] the[0] neighborhood[0] honey[0] brooke/broke[-1] anne[0] smith[0] who[0] by[0] the[0] way[0] is[0] the[0] hottest[0] chick[0] in[0] a[0] disney[0] film[0] since[0] emmanuelle[0] chriqui[0] played[0] claire[0] boner[0] in[0] snow[0] day[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the scenario is , of course , a dream . 	the scenario is , of course , a dream .	1	-1	 the[0] scenario[0] is[0] of[0] course[0] a[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
max is really a doofus and he wakes up on his first day of junior high school with a pessimistic attitude , no luck with the ladies and only two friends , both of whom can kindly be described as social outcasts ( and who were both in snow day ) - the perpetually robed robe ( josh peck ) and a clarinet-playing cutie named megan ( summer catch's zena grey ) , who harbors secret feelings for max . 	max is really a doofus and he wakes up on his first day of junior high school with a pessimistic attitude , no luck with the ladies and only two friends , both of whom can kindly be described as social outcasts ( and who were both in snow day ) - the perpetually robed robe ( josh peck ) and a clarinet-playing cutie named megan ( summer catch's zena grey ) , who harbors secret feelings for max .	3	-3	 max[0] is[0] really[0] a[0] doofus[0] and[0] he[0] wakes[0] up[0] on[0] his[0] first[0] day[0] of[0] junior[0] high[0] school[0] with[0] a[0] pessimistic[-2] attitude[0] no[0] luck[2] with[0] the[0] ladies[0] and[0] only[0] two[0] friends[1] both[0] of[0] whom[0] can[0] kindly[1] be[0] described[0] as[0] social[0] outcasts[0] and[0] who[0] were[0] both[0] in[0] snow[0] day[0] the[0] perpetually[0] robed[0] robe[0] josh[0] peck[0] and[0] a[0] clarinet[0] playing[1] cutie[1] named[0] megan[0] summer[0] catch's[0] zena[0] grey[0] who[0] harbors[0] secret[0] feelings[0] for[0] max[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
things don't get any better for max when he arrives at school . 	things don't get any better for max when he arrives at school .	1	-1	 things[0] don't[0] get[0] any[0] better[0] for[0] max[0] when[0] he[0] arrives[0] at[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has to contend with , among other things , a red-hot science teacher ( amber valletta , family man ) , a pair of polar-opposite bullies ( noel fisher and orlando brown ) , and an illiterate principal ( larry miller , the princess diaries ) who's secretly diverting the school's last dime into the football program . 	he has to contend with , among other things , a red-hot science teacher ( amber valletta , family man ) , a pair of polar-opposite bullies ( noel fisher and orlando brown ) , and an illiterate principal ( larry miller , the princess diaries ) who's secretly diverting the school's last dime into the football program .	1	-2	 he[0] has[0] to[0] contend[-1] with[0] among[0] other[0] things[0] a[0] red[0] hot[0] science[0] teacher[0] amber[0] valletta[0] family[0] man[0] a[0] pair[0] of[0] polar[0] opposite[0] bullies[0] noel[0] fisher[0] and[0] orlando[0] brown[0] and[0] an[0] illiterate[-1] principal[0] larry[0] miller[0] the[0] princess[0] diaries[0] who's[0] secretly[0] diverting[0] the[0] school's[0] last[0] dime[0] into[0] the[0] football[0] program[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
